Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739676934,2025-02-16T03:35:34Z,IGO706,"10.154114,76.392082",0,3,357
1739676973,2025-02-16T03:36:13Z,IGO706,"10.153702,76.392097",0,0,315
1739676986,2025-02-16T03:36:26Z,IGO706,"10.153532,76.392357",0,0,267
1739677010,2025-02-16T03:36:50Z,IGO706,"10.153553,76.392685",0,0,267
1739677034,2025-02-16T03:37:14Z,IGO706,"10.153555,76.392921",0,1,267
1739677338,2025-02-16T03:42:18Z,IGO706,"10.153311,76.392403",0,0,216
1739677360,2025-02-16T03:42:40Z,IGO706,"10.153107,76.392395",0,1,182
1739677375,2025-02-16T03:42:55Z,IGO706,"10.152866,76.392418",0,5,177
1739677384,2025-02-16T03:43:04Z,IGO706,"10.152659,76.392334",0,6,202
1739677394,2025-02-16T03:43:14Z,IGO706,"10.152546,76.392128",0,5,241
1739677412,2025-02-16T03:43:32Z,IGO706,"10.152443,76.391617",0,0,244
1739677419,2025-02-16T03:43:39Z,IGO706,"10.152214,76.39151",0,8,202
1739677428,2025-02-16T03:43:48Z,IGO706,"10.151973,76.391525",0,2,177
1739677498,2025-02-16T03:44:58Z,IGO706,"10.151711,76.391533",0,9,177
1739677505,2025-02-16T03:45:05Z,IGO706,"10.15132,76.391548",0,14,177
1739677516,2025-02-16T03:45:16Z,IGO706,"10.150844,76.391701",0,8,143
1739677523,2025-02-16T03:45:23Z,IGO706,"10.150797,76.391937",0,8,101
1739677561,2025-02-16T03:46:01Z,IGO706,"10.15082,76.392258",0,11,87
1739677570,2025-02-16T03:46:10Z,IGO706,"10.150878,76.393967",0,60,87
1739677580,2025-02-16T03:46:20Z,IGO706,"10.151047,76.398323",0,0,87
1739677600,2025-02-16T03:46:40Z,IGO706,"10.151553,76.412041",275,165,87
1739677608,2025-02-16T03:46:48Z,IGO706,"10.151786,76.41787",575,165,87
1739677617,2025-02-16T03:46:57Z,IGO706,"10.1521,76.425087",850,176,87
1739677626,2025-02-16T03:47:06Z,IGO706,"10.15242,76.432724",1075,186,87
1739677632,2025-02-16T03:47:12Z,IGO706,"10.152624,76.43866",1250,195,87
1739677640,2025-02-16T03:47:20Z,IGO706,"10.152878,76.446129",1425,205,88
1739677647,2025-02-16T03:47:27Z,IGO706,"10.153043,76.452721",1600,214,88
1739677656,2025-02-16T03:47:36Z,IGO706,"10.153183,76.462051",1850,225,88
1739677664,2025-02-16T03:47:44Z,IGO706,"10.153336,76.471222",2075,236,88
1739677671,2025-02-16T03:47:51Z,IGO706,"10.153555,76.478767",2250,246,88
1739677680,2025-02-16T03:48:00Z,IGO706,"10.153885,76.488541",2450,252,87
1739677686,2025-02-16T03:48:06Z,IGO706,"10.15416,76.49617",2600,260,87
1739677695,2025-02-16T03:48:15Z,IGO706,"10.154572,76.506599",2800,267,87
1739677701,2025-02-16T03:48:21Z,IGO706,"10.154892,76.515076",2925,270,87
1739677710,2025-02-16T03:48:30Z,IGO706,"10.155258,76.526337",3125,272,88
1739677716,2025-02-16T03:48:36Z,IGO706,"10.15551,76.534172",3275,273,88
1739677725,2025-02-16T03:48:45Z,IGO706,"10.155789,76.545395",3475,272,88
1739677734,2025-02-16T03:48:54Z,IGO706,"10.156116,76.556427",3675,271,87
1739677738,2025-02-16T03:48:58Z,IGO706,"10.156723,76.562279",3775,271,83
1739677740,2025-02-16T03:49:00Z,IGO706,"10.157187,76.564812",3825,270,78
1739677742,2025-02-16T03:49:02Z,IGO706,"10.157931,76.567604",3875,270,74
1739677744,2025-02-16T03:49:04Z,IGO706,"10.158691,76.569962",3925,270,71
1739677746,2025-02-16T03:49:06Z,IGO706,"10.159793,76.572716",3975,270,67
1739677749,2025-02-16T03:49:09Z,IGO706,"10.160843,76.57489",4025,270,62
1739677751,2025-02-16T03:49:11Z,IGO706,"10.162216,76.577271",4075,269,58
1739677753,2025-02-16T03:49:13Z,IGO706,"10.163773,76.579643",4125,269,54
1739677755,2025-02-16T03:49:15Z,IGO706,"10.165604,76.582062",4175,268,51
1739677757,2025-02-16T03:49:17Z,IGO706,"10.167149,76.583801",4225,267,47
1739677759,2025-02-16T03:49:19Z,IGO706,"10.169104,76.585739",4275,267,44
1739677762,2025-02-16T03:49:22Z,IGO706,"10.170873,76.587303",4325,265,38
1739677764,2025-02-16T03:49:24Z,IGO706,"10.173107,76.589058",4375,264,34
1739677766,2025-02-16T03:49:26Z,IGO706,"10.175248,76.590378",4425,264,31
1739677768,2025-02-16T03:49:28Z,IGO706,"10.177437,76.591614",4475,263,27
1739677770,2025-02-16T03:49:30Z,IGO706,"10.179794,76.592766",4525,263,23
1739677772,2025-02-16T03:49:32Z,IGO706,"10.18277,76.593887",4600,262,20
1739677774,2025-02-16T03:49:34Z,IGO706,"10.184921,76.594536",4625,262,16
1739677777,2025-02-16T03:49:37Z,IGO706,"10.187352,76.595116",4675,262,12
1739677779,2025-02-16T03:49:39Z,IGO706,"10.189911,76.595512",4750,261,7
1739677781,2025-02-16T03:49:41Z,IGO706,"10.192845,76.595779",4800,262,3
1739677783,2025-02-16T03:49:43Z,IGO706,"10.195825,76.595924",4875,263,1
1739677785,2025-02-16T03:49:45Z,IGO706,"10.198292,76.595871",4925,263,359
1739677787,2025-02-16T03:49:47Z,IGO706,"10.200945,76.595779",5000,263,358
1739677790,2025-02-16T03:49:50Z,IGO706,"10.20401,76.595657",5100,264,356
1739677792,2025-02-16T03:49:52Z,IGO706,"10.206253,76.595512",5175,266,356
1739677794,2025-02-16T03:49:54Z,IGO706,"10.208906,76.595306",5250,266,355
1739677796,2025-02-16T03:49:56Z,IGO706,"10.211334,76.595146",5300,267,355
1739677798,2025-02-16T03:49:58Z,IGO706,"10.214725,76.594833",5400,268,355
1739677800,2025-02-16T03:50:00Z,IGO706,"10.217102,76.594635",5475,268,355
1739677802,2025-02-16T03:50:02Z,IGO706,"10.21938,76.594452",5525,268,355
1739677805,2025-02-16T03:50:05Z,IGO706,"10.222034,76.594215",5600,269,354
1739677807,2025-02-16T03:50:07Z,IGO706,"10.224547,76.593979",5675,269,354
1739677820,2025-02-16T03:50:20Z,IGO706,"10.240654,76.592278",6025,266,353
1739677833,2025-02-16T03:50:33Z,IGO706,"10.256855,76.590477",6350,265,353
1739677846,2025-02-16T03:50:46Z,IGO706,"10.27352,76.588631",6700,268,353
1739677859,2025-02-16T03:50:59Z,IGO706,"10.290024,76.586861",7000,273,353
1739677872,2025-02-16T03:51:12Z,IGO706,"10.306595,76.584946",7500,278,353
1739677885,2025-02-16T03:51:25Z,IGO706,"10.323257,76.583038",8050,282,353
1739677898,2025-02-16T03:51:38Z,IGO706,"10.341021,76.581055",8600,288,353
1739677911,2025-02-16T03:51:51Z,IGO706,"10.357873,76.579346",9050,294,354
1739677924,2025-02-16T03:52:04Z,IGO706,"10.375749,76.577927",9600,296,355
1739677937,2025-02-16T03:52:17Z,IGO706,"10.393532,76.57679",10150,299,356
1739677951,2025-02-16T03:52:31Z,IGO706,"10.412339,76.575844",10525,311,357
1739677964,2025-02-16T03:52:44Z,IGO706,"10.431839,76.574799",10725,326,357
1739677977,2025-02-16T03:52:57Z,IGO706,"10.451752,76.573822",10900,340,357
1739677990,2025-02-16T03:53:10Z,IGO706,"10.472299,76.57283",11300,345,357
1739678003,2025-02-16T03:53:23Z,IGO706,"10.493866,76.57177",11925,344,357
1739678016,2025-02-16T03:53:36Z,IGO706,"10.514987,76.570656",12625,341,356
1739678048,2025-02-16T03:54:08Z,IGO706,"10.567405,76.567337",13725,350,355
1739678080,2025-02-16T03:54:40Z,IGO706,"10.618332,76.563675",14975,350,357
1739678088,2025-02-16T03:54:48Z,IGO706,"10.63179,76.564384",15375,344,6
1739678090,2025-02-16T03:54:50Z,IGO706,"10.634859,76.56488",15500,342,8
1739678093,2025-02-16T03:54:53Z,IGO706,"10.638611,76.565567",15650,340,11
1739678095,2025-02-16T03:54:55Z,IGO706,"10.641842,76.566322",15800,338,12
1739678097,2025-02-16T03:54:57Z,IGO706,"10.644745,76.567085",15925,335,14
1739678099,2025-02-16T03:54:59Z,IGO706,"10.648266,76.568054",16075,332,15
1739678101,2025-02-16T03:55:01Z,IGO706,"10.651198,76.568924",16200,330,16
1739678103,2025-02-16T03:55:03Z,IGO706,"10.654597,76.569939",16375,328,16
1739678106,2025-02-16T03:55:06Z,IGO706,"10.65802,76.571014",16525,325,17
1739678108,2025-02-16T03:55:08Z,IGO706,"10.661254,76.57206",16675,323,17
1739678110,2025-02-16T03:55:10Z,IGO706,"10.664652,76.573166",16825,321,17
1739678112,2025-02-16T03:55:12Z,IGO706,"10.667816,76.574234",16975,319,17
1739678115,2025-02-16T03:55:15Z,IGO706,"10.670883,76.575226",17100,318,18
1739678117,2025-02-16T03:55:17Z,IGO706,"10.673683,76.576149",17225,315,18
1739678119,2025-02-16T03:55:19Z,IGO706,"10.676662,76.577164",17350,314,18
1739678121,2025-02-16T03:55:21Z,IGO706,"10.679317,76.578033",17450,313,18
1739678152,2025-02-16T03:55:52Z,IGO706,"10.720096,76.595093",18825,308,26
1739678183,2025-02-16T03:56:23Z,IGO706,"10.76033,76.61496",19850,314,25
1739678214,2025-02-16T03:56:54Z,IGO706,"10.801712,76.634804",20850,319,25
1739678247,2025-02-16T03:57:27Z,IGO706,"10.845474,76.655823",21875,324,25
1739678277,2025-02-16T03:57:57Z,IGO706,"10.888184,76.676476",22725,333,25
1739678310,2025-02-16T03:58:30Z,IGO706,"10.933166,76.698303",23675,339,25
1739678340,2025-02-16T03:59:00Z,IGO706,"10.978134,76.720085",24175,356,25
1739678371,2025-02-16T03:59:31Z,IGO706,"11.024548,76.742638",24550,377,25
1739678403,2025-02-16T04:00:03Z,IGO706,"11.077943,76.768608",24900,397,25
1739678434,2025-02-16T04:00:34Z,IGO706,"11.129709,76.793709",25275,413,25
1739678466,2025-02-16T04:01:06Z,IGO706,"11.186922,76.821419",25750,427,25
1739678499,2025-02-16T04:01:39Z,IGO706,"11.246796,76.850502",26250,438,25
1739678532,2025-02-16T04:02:12Z,IGO706,"11.306561,76.879578",27000,440,25
1739678562,2025-02-16T04:02:42Z,IGO706,"11.362976,76.907135",27700,442,25
1739678593,2025-02-16T04:03:13Z,IGO706,"11.419776,76.934799",28225,444,25
1739678624,2025-02-16T04:03:44Z,IGO706,"11.476547,76.962357",28950,440,25
1739678656,2025-02-16T04:04:16Z,IGO706,"11.53688,76.991806",29675,436,25
1739678687,2025-02-16T04:04:47Z,IGO706,"11.591647,77.018547",30425,430,25
1739678719,2025-02-16T04:05:19Z,IGO706,"11.649697,77.046875",31125,428,25
1739678751,2025-02-16T04:05:51Z,IGO706,"11.708221,77.075394",31700,428,25
1739678784,2025-02-16T04:06:24Z,IGO706,"11.765659,77.103447",32175,430,25
1739678816,2025-02-16T04:06:56Z,IGO706,"11.824175,77.132072",32550,432,25
1739678849,2025-02-16T04:07:29Z,IGO706,"11.88325,77.16098",32950,434,25
1739678881,2025-02-16T04:08:01Z,IGO706,"11.94321,77.190231",33275,438,25
1739678909,2025-02-16T04:08:29Z,IGO706,"11.996246,77.210823",33350,444,15
1739678912,2025-02-16T04:08:32Z,IGO706,"12.000282,77.21196",33350,444,15
1739678914,2025-02-16T04:08:34Z,IGO706,"12.005124,77.213356",33350,445,15
1739678946,2025-02-16T04:09:06Z,IGO706,"12.069351,77.23185",33475,453,15
1739678976,2025-02-16T04:09:36Z,IGO706,"12.131839,77.250175",33525,461,16
1739679008,2025-02-16T04:10:08Z,IGO706,"12.197754,77.269638",33725,466,16
1739679039,2025-02-16T04:10:39Z,IGO706,"12.262344,77.288818",34225,462,16
1739679072,2025-02-16T04:11:12Z,IGO706,"12.328848,77.308525",34575,462,16
1739679104,2025-02-16T04:11:44Z,IGO706,"12.39624,77.328453",34950,462,16
1739679137,2025-02-16T04:12:17Z,IGO706,"12.462826,77.348137",35400,457,16
1739679170,2025-02-16T04:12:50Z,IGO706,"12.529768,77.368034",35825,454,16
1739679202,2025-02-16T04:13:22Z,IGO706,"12.595551,77.387459",36000,452,16
1739679235,2025-02-16T04:13:55Z,IGO706,"12.660324,77.406685",36000,452,16
1739679265,2025-02-16T04:14:25Z,IGO706,"12.722534,77.425102",36000,453,16
1739679297,2025-02-16T04:14:57Z,IGO706,"12.785293,77.443687",36000,454,16
1739679329,2025-02-16T04:15:29Z,IGO706,"12.85163,77.463348",36000,453,16
1739679361,2025-02-16T04:16:01Z,IGO706,"12.91507,77.482124",36000,453,16
1739679393,2025-02-16T04:16:33Z,IGO706,"12.979385,77.501205",36025,452,16
1739679425,2025-02-16T04:17:05Z,IGO706,"13.043471,77.520203",36000,452,16
1739679455,2025-02-16T04:17:35Z,IGO706,"13.103897,77.538239",36000,451,16
1739679487,2025-02-16T04:18:07Z,IGO706,"13.169628,77.557838",36000,452,16
1739679518,2025-02-16T04:18:38Z,IGO706,"13.231567,77.576218",36000,452,16
1739679549,2025-02-16T04:19:09Z,IGO706,"13.294435,77.594894",36000,452,16
1739679580,2025-02-16T04:19:40Z,IGO706,"13.355942,77.613243",35975,451,16
1739679612,2025-02-16T04:20:12Z,IGO706,"13.419983,77.632286",36000,451,15
1739679627,2025-02-16T04:20:27Z,IGO706,"13.452014,77.638741",36000,450,6
1739679629,2025-02-16T04:20:29Z,IGO706,"13.456375,77.639198",36000,449,5
1739679631,2025-02-16T04:20:31Z,IGO706,"13.460207,77.639511",36000,449,4
1739679633,2025-02-16T04:20:33Z,IGO706,"13.465421,77.639854",36000,448,3
1739679636,2025-02-16T04:20:36Z,IGO706,"13.469564,77.640045",36000,448,2
1739679638,2025-02-16T04:20:38Z,IGO706,"13.473679,77.64019",36000,448,2
1739679640,2025-02-16T04:20:40Z,IGO706,"13.47789,77.640335",36000,448,1
1739679642,2025-02-16T04:20:42Z,IGO706,"13.483251,77.640526",36000,448,1
1739679644,2025-02-16T04:20:44Z,IGO706,"13.487,77.640663",36000,448,2
1739679646,2025-02-16T04:20:46Z,IGO706,"13.491623,77.640854",36000,448,2
1739679648,2025-02-16T04:20:48Z,IGO706,"13.495789,77.640999",36000,448,2
1739679681,2025-02-16T04:21:21Z,IGO706,"13.563354,77.644409",36000,448,3
1739679711,2025-02-16T04:21:51Z,IGO706,"13.626445,77.647995",36000,448,3
1739679744,2025-02-16T04:22:24Z,IGO706,"13.694092,77.651695",36000,447,2
1739679777,2025-02-16T04:22:57Z,IGO706,"13.763535,77.655296",36000,446,2
1739679809,2025-02-16T04:23:29Z,IGO706,"13.829178,77.658707",36000,446,2
1739679839,2025-02-16T04:23:59Z,IGO706,"13.890976,77.661972",36000,446,2
1739679872,2025-02-16T04:24:32Z,IGO706,"13.959869,77.665527",36000,446,2
1739679904,2025-02-16T04:25:04Z,IGO706,"14.025631,77.668953",36000,446,2
1739679937,2025-02-16T04:25:37Z,IGO706,"14.094063,77.672615",36000,446,2
1739679969,2025-02-16T04:26:09Z,IGO706,"14.159514,77.676041",36000,445,2
1739680001,2025-02-16T04:26:41Z,IGO706,"14.226131,77.679604",36000,445,2
1739680034,2025-02-16T04:27:14Z,IGO706,"14.294237,77.683167",36000,445,2
1739680066,2025-02-16T04:27:46Z,IGO706,"14.359829,77.686592",36000,446,2
1739680096,2025-02-16T04:28:16Z,IGO706,"14.422535,77.689964",35975,447,2
1739680128,2025-02-16T04:28:48Z,IGO706,"14.48941,77.693466",36000,447,2
1739680160,2025-02-16T04:29:20Z,IGO706,"14.556093,77.696999",36025,448,2
1739680192,2025-02-16T04:29:52Z,IGO706,"14.622477,77.700516",36025,447,2
1739680224,2025-02-16T04:30:24Z,IGO706,"14.689512,77.704132",36025,446,2
1739680257,2025-02-16T04:30:57Z,IGO706,"14.755663,77.707695",36025,446,2
1739680289,2025-02-16T04:31:29Z,IGO706,"14.823909,77.711357",36000,445,2
1739680321,2025-02-16T04:32:01Z,IGO706,"14.889873,77.714928",36000,445,2
1739680352,2025-02-16T04:32:32Z,IGO706,"14.952532,77.718269",36000,444,2
1739680384,2025-02-16T04:33:04Z,IGO706,"15.019567,77.721848",36000,446,2
1739680415,2025-02-16T04:33:35Z,IGO706,"15.08339,77.725281",36000,446,2
1739680448,2025-02-16T04:34:08Z,IGO706,"15.150146,77.728798",36000,446,2
1739680478,2025-02-16T04:34:38Z,IGO706,"15.213969,77.732246",36000,445,2
1739680510,2025-02-16T04:35:10Z,IGO706,"15.278458,77.735641",36000,445,2
