Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739764393,2025-02-17T03:53:13Z,IGO706,"10.154405,76.390251",0,0,357
1739764679,2025-02-17T03:57:59Z,IGO706,"10.154411,76.390503",0,0,357
1739764687,2025-02-17T03:58:07Z,IGO706,"10.154354,76.390266",0,0,357
1739765425,2025-02-17T04:10:25Z,IGO706,"10.154137,76.390282",0,3,357
1739765447,2025-02-17T04:10:47Z,IGO706,"10.153851,76.390305",0,0,2
1739765464,2025-02-17T04:11:04Z,IGO706,"10.153637,76.39032",0,3,39
1739765486,2025-02-17T04:11:26Z,IGO706,"10.153461,76.390114",0,2,87
1739765743,2025-02-17T04:15:43Z,IGO706,"10.153473,76.390327",0,4,87
1739765758,2025-02-17T04:15:58Z,IGO706,"10.153381,76.390556",0,4,120
1739765769,2025-02-17T04:16:09Z,IGO706,"10.153175,76.390556",0,2,168
1739766026,2025-02-17T04:20:26Z,IGO706,"10.15295,76.390564",0,5,177
1739766035,2025-02-17T04:20:35Z,IGO706,"10.152718,76.390617",0,5,168
1739766111,2025-02-17T04:21:51Z,IGO706,"10.152519,76.391266",0,7,90
1739766122,2025-02-17T04:22:02Z,IGO706,"10.152228,76.391525",0,8,160
1739766128,2025-02-17T04:22:08Z,IGO706,"10.151951,76.39151",0,10,180
1739766133,2025-02-17T04:22:13Z,IGO706,"10.151728,76.391525",0,10,177
1739766145,2025-02-17T04:22:25Z,IGO706,"10.151053,76.391563",0,11,174
1739766155,2025-02-17T04:22:35Z,IGO706,"10.150762,76.391693",0,6,140
1739766164,2025-02-17T04:22:44Z,IGO706,"10.150806,76.391907",0,3,87
1739766218,2025-02-17T04:23:38Z,IGO706,"10.150829,76.392662",0,31,90
1739766254,2025-02-17T04:24:14Z,IGO706,"10.151693,76.41394",375,162,87
1739766261,2025-02-17T04:24:21Z,IGO706,"10.151825,76.419037",625,164,88
1739766270,2025-02-17T04:24:30Z,IGO706,"10.152019,76.425636",825,174,88
1739766276,2025-02-17T04:24:36Z,IGO706,"10.152145,76.431137",975,182,88
1739766283,2025-02-17T04:24:43Z,IGO706,"10.152237,76.437378",1100,190,89
1739766291,2025-02-17T04:24:51Z,IGO706,"10.152328,76.444969",1275,202,89
1739766298,2025-02-17T04:24:58Z,IGO706,"10.152485,76.451439",1450,209,88
1739766306,2025-02-17T04:25:06Z,IGO706,"10.152786,76.45977",1775,212,87
1739766311,2025-02-17T04:25:11Z,IGO706,"10.153183,76.464035",1975,210,83
1739766313,2025-02-17T04:25:13Z,IGO706,"10.153508,76.465889",2050,210,81
1739766315,2025-02-17T04:25:15Z,IGO706,"10.154114,76.468346",2150,211,76
1739766317,2025-02-17T04:25:17Z,IGO706,"10.154663,76.470154",2200,210,74
