Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740454505,2025-02-25T03:35:05Z,IGO706,"10.154354,76.389694",0,0,357
1740454963,2025-02-25T03:42:43Z,IGO706,"10.154148,76.389709",0,2,357
1740454985,2025-02-25T03:43:05Z,IGO706,"10.153881,76.389725",0,2,2
1740455005,2025-02-25T03:43:25Z,IGO706,"10.153667,76.38974",0,2,30
1740455028,2025-02-25T03:43:48Z,IGO706,"10.153462,76.38961",0,2,78
1740455404,2025-02-25T03:50:04Z,IGO706,"10.15345,76.389824",0,4,87
1740455415,2025-02-25T03:50:15Z,IGO706,"10.15345,76.390038",0,4,87
1740455425,2025-02-25T03:50:25Z,IGO706,"10.153461,76.390259",0,5,87
1740455435,2025-02-25T03:50:35Z,IGO706,"10.153427,76.390465",0,5,104
1740455448,2025-02-25T03:50:48Z,IGO706,"10.153113,76.390564",0,5,165
1740455457,2025-02-25T03:50:57Z,IGO706,"10.152889,76.390572",0,5,177
1740455467,2025-02-25T03:51:07Z,IGO706,"10.15266,76.39064",0,5,160
1740455558,2025-02-25T03:52:38Z,IGO706,"10.152512,76.391167",0,0,90
1740455576,2025-02-25T03:52:56Z,IGO706,"10.152135,76.391518",0,9,163
1740455586,2025-02-25T03:53:06Z,IGO706,"10.151722,76.391533",0,10,177
1740455590,2025-02-25T03:53:10Z,IGO706,"10.151493,76.391533",0,11,177
1740455596,2025-02-25T03:53:16Z,IGO706,"10.151207,76.391548",0,12,177
1740455602,2025-02-25T03:53:22Z,IGO706,"10.150855,76.391594",0,10,165
1740455614,2025-02-25T03:53:34Z,IGO706,"10.150784,76.391884",0,4,92
1740455660,2025-02-25T03:54:20Z,IGO706,"10.15082,76.392143",0,9,87
1740455668,2025-02-25T03:54:28Z,IGO706,"10.150864,76.393326",0,42,87
1740455702,2025-02-25T03:55:02Z,IGO706,"10.151647,76.413277",325,165,86
1740455709,2025-02-25T03:55:09Z,IGO706,"10.151917,76.41848",625,164,87
1740455718,2025-02-25T03:55:18Z,IGO706,"10.152065,76.425301",825,174,88
1740455724,2025-02-25T03:55:24Z,IGO706,"10.152237,76.431419",1000,182,88
1740455731,2025-02-25T03:55:31Z,IGO706,"10.152328,76.43663",1100,190,88
