Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740713823,2025-02-28T03:37:03Z,IGO706,"10.15423,76.389717",0,2,357
1740713856,2025-02-28T03:37:36Z,IGO706,"10.153919,76.389717",0,0,357
1740713875,2025-02-28T03:37:55Z,IGO706,"10.15369,76.389717",0,2,323
1740713906,2025-02-28T03:38:26Z,IGO706,"10.153485,76.389954",0,2,272
1740713924,2025-02-28T03:38:44Z,IGO706,"10.153462,76.390167",0,2,270
1740713944,2025-02-28T03:39:04Z,IGO706,"10.153462,76.390381",0,2,267
1740713969,2025-02-28T03:39:29Z,IGO706,"10.153474,76.390648",0,2,267
1740713988,2025-02-28T03:39:48Z,IGO706,"10.153484,76.390862",0,2,267
1740714324,2025-02-28T03:45:24Z,IGO706,"10.153416,76.390648",0,6,247
1740714331,2025-02-28T03:45:31Z,IGO706,"10.153206,76.390556",0,7,205
1740714339,2025-02-28T03:45:39Z,IGO706,"10.152938,76.390564",0,8,177
1740714348,2025-02-28T03:45:48Z,IGO706,"10.152682,76.390594",0,7,171
1740714372,2025-02-28T03:46:12Z,IGO706,"10.152512,76.390976",0,0,95
1740714388,2025-02-28T03:46:28Z,IGO706,"10.152496,76.391251",0,6,95
1740714395,2025-02-28T03:46:35Z,IGO706,"10.152345,76.391457",0,9,129
1740714513,2025-02-28T03:48:33Z,IGO706,"10.15155,76.412895",400,162,87
1740714522,2025-02-28T03:48:42Z,IGO706,"10.151779,76.419685",725,166,87
1740714528,2025-02-28T03:48:48Z,IGO706,"10.152019,76.42511",875,176,87
1740714537,2025-02-28T03:48:57Z,IGO706,"10.152328,76.432022",1050,185,87
1740714543,2025-02-28T03:49:03Z,IGO706,"10.152603,76.438309",1175,194,87
1740714550,2025-02-28T03:49:10Z,IGO706,"10.152878,76.444313",1300,204,87
1740714558,2025-02-28T03:49:18Z,IGO706,"10.153198,76.452507",1500,213,87
1740714565,2025-02-28T03:49:25Z,IGO706,"10.153462,76.459496",1700,219,87
1740714574,2025-02-28T03:49:34Z,IGO706,"10.154388,76.468239",1925,227,80
1740714576,2025-02-28T03:49:36Z,IGO706,"10.154952,76.470619",2000,228,76
1740714578,2025-02-28T03:49:38Z,IGO706,"10.155603,76.472565",2050,231,72
1740714580,2025-02-28T03:49:40Z,IGO706,"10.156534,76.474739",2125,232,68
1740714582,2025-02-28T03:49:42Z,IGO706,"10.157512,76.476639",2175,234,61
1740714584,2025-02-28T03:49:44Z,IGO706,"10.158815,76.478722",2250,236,56
1740714586,2025-02-28T03:49:46Z,IGO706,"10.16066,76.480995",2350,238,52
1740714588,2025-02-28T03:49:48Z,IGO706,"10.162121,76.482605",2425,238,47
1740714590,2025-02-28T03:49:50Z,IGO706,"10.163956,76.484253",2525,239,42
1740714592,2025-02-28T03:49:52Z,IGO706,"10.165798,76.485588",2625,240,37
1740714595,2025-02-28T03:49:55Z,IGO706,"10.167664,76.486725",2725,240,32
1740714597,2025-02-28T03:49:57Z,IGO706,"10.170267,76.488045",2850,241,28
