Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740885890,2025-03-02T03:24:50Z,IGO706,"10.154263,76.390282",0,1,357
1740885966,2025-03-02T03:26:06Z,IGO706,"10.154056,76.390282",0,2,357
1740885990,2025-03-02T03:26:30Z,IGO706,"10.153828,76.390312",0,2,5
1740886013,2025-03-02T03:26:53Z,IGO706,"10.153625,76.390305",0,2,47
1740886043,2025-03-02T03:27:23Z,IGO706,"10.153461,76.390091",0,2,87
1740886190,2025-03-02T03:29:50Z,IGO706,"10.153461,76.390305",0,4,90
1740886200,2025-03-02T03:30:00Z,IGO706,"10.153336,76.390533",0,7,123
1740886207,2025-03-02T03:30:07Z,IGO706,"10.153118,76.390579",0,7,163
1740886212,2025-03-02T03:30:12Z,IGO706,"10.152912,76.390594",0,7,177
1740886220,2025-03-02T03:30:20Z,IGO706,"10.152672,76.390671",0,7,154
1740886228,2025-03-02T03:30:28Z,IGO706,"10.152523,76.390884",0,7,123
1740886235,2025-03-02T03:30:35Z,IGO706,"10.152508,76.391113",0,8,95
1740886241,2025-03-02T03:30:41Z,IGO706,"10.152523,76.391335",0,9,87
1740886245,2025-03-02T03:30:45Z,IGO706,"10.152531,76.391571",0,9,87
1740886252,2025-03-02T03:30:52Z,IGO706,"10.152543,76.391869",0,9,87
1740886258,2025-03-02T03:30:58Z,IGO706,"10.152555,76.392082",0,10,87
1740886264,2025-03-02T03:31:04Z,IGO706,"10.152569,76.392418",0,10,87
1740886272,2025-03-02T03:31:12Z,IGO706,"10.15258,76.392807",0,11,87
1740886280,2025-03-02T03:31:20Z,IGO706,"10.152592,76.393188",0,12,87
1740886287,2025-03-02T03:31:27Z,IGO706,"10.152615,76.393608",0,13,87
1740886293,2025-03-02T03:31:33Z,IGO706,"10.152624,76.39399",0,13,87
1740886301,2025-03-02T03:31:41Z,IGO706,"10.152636,76.394478",0,13,90
1740886308,2025-03-02T03:31:48Z,IGO706,"10.152647,76.39476",0,7,87
1740886316,2025-03-02T03:31:56Z,IGO706,"10.15266,76.395088",0,9,87
1740886326,2025-03-02T03:32:06Z,IGO706,"10.152672,76.395401",0,9,87
1740886336,2025-03-02T03:32:16Z,IGO706,"10.152694,76.395905",0,6,87
1740886343,2025-03-02T03:32:23Z,IGO706,"10.152705,76.396141",0,6,87
1740886351,2025-03-02T03:32:31Z,IGO706,"10.152706,76.3964",0,8,87
1740886362,2025-03-02T03:32:42Z,IGO706,"10.152729,76.397041",0,15,90
