Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741490759,2025-03-09T03:25:59Z,IGO706,"10.154382,76.390961",0,0,357
1741490811,2025-03-09T03:26:51Z,IGO706,"10.154172,76.390961",0,2,357
1741490836,2025-03-09T03:27:16Z,IGO706,"10.153885,76.390991",0,3,8
1741490853,2025-03-09T03:27:33Z,IGO706,"10.153683,76.390984",0,2,42
1741490878,2025-03-09T03:27:58Z,IGO706,"10.153496,76.390778",0,2,84
1741490899,2025-03-09T03:28:19Z,IGO706,"10.153485,76.390541",0,3,87
1741490915,2025-03-09T03:28:35Z,IGO706,"10.153473,76.390327",0,3,87
1741490934,2025-03-09T03:28:54Z,IGO706,"10.153461,76.390106",0,3,87
1741491257,2025-03-09T03:34:17Z,IGO706,"10.153439,76.390343",0,5,95
1741491268,2025-03-09T03:34:28Z,IGO706,"10.153255,76.390549",0,6,137
1741491276,2025-03-09T03:34:36Z,IGO706,"10.15302,76.390564",0,6,171
1741491284,2025-03-09T03:34:44Z,IGO706,"10.152787,76.390579",0,6,174
1741491293,2025-03-09T03:34:53Z,IGO706,"10.152543,76.390663",0,6,154
1741491308,2025-03-09T03:35:08Z,IGO706,"10.152508,76.390991",0,0,95
1741491376,2025-03-09T03:36:16Z,IGO706,"10.152489,76.391212",0,5,95
1741491387,2025-03-09T03:36:27Z,IGO706,"10.152351,76.391434",0,6,126
1741491393,2025-03-09T03:36:33Z,IGO706,"10.152134,76.39151",0,8,157
1741491402,2025-03-09T03:36:42Z,IGO706,"10.151774,76.391525",0,9,177
1741491409,2025-03-09T03:36:49Z,IGO706,"10.151447,76.391548",0,10,177
1741491424,2025-03-09T03:37:04Z,IGO706,"10.150841,76.391663",0,7,151
1741491433,2025-03-09T03:37:13Z,IGO706,"10.15082,76.391914",0,7,95
1741491439,2025-03-09T03:37:19Z,IGO706,"10.150832,76.392143",0,9,90
1741491447,2025-03-09T03:37:27Z,IGO706,"10.150844,76.392731",0,27,87
1741491449,2025-03-09T03:37:29Z,IGO706,"10.150855,76.393089",0,38,87
1741491454,2025-03-09T03:37:34Z,IGO706,"10.150909,76.394646",0,0,87
1741491458,2025-03-09T03:37:38Z,IGO706,"10.150967,76.395996",0,0,87
1741491460,2025-03-09T03:37:40Z,IGO706,"10.150983,76.396393",0,90,87
1741491462,2025-03-09T03:37:42Z,IGO706,"10.151001,76.397758",150,90,87
1741491483,2025-03-09T03:38:03Z,IGO706,"10.151461,76.411995",400,160,88
1741491490,2025-03-09T03:38:10Z,IGO706,"10.151596,76.417313",675,162,88
1741491499,2025-03-09T03:38:19Z,IGO706,"10.151786,76.424355",1075,163,88
1741491508,2025-03-09T03:38:28Z,IGO706,"10.151917,76.430908",1425,166,88
1741491514,2025-03-09T03:38:34Z,IGO706,"10.152008,76.436211",1600,174,88
1741491523,2025-03-09T03:38:43Z,IGO706,"10.152191,76.443474",1800,185,87
1741491527,2025-03-09T03:38:47Z,IGO706,"10.152557,76.447105",1875,190,82
1741491529,2025-03-09T03:38:49Z,IGO706,"10.152924,76.44883",1925,192,78
1741491531,2025-03-09T03:38:51Z,IGO706,"10.153416,76.450783",1975,195,74
1741491533,2025-03-09T03:38:53Z,IGO706,"10.15416,76.452866",2025,199,67
1741491536,2025-03-09T03:38:56Z,IGO706,"10.155091,76.454803",2075,202,63
1741491538,2025-03-09T03:38:58Z,IGO706,"10.156036,76.456512",2100,204,59
1741491540,2025-03-09T03:39:00Z,IGO706,"10.157233,76.45826",2150,207,54
1741491542,2025-03-09T03:39:02Z,IGO706,"10.158463,76.459724",2175,209,49
1741491544,2025-03-09T03:39:04Z,IGO706,"10.16011,76.461349",2225,212,43
1741491546,2025-03-09T03:39:06Z,IGO706,"10.161748,76.462616",2275,214,38
1741491548,2025-03-09T03:39:08Z,IGO706,"10.163452,76.46373",2325,216,33
1741491550,2025-03-09T03:39:10Z,IGO706,"10.165237,76.464752",2400,218,27
1741491553,2025-03-09T03:39:13Z,IGO706,"10.167149,76.465698",2475,221,25
1741491555,2025-03-09T03:39:15Z,IGO706,"10.168964,76.466545",2525,222,23
1741491557,2025-03-09T03:39:17Z,IGO706,"10.171059,76.467445",2600,224,22
1741491559,2025-03-09T03:39:19Z,IGO706,"10.173386,76.468384",2675,227,21
1741491561,2025-03-09T03:39:21Z,IGO706,"10.175217,76.469124",2725,228,21
1741491563,2025-03-09T03:39:23Z,IGO706,"10.177576,76.470055",2800,232,21
1741491565,2025-03-09T03:39:25Z,IGO706,"10.179657,76.470848",2850,233,20
1741491567,2025-03-09T03:39:27Z,IGO706,"10.181626,76.471565",2925,236,20
1741491569,2025-03-09T03:39:29Z,IGO706,"10.184052,76.472481",3000,237,20
1741491571,2025-03-09T03:39:31Z,IGO706,"10.185722,76.473129",3050,238,20
1741491573,2025-03-09T03:39:33Z,IGO706,"10.188283,76.474075",3150,239,20
1741491576,2025-03-09T03:39:36Z,IGO706,"10.190238,76.474785",3250,240,20
1741491578,2025-03-09T03:39:38Z,IGO706,"10.192519,76.475639",3325,241,20
1741491580,2025-03-09T03:39:40Z,IGO706,"10.194986,76.47654",3450,242,20
1741491582,2025-03-09T03:39:42Z,IGO706,"10.197098,76.477364",3525,242,20
1741491588,2025-03-09T03:39:48Z,IGO706,"10.203873,76.479927",3850,243,20
1741491595,2025-03-09T03:39:55Z,IGO706,"10.210768,76.482552",4200,243,21
1741491603,2025-03-09T03:40:03Z,IGO706,"10.219757,76.486115",4625,243,21
1741491612,2025-03-09T03:40:12Z,IGO706,"10.228729,76.4897",5075,243,21
1741491624,2025-03-09T03:40:24Z,IGO706,"10.242004,76.495148",5775,241,22
1741491637,2025-03-09T03:40:37Z,IGO706,"10.254868,76.500549",6450,240,22
1741491650,2025-03-09T03:40:50Z,IGO706,"10.26826,76.506187",7125,240,22
1741491663,2025-03-09T03:41:03Z,IGO706,"10.281853,76.511917",7875,237,22
1741491676,2025-03-09T03:41:16Z,IGO706,"10.294981,76.51741",8400,241,22
1741491689,2025-03-09T03:41:29Z,IGO706,"10.308334,76.523033",8775,251,22
1741491702,2025-03-09T03:41:42Z,IGO706,"10.322983,76.529182",9275,255,22
1741491715,2025-03-09T03:41:55Z,IGO706,"10.337483,76.53521",9800,259,22
1741491729,2025-03-09T03:42:09Z,IGO706,"10.352554,76.541466",10375,260,22
1741491742,2025-03-09T03:42:22Z,IGO706,"10.367249,76.547569",10775,270,22
1741491755,2025-03-09T03:42:35Z,IGO706,"10.383011,76.554108",10975,285,22
1741491768,2025-03-09T03:42:48Z,IGO706,"10.399246,76.560837",11225,300,22
1741491781,2025-03-09T03:43:01Z,IGO706,"10.417374,76.568375",11450,314,22
1741491794,2025-03-09T03:43:14Z,IGO706,"10.435708,76.576035",11650,328,22
1741491808,2025-03-09T03:43:28Z,IGO706,"10.455093,76.584061",11850,341,22
1741491820,2025-03-09T03:43:40Z,IGO706,"10.473695,76.591766",12200,348,22
1741491851,2025-03-09T03:44:11Z,IGO706,"10.519135,76.610558",13575,345,22
1741491884,2025-03-09T03:44:44Z,IGO706,"10.568481,76.630966",14650,355,22
1741491914,2025-03-09T03:45:14Z,IGO706,"10.615167,76.650307",15675,361,22
1741491945,2025-03-09T03:45:45Z,IGO706,"10.665071,76.671028",16625,371,22
1741491978,2025-03-09T03:46:18Z,IGO706,"10.716698,76.69252",17575,379,22
1741492008,2025-03-09T03:46:48Z,IGO706,"10.767471,76.7136",18675,379,22
1741492039,2025-03-09T03:47:19Z,IGO706,"10.817688,76.734436",19750,378,22
1741492070,2025-03-09T03:47:50Z,IGO706,"10.868179,76.755318",20700,380,22
1741492101,2025-03-09T03:48:21Z,IGO706,"10.918671,76.77639",21500,386,22
1741492134,2025-03-09T03:48:54Z,IGO706,"10.973236,76.799118",22450,386,22
1741492167,2025-03-09T03:49:27Z,IGO706,"11.028214,76.822044",23100,395,22
1741492197,2025-03-09T03:49:57Z,IGO706,"11.080261,76.843727",23750,401,22
1741492229,2025-03-09T03:50:29Z,IGO706,"11.136749,76.867363",24375,409,22
1741492261,2025-03-09T03:51:01Z,IGO706,"11.192461,76.89061",25050,414,22
1741492293,2025-03-09T03:51:33Z,IGO706,"11.249588,76.914429",25625,422,22
1741492324,2025-03-09T03:52:04Z,IGO706,"11.30722,76.938438",26200,428,22
