Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1731424493,2024-11-12T15:14:53Z,AIC2886,"10.154393,76.392059",0,0,357
1731424608,2024-11-12T15:16:48Z,AIC2886,"10.154183,76.392059",0,1,357
1731424638,2024-11-12T15:17:18Z,AIC2886,"10.153916,76.392059",0,2,340
1731424664,2024-11-12T15:17:44Z,AIC2886,"10.153713,76.39212",0,2,315
1731424694,2024-11-12T15:18:14Z,AIC2886,"10.15353,76.392349",0,2,275
1731424715,2024-11-12T15:18:35Z,AIC2886,"10.153507,76.39257",0,2,270
1731424737,2024-11-12T15:18:57Z,AIC2886,"10.153519,76.392784",0,1,264
1731424765,2024-11-12T15:19:25Z,AIC2886,"10.153519,76.39299",0,0,264
1731425048,2024-11-12T15:24:08Z,AIC2886,"10.153508,76.392731",0,4,267
1731425071,2024-11-12T15:24:31Z,AIC2886,"10.153118,76.392395",0,7,191
1731425078,2024-11-12T15:24:38Z,AIC2886,"10.152889,76.39241",0,7,177
1731425083,2024-11-12T15:24:43Z,AIC2886,"10.152683,76.392395",0,8,185
1731425098,2024-11-12T15:24:58Z,AIC2886,"10.152489,76.392014",0,7,258
1731425105,2024-11-12T15:25:05Z,AIC2886,"10.152477,76.391701",0,8,267
1731425112,2024-11-12T15:25:12Z,AIC2886,"10.152466,76.391457",0,9,267
1731425116,2024-11-12T15:25:16Z,AIC2886,"10.152461,76.391243",0,9,267
1731425130,2024-11-12T15:25:30Z,AIC2886,"10.152443,76.390579",0,10,267
1731425140,2024-11-12T15:25:40Z,AIC2886,"10.152427,76.390129",0,10,267
1731425149,2024-11-12T15:25:49Z,AIC2886,"10.152409,76.389717",0,11,267
1731425158,2024-11-12T15:25:58Z,AIC2886,"10.152391,76.389252",0,11,267
1731425169,2024-11-12T15:26:09Z,AIC2886,"10.152374,76.388741",0,9,267
1731425176,2024-11-12T15:26:16Z,AIC2886,"10.152363,76.388443",0,8,267
1731425183,2024-11-12T15:26:23Z,AIC2886,"10.152351,76.388176",0,9,267
1731425193,2024-11-12T15:26:33Z,AIC2886,"10.15234,76.38781",0,8,267
1731425201,2024-11-12T15:26:41Z,AIC2886,"10.152333,76.387512",0,7,267
1731425207,2024-11-12T15:26:47Z,AIC2886,"10.152328,76.387268",0,8,267
1731425214,2024-11-12T15:26:54Z,AIC2886,"10.152309,76.387016",0,8,267
1731425222,2024-11-12T15:27:02Z,AIC2886,"10.152298,76.386711",0,7,267
1731425229,2024-11-12T15:27:09Z,AIC2886,"10.152298,76.386459",0,7,267
1731425236,2024-11-12T15:27:16Z,AIC2886,"10.152287,76.386238",0,8,267
1731425242,2024-11-12T15:27:22Z,AIC2886,"10.152275,76.386024",0,8,267
1731425246,2024-11-12T15:27:26Z,AIC2886,"10.152271,76.385811",0,9,267
1731425257,2024-11-12T15:27:37Z,AIC2886,"10.15226,76.385452",0,6,267
1731425265,2024-11-12T15:27:45Z,AIC2886,"10.15224,76.385231",0,6,264
1731425276,2024-11-12T15:27:56Z,AIC2886,"10.152008,76.38504",0,6,208
1731425286,2024-11-12T15:28:06Z,AIC2886,"10.151763,76.385063",0,5,177
1731425301,2024-11-12T15:28:21Z,AIC2886,"10.15155,76.385063",0,2,177
1731425314,2024-11-12T15:28:34Z,AIC2886,"10.151332,76.385071",0,5,177
1731425322,2024-11-12T15:28:42Z,AIC2886,"10.151123,76.385086",0,6,177
1731425328,2024-11-12T15:28:48Z,AIC2886,"10.150909,76.385101",0,7,174
1731425335,2024-11-12T15:28:55Z,AIC2886,"10.150692,76.385124",0,7,174
1731425344,2024-11-12T15:29:04Z,AIC2886,"10.150486,76.385284",0,6,135
1731425352,2024-11-12T15:29:12Z,AIC2886,"10.150506,76.38549",0,6,92
1731425357,2024-11-12T15:29:17Z,AIC2886,"10.15052,76.385704",0,13,87
1731425360,2024-11-12T15:29:20Z,AIC2886,"10.150529,76.385971",0,19,87
1731425362,2024-11-12T15:29:22Z,AIC2886,"10.150543,76.386192",0,26,87
1731425365,2024-11-12T15:29:25Z,AIC2886,"10.150555,76.386589",0,36,87
1731425366,2024-11-12T15:29:26Z,AIC2886,"10.150566,76.386894",0,46,87
1731425367,2024-11-12T15:29:27Z,AIC2886,"10.150578,76.387253",0,51,87
1731425369,2024-11-12T15:29:29Z,AIC2886,"10.150587,76.387512",0,56,87
1731425370,2024-11-12T15:29:30Z,AIC2886,"10.150589,76.387825",0,61,87
1731425377,2024-11-12T15:29:37Z,AIC2886,"10.150692,76.390465",0,92,87
1731425383,2024-11-12T15:29:43Z,AIC2886,"10.150818,76.393616",150,121,87
1731425403,2024-11-12T15:30:03Z,AIC2886,"10.151274,76.405647",450,151,87
1731425410,2024-11-12T15:30:10Z,AIC2886,"10.1516,76.412567",700,154,87
1731425417,2024-11-12T15:30:17Z,AIC2886,"10.151786,76.417488",875,159,88
1731425424,2024-11-12T15:30:24Z,AIC2886,"10.151926,76.423454",1050,169,88
1731425431,2024-11-12T15:30:31Z,AIC2886,"10.152054,76.428764",1175,179,89
1731425440,2024-11-12T15:30:40Z,AIC2886,"10.152159,76.436241",1375,189,89
1731425449,2024-11-12T15:30:49Z,AIC2886,"10.152283,76.445335",1625,203,89
1731425458,2024-11-12T15:30:58Z,AIC2886,"10.152391,76.453293",1800,215,89
1731425466,2024-11-12T15:31:06Z,AIC2886,"10.152512,76.462654",2025,228,89
1731425473,2024-11-12T15:31:13Z,AIC2886,"10.152603,76.469452",2200,237,89
1731425482,2024-11-12T15:31:22Z,AIC2886,"10.15281,76.479568",2475,249,88
1731425490,2024-11-12T15:31:30Z,AIC2886,"10.152996,76.490227",2700,261,88
1731425499,2024-11-12T15:31:39Z,AIC2886,"10.153198,76.500549",3000,269,88
1731425508,2024-11-12T15:31:48Z,AIC2886,"10.153336,76.511353",3425,271,89
1731425514,2024-11-12T15:31:54Z,AIC2886,"10.153427,76.519958",3850,269,89
1731425523,2024-11-12T15:32:03Z,AIC2886,"10.153564,76.531227",4450,265,89
1731425529,2024-11-12T15:32:09Z,AIC2886,"10.154068,76.539001",4850,261,83
1731425531,2024-11-12T15:32:11Z,AIC2886,"10.154434,76.541283",4975,262,80
1731425533,2024-11-12T15:32:13Z,AIC2886,"10.154755,76.543236",5050,261,79
1731425536,2024-11-12T15:32:16Z,AIC2886,"10.155464,76.546295",5200,261,76
1731425538,2024-11-12T15:32:18Z,AIC2886,"10.156128,76.548729",5325,261,73
1731425540,2024-11-12T15:32:20Z,AIC2886,"10.157181,76.552132",5475,262,72
1731425543,2024-11-12T15:32:23Z,AIC2886,"10.158142,76.554924",5600,262,71
1731425545,2024-11-12T15:32:25Z,AIC2886,"10.158966,76.557251",5700,263,70
1731425548,2024-11-12T15:32:28Z,AIC2886,"10.160431,76.561302",5875,263,69
1731425550,2024-11-12T15:32:30Z,AIC2886,"10.161392,76.563721",5975,264,68
1731425552,2024-11-12T15:32:32Z,AIC2886,"10.162307,76.566139",6075,265,68
1731425555,2024-11-12T15:32:35Z,AIC2886,"10.16375,76.569832",6225,265,68
1731425558,2024-11-12T15:32:38Z,AIC2886,"10.164727,76.572388",6350,265,68
1731425560,2024-11-12T15:32:40Z,AIC2886,"10.165695,76.57489",6450,266,68
1731425563,2024-11-12T15:32:43Z,AIC2886,"10.167102,76.578445",6600,266,68
1731425577,2024-11-12T15:32:57Z,AIC2886,"10.173752,76.595375",7275,271,68
1731425592,2024-11-12T15:33:12Z,AIC2886,"10.180801,76.613342",7975,276,68
1731425606,2024-11-12T15:33:26Z,AIC2886,"10.187212,76.629547",8600,280,68
1731425620,2024-11-12T15:33:40Z,AIC2886,"10.194149,76.646736",9250,284,66
1731425626,2024-11-12T15:33:46Z,AIC2886,"10.198059,76.654167",9525,287,58
1731425629,2024-11-12T15:33:49Z,AIC2886,"10.20034,76.657532",9650,289,53
1731425631,2024-11-12T15:33:51Z,AIC2886,"10.201923,76.659569",9725,290,50
1731425633,2024-11-12T15:33:53Z,AIC2886,"10.203925,76.661842",9800,291,47
1731425635,2024-11-12T15:33:55Z,AIC2886,"10.205833,76.66378",9900,292,44
1731425638,2024-11-12T15:33:58Z,AIC2886,"10.208254,76.665962",10000,294,38
1731425640,2024-11-12T15:34:00Z,AIC2886,"10.210281,76.667534",10075,294,37
1731425643,2024-11-12T15:34:03Z,AIC2886,"10.21431,76.670135",10225,296,29
1731425645,2024-11-12T15:34:05Z,AIC2886,"10.217606,76.67186",10350,296,25
1731425649,2024-11-12T15:34:09Z,AIC2886,"10.221382,76.673439",10500,297,20
1731425651,2024-11-12T15:34:11Z,AIC2886,"10.224407,76.674484",10625,296,18
1731425653,2024-11-12T15:34:13Z,AIC2886,"10.227081,76.6754",10725,296,18
1731425655,2024-11-12T15:34:15Z,AIC2886,"10.229761,76.676285",10825,297,17
1731425657,2024-11-12T15:34:17Z,AIC2886,"10.232694,76.677231",10925,298,17
1731425659,2024-11-12T15:34:19Z,AIC2886,"10.235068,76.67794",11000,299,17
1731425662,2024-11-12T15:34:22Z,AIC2886,"10.238001,76.678886",11100,299,17
1731425664,2024-11-12T15:34:24Z,AIC2886,"10.241409,76.679916",11200,300,17
1731425666,2024-11-12T15:34:26Z,AIC2886,"10.244145,76.680779",11275,302,17
1731425668,2024-11-12T15:34:28Z,AIC2886,"10.246902,76.681641",11350,303,17
1731425670,2024-11-12T15:34:30Z,AIC2886,"10.250058,76.682632",11450,303,17
1731425673,2024-11-12T15:34:33Z,AIC2886,"10.253177,76.683624",11525,304,17
1731425686,2024-11-12T15:34:46Z,AIC2886,"10.271759,76.689552",12125,308,17
1731425718,2024-11-12T15:35:18Z,AIC2886,"10.316345,76.703751",13450,316,17
1731425750,2024-11-12T15:35:50Z,AIC2886,"10.361481,76.718086",14675,324,17
1731425783,2024-11-12T15:36:23Z,AIC2886,"10.407917,76.732872",15900,328,17
1731425815,2024-11-12T15:36:55Z,AIC2886,"10.455028,76.747932",17175,332,17
1731425845,2024-11-12T15:37:25Z,AIC2886,"10.500183,76.762344",18400,332,17
1731425877,2024-11-12T15:37:57Z,AIC2886,"10.548111,76.777672",19700,332,17
1731425909,2024-11-12T15:38:29Z,AIC2886,"10.594963,76.792603",20300,352,17
1731425941,2024-11-12T15:39:01Z,AIC2886,"10.647766,76.809448",20650,379,17
1731425973,2024-11-12T15:39:33Z,AIC2886,"10.702377,76.826874",21300,392,17
1731426003,2024-11-12T15:40:03Z,AIC2886,"10.755661,76.843964",22075,398,17
1731426034,2024-11-12T15:40:34Z,AIC2886,"10.809494,76.861107",22900,402,17
1731426066,2024-11-12T15:41:06Z,AIC2886,"10.868923,76.880104",23450,414,17
1731426097,2024-11-12T15:41:37Z,AIC2886,"10.926315,76.898376",24200,418,17
1731426129,2024-11-12T15:42:09Z,AIC2886,"10.984978,76.917114",25225,414,17
1731426161,2024-11-12T15:42:41Z,AIC2886,"11.042725,76.9356",25925,418,17
1731426192,2024-11-12T15:43:12Z,AIC2886,"11.102646,76.954826",26500,426,17
1731426224,2024-11-12T15:43:44Z,AIC2886,"11.161597,76.973633",27150,427,17
1731426256,2024-11-12T15:44:16Z,AIC2886,"11.22286,76.993202",27750,430,17
1731426288,2024-11-12T15:44:48Z,AIC2886,"11.284103,77.012741",28200,436,17
1731426318,2024-11-12T15:45:18Z,AIC2886,"11.34329,77.0317",28600,441,17
1731426350,2024-11-12T15:45:50Z,AIC2886,"11.405228,77.051666",29100,444,17
