Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1731855208,2024-11-17T14:53:28Z,AIC2886,"10.154335,76.390961",0,0,357
1731855291,2024-11-17T14:54:51Z,AIC2886,"10.154114,76.390968",0,2,357
1731855311,2024-11-17T14:55:11Z,AIC2886,"10.153908,76.390968",0,0,354
1731855338,2024-11-17T14:55:38Z,AIC2886,"10.153648,76.390984",0,2,317
1731855374,2024-11-17T14:56:14Z,AIC2886,"10.15345,76.39122",0,1,267
1731855765,2024-11-17T15:02:45Z,AIC2886,"10.153497,76.390923",0,5,270
1731855780,2024-11-17T15:03:00Z,AIC2886,"10.153275,76.390579",0,7,216
1731855793,2024-11-17T15:03:13Z,AIC2886,"10.15295,76.390564",0,7,182
1731855796,2024-11-17T15:03:16Z,AIC2886,"10.15274,76.390617",0,6,165
1731855812,2024-11-17T15:03:32Z,AIC2886,"10.152534,76.390839",0,6,129
1731855824,2024-11-17T15:03:44Z,AIC2886,"10.152519,76.391312",0,0,87
1731855833,2024-11-17T15:03:53Z,AIC2886,"10.152534,76.391632",0,8,87
1731855841,2024-11-17T15:04:01Z,AIC2886,"10.152543,76.391991",0,9,87
1731856027,2024-11-17T15:07:07Z,AIC2886,"10.15313,76.40799",0,17,87
1731856037,2024-11-17T15:07:17Z,AIC2886,"10.153164,76.40876",0,18,87
1731856044,2024-11-17T15:07:24Z,AIC2886,"10.153187,76.409424",0,19,87
1731856051,2024-11-17T15:07:31Z,AIC2886,"10.153206,76.410126",0,20,87
1731856059,2024-11-17T15:07:39Z,AIC2886,"10.153244,76.411003",0,21,87
1731856067,2024-11-17T15:07:47Z,AIC2886,"10.153264,76.411697",0,21,87
1731856074,2024-11-17T15:07:54Z,AIC2886,"10.15329,76.412437",0,20,87
1731856082,2024-11-17T15:08:02Z,AIC2886,"10.153313,76.413185",0,19,87
1731856088,2024-11-17T15:08:08Z,AIC2886,"10.153334,76.41375",0,17,87
1731856095,2024-11-17T15:08:15Z,AIC2886,"10.153358,76.414253",0,15,87
1731856102,2024-11-17T15:08:22Z,AIC2886,"10.15337,76.414742",0,13,87
1731856109,2024-11-17T15:08:29Z,AIC2886,"10.153392,76.415108",0,10,87
1731856116,2024-11-17T15:08:36Z,AIC2886,"10.153393,76.415382",0,7,87
1731856124,2024-11-17T15:08:44Z,AIC2886,"10.153393,76.415588",0,5,92
1731856133,2024-11-17T15:08:53Z,AIC2886,"10.153278,76.415802",0,6,120
1731856143,2024-11-17T15:09:03Z,AIC2886,"10.153049,76.415886",0,6,160
1731856151,2024-11-17T15:09:11Z,AIC2886,"10.152822,76.415878",0,7,177
