Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732111330,2024-11-20T14:02:10Z,AIC2886,"10.15309,76.392441",0,9,357
1732111358,2024-11-20T14:02:38Z,AIC2886,"10.153828,76.392105",0,6,348
1732111372,2024-11-20T14:02:52Z,AIC2886,"10.154182,76.392105",0,5,357
1732114116,2024-11-20T14:48:36Z,AIC2886,"10.153816,76.392097",0,0,329
1732114196,2024-11-20T14:49:56Z,AIC2886,"10.153508,76.392792",0,0,267
1732114478,2024-11-20T14:54:38Z,AIC2886,"10.15345,76.392548",0,0,244
1732114492,2024-11-20T14:54:52Z,AIC2886,"10.152981,76.392418",0,9,180
1732114499,2024-11-20T14:54:59Z,AIC2886,"10.152752,76.39241",0,9,185
1732114512,2024-11-20T14:55:12Z,AIC2886,"10.152496,76.392021",0,8,261
1732114520,2024-11-20T14:55:20Z,AIC2886,"10.152489,76.391747",0,0,267
1732114526,2024-11-20T14:55:26Z,AIC2886,"10.152477,76.391479",0,9,267
1732114554,2024-11-20T14:55:54Z,AIC2886,"10.15242,76.390129",0,0,270
1732114563,2024-11-20T14:56:03Z,AIC2886,"10.152414,76.38974",0,9,270
1732114570,2024-11-20T14:56:10Z,AIC2886,"10.152397,76.389465",0,9,267
1732114587,2024-11-20T14:56:27Z,AIC2886,"10.152386,76.388847",0,9,267
1732114599,2024-11-20T14:56:39Z,AIC2886,"10.152363,76.38839",0,9,267
1732114613,2024-11-20T14:56:53Z,AIC2886,"10.152351,76.388092",0,8,267
1732114620,2024-11-20T14:57:00Z,AIC2886,"10.15234,76.387695",0,7,267
1732114630,2024-11-20T14:57:10Z,AIC2886,"10.152328,76.387489",0,5,267
1732114641,2024-11-20T14:57:21Z,AIC2886,"10.152322,76.387238",0,6,267
1732114649,2024-11-20T14:57:29Z,AIC2886,"10.152309,76.387001",0,6,267
1732114660,2024-11-20T14:57:40Z,AIC2886,"10.152306,76.386787",0,5,267
1732114669,2024-11-20T14:57:49Z,AIC2886,"10.152294,76.386581",0,5,267
1732114678,2024-11-20T14:57:58Z,AIC2886,"10.152287,76.386375",0,5,267
1732114688,2024-11-20T14:58:08Z,AIC2886,"10.152283,76.386162",0,5,267
1732114696,2024-11-20T14:58:16Z,AIC2886,"10.152271,76.385948",0,6,267
1732114705,2024-11-20T14:58:25Z,AIC2886,"10.152271,76.385704",0,7,267
1732114712,2024-11-20T14:58:32Z,AIC2886,"10.152251,76.38549",0,7,264
1732114718,2024-11-20T14:58:38Z,AIC2886,"10.15218,76.385262",0,8,244
1732114727,2024-11-20T14:58:47Z,AIC2886,"10.15196,76.385086",0,9,210
1732114732,2024-11-20T14:58:52Z,AIC2886,"10.151716,76.385071",0,10,180
1732114736,2024-11-20T14:58:56Z,AIC2886,"10.151493,76.385078",0,11,177
1732114741,2024-11-20T14:59:01Z,AIC2886,"10.151241,76.385101",0,11,177
1732114745,2024-11-20T14:59:05Z,AIC2886,"10.15103,76.385109",0,12,177
1732114750,2024-11-20T14:59:10Z,AIC2886,"10.150829,76.385132",0,12,174
1732114754,2024-11-20T14:59:14Z,AIC2886,"10.1506,76.385231",0,11,149
1732114760,2024-11-20T14:59:20Z,AIC2886,"10.150497,76.385475",0,10,101
1732114765,2024-11-20T14:59:25Z,AIC2886,"10.150517,76.385712",0,10,84
1732114770,2024-11-20T14:59:30Z,AIC2886,"10.150532,76.386009",0,14,84
1732114774,2024-11-20T14:59:34Z,AIC2886,"10.150541,76.386238",0,21,84
1732114775,2024-11-20T14:59:35Z,AIC2886,"10.150564,76.386551",0,30,84
1732114778,2024-11-20T14:59:38Z,AIC2886,"10.150578,76.386971",0,40,87
1732114779,2024-11-20T14:59:39Z,AIC2886,"10.150587,76.387291",0,45,87
1732114781,2024-11-20T14:59:41Z,AIC2886,"10.150612,76.387962",0,60,87
1732114782,2024-11-20T14:59:42Z,AIC2886,"10.150634,76.388321",0,64,87
1732114783,2024-11-20T14:59:43Z,AIC2886,"10.150645,76.388672",0,69,87
1732114784,2024-11-20T14:59:44Z,AIC2886,"10.150658,76.389267",0,74,87
1732114796,2024-11-20T14:59:56Z,AIC2886,"10.150864,76.39463",0,120,87
1732114816,2024-11-20T15:00:16Z,AIC2886,"10.151461,76.40863",525,155,86
1732114824,2024-11-20T15:00:24Z,AIC2886,"10.151825,76.415031",825,157,87
1732114832,2024-11-20T15:00:32Z,AIC2886,"10.152054,76.421364",1125,156,87
1732114842,2024-11-20T15:00:42Z,AIC2886,"10.152283,76.428764",1425,160,88
1732114850,2024-11-20T15:00:50Z,AIC2886,"10.15242,76.434448",1675,162,88
1732114858,2024-11-20T15:00:58Z,AIC2886,"10.152531,76.440315",1900,165,88
1732114866,2024-11-20T15:01:06Z,AIC2886,"10.152786,76.447899",2100,176,87
1732114875,2024-11-20T15:01:15Z,AIC2886,"10.15323,76.454903",2300,185,85
1732114883,2024-11-20T15:01:23Z,AIC2886,"10.153881,76.46257",2500,195,84
1732114890,2024-11-20T15:01:30Z,AIC2886,"10.154532,76.469292",2675,205,84
1732114898,2024-11-20T15:01:38Z,AIC2886,"10.155185,76.476257",2850,214,84
1732114906,2024-11-20T15:01:46Z,AIC2886,"10.155883,76.48407",3025,223,84
1732114912,2024-11-20T15:01:52Z,AIC2886,"10.156487,76.491409",3225,231,85
1732114921,2024-11-20T15:02:01Z,AIC2886,"10.157181,76.501434",3550,239,86
1732114930,2024-11-20T15:02:10Z,AIC2886,"10.157822,76.511299",3850,248,86
1732114939,2024-11-20T15:02:19Z,AIC2886,"10.158417,76.522339",4250,250,87
1732114947,2024-11-20T15:02:27Z,AIC2886,"10.158829,76.530998",4650,252,87
1732114953,2024-11-20T15:02:33Z,AIC2886,"10.159973,76.539238",5000,254,80
1732114958,2024-11-20T15:02:38Z,AIC2886,"10.161469,76.54435",5225,254,74
1732114961,2024-11-20T15:02:41Z,AIC2886,"10.162772,76.547478",5375,253,67
1732114963,2024-11-20T15:02:43Z,AIC2886,"10.164001,76.54985",5525,252,63
1732114965,2024-11-20T15:02:45Z,AIC2886,"10.164774,76.55098",5650,251,59
1732114968,2024-11-20T15:02:48Z,AIC2886,"10.166729,76.553871",5800,249,55
1732114971,2024-11-20T15:02:51Z,AIC2886,"10.16901,76.556473",5950,247,50
1732114973,2024-11-20T15:02:53Z,AIC2886,"10.171291,76.558609",6075,248,45
1732114975,2024-11-20T15:02:55Z,AIC2886,"10.173479,76.560501",6175,247,41
1732114978,2024-11-20T15:02:58Z,AIC2886,"10.1754,76.561813",6250,248,37
1732114980,2024-11-20T15:03:00Z,AIC2886,"10.177529,76.563202",6325,249,32
1732114983,2024-11-20T15:03:03Z,AIC2886,"10.181533,76.56514",6425,252,27
1732114987,2024-11-20T15:03:07Z,AIC2886,"10.18535,76.566849",6525,256,22
1732114990,2024-11-20T15:03:10Z,AIC2886,"10.187347,76.567581",6625,258,21
1732114992,2024-11-20T15:03:12Z,AIC2886,"10.190735,76.568886",6700,260,20
1732114994,2024-11-20T15:03:14Z,AIC2886,"10.193172,76.569778",6775,262,20
1732114996,2024-11-20T15:03:16Z,AIC2886,"10.19577,76.570747",6850,263,19
1732114998,2024-11-20T15:03:18Z,AIC2886,"10.197464,76.571312",6900,264,19
1732115001,2024-11-20T15:03:21Z,AIC2886,"10.201224,76.57267",7000,265,19
1732115003,2024-11-20T15:03:23Z,AIC2886,"10.203691,76.573524",7100,266,19
1732115005,2024-11-20T15:03:25Z,AIC2886,"10.206757,76.574615",7200,267,19
1732115008,2024-11-20T15:03:28Z,AIC2886,"10.209837,76.575699",7300,268,19
1732115010,2024-11-20T15:03:30Z,AIC2886,"10.213235,76.576935",7425,269,19
1732115024,2024-11-20T15:03:44Z,AIC2886,"10.229342,76.582756",8025,271,19
1732115039,2024-11-20T15:03:59Z,AIC2886,"10.245392,76.588676",8750,268,19
1732115051,2024-11-20T15:04:11Z,AIC2886,"10.261047,76.594444",9275,271,19
1732115063,2024-11-20T15:04:23Z,AIC2886,"10.274231,76.599289",9600,277,20
1732115077,2024-11-20T15:04:37Z,AIC2886,"10.29213,76.605942",10075,285,20
1732115091,2024-11-20T15:04:51Z,AIC2886,"10.309551,76.61235",10475,295,20
1732115105,2024-11-20T15:05:05Z,AIC2886,"10.32962,76.61972",10700,313,20
1732115118,2024-11-20T15:05:18Z,AIC2886,"10.347492,76.626274",10875,327,19
1732115131,2024-11-20T15:05:31Z,AIC2886,"10.366485,76.63324",11050,341,20
1732115144,2024-11-20T15:05:44Z,AIC2886,"10.385284,76.64016",11375,348,19
1732115159,2024-11-20T15:05:59Z,AIC2886,"10.408289,76.648628",11950,352,20
1732115172,2024-11-20T15:06:12Z,AIC2886,"10.428818,76.656174",12575,350,20
1732115205,2024-11-20T15:06:45Z,AIC2886,"10.477295,76.673912",13775,356,20
1732115235,2024-11-20T15:07:15Z,AIC2886,"10.525681,76.691719",15150,352,19
1732115268,2024-11-20T15:07:48Z,AIC2886,"10.57746,76.710732",16225,358,20
1732115299,2024-11-20T15:08:19Z,AIC2886,"10.626432,76.72876",17075,366,19
1732115333,2024-11-20T15:08:53Z,AIC2886,"10.679176,76.748131",18200,368,19
1732115365,2024-11-20T15:09:25Z,AIC2886,"10.73259,76.767776",18925,378,19
1732115397,2024-11-20T15:09:57Z,AIC2886,"10.786011,76.787285",19650,388,20
1732115430,2024-11-20T15:10:30Z,AIC2886,"10.844193,76.808548",20350,400,19
