Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732200232,2024-11-21T14:43:52Z,AIC2886,"10.154253,76.392082",0,0,357
1732200280,2024-11-21T14:44:40Z,AIC2886,"10.153986,76.392105",0,0,42
1732200294,2024-11-21T14:44:54Z,AIC2886,"10.153553,76.392036",0,2,67
1732200614,2024-11-21T14:50:14Z,AIC2886,"10.152546,76.3927",0,0,123
1732200626,2024-11-21T14:50:26Z,AIC2886,"10.152543,76.393028",0,9,90
1732200633,2024-11-21T14:50:33Z,AIC2886,"10.152546,76.39357",0,11,87
1732200642,2024-11-21T14:50:42Z,AIC2886,"10.152566,76.393944",0,12,87
1732200655,2024-11-21T14:50:55Z,AIC2886,"10.152601,76.394897",0,0,90
1732200664,2024-11-21T14:51:04Z,AIC2886,"10.152624,76.395538",0,15,87
1732200674,2024-11-21T14:51:14Z,AIC2886,"10.152649,76.396286",0,16,87
1732200685,2024-11-21T14:51:25Z,AIC2886,"10.152683,76.397171",0,0,87
1732200834,2024-11-21T14:53:54Z,AIC2886,"10.153113,76.409027",0,22,87
1732200843,2024-11-21T14:54:03Z,AIC2886,"10.153148,76.410034",0,23,87
1732200850,2024-11-21T14:54:10Z,AIC2886,"10.153172,76.41066",0,23,87
1732200856,2024-11-21T14:54:16Z,AIC2886,"10.153206,76.411568",0,24,87
1732200864,2024-11-21T14:54:24Z,AIC2886,"10.153253,76.412483",0,25,87
1732200872,2024-11-21T14:54:32Z,AIC2886,"10.153275,76.413406",0,22,87
1732200879,2024-11-21T14:54:39Z,AIC2886,"10.153299,76.414032",0,16,87
1732200886,2024-11-21T14:54:46Z,AIC2886,"10.153313,76.414391",0,12,87
1732200894,2024-11-21T14:54:54Z,AIC2886,"10.153324,76.414703",0,7,87
1732200902,2024-11-21T14:55:02Z,AIC2886,"10.153336,76.414955",0,7,87
1732200909,2024-11-21T14:55:09Z,AIC2886,"10.153346,76.415215",0,8,87
1732200916,2024-11-21T14:55:16Z,AIC2886,"10.153346,76.415497",0,8,90
