Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732719424,2024-11-27T14:57:04Z,AIC2886,"10.153986,76.388802",0,2,354
1732719440,2024-11-27T14:57:20Z,AIC2886,"10.153782,76.388847",0,3,8
1732719458,2024-11-27T14:57:38Z,AIC2886,"10.153566,76.38884",0,3,47
1732719483,2024-11-27T14:58:03Z,AIC2886,"10.153404,76.388626",0,1,84
1732719882,2024-11-27T15:04:42Z,AIC2886,"10.153416,76.388847",0,5,87
1732719889,2024-11-27T15:04:49Z,AIC2886,"10.153427,76.389053",0,6,87
1732719899,2024-11-27T15:04:59Z,AIC2886,"10.153439,76.389328",0,8,90
1732719907,2024-11-27T15:05:07Z,AIC2886,"10.153439,76.389565",0,5,87
1732719915,2024-11-27T15:05:15Z,AIC2886,"10.15345,76.389801",0,5,87
1732719927,2024-11-27T15:05:27Z,AIC2886,"10.153462,76.390022",0,3,87
1732719942,2024-11-27T15:05:42Z,AIC2886,"10.153473,76.390244",0,4,87
1732719953,2024-11-27T15:05:53Z,AIC2886,"10.153427,76.390465",0,4,106
1732719970,2024-11-27T15:06:10Z,AIC2886,"10.153217,76.390594",0,3,151
1732720004,2024-11-27T15:06:44Z,AIC2886,"10.152992,76.390594",0,1,174
1732720021,2024-11-27T15:07:01Z,AIC2886,"10.152775,76.390602",0,4,174
1732720031,2024-11-27T15:07:11Z,AIC2886,"10.152557,76.390526",0,5,208
1732720045,2024-11-27T15:07:25Z,AIC2886,"10.152485,76.390305",0,6,247
1732720048,2024-11-27T15:07:28Z,AIC2886,"10.152472,76.390045",0,7,267
1732720054,2024-11-27T15:07:34Z,AIC2886,"10.152461,76.389809",0,8,270
1732720062,2024-11-27T15:07:42Z,AIC2886,"10.152461,76.389565",0,9,270
1732720066,2024-11-27T15:07:46Z,AIC2886,"10.15245,76.389351",0,9,270
1732720075,2024-11-27T15:07:55Z,AIC2886,"10.152438,76.388969",0,10,267
1732720081,2024-11-27T15:08:01Z,AIC2886,"10.15242,76.388603",0,11,267
1732720088,2024-11-27T15:08:08Z,AIC2886,"10.152409,76.388222",0,12,267
1732720095,2024-11-27T15:08:15Z,AIC2886,"10.152391,76.387772",0,13,267
1732720101,2024-11-27T15:08:21Z,AIC2886,"10.152386,76.387413",0,14,267
