Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733064128,2024-12-01T14:42:08Z,AIC2886,"10.154358,76.391594",0,0,357
1733064257,2024-12-01T14:44:17Z,AIC2886,"10.154149,76.391609",0,2,357
1733064280,2024-12-01T14:44:40Z,AIC2886,"10.153904,76.391624",0,2,5
1733064301,2024-12-01T14:45:01Z,AIC2886,"10.153695,76.391632",0,2,39
1733064334,2024-12-01T14:45:34Z,AIC2886,"10.153485,76.391457",0,1,81
1733064638,2024-12-01T14:50:38Z,AIC2886,"10.153473,76.391724",0,5,87
1733064645,2024-12-01T14:50:45Z,AIC2886,"10.153485,76.391953",0,7,87
1733064652,2024-12-01T14:50:52Z,AIC2886,"10.153497,76.392181",0,8,87
1733064660,2024-12-01T14:51:00Z,AIC2886,"10.153507,76.392548",0,9,87
1733064667,2024-12-01T14:51:07Z,AIC2886,"10.153508,76.392815",0,10,87
1733064675,2024-12-01T14:51:15Z,AIC2886,"10.15353,76.393234",0,11,87
1733064682,2024-12-01T14:51:22Z,AIC2886,"10.153543,76.393646",0,11,87
1733064690,2024-12-01T14:51:30Z,AIC2886,"10.153553,76.394073",0,12,87
1733064697,2024-12-01T14:51:37Z,AIC2886,"10.153576,76.394585",0,13,87
1733064705,2024-12-01T14:51:45Z,AIC2886,"10.153587,76.394936",0,12,87
1733064711,2024-12-01T14:51:51Z,AIC2886,"10.153602,76.395348",0,13,87
1733064718,2024-12-01T14:51:58Z,AIC2886,"10.153622,76.395874",0,14,87
1733064726,2024-12-01T14:52:06Z,AIC2886,"10.153637,76.396378",0,14,87
1733064734,2024-12-01T14:52:14Z,AIC2886,"10.153648,76.39669",0,14,87
1733064741,2024-12-01T14:52:21Z,AIC2886,"10.153671,76.397278",0,13,87
1733064752,2024-12-01T14:52:32Z,AIC2886,"10.153707,76.398109",0,15,87
1733064763,2024-12-01T14:52:43Z,AIC2886,"10.153736,76.398857",0,0,87
1733064804,2024-12-01T14:53:24Z,AIC2886,"10.152798,76.40004",0,8,92
1733064817,2024-12-01T14:53:37Z,AIC2886,"10.15281,76.400574",0,10,87
1733064826,2024-12-01T14:53:46Z,AIC2886,"10.152832,76.401054",0,11,87
1733064908,2024-12-01T14:55:08Z,AIC2886,"10.153072,76.407539",0,0,87
1733064915,2024-12-01T14:55:15Z,AIC2886,"10.153107,76.408386",0,22,87
1733064923,2024-12-01T14:55:23Z,AIC2886,"10.15313,76.409187",0,23,87
1733064930,2024-12-01T14:55:30Z,AIC2886,"10.153159,76.410065",0,24,87
1733064937,2024-12-01T14:55:37Z,AIC2886,"10.153206,76.410851",0,24,87
1733064945,2024-12-01T14:55:45Z,AIC2886,"10.15323,76.411736",0,23,87
1733064952,2024-12-01T14:55:52Z,AIC2886,"10.153255,76.41246",0,21,87
1733064960,2024-12-01T14:56:00Z,AIC2886,"10.153275,76.413177",0,20,87
1733064965,2024-12-01T14:56:05Z,AIC2886,"10.153299,76.413712",0,20,87
1733064974,2024-12-01T14:56:14Z,AIC2886,"10.153334,76.414505",0,19,87
1733064982,2024-12-01T14:56:22Z,AIC2886,"10.153346,76.415131",0,16,87
1733064988,2024-12-01T14:56:28Z,AIC2886,"10.153358,76.415497",0,11,90
1733064993,2024-12-01T14:56:33Z,AIC2886,"10.15329,76.41571",0,9,106
1733064999,2024-12-01T14:56:39Z,AIC2886,"10.153054,76.415901",0,10,149
1733065004,2024-12-01T14:56:44Z,AIC2886,"10.152822,76.415916",0,11,174
1733065008,2024-12-01T14:56:48Z,AIC2886,"10.152615,76.415916",0,12,177
1733065011,2024-12-01T14:56:51Z,AIC2886,"10.152397,76.415932",0,13,177
1733065014,2024-12-01T14:56:54Z,AIC2886,"10.152182,76.415939",0,13,180
1733065018,2024-12-01T14:56:58Z,AIC2886,"10.151973,76.415939",0,12,180
1733065024,2024-12-01T14:57:04Z,AIC2886,"10.15174,76.415939",0,7,182
1733065039,2024-12-01T14:57:19Z,AIC2886,"10.151608,76.41571",0,4,247
1733065073,2024-12-01T14:57:53Z,AIC2886,"10.151623,76.415497",0,4,267
1733065080,2024-12-01T14:58:00Z,AIC2886,"10.1516,76.414673",0,31,267
1733065086,2024-12-01T14:58:06Z,AIC2886,"10.151539,76.41304",0,60,267
1733065094,2024-12-01T14:58:14Z,AIC2886,"10.151413,76.40963",0,88,268
1733065120,2024-12-01T14:58:40Z,AIC2886,"10.150808,76.392868",625,154,268
1733065127,2024-12-01T14:58:47Z,AIC2886,"10.150635,76.386917",950,150,268
1733065134,2024-12-01T14:58:54Z,AIC2886,"10.15039,76.382538",1250,144,266
1733065143,2024-12-01T14:59:03Z,AIC2886,"10.149878,76.376289",1450,154,264
1733065152,2024-12-01T14:59:12Z,AIC2886,"10.149226,76.369423",1700,164,264
1733065156,2024-12-01T14:59:16Z,AIC2886,"10.148849,76.365829",1825,167,263
1733065159,2024-12-01T14:59:19Z,AIC2886,"10.148621,76.364075",1900,169,263
1733065167,2024-12-01T14:59:27Z,AIC2886,"10.147876,76.357162",2125,180,263
1733065174,2024-12-01T14:59:34Z,AIC2886,"10.147178,76.351479",2275,187,262
1733065183,2024-12-01T14:59:43Z,AIC2886,"10.14679,76.343201",2475,200,270
1733065185,2024-12-01T14:59:45Z,AIC2886,"10.147084,76.341057",2525,202,274
