Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733925082,2024-12-11T13:51:22Z,AIC2886,"10.152924,76.390579",0,12,348
1733925090,2024-12-11T13:51:30Z,AIC2886,"10.15329,76.390526",0,9,345
1733925116,2024-12-11T13:51:56Z,AIC2886,"10.153474,76.389328",0,6,286
1733925125,2024-12-11T13:52:05Z,AIC2886,"10.153741,76.389275",0,7,351
1733925138,2024-12-11T13:52:18Z,AIC2886,"10.154011,76.389275",0,3,357
1733925158,2024-12-11T13:52:38Z,AIC2886,"10.154217,76.389267",0,1,357
1733927338,2024-12-11T14:28:58Z,AIC2886,"10.154011,76.38929",0,2,357
1733927356,2024-12-11T14:29:16Z,AIC2886,"10.153782,76.389313",0,2,16
1733927378,2024-12-11T14:29:38Z,AIC2886,"10.153576,76.389244",0,2,53
1733927407,2024-12-11T14:30:07Z,AIC2886,"10.153427,76.38903",0,1,87
1733927644,2024-12-11T14:34:04Z,AIC2886,"10.153427,76.389252",0,4,87
1733927654,2024-12-11T14:34:14Z,AIC2886,"10.153439,76.389488",0,6,87
1733927662,2024-12-11T14:34:22Z,AIC2886,"10.15345,76.389778",0,8,87
1733927669,2024-12-11T14:34:29Z,AIC2886,"10.153462,76.39006",0,9,87
1733927677,2024-12-11T14:34:37Z,AIC2886,"10.153462,76.390297",0,6,87
1733927687,2024-12-11T14:34:47Z,AIC2886,"10.153278,76.390549",0,8,137
1733927693,2024-12-11T14:34:53Z,AIC2886,"10.153038,76.390579",0,8,171
1733927703,2024-12-11T14:35:03Z,AIC2886,"10.152718,76.390541",0,7,191
1733927711,2024-12-11T14:35:11Z,AIC2886,"10.152531,76.39032",0,7,233
1733927722,2024-12-11T14:35:22Z,AIC2886,"10.152485,76.390083",0,7,258
1733927725,2024-12-11T14:35:25Z,AIC2886,"10.152466,76.38987",0,8,267
1733927731,2024-12-11T14:35:31Z,AIC2886,"10.152466,76.389595",0,9,267
1733927738,2024-12-11T14:35:38Z,AIC2886,"10.152454,76.389313",0,10,267
1733927745,2024-12-11T14:35:45Z,AIC2886,"10.152438,76.388947",0,11,267
1733927752,2024-12-11T14:35:52Z,AIC2886,"10.152431,76.388588",0,12,267
1733927760,2024-12-11T14:36:00Z,AIC2886,"10.152409,76.388138",0,13,267
1733927768,2024-12-11T14:36:08Z,AIC2886,"10.15238,76.387619",0,14,267
1733927775,2024-12-11T14:36:15Z,AIC2886,"10.152374,76.387123",0,15,270
1733927782,2024-12-11T14:36:22Z,AIC2886,"10.152356,76.386635",0,15,267
1733927789,2024-12-11T14:36:29Z,AIC2886,"10.152345,76.386223",0,12,267
1733927796,2024-12-11T14:36:36Z,AIC2886,"10.152328,76.385902",0,9,267
1733927803,2024-12-11T14:36:43Z,AIC2886,"10.152322,76.385605",0,8,267
1733927810,2024-12-11T14:36:50Z,AIC2886,"10.152317,76.385368",0,6,267
1733927819,2024-12-11T14:36:59Z,AIC2886,"10.152193,76.385155",0,6,239
1733927826,2024-12-11T14:37:06Z,AIC2886,"10.151962,76.385078",0,8,199
1733927832,2024-12-11T14:37:12Z,AIC2886,"10.151728,76.385086",0,8,180
1733927906,2024-12-11T14:38:26Z,AIC2886,"10.151447,76.385078",0,6,180
1733927914,2024-12-11T14:38:34Z,AIC2886,"10.151181,76.385086",0,10,180
1733927921,2024-12-11T14:38:41Z,AIC2886,"10.150867,76.385109",0,8,174
1733927929,2024-12-11T14:38:49Z,AIC2886,"10.150634,76.385193",0,6,157
1733927939,2024-12-11T14:38:59Z,AIC2886,"10.150564,76.385429",0,6,106
1733927950,2024-12-11T14:39:10Z,AIC2886,"10.150578,76.385674",0,4,90
1733927956,2024-12-11T14:39:16Z,AIC2886,"10.150589,76.385918",0,13,87
1733927960,2024-12-11T14:39:20Z,AIC2886,"10.1506,76.386299",0,29,87
1733927961,2024-12-11T14:39:21Z,AIC2886,"10.150599,76.386528",0,33,87
1733927973,2024-12-11T14:39:33Z,AIC2886,"10.150716,76.389381",0,0,87
1733927986,2024-12-11T14:39:46Z,AIC2886,"10.150994,76.397034",175,122,87
1733928001,2024-12-11T14:40:01Z,AIC2886,"10.151276,76.408142",550,151,88
1733928008,2024-12-11T14:40:08Z,AIC2886,"10.151413,76.412102",800,146,87
1733928016,2024-12-11T14:40:16Z,AIC2886,"10.151733,76.418243",1200,142,87
1733928023,2024-12-11T14:40:23Z,AIC2886,"10.151962,76.423225",1375,150,86
1733928030,2024-12-11T14:40:30Z,AIC2886,"10.152298,76.427673",1500,159,85
1733928038,2024-12-11T14:40:38Z,AIC2886,"10.152857,76.434158",1700,168,84
1733928045,2024-12-11T14:40:45Z,AIC2886,"10.153416,76.439697",1875,176,84
1733928053,2024-12-11T14:40:53Z,AIC2886,"10.154205,76.447151",2075,190,83
1733928060,2024-12-11T14:41:00Z,AIC2886,"10.154905,76.452866",2225,200,83
1733928069,2024-12-11T14:41:09Z,AIC2886,"10.155991,76.461769",2400,214,82
1733928077,2024-12-11T14:41:17Z,AIC2886,"10.157093,76.470428",2625,226,82
1733928084,2024-12-11T14:41:24Z,AIC2886,"10.158051,76.477737",2925,230,82
1733928092,2024-12-11T14:41:32Z,AIC2886,"10.159095,76.485397",3250,234,82
1733928098,2024-12-11T14:41:38Z,AIC2886,"10.160166,76.492973",3575,237,81
1733928105,2024-12-11T14:41:45Z,AIC2886,"10.161163,76.499901",3900,238,81
1733928113,2024-12-11T14:41:53Z,AIC2886,"10.162586,76.509689",4400,238,81
1733928123,2024-12-11T14:42:03Z,AIC2886,"10.164635,76.520058",4975,235,74
1733928125,2024-12-11T14:42:05Z,AIC2886,"10.165558,76.522705",5125,234,70
1733928127,2024-12-11T14:42:07Z,AIC2886,"10.166451,76.52475",5250,234,66
1733928130,2024-12-11T14:42:10Z,AIC2886,"10.167381,76.526733",5350,234,62
