Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734101102,2024-12-13T14:45:02Z,AIC2886,"10.1543,76.389748",0,0,357
1734101222,2024-12-13T14:47:02Z,AIC2886,"10.154079,76.389694",0,2,348
1734101240,2024-12-13T14:47:20Z,AIC2886,"10.153873,76.38974",0,2,326
1734101263,2024-12-13T14:47:43Z,AIC2886,"10.153648,76.389893",0,2,306
1734101285,2024-12-13T14:48:05Z,AIC2886,"10.153507,76.390106",0,3,284
1734101302,2024-12-13T14:48:22Z,AIC2886,"10.15345,76.390327",0,3,272
1734101318,2024-12-13T14:48:38Z,AIC2886,"10.153439,76.390533",0,3,267
1734101336,2024-12-13T14:48:56Z,AIC2886,"10.15345,76.390793",0,3,270
1734101364,2024-12-13T14:49:24Z,AIC2886,"10.153461,76.391106",0,0,267
1734101580,2024-12-13T14:53:00Z,AIC2886,"10.153416,76.390709",0,6,258
1734101586,2024-12-13T14:53:06Z,AIC2886,"10.15321,76.390556",0,7,208
1734101592,2024-12-13T14:53:12Z,AIC2886,"10.152958,76.390572",0,7,180
1734101598,2024-12-13T14:53:18Z,AIC2886,"10.15274,76.390579",0,7,180
1734101607,2024-12-13T14:53:27Z,AIC2886,"10.152512,76.390427",0,7,216
1734101617,2024-12-13T14:53:37Z,AIC2886,"10.152443,76.390129",0,7,261
1734101623,2024-12-13T14:53:43Z,AIC2886,"10.152438,76.389915",0,8,267
1734101634,2024-12-13T14:53:54Z,AIC2886,"10.152431,76.389519",0,9,267
1734101639,2024-12-13T14:53:59Z,AIC2886,"10.15242,76.389244",0,10,267
1734101646,2024-12-13T14:54:06Z,AIC2886,"10.152403,76.388847",0,11,267
1734101653,2024-12-13T14:54:13Z,AIC2886,"10.152391,76.388496",0,12,267
1734101663,2024-12-13T14:54:23Z,AIC2886,"10.152368,76.387924",0,13,267
1734101670,2024-12-13T14:54:30Z,AIC2886,"10.152351,76.387489",0,12,267
1734101678,2024-12-13T14:54:38Z,AIC2886,"10.15234,76.387047",0,13,267
1734101684,2024-12-13T14:54:44Z,AIC2886,"10.152322,76.38665",0,12,267
1734101692,2024-12-13T14:54:52Z,AIC2886,"10.152306,76.38623",0,12,267
1734101700,2024-12-13T14:55:00Z,AIC2886,"10.152294,76.385811",0,11,267
1734101707,2024-12-13T14:55:07Z,AIC2886,"10.152271,76.385475",0,9,267
1734101714,2024-12-13T14:55:14Z,AIC2886,"10.152217,76.385254",0,6,253
1734101725,2024-12-13T14:55:25Z,AIC2886,"10.151985,76.385056",0,6,213
1734101732,2024-12-13T14:55:32Z,AIC2886,"10.151768,76.385056",0,6,180
1734101747,2024-12-13T14:55:47Z,AIC2886,"10.151565,76.385063",0,1,177
1734101814,2024-12-13T14:56:54Z,AIC2886,"10.15132,76.385071",0,8,177
1734101821,2024-12-13T14:57:01Z,AIC2886,"10.150978,76.385086",0,10,177
1734101826,2024-12-13T14:57:06Z,AIC2886,"10.150774,76.385124",0,9,171
1734101833,2024-12-13T14:57:13Z,AIC2886,"10.150564,76.385262",0,7,143
1734101840,2024-12-13T14:57:20Z,AIC2886,"10.150517,76.385475",0,6,104
