Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1735137310,2024-12-25T14:35:10Z,AIC2886,"10.154335,76.391571",0,1,357
1735137359,2024-12-25T14:35:59Z,AIC2886,"10.153862,76.391579",0,0,340
1735137381,2024-12-25T14:36:21Z,AIC2886,"10.153656,76.39164",0,0,309
1735137413,2024-12-25T14:36:53Z,AIC2886,"10.153484,76.391876",0,2,272
1735137692,2024-12-25T14:41:32Z,AIC2886,"10.153521,76.392769",0,1,270
1735138003,2024-12-25T14:46:43Z,AIC2886,"10.153187,76.39241",0,0,188
1735138013,2024-12-25T14:46:53Z,AIC2886,"10.152834,76.392441",0,8,168
1735138025,2024-12-25T14:47:05Z,AIC2886,"10.152555,76.392761",0,9,101
1735138180,2024-12-25T14:49:40Z,AIC2886,"10.153095,76.408333",0,28,87
1735138187,2024-12-25T14:49:47Z,AIC2886,"10.15313,76.409073",0,29,87
1735138195,2024-12-25T14:49:55Z,AIC2886,"10.153172,76.410172",0,29,87
1735138201,2024-12-25T14:50:01Z,AIC2886,"10.153206,76.411064",0,29,87
1735138209,2024-12-25T14:50:09Z,AIC2886,"10.153241,76.412193",0,30,87
1735138217,2024-12-25T14:50:17Z,AIC2886,"10.153278,76.413193",0,30,87
1735138224,2024-12-25T14:50:24Z,AIC2886,"10.153322,76.41407",0,24,87
1735138230,2024-12-25T14:50:30Z,AIC2886,"10.153347,76.414696",0,19,87
1735138238,2024-12-25T14:50:38Z,AIC2886,"10.153358,76.415146",0,13,87
1735138244,2024-12-25T14:50:44Z,AIC2886,"10.153381,76.415405",0,9,87
1735138250,2024-12-25T14:50:50Z,AIC2886,"10.153381,76.415649",0,8,92
1735138261,2024-12-25T14:51:01Z,AIC2886,"10.153183,76.415855",0,8,154
1735138266,2024-12-25T14:51:06Z,AIC2886,"10.152981,76.415871",0,7,174
1735138275,2024-12-25T14:51:15Z,AIC2886,"10.152775,76.415871",0,5,177
1735138387,2024-12-25T14:53:07Z,AIC2886,"10.152555,76.415878",0,5,177
1735138393,2024-12-25T14:53:13Z,AIC2886,"10.152345,76.415894",0,8,177
1735138400,2024-12-25T14:53:20Z,AIC2886,"10.152042,76.415909",0,9,177
1735138408,2024-12-25T14:53:28Z,AIC2886,"10.151802,76.415909",0,7,180
1735138424,2024-12-25T14:53:44Z,AIC2886,"10.151611,76.41568",0,4,250
1735138434,2024-12-25T14:53:54Z,AIC2886,"10.151611,76.415382",0,11,270
1735138437,2024-12-25T14:53:57Z,AIC2886,"10.151608,76.415077",0,17,270
1735138440,2024-12-25T14:54:00Z,AIC2886,"10.151608,76.414703",0,31,270
1735138441,2024-12-25T14:54:01Z,AIC2886,"10.151588,76.414413",0,36,267
1735138445,2024-12-25T14:54:05Z,AIC2886,"10.151562,76.413765",0,51,267
1735138446,2024-12-25T14:54:06Z,AIC2886,"10.151542,76.413086",0,62,267
1735138447,2024-12-25T14:54:07Z,AIC2886,"10.151519,76.41259",0,66,267
1735138453,2024-12-25T14:54:13Z,AIC2886,"10.151437,76.410255",0,94,267
1735138477,2024-12-25T14:54:37Z,AIC2886,"10.150808,76.39537",325,159,267
1735138485,2024-12-25T14:54:45Z,AIC2886,"10.150529,76.388885",700,153,267
