Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736002546,2025-01-04T14:55:46Z,AIC2886,"10.153462,76.39032",0,0,267
1736002852,2025-01-04T15:00:52Z,AIC2886,"10.153404,76.390648",0,0,244
1736002893,2025-01-04T15:01:33Z,AIC2886,"10.152496,76.391068",0,7,95
1736002934,2025-01-04T15:02:14Z,AIC2886,"10.152592,76.39341",0,0,87
1736002942,2025-01-04T15:02:22Z,AIC2886,"10.152613,76.393944",0,0,90
1736002962,2025-01-04T15:02:42Z,AIC2886,"10.152671,76.395561",0,17,87
1736003095,2025-01-04T15:04:55Z,AIC2886,"10.153175,76.409424",0,0,87
1736003108,2025-01-04T15:05:08Z,AIC2886,"10.153264,76.411629",0,0,87
1736003115,2025-01-04T15:05:15Z,AIC2886,"10.153288,76.412315",0,23,87
1736003122,2025-01-04T15:05:22Z,AIC2886,"10.153322,76.413254",0,24,87
1736003132,2025-01-04T15:05:32Z,AIC2886,"10.153358,76.414337",0,21,90
1736003138,2025-01-04T15:05:38Z,AIC2886,"10.153369,76.414864",0,17,87
1736003146,2025-01-04T15:05:46Z,AIC2886,"10.153393,76.415405",0,10,90
1736003152,2025-01-04T15:05:52Z,AIC2886,"10.153334,76.415642",0,10,104
1736003162,2025-01-04T15:06:02Z,AIC2886,"10.152904,76.415878",0,11,171
1736003167,2025-01-04T15:06:07Z,AIC2886,"10.152671,76.415878",0,12,177
1736003173,2025-01-04T15:06:13Z,AIC2886,"10.152287,76.415894",0,13,177
1736003184,2025-01-04T15:06:24Z,AIC2886,"10.151763,76.415726",0,9,216
1736003191,2025-01-04T15:06:31Z,AIC2886,"10.151665,76.415474",0,9,253
1736003197,2025-01-04T15:06:37Z,AIC2886,"10.151658,76.41523",0,9,267
1736003203,2025-01-04T15:06:43Z,AIC2886,"10.151647,76.414841",0,18,267
1736003206,2025-01-04T15:06:46Z,AIC2886,"10.15163,76.414429",0,33,267
1736003208,2025-01-04T15:06:48Z,AIC2886,"10.151608,76.41407",0,43,267
