Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736692694,2025-01-12T14:38:14Z,AIC2886,"10.1544,76.391571",0,0,357
1736692761,2025-01-12T14:39:21Z,AIC2886,"10.154102,76.391594",0,3,357
1736692777,2025-01-12T14:39:37Z,AIC2886,"10.153896,76.391617",0,3,8
1736692792,2025-01-12T14:39:52Z,AIC2886,"10.153695,76.391609",0,3,36
1736692821,2025-01-12T14:40:21Z,AIC2886,"10.153507,76.391396",0,2,84
1736693197,2025-01-12T14:46:37Z,AIC2886,"10.153508,76.391632",0,5,87
1736693205,2025-01-12T14:46:45Z,AIC2886,"10.153519,76.391861",0,7,90
1736693212,2025-01-12T14:46:52Z,AIC2886,"10.15353,76.392143",0,9,87
1736693221,2025-01-12T14:47:01Z,AIC2886,"10.153543,76.392555",0,11,87
1736693228,2025-01-12T14:47:08Z,AIC2886,"10.153555,76.392998",0,13,87
1736693236,2025-01-12T14:47:16Z,AIC2886,"10.153576,76.393501",0,13,87
1736693243,2025-01-12T14:47:23Z,AIC2886,"10.15359,76.393906",0,10,87
1736693253,2025-01-12T14:47:33Z,AIC2886,"10.15361,76.394386",0,10,87
1736693260,2025-01-12T14:47:40Z,AIC2886,"10.153613,76.394653",0,11,87
1736693272,2025-01-12T14:47:52Z,AIC2886,"10.153633,76.39518",0,13,87
1736693281,2025-01-12T14:48:01Z,AIC2886,"10.153656,76.395897",0,0,87
1736693307,2025-01-12T14:48:27Z,AIC2886,"10.153702,76.396927",0,0,87
1736693339,2025-01-12T14:48:59Z,AIC2886,"10.152845,76.397614",0,0,146
1736693350,2025-01-12T14:49:10Z,AIC2886,"10.152752,76.397995",0,7,95
1736693359,2025-01-12T14:49:19Z,AIC2886,"10.152763,76.398361",0,9,87
1736693371,2025-01-12T14:49:31Z,AIC2886,"10.152776,76.398582",0,0,87
1736693383,2025-01-12T14:49:43Z,AIC2886,"10.15281,76.39959",0,0,87
1736693393,2025-01-12T14:49:53Z,AIC2886,"10.152832,76.400169",0,14,87
1736693475,2025-01-12T14:51:15Z,AIC2886,"10.153113,76.407745",0,0,87
1736693482,2025-01-12T14:51:22Z,AIC2886,"10.153141,76.408562",0,23,87
1736693490,2025-01-12T14:51:30Z,AIC2886,"10.153175,76.409378",0,24,87
1736693497,2025-01-12T14:51:37Z,AIC2886,"10.153198,76.410225",0,23,87
1736693504,2025-01-12T14:51:44Z,AIC2886,"10.153233,76.411041",0,21,87
1736693512,2025-01-12T14:51:52Z,AIC2886,"10.153255,76.411797",0,20,87
1736693519,2025-01-12T14:51:59Z,AIC2886,"10.153278,76.412437",0,19,87
1736693527,2025-01-12T14:52:07Z,AIC2886,"10.153311,76.413124",0,19,87
1736693535,2025-01-12T14:52:15Z,AIC2886,"10.153336,76.413902",0,18,87
1736693542,2025-01-12T14:52:22Z,AIC2886,"10.153358,76.414497",0,16,87
1736693549,2025-01-12T14:52:29Z,AIC2886,"10.15338,76.415016",0,14,87
1736693556,2025-01-12T14:52:36Z,AIC2886,"10.153393,76.41539",0,11,87
1736693560,2025-01-12T14:52:40Z,AIC2886,"10.153358,76.415604",0,9,101
1736693566,2025-01-12T14:52:46Z,AIC2886,"10.153172,76.415833",0,11,135
