Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736780574,2025-01-13T15:02:54Z,AIC2886,"10.153741,76.388847",0,2,19
1736780597,2025-01-13T15:03:17Z,AIC2886,"10.15353,76.388786",0,1,50
1736780638,2025-01-13T15:03:58Z,AIC2886,"10.15338,76.38858",0,1,90
1736780914,2025-01-13T15:08:34Z,AIC2886,"10.153416,76.388794",0,5,87
1736780921,2025-01-13T15:08:41Z,AIC2886,"10.153416,76.389008",0,7,87
1736780928,2025-01-13T15:08:48Z,AIC2886,"10.153427,76.389267",0,8,87
1736780935,2025-01-13T15:08:55Z,AIC2886,"10.153439,76.38958",0,10,87
1736780942,2025-01-13T15:09:02Z,AIC2886,"10.15345,76.389915",0,11,87
1736780950,2025-01-13T15:09:10Z,AIC2886,"10.153462,76.39032",0,12,87
1736780957,2025-01-13T15:09:17Z,AIC2886,"10.153484,76.390793",0,14,87
1736780965,2025-01-13T15:09:25Z,AIC2886,"10.153496,76.391197",0,15,87
1736780978,2025-01-13T15:09:38Z,AIC2886,"10.153532,76.392334",0,17,87
1736780987,2025-01-13T15:09:47Z,AIC2886,"10.153566,76.393127",0,18,87
1736780995,2025-01-13T15:09:55Z,AIC2886,"10.153599,76.393875",0,20,87
1736781004,2025-01-13T15:10:04Z,AIC2886,"10.153625,76.394699",0,21,87
1736781175,2025-01-13T15:12:55Z,AIC2886,"10.153152,76.408844",0,0,87
1736781184,2025-01-13T15:13:04Z,AIC2886,"10.153198,76.41011",0,30,87
1736781193,2025-01-13T15:13:13Z,AIC2886,"10.153253,76.411438",0,29,87
1736781201,2025-01-13T15:13:21Z,AIC2886,"10.15329,76.412346",0,30,87
1736781208,2025-01-13T15:13:28Z,AIC2886,"10.153336,76.413498",0,28,87
1736781215,2025-01-13T15:13:35Z,AIC2886,"10.153369,76.414421",0,28,87
1736781223,2025-01-13T15:13:43Z,AIC2886,"10.153392,76.415276",0,18,87
1736781228,2025-01-13T15:13:48Z,AIC2886,"10.153381,76.415611",0,10,92
1736781233,2025-01-13T15:13:53Z,AIC2886,"10.153255,76.415825",0,10,126
1736781238,2025-01-13T15:13:58Z,AIC2886,"10.15302,76.415894",0,11,165
1736781243,2025-01-13T15:14:03Z,AIC2886,"10.152798,76.415894",0,12,177
1736781247,2025-01-13T15:14:07Z,AIC2886,"10.152592,76.415894",0,13,177
1736781250,2025-01-13T15:14:10Z,AIC2886,"10.152328,76.415909",0,14,177
1736781254,2025-01-13T15:14:14Z,AIC2886,"10.152065,76.415916",0,14,180
1736781259,2025-01-13T15:14:19Z,AIC2886,"10.151848,76.415855",0,11,196
1736781264,2025-01-13T15:14:24Z,AIC2886,"10.151688,76.415642",0,11,239
1736781269,2025-01-13T15:14:29Z,AIC2886,"10.151658,76.41539",0,12,264
1736781273,2025-01-13T15:14:33Z,AIC2886,"10.151653,76.4151",0,18,267
1736781275,2025-01-13T15:14:35Z,AIC2886,"10.151642,76.414871",0,25,270
1736781277,2025-01-13T15:14:37Z,AIC2886,"10.151635,76.414635",0,34,270
1736781278,2025-01-13T15:14:38Z,AIC2886,"10.151619,76.414337",0,39,267
1736781280,2025-01-13T15:14:40Z,AIC2886,"10.151619,76.414047",0,49,267
1736781282,2025-01-13T15:14:42Z,AIC2886,"10.151596,76.413361",0,59,267
1736781283,2025-01-13T15:14:43Z,AIC2886,"10.151577,76.412895",0,68,267
1736781286,2025-01-13T15:14:46Z,AIC2886,"10.151542,76.41188",0,78,267
1736781290,2025-01-13T15:14:50Z,AIC2886,"10.151459,76.410149",0,78,267
1736781294,2025-01-13T15:14:54Z,AIC2886,"10.151414,76.40802",0,78,267
1736781316,2025-01-13T15:15:16Z,AIC2886,"10.150818,76.392731",300,164,267
1736781326,2025-01-13T15:15:26Z,AIC2886,"10.150576,76.385521",700,160,268
1736781335,2025-01-13T15:15:35Z,AIC2886,"10.15039,76.37899",1075,158,267
1736781342,2025-01-13T15:15:42Z,AIC2886,"10.15011,76.372833",1250,168,267
1736781351,2025-01-13T15:15:51Z,AIC2886,"10.149857,76.366203",1400,179,267
1736781358,2025-01-13T15:15:58Z,AIC2886,"10.149598,76.360001",1550,190,267
1736781367,2025-01-13T15:16:07Z,AIC2886,"10.149307,76.351723",1750,203,267
1736781373,2025-01-13T15:16:13Z,AIC2886,"10.14917,76.345718",1875,213,272
1736781375,2025-01-13T15:16:15Z,AIC2886,"10.149353,76.343201",1950,215,273
1736781378,2025-01-13T15:16:18Z,AIC2886,"10.149628,76.341202",1975,219,279
1736781380,2025-01-13T15:16:20Z,AIC2886,"10.150131,76.338875",2025,223,283
1736781382,2025-01-13T15:16:22Z,AIC2886,"10.150772,76.336731",2075,225,287
1736781384,2025-01-13T15:16:24Z,AIC2886,"10.151779,76.334122",2125,228,292
1736781386,2025-01-13T15:16:26Z,AIC2886,"10.152763,76.332153",2175,230,296
1736781389,2025-01-13T15:16:29Z,AIC2886,"10.153931,76.330215",2250,234,302
1736781391,2025-01-13T15:16:31Z,AIC2886,"10.155464,76.327988",2300,237,306
1736781393,2025-01-13T15:16:33Z,AIC2886,"10.156906,76.326256",2350,239,310
1736781395,2025-01-13T15:16:35Z,AIC2886,"10.158211,76.32486",2400,242,314
1736781397,2025-01-13T15:16:37Z,AIC2886,"10.160213,76.323013",2450,245,318
1736781400,2025-01-13T15:16:40Z,AIC2886,"10.162811,76.320953",2525,250,323
1736781402,2025-01-13T15:16:42Z,AIC2886,"10.16478,76.319649",2550,252,327
1736781404,2025-01-13T15:16:44Z,AIC2886,"10.166869,76.318466",2600,255,331
1736781406,2025-01-13T15:16:46Z,AIC2886,"10.16915,76.317383",2650,259,336
1736781408,2025-01-13T15:16:48Z,AIC2886,"10.171897,76.316292",2700,260,338
1736781411,2025-01-13T15:16:51Z,AIC2886,"10.174393,76.315506",2750,264,344
1736781413,2025-01-13T15:16:53Z,AIC2886,"10.177551,76.314804",2825,266,348
1736781415,2025-01-13T15:16:55Z,AIC2886,"10.179657,76.314529",2875,269,354
