Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737384278,2025-01-20T14:44:38Z,AIC2886,"10.154277,76.389725",0,0,357
1737384377,2025-01-20T14:46:17Z,AIC2886,"10.154057,76.389732",0,3,357
1737384405,2025-01-20T14:46:45Z,AIC2886,"10.153702,76.389755",0,0,11
1737384426,2025-01-20T14:47:06Z,AIC2886,"10.153461,76.389717",0,2,67
1737384773,2025-01-20T14:52:53Z,AIC2886,"10.153427,76.390358",0,9,87
1737384781,2025-01-20T14:53:01Z,AIC2886,"10.15345,76.39077",0,11,87
1737384791,2025-01-20T14:53:11Z,AIC2886,"10.153461,76.391304",0,12,87
1737384811,2025-01-20T14:53:31Z,AIC2886,"10.153507,76.392654",0,0,87
1737384819,2025-01-20T14:53:39Z,AIC2886,"10.15353,76.393211",0,16,87
1737385045,2025-01-20T14:57:25Z,AIC2886,"10.153152,76.409431",0,20,87
1737385064,2025-01-20T14:57:44Z,AIC2886,"10.153206,76.411095",0,19,87
1737385073,2025-01-20T14:57:53Z,AIC2886,"10.153244,76.411934",0,20,87
1737385081,2025-01-20T14:58:01Z,AIC2886,"10.153264,76.412659",0,20,87
1737385087,2025-01-20T14:58:07Z,AIC2886,"10.15329,76.413277",0,21,87
1737385095,2025-01-20T14:58:15Z,AIC2886,"10.153322,76.414047",0,22,87
1737385101,2025-01-20T14:58:21Z,AIC2886,"10.153347,76.414589",0,18,87
1737385108,2025-01-20T14:58:28Z,AIC2886,"10.153358,76.415192",0,14,87
1737385116,2025-01-20T14:58:36Z,AIC2886,"10.153369,76.415573",0,10,90
1737385124,2025-01-20T14:58:44Z,AIC2886,"10.153278,76.41581",0,7,120
1737385134,2025-01-20T14:58:54Z,AIC2886,"10.152985,76.415894",0,8,168
1737385138,2025-01-20T14:58:58Z,AIC2886,"10.152763,76.415886",0,9,180
1737385145,2025-01-20T14:59:05Z,AIC2886,"10.152477,76.415894",0,11,177
1737385148,2025-01-20T14:59:08Z,AIC2886,"10.152275,76.415901",0,12,177
1737385154,2025-01-20T14:59:14Z,AIC2886,"10.151996,76.415901",0,11,180
1737385160,2025-01-20T14:59:20Z,AIC2886,"10.151752,76.41584",0,7,199
1737385167,2025-01-20T14:59:27Z,AIC2886,"10.15163,76.415604",0,10,244
1737385173,2025-01-20T14:59:33Z,AIC2886,"10.151611,76.415215",0,17,267
1737385174,2025-01-20T14:59:34Z,AIC2886,"10.1516,76.414978",0,24,267
1737385177,2025-01-20T14:59:37Z,AIC2886,"10.151585,76.414673",0,32,270
1737385178,2025-01-20T14:59:38Z,AIC2886,"10.151577,76.414352",0,42,270
1737385179,2025-01-20T14:59:39Z,AIC2886,"10.151577,76.414116",0,47,270
1737385181,2025-01-20T14:59:41Z,AIC2886,"10.151565,76.413864",0,52,267
1737385182,2025-01-20T14:59:42Z,AIC2886,"10.151542,76.413261",0,61,267
1737385216,2025-01-20T15:00:16Z,AIC2886,"10.150909,76.393196",350,163,268
1737385224,2025-01-20T15:00:24Z,AIC2886,"10.150681,76.386497",675,160,267
1737385233,2025-01-20T15:00:33Z,AIC2886,"10.150436,76.380318",1050,157,267
1737385242,2025-01-20T15:00:42Z,AIC2886,"10.150131,76.373558",1300,164,267
1737385248,2025-01-20T15:00:48Z,AIC2886,"10.149948,76.368156",1400,174,267
1737385257,2025-01-20T15:00:57Z,AIC2886,"10.149738,76.360619",1550,187,268
1737385263,2025-01-20T15:01:03Z,AIC2886,"10.149551,76.35498",1675,198,267
1737385272,2025-01-20T15:01:12Z,AIC2886,"10.149272,76.34655",1825,212,268
1737385280,2025-01-20T15:01:20Z,AIC2886,"10.149078,76.337708",2025,223,268
