Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737815546,2025-01-25T14:32:26Z,AIC2886,"10.15424,76.389297",0,0,357
1737815637,2025-01-25T14:33:57Z,AIC2886,"10.154011,76.389297",0,0,357
1737815657,2025-01-25T14:34:17Z,AIC2886,"10.153776,76.389297",0,3,5
1737815677,2025-01-25T14:34:37Z,AIC2886,"10.153576,76.389297",0,3,36
1737815705,2025-01-25T14:35:05Z,AIC2886,"10.153381,76.389076",0,0,87
1737816010,2025-01-25T14:40:10Z,AIC2886,"10.153392,76.389503",0,6,87
1737816018,2025-01-25T14:40:18Z,AIC2886,"10.153404,76.389763",0,8,87
1737816024,2025-01-25T14:40:24Z,AIC2886,"10.153404,76.389999",0,9,87
1737816031,2025-01-25T14:40:31Z,AIC2886,"10.153416,76.390312",0,10,87
1737816057,2025-01-25T14:40:57Z,AIC2886,"10.153473,76.391747",0,0,87
1737816070,2025-01-25T14:41:10Z,AIC2886,"10.153497,76.392441",0,13,87
1737816085,2025-01-25T14:41:25Z,AIC2886,"10.153532,76.393364",0,13,87
1737816095,2025-01-25T14:41:35Z,AIC2886,"10.153555,76.393921",0,0,87
1737816331,2025-01-25T14:45:31Z,AIC2886,"10.153107,76.408295",0,17,87
1737816342,2025-01-25T14:45:42Z,AIC2886,"10.153136,76.409081",0,18,87
1737816354,2025-01-25T14:45:54Z,AIC2886,"10.153187,76.410156",0,19,87
1737816362,2025-01-25T14:46:02Z,AIC2886,"10.153194,76.410851",0,19,87
1737816369,2025-01-25T14:46:09Z,AIC2886,"10.153221,76.411469",0,20,87
1737816376,2025-01-25T14:46:16Z,AIC2886,"10.153241,76.41214",0,19,87
1737816383,2025-01-25T14:46:23Z,AIC2886,"10.153264,76.412659",0,19,87
1737816390,2025-01-25T14:46:30Z,AIC2886,"10.153288,76.413223",0,18,87
1737816398,2025-01-25T14:46:38Z,AIC2886,"10.153301,76.413857",0,15,87
1737816405,2025-01-25T14:46:45Z,AIC2886,"10.153324,76.414406",0,16,87
