Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737902048,2025-01-26T14:34:08Z,AIC2886,"10.154251,76.388802",0,0,357
1737902178,2025-01-26T14:36:18Z,AIC2886,"10.154045,76.388802",0,2,357
1737902202,2025-01-26T14:36:42Z,AIC2886,"10.153782,76.388832",0,2,5
1737902220,2025-01-26T14:37:00Z,AIC2886,"10.153576,76.388832",0,2,33
1737902570,2025-01-26T14:42:50Z,AIC2886,"10.153416,76.389069",0,6,87
1737902582,2025-01-26T14:43:02Z,AIC2886,"10.153427,76.389465",0,8,87
1737902588,2025-01-26T14:43:08Z,AIC2886,"10.153439,76.389709",0,9,87
1737902595,2025-01-26T14:43:15Z,AIC2886,"10.15345,76.39006",0,10,87
1737902603,2025-01-26T14:43:23Z,AIC2886,"10.153461,76.390312",0,8,87
1737902611,2025-01-26T14:43:31Z,AIC2886,"10.153358,76.390533",0,6,120
1737902621,2025-01-26T14:43:41Z,AIC2886,"10.153038,76.390594",0,7,174
1737902630,2025-01-26T14:43:50Z,AIC2886,"10.152763,76.390617",0,7,171
1737902645,2025-01-26T14:44:05Z,AIC2886,"10.1525,76.390953",0,0,115
1737902659,2025-01-26T14:44:19Z,AIC2886,"10.152512,76.391373",0,7,87
1737902669,2025-01-26T14:44:29Z,AIC2886,"10.152531,76.391655",0,5,87
1737902835,2025-01-26T14:47:15Z,AIC2886,"10.152624,76.394028",0,0,87
1737902857,2025-01-26T14:47:37Z,AIC2886,"10.152672,76.395538",0,0,87
1737902986,2025-01-26T14:49:46Z,AIC2886,"10.153152,76.408478",0,26,87
1737902996,2025-01-26T14:49:56Z,AIC2886,"10.153198,76.409737",0,26,87
1737903006,2025-01-26T14:50:06Z,AIC2886,"10.153253,76.41114",0,25,87
1737903013,2025-01-26T14:50:13Z,AIC2886,"10.153278,76.411911",0,22,87
1737903020,2025-01-26T14:50:20Z,AIC2886,"10.153311,76.412636",0,20,87
1737903027,2025-01-26T14:50:27Z,AIC2886,"10.153322,76.4132",0,19,87
1737903035,2025-01-26T14:50:35Z,AIC2886,"10.153346,76.413834",0,17,87
1737903042,2025-01-26T14:50:42Z,AIC2886,"10.153369,76.414444",0,15,87
1737903049,2025-01-26T14:50:49Z,AIC2886,"10.153392,76.414909",0,14,87
1737903056,2025-01-26T14:50:56Z,AIC2886,"10.153404,76.415314",0,12,87
1737903062,2025-01-26T14:51:02Z,AIC2886,"10.153404,76.415581",0,9,92
1737903068,2025-01-26T14:51:08Z,AIC2886,"10.15329,76.415787",0,7,120
1737903075,2025-01-26T14:51:15Z,AIC2886,"10.153072,76.415886",0,9,157
1737903080,2025-01-26T14:51:20Z,AIC2886,"10.152866,76.415894",0,9,174
1737903084,2025-01-26T14:51:24Z,AIC2886,"10.152626,76.415909",0,11,177
1737903089,2025-01-26T14:51:29Z,AIC2886,"10.152409,76.415909",0,12,177
1737903093,2025-01-26T14:51:33Z,AIC2886,"10.152145,76.415916",0,12,177
1737903098,2025-01-26T14:51:38Z,AIC2886,"10.151848,76.415894",0,11,188
1737903105,2025-01-26T14:51:45Z,AIC2886,"10.151665,76.415688",0,8,233
1737903113,2025-01-26T14:51:53Z,AIC2886,"10.15167,76.415466",0,5,267
1737903119,2025-01-26T14:51:59Z,AIC2886,"10.151653,76.41523",0,11,267
1737903123,2025-01-26T14:52:03Z,AIC2886,"10.151653,76.415001",0,17,267
1737903125,2025-01-26T14:52:05Z,AIC2886,"10.15163,76.414635",0,31,267
1737903128,2025-01-26T14:52:08Z,AIC2886,"10.151619,76.414169",0,40,267
1737903130,2025-01-26T14:52:10Z,AIC2886,"10.151608,76.41394",0,45,267
1737903139,2025-01-26T14:52:19Z,AIC2886,"10.151484,76.41053",0,0,267
1737903160,2025-01-26T14:52:40Z,AIC2886,"10.151274,76.404327",175,111,267
1737903167,2025-01-26T14:52:47Z,AIC2886,"10.150772,76.391754",425,162,267
