Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739545229,2025-02-14T15:00:29Z,AIC504,"10.150343,76.381165",800,163,267
1739545235,2025-02-14T15:00:35Z,AIC504,"10.150064,76.376144",1100,160,266
1739545242,2025-02-14T15:00:42Z,AIC504,"10.149765,76.370949",1250,168,266
1739545251,2025-02-14T15:00:51Z,AIC504,"10.149353,76.363731",1450,177,266
1739545260,2025-02-14T15:01:00Z,AIC504,"10.148895,76.355957",1675,187,266
1739545266,2025-02-14T15:01:06Z,AIC504,"10.148575,76.350235",1825,194,266
1739545275,2025-02-14T15:01:15Z,AIC504,"10.148071,76.341759",2050,205,266
1739545283,2025-02-14T15:01:23Z,AIC504,"10.147659,76.333755",2225,218,267
1739545290,2025-02-14T15:01:30Z,AIC504,"10.147596,76.326897",2400,226,270
1739545292,2025-02-14T15:01:32Z,AIC504,"10.147782,76.324387",2475,229,274
1739545294,2025-02-14T15:01:34Z,AIC504,"10.148108,76.322166",2525,231,278
1739545296,2025-02-14T15:01:36Z,AIC504,"10.148714,76.319603",2575,234,282
1739545298,2025-02-14T15:01:38Z,AIC504,"10.14917,76.318016",2625,237,285
1739545300,2025-02-14T15:01:40Z,AIC504,"10.150177,76.315361",2675,239,289
1739545302,2025-02-14T15:01:42Z,AIC504,"10.151134,76.3134",2700,242,294
1739545304,2025-02-14T15:01:44Z,AIC504,"10.152237,76.311455",2750,245,298
1739545307,2025-02-14T15:01:47Z,AIC504,"10.154067,76.308853",2800,247,302
1739545309,2025-02-14T15:01:49Z,AIC504,"10.15551,76.30706",2875,251,307
1739545311,2025-02-14T15:01:51Z,AIC504,"10.157364,76.305305",2925,252,312
1739545313,2025-02-14T15:01:53Z,AIC504,"10.159328,76.30365",2975,257,316
1739545315,2025-02-14T15:01:55Z,AIC504,"10.161515,76.302177",3050,257,324
1739545317,2025-02-14T15:01:57Z,AIC504,"10.163452,76.301071",3125,258,328
1739545319,2025-02-14T15:01:59Z,AIC504,"10.165892,76.299812",3225,259,332
1739545322,2025-02-14T15:02:02Z,AIC504,"10.168076,76.29879",3325,260,334
1739545324,2025-02-14T15:02:04Z,AIC504,"10.170731,76.29763",3425,261,336
1739545326,2025-02-14T15:02:06Z,AIC504,"10.173387,76.296547",3550,261,337
1739545328,2025-02-14T15:02:08Z,AIC504,"10.175947,76.295547",3650,262,338
1739545331,2025-02-14T15:02:11Z,AIC504,"10.178321,76.294601",3750,264,338
1739545333,2025-02-14T15:02:13Z,AIC504,"10.181305,76.293442",3875,264,338
1739545335,2025-02-14T15:02:15Z,AIC504,"10.183685,76.292557",3975,266,339
1739545337,2025-02-14T15:02:17Z,AIC504,"10.186111,76.291626",4050,267,339
1739545339,2025-02-14T15:02:19Z,AIC504,"10.188583,76.290695",4125,268,339
1739545341,2025-02-14T15:02:21Z,AIC504,"10.190425,76.289963",4175,270,339
1739545343,2025-02-14T15:02:23Z,AIC504,"10.192978,76.289017",4225,270,339
1739545346,2025-02-14T15:02:26Z,AIC504,"10.195498,76.288017",4275,270,339
1739545348,2025-02-14T15:02:28Z,AIC504,"10.198432,76.28688",4350,270,339
1739545350,2025-02-14T15:02:30Z,AIC504,"10.200759,76.285988",4400,270,339
1739545358,2025-02-14T15:02:38Z,AIC504,"10.211,76.282387",4700,269,343
1739545360,2025-02-14T15:02:40Z,AIC504,"10.213577,76.281754",4775,271,345
1739545363,2025-02-14T15:02:43Z,AIC504,"10.216324,76.281288",4875,271,348
1739545365,2025-02-14T15:02:45Z,AIC504,"10.21907,76.28096",4950,271,351
1739545367,2025-02-14T15:02:47Z,AIC504,"10.221954,76.280869",5050,272,357
1739545369,2025-02-14T15:02:49Z,AIC504,"10.224501,76.280968",5150,272,358
1739545371,2025-02-14T15:02:51Z,AIC504,"10.227154,76.281204",5250,272,4
1739545374,2025-02-14T15:02:54Z,AIC504,"10.230377,76.281662",5350,272,9
1739545376,2025-02-14T15:02:56Z,AIC504,"10.23349,76.282547",5475,271,13
1739545378,2025-02-14T15:02:58Z,AIC504,"10.235952,76.283379",5575,271,17
1739545381,2025-02-14T15:03:01Z,AIC504,"10.23828,76.284378",5675,271,21
1739545383,2025-02-14T15:03:03Z,AIC504,"10.240494,76.285385",5775,270,24
1739545385,2025-02-14T15:03:05Z,AIC504,"10.243355,76.286835",5925,269,25
1739545387,2025-02-14T15:03:07Z,AIC504,"10.245758,76.288132",6075,268,27
1739545389,2025-02-14T15:03:09Z,AIC504,"10.247824,76.289253",6175,266,27
1739545391,2025-02-14T15:03:11Z,AIC504,"10.250383,76.290581",6325,265,27
1739545393,2025-02-14T15:03:13Z,AIC504,"10.252487,76.291718",6450,264,27
1739545396,2025-02-14T15:03:16Z,AIC504,"10.254713,76.2929",6575,264,27
1739545398,2025-02-14T15:03:18Z,AIC504,"10.257111,76.294182",6700,263,27
1739545400,2025-02-14T15:03:20Z,AIC504,"10.259508,76.295456",6825,263,27
1739545402,2025-02-14T15:03:22Z,AIC504,"10.261836,76.296684",6950,263,27
1739545404,2025-02-14T15:03:24Z,AIC504,"10.264116,76.297867",7050,263,27
1739545406,2025-02-14T15:03:26Z,AIC504,"10.266174,76.298935",7150,263,27
1739545408,2025-02-14T15:03:28Z,AIC504,"10.269005,76.30043",7250,264,27
1739545422,2025-02-14T15:03:42Z,AIC504,"10.283622,76.307961",7775,270,27
1739545434,2025-02-14T15:03:54Z,AIC504,"10.298126,76.315414",8375,271,27
1739545448,2025-02-14T15:04:08Z,AIC504,"10.312391,76.32283",9150,266,27
1739545461,2025-02-14T15:04:21Z,AIC504,"10.327381,76.330589",9650,273,27
1739545473,2025-02-14T15:04:33Z,AIC504,"10.342232,76.338356",10075,282,27
1739545487,2025-02-14T15:04:47Z,AIC504,"10.357498,76.346321",10475,290,27
1739545500,2025-02-14T15:05:00Z,AIC504,"10.37398,76.35498",10700,306,27
1739545513,2025-02-14T15:05:13Z,AIC504,"10.390738,76.363785",10900,319,27
1739545528,2025-02-14T15:05:28Z,AIC504,"10.41156,76.374626",11250,332,27
1739545541,2025-02-14T15:05:41Z,AIC504,"10.429005,76.383728",11550,340,27
1739545554,2025-02-14T15:05:54Z,AIC504,"10.447861,76.39357",12025,344,27
1739545587,2025-02-14T15:06:27Z,AIC504,"10.494551,76.418007",13150,350,27
1739545617,2025-02-14T15:06:57Z,AIC504,"10.539706,76.441666",14225,354,27
1739545648,2025-02-14T15:07:28Z,AIC504,"10.584443,76.465134",15250,358,27
1739545681,2025-02-14T15:08:01Z,AIC504,"10.632764,76.490479",16350,360,27
1739545711,2025-02-14T15:08:31Z,AIC504,"10.678345,76.514374",17425,362,27
1739545742,2025-02-14T15:09:02Z,AIC504,"10.724167,76.538437",18600,359,27
1739545774,2025-02-14T15:09:34Z,AIC504,"10.772781,76.563957",19175,378,27
1739545805,2025-02-14T15:10:05Z,AIC504,"10.821442,76.589485",19825,389,27
1739545836,2025-02-14T15:10:36Z,AIC504,"10.872973,76.616531",20650,396,27
1739545869,2025-02-14T15:11:09Z,AIC504,"10.925674,76.644318",21650,396,27
1739545901,2025-02-14T15:11:41Z,AIC504,"10.979553,76.672638",22450,403,27
1739545934,2025-02-14T15:12:14Z,AIC504,"11.033206,76.700859",23275,407,27
1739545964,2025-02-14T15:12:44Z,AIC504,"11.085342,76.728325",24050,410,27
