Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739975776,2025-02-19T14:36:16Z,AIC504,"10.15424,76.388824",0,0,357
1739976110,2025-02-19T14:41:50Z,AIC504,"10.15402,76.388824",0,2,357
1739976144,2025-02-19T14:42:24Z,AIC504,"10.153671,76.388847",0,2,19
1739976161,2025-02-19T14:42:41Z,AIC504,"10.153461,76.388802",0,2,61
1739976522,2025-02-19T14:48:42Z,AIC504,"10.153392,76.38903",0,6,87
1739976530,2025-02-19T14:48:50Z,AIC504,"10.153393,76.38929",0,8,87
1739976537,2025-02-19T14:48:57Z,AIC504,"10.153404,76.389572",0,8,87
1739976544,2025-02-19T14:49:04Z,AIC504,"10.153416,76.389816",0,8,87
1739976551,2025-02-19T14:49:11Z,AIC504,"10.153427,76.390083",0,7,87
1739976559,2025-02-19T14:49:19Z,AIC504,"10.153427,76.390297",0,5,90
1739976568,2025-02-19T14:49:28Z,AIC504,"10.153322,76.390518",0,6,120
1739976577,2025-02-19T14:49:37Z,AIC504,"10.153095,76.390602",0,6,160
1739976585,2025-02-19T14:49:45Z,AIC504,"10.152889,76.390602",0,5,174
1739976604,2025-02-19T14:50:04Z,AIC504,"10.152531,76.390831",0,0,135
1739976616,2025-02-19T14:50:16Z,AIC504,"10.152477,76.391068",0,0,104
1739976625,2025-02-19T14:50:25Z,AIC504,"10.152489,76.391281",0,5,90
1739976634,2025-02-19T14:50:34Z,AIC504,"10.152489,76.391525",0,6,87
1739976643,2025-02-19T14:50:43Z,AIC504,"10.152512,76.391823",0,8,87
1739976650,2025-02-19T14:50:50Z,AIC504,"10.152523,76.392151",0,0,87
1739976659,2025-02-19T14:50:59Z,AIC504,"10.152534,76.392609",0,11,87
1739976678,2025-02-19T14:51:18Z,AIC504,"10.15258,76.393593",0,0,87
1739976704,2025-02-19T14:51:44Z,AIC504,"10.152649,76.395622",0,0,87
1739976835,2025-02-19T14:53:55Z,AIC504,"10.153141,76.409142",0,0,87
1739976843,2025-02-19T14:54:03Z,AIC504,"10.153175,76.409973",0,22,87
1739976850,2025-02-19T14:54:10Z,AIC504,"10.153198,76.410713",0,20,87
1739976857,2025-02-19T14:54:17Z,AIC504,"10.153217,76.411285",0,19,87
1739976865,2025-02-19T14:54:25Z,AIC504,"10.153253,76.41214",0,20,87
1739976875,2025-02-19T14:54:35Z,AIC504,"10.153288,76.413086",0,19,90
1739976882,2025-02-19T14:54:42Z,AIC504,"10.153311,76.413689",0,17,87
1739976890,2025-02-19T14:54:50Z,AIC504,"10.153334,76.414314",0,17,87
1739976897,2025-02-19T14:54:57Z,AIC504,"10.153358,76.414894",0,16,87
1739976905,2025-02-19T14:55:05Z,AIC504,"10.15337,76.415382",0,11,87
1739976911,2025-02-19T14:55:11Z,AIC504,"10.153336,76.415611",0,8,101
1739976919,2025-02-19T14:55:19Z,AIC504,"10.153125,76.415855",0,9,137
1739976924,2025-02-19T14:55:24Z,AIC504,"10.152892,76.415901",0,10,168
1739976929,2025-02-19T14:55:29Z,AIC504,"10.152682,76.415901",0,11,177
1739976932,2025-02-19T14:55:32Z,AIC504,"10.152466,76.415909",0,10,177
1739976939,2025-02-19T14:55:39Z,AIC504,"10.152193,76.415916",0,9,177
1739976945,2025-02-19T14:55:45Z,AIC504,"10.151962,76.415909",0,8,185
1739976952,2025-02-19T14:55:52Z,AIC504,"10.151716,76.415771",0,8,213
1739976959,2025-02-19T14:55:59Z,AIC504,"10.15163,76.415565",0,7,244
1739976967,2025-02-19T14:56:07Z,AIC504,"10.15163,76.415337",0,5,267
1739976976,2025-02-19T14:56:16Z,AIC504,"10.151623,76.415131",0,6,267
1739976980,2025-02-19T14:56:20Z,AIC504,"10.151608,76.414856",0,14,267
1739976983,2025-02-19T14:56:23Z,AIC504,"10.1516,76.414612",0,21,267
1739976984,2025-02-19T14:56:24Z,AIC504,"10.151596,76.414299",0,30,267
1739976986,2025-02-19T14:56:26Z,AIC504,"10.151577,76.413986",0,39,267
1739976993,2025-02-19T14:56:33Z,AIC504,"10.151505,76.411842",0,0,267
1739977001,2025-02-19T14:56:41Z,AIC504,"10.151367,76.408821",0,0,267
1739977026,2025-02-19T14:57:06Z,AIC504,"10.150576,76.390495",350,167,266
1739977033,2025-02-19T14:57:13Z,AIC504,"10.150296,76.385666",575,163,266
1739977041,2025-02-19T14:57:21Z,AIC504,"10.149994,76.37928",875,163,267
1739977048,2025-02-19T14:57:28Z,AIC504,"10.149719,76.373924",1125,163,266
1739977057,2025-02-19T14:57:37Z,AIC504,"10.149307,76.36718",1325,173,266
1739977063,2025-02-19T14:57:43Z,AIC504,"10.148987,76.361778",1475,180,266
1739977071,2025-02-19T14:57:51Z,AIC504,"10.148575,76.354843",1675,190,266
1739977078,2025-02-19T14:57:58Z,AIC504,"10.148202,76.348824",1825,197,266
1739977086,2025-02-19T14:58:06Z,AIC504,"10.147643,76.340439",2025,209,266
1739977095,2025-02-19T14:58:15Z,AIC504,"10.147064,76.331985",2250,219,266
1739977101,2025-02-19T14:58:21Z,AIC504,"10.146945,76.324814",2425,226,270
1739977104,2025-02-19T14:58:24Z,AIC504,"10.147178,76.322731",2475,228,274
1739977106,2025-02-19T14:58:26Z,AIC504,"10.147503,76.320412",2525,230,277
1739977108,2025-02-19T14:58:28Z,AIC504,"10.148155,76.317856",2600,232,281
1739977110,2025-02-19T14:58:30Z,AIC504,"10.148849,76.315689",2650,235,285
1739977112,2025-02-19T14:58:32Z,AIC504,"10.149719,76.313499",2700,238,291
