Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740321542,2025-02-23T14:39:02Z,AIC504,"10.154274,76.390976",0,2,357
1740321560,2025-02-23T14:39:20Z,AIC504,"10.154068,76.390991",0,2,357
1740321599,2025-02-23T14:39:59Z,AIC504,"10.153613,76.390984",0,3,45
1740322023,2025-02-23T14:47:03Z,AIC504,"10.153462,76.391243",0,6,87
1740322030,2025-02-23T14:47:10Z,AIC504,"10.153474,76.391495",0,7,87
1740322038,2025-02-23T14:47:18Z,AIC504,"10.153484,76.3918",0,9,87
1740322045,2025-02-23T14:47:25Z,AIC504,"10.153485,76.392128",0,10,87
1740322055,2025-02-23T14:47:35Z,AIC504,"10.153507,76.392654",0,12,87
1740322065,2025-02-23T14:47:45Z,AIC504,"10.15353,76.393257",0,14,87
1740322073,2025-02-23T14:47:53Z,AIC504,"10.153553,76.393829",0,0,87
1740322081,2025-02-23T14:48:01Z,AIC504,"10.153576,76.394386",0,15,87
1740322329,2025-02-23T14:52:09Z,AIC504,"10.153113,76.408577",0,0,87
1740322338,2025-02-23T14:52:18Z,AIC504,"10.153136,76.409187",0,17,87
1740322353,2025-02-23T14:52:33Z,AIC504,"10.153187,76.410515",0,16,87
1740322361,2025-02-23T14:52:41Z,AIC504,"10.153206,76.411072",0,15,87
1740322368,2025-02-23T14:52:48Z,AIC504,"10.153221,76.411469",0,15,87
1740322377,2025-02-23T14:52:57Z,AIC504,"10.153233,76.412086",0,15,87
1740322385,2025-02-23T14:53:05Z,AIC504,"10.153255,76.412811",0,16,90
1740322393,2025-02-23T14:53:13Z,AIC504,"10.153278,76.413345",0,16,87
1740322399,2025-02-23T14:53:19Z,AIC504,"10.153311,76.413948",0,15,87
1740322407,2025-02-23T14:53:27Z,AIC504,"10.153334,76.414421",0,14,87
1740322414,2025-02-23T14:53:34Z,AIC504,"10.153346,76.414764",0,11,87
1740322421,2025-02-23T14:53:41Z,AIC504,"10.153358,76.415115",0,9,87
1740322428,2025-02-23T14:53:48Z,AIC504,"10.153358,76.415451",0,9,90
1740322435,2025-02-23T14:53:55Z,AIC504,"10.153288,76.415665",0,8,109
1740322444,2025-02-23T14:54:04Z,AIC504,"10.153054,76.415871",0,7,146
1740322452,2025-02-23T14:54:12Z,AIC504,"10.152799,76.415878",0,5,174
1740322701,2025-02-23T14:58:21Z,AIC504,"10.152557,76.415894",0,7,177
1740322710,2025-02-23T14:58:30Z,AIC504,"10.152123,76.415901",0,11,177
1740322714,2025-02-23T14:58:34Z,AIC504,"10.151915,76.415878",0,11,188
1740322720,2025-02-23T14:58:40Z,AIC504,"10.151699,76.41571",0,10,225
1740322725,2025-02-23T14:58:45Z,AIC504,"10.151635,76.415474",0,9,253
1740322732,2025-02-23T14:58:52Z,AIC504,"10.151611,76.415237",0,8,264
1740322736,2025-02-23T14:58:56Z,AIC504,"10.1516,76.415024",0,12,267
1740322740,2025-02-23T14:59:00Z,AIC504,"10.151588,76.414787",0,17,267
1740322741,2025-02-23T14:59:01Z,AIC504,"10.151588,76.414543",0,24,267
1740322743,2025-02-23T14:59:03Z,AIC504,"10.151573,76.414215",0,33,267
1740322746,2025-02-23T14:59:06Z,AIC504,"10.151539,76.413414",0,48,267
1740322748,2025-02-23T14:59:08Z,AIC504,"10.151519,76.413094",0,53,267
1740322751,2025-02-23T14:59:11Z,AIC504,"10.151482,76.411903",0,72,267
1740322760,2025-02-23T14:59:20Z,AIC504,"10.151367,76.408539",0,0,268
1740322782,2025-02-23T14:59:42Z,AIC504,"10.150762,76.392769",325,160,267
1740322789,2025-02-23T14:59:49Z,AIC504,"10.150529,76.387558",550,160,267
1740322798,2025-02-23T14:59:58Z,AIC504,"10.150269,76.380959",950,156,267
1740322804,2025-02-23T15:00:04Z,AIC504,"10.150017,76.376144",1250,153,267
1740322811,2025-02-23T15:00:11Z,AIC504,"10.149719,76.371597",1525,151,266
1740322820,2025-02-23T15:00:20Z,AIC504,"10.149261,76.364853",1825,153,265
1740322829,2025-02-23T15:00:29Z,AIC504,"10.148712,76.358147",2000,164,265
1740322835,2025-02-23T15:00:35Z,AIC504,"10.148346,76.35321",2125,173,265
1740322844,2025-02-23T15:00:44Z,AIC504,"10.148062,76.345985",2300,185,270
1740322846,2025-02-23T15:00:46Z,AIC504,"10.1483,76.343857",2325,189,276
1740322848,2025-02-23T15:00:48Z,AIC504,"10.148527,76.342384",2350,191,280
1740322850,2025-02-23T15:00:50Z,AIC504,"10.149179,76.340019",2400,194,284
1740322853,2025-02-23T15:00:53Z,AIC504,"10.149811,76.338318",2450,196,288
1740322855,2025-02-23T15:00:55Z,AIC504,"10.150635,76.336502",2475,199,293
1740322857,2025-02-23T15:00:57Z,AIC504,"10.151879,76.334381",2500,201,297
1740322859,2025-02-23T15:00:59Z,AIC504,"10.153043,76.332771",2550,204,302
1740322861,2025-02-23T15:01:01Z,AIC504,"10.154253,76.331306",2575,207,309
1740322863,2025-02-23T15:01:03Z,AIC504,"10.155557,76.329979",2600,210,313
1740322865,2025-02-23T15:01:05Z,AIC504,"10.157372,76.328369",2650,213,318
1740322868,2025-02-23T15:01:08Z,AIC504,"10.159195,76.327003",2675,216,322
1740322870,2025-02-23T15:01:10Z,AIC504,"10.160957,76.325905",2725,218,326
1740322872,2025-02-23T15:01:12Z,AIC504,"10.162766,76.324951",2750,226,330
1740322874,2025-02-23T15:01:14Z,AIC504,"10.165007,76.324059",2825,227,334
1740322876,2025-02-23T15:01:16Z,AIC504,"10.167114,76.323418",2875,226,341
1740322878,2025-02-23T15:01:18Z,AIC504,"10.169662,76.32283",2975,226,346
1740322881,2025-02-23T15:01:21Z,AIC504,"10.171738,76.322487",3050,227,349
1740322883,2025-02-23T15:01:23Z,AIC504,"10.174131,76.322166",3150,226,352
1740322885,2025-02-23T15:01:25Z,AIC504,"10.176366,76.321976",3250,226,353
1740322887,2025-02-23T15:01:27Z,AIC504,"10.178558,76.321785",3325,227,355
1740322889,2025-02-23T15:01:29Z,AIC504,"10.180527,76.321648",3400,229,355
1740322891,2025-02-23T15:01:31Z,AIC504,"10.183163,76.321503",3475,231,356
1740322894,2025-02-23T15:01:34Z,AIC504,"10.185699,76.32132",3550,233,356
1740322896,2025-02-23T15:01:36Z,AIC504,"10.187678,76.321213",3600,235,356
1740322898,2025-02-23T15:01:38Z,AIC504,"10.190425,76.32103",3650,239,356
1740322900,2025-02-23T15:01:40Z,AIC504,"10.192474,76.320854",3700,240,356
1740322902,2025-02-23T15:01:42Z,AIC504,"10.195267,76.320671",3750,243,355
1740322904,2025-02-23T15:01:44Z,AIC504,"10.197221,76.320503",3800,246,355
1740322906,2025-02-23T15:01:46Z,AIC504,"10.199799,76.320343",3875,247,355
1740322909,2025-02-23T15:01:49Z,AIC504,"10.202316,76.320114",3975,248,355
1740322911,2025-02-23T15:01:51Z,AIC504,"10.204623,76.319939",4050,249,355
1740322917,2025-02-23T15:01:57Z,AIC504,"10.211884,76.319275",4350,251,354
1740322926,2025-02-23T15:02:06Z,AIC504,"10.222778,76.318108",4825,250,354
1740322934,2025-02-23T15:02:14Z,AIC504,"10.232601,76.317093",5250,249,354
1740322943,2025-02-23T15:02:23Z,AIC504,"10.24247,76.317429",5650,245,4
1740322945,2025-02-23T15:02:25Z,AIC504,"10.244614,76.317833",5750,243,10
1740322947,2025-02-23T15:02:27Z,AIC504,"10.246674,76.318298",5850,242,13
1740322949,2025-02-23T15:02:29Z,AIC504,"10.249146,76.319138",5975,240,17
1740322951,2025-02-23T15:02:31Z,AIC504,"10.251114,76.319878",6075,239,20
1740322953,2025-02-23T15:02:33Z,AIC504,"10.253128,76.320808",6175,236,23
1740322956,2025-02-23T15:02:36Z,AIC504,"10.256017,76.322166",6350,235,25
1740322958,2025-02-23T15:02:38Z,AIC504,"10.258018,76.323158",6475,234,26
1740322960,2025-02-23T15:02:40Z,AIC504,"10.259857,76.32412",6575,233,26
1740322962,2025-02-23T15:02:42Z,AIC504,"10.261826,76.325142",6700,233,26
1740322964,2025-02-23T15:02:44Z,AIC504,"10.26393,76.326187",6825,233,26
1740322967,2025-02-23T15:02:47Z,AIC504,"10.266072,76.327278",6950,232,26
1740322969,2025-02-23T15:02:49Z,AIC504,"10.267887,76.328178",7050,232,26
1740322971,2025-02-23T15:02:51Z,AIC504,"10.269928,76.329239",7150,232,26
1740322973,2025-02-23T15:02:53Z,AIC504,"10.27231,76.330406",7300,232,26
1740322975,2025-02-23T15:02:55Z,AIC504,"10.274451,76.33149",7400,232,26
1740322977,2025-02-23T15:02:57Z,AIC504,"10.27684,76.33268",7525,232,26
1740322990,2025-02-23T15:03:10Z,AIC504,"10.289069,76.338692",8075,235,25
1740323003,2025-02-23T15:03:23Z,AIC504,"10.302246,76.345253",8700,237,26
1740323016,2025-02-23T15:03:36Z,AIC504,"10.314835,76.351532",9325,237,26
1740323029,2025-02-23T15:03:49Z,AIC504,"10.328018,76.358238",9925,239,26
1740323043,2025-02-23T15:04:03Z,AIC504,"10.341293,76.36499",10375,248,26
1740323058,2025-02-23T15:04:18Z,AIC504,"10.35778,76.373398",10625,267,26
1740323070,2025-02-23T15:04:30Z,AIC504,"10.372147,76.380768",10950,279,26
1740323083,2025-02-23T15:04:43Z,AIC504,"10.387992,76.388794",11425,287,26
1740323096,2025-02-23T15:04:56Z,AIC504,"10.403261,76.396507",11850,295,26
1740323110,2025-02-23T15:05:10Z,AIC504,"10.419754,76.404884",12325,300,26
1740323142,2025-02-23T15:05:42Z,AIC504,"10.461125,76.425873",13550,311,26
1740323173,2025-02-23T15:06:13Z,AIC504,"10.501694,76.446609",14650,321,27
1740323206,2025-02-23T15:06:46Z,AIC504,"10.545959,76.469154",15725,327,26
1740323239,2025-02-23T15:07:19Z,AIC504,"10.590634,76.491875",16800,333,26
1740323269,2025-02-23T15:07:49Z,AIC504,"10.633043,76.513466",17925,333,26
1740323300,2025-02-23T15:08:20Z,AIC504,"10.675778,76.53524",18875,338,26
1740323332,2025-02-23T15:08:52Z,AIC504,"10.721512,76.558609",19950,340,26
1740323363,2025-02-23T15:09:23Z,AIC504,"10.765531,76.58107",20675,351,26
1740323396,2025-02-23T15:09:56Z,AIC504,"10.814178,76.605881",21500,359,26
1740323426,2025-02-23T15:10:26Z,AIC504,"10.860125,76.62925",22225,368,26
1740323457,2025-02-23T15:10:57Z,AIC504,"10.908096,76.653793",23000,374,26
1740323490,2025-02-23T15:11:30Z,AIC504,"10.958444,76.679512",24075,370,26
1740323520,2025-02-23T15:12:00Z,AIC504,"11.004716,76.70327",25175,364,26
1740323553,2025-02-23T15:12:33Z,AIC504,"11.053482,76.728134",25825,371,26
1740323583,2025-02-23T15:13:03Z,AIC504,"11.100998,76.752335",26375,378,26
1740323615,2025-02-23T15:13:35Z,AIC504,"11.151627,76.778236",26925,386,26
1740323645,2025-02-23T15:14:05Z,AIC504,"11.200516,76.803291",27475,392,26
1740323677,2025-02-23T15:14:37Z,AIC504,"11.252653,76.829994",27975,396,26
1740323710,2025-02-23T15:15:10Z,AIC504,"11.306375,76.85746",28525,399,26
1740323740,2025-02-23T15:15:40Z,AIC504,"11.356796,76.88327",29025,400,26
1740323772,2025-02-23T15:16:12Z,AIC504,"11.412003,76.907799",29575,400,23
1740323803,2025-02-23T15:16:43Z,AIC504,"11.464233,76.930511",30125,402,23
1740323836,2025-02-23T15:17:16Z,AIC504,"11.521446,76.952675",30675,400,18
1740323866,2025-02-23T15:17:46Z,AIC504,"11.57568,76.97065",31175,403,18
1740323899,2025-02-23T15:18:19Z,AIC504,"11.633102,76.989822",31675,404,18
1740323929,2025-02-23T15:18:49Z,AIC504,"11.687714,77.008102",32200,405,18
1740323961,2025-02-23T15:19:21Z,AIC504,"11.744339,77.027039",32600,407,18
1740323991,2025-02-23T15:19:51Z,AIC504,"11.8002,77.045624",32950,411,18
1740324024,2025-02-23T15:20:24Z,AIC504,"11.858139,77.064972",33325,414,18
1740324054,2025-02-23T15:20:54Z,AIC504,"11.913277,77.083405",33700,415,18
1740324085,2025-02-23T15:21:25Z,AIC504,"11.971207,77.10276",34050,418,18
1740324117,2025-02-23T15:21:57Z,AIC504,"12.030774,77.122673",34450,418,18
1740324148,2025-02-23T15:22:28Z,AIC504,"12.086517,77.141312",34800,418,18
1740324181,2025-02-23T15:23:01Z,AIC504,"12.146942,77.161575",35050,422,18
