Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741446275,2025-03-08T15:04:35Z,AIC504,"10.154366,76.390968",0,0,357
1741446604,2025-03-08T15:10:04Z,AIC504,"10.15416,76.390968",0,1,354
1741446631,2025-03-08T15:10:31Z,AIC504,"10.153954,76.390991",0,1,2
1741446662,2025-03-08T15:11:02Z,AIC504,"10.153713,76.390991",0,0,28
1741446698,2025-03-08T15:11:38Z,AIC504,"10.153507,76.390869",0,1,75
1741446730,2025-03-08T15:12:10Z,AIC504,"10.15345,76.390663",0,1,90
1741446808,2025-03-08T15:13:28Z,AIC504,"10.153439,76.39045",0,1,90
1741446833,2025-03-08T15:13:53Z,AIC504,"10.15345,76.390244",0,2,84
1741447195,2025-03-08T15:19:55Z,AIC504,"10.15345,76.39048",0,5,87
1741447203,2025-03-08T15:20:03Z,AIC504,"10.153461,76.390701",0,6,87
1741447211,2025-03-08T15:20:11Z,AIC504,"10.153461,76.390923",0,8,87
1741447224,2025-03-08T15:20:24Z,AIC504,"10.153485,76.391541",0,9,87
1741447232,2025-03-08T15:20:32Z,AIC504,"10.153496,76.391899",0,9,87
1741447243,2025-03-08T15:20:43Z,AIC504,"10.153519,76.392433",0,11,87
1741447251,2025-03-08T15:20:51Z,AIC504,"10.153542,76.392883",0,12,87
1741447265,2025-03-08T15:21:05Z,AIC504,"10.153576,76.393768",0,15,87
1741447275,2025-03-08T15:21:15Z,AIC504,"10.153587,76.394424",0,9,87
1741447289,2025-03-08T15:21:29Z,AIC504,"10.153613,76.394844",0,6,87
1741447302,2025-03-08T15:21:42Z,AIC504,"10.153474,76.395103",0,6,135
1741447310,2025-03-08T15:21:50Z,AIC504,"10.153241,76.395103",0,7,174
1741447318,2025-03-08T15:21:58Z,AIC504,"10.153008,76.395111",0,6,177
1741447326,2025-03-08T15:22:06Z,AIC504,"10.152776,76.39521",0,7,151
1741447335,2025-03-08T15:22:15Z,AIC504,"10.15266,76.395424",0,6,118
1741447343,2025-03-08T15:22:23Z,AIC504,"10.152649,76.395699",0,7,92
1741447359,2025-03-08T15:22:39Z,AIC504,"10.152683,76.396271",0,8,87
1741447367,2025-03-08T15:22:47Z,AIC504,"10.152695,76.396645",0,9,87
1741447380,2025-03-08T15:23:00Z,AIC504,"10.152718,76.39727",0,11,87
1741447390,2025-03-08T15:23:10Z,AIC504,"10.15274,76.397842",0,12,87
1741447397,2025-03-08T15:23:17Z,AIC504,"10.152752,76.398277",0,13,87
1741447501,2025-03-08T15:25:01Z,AIC504,"10.153095,76.407585",0,0,87
1741447508,2025-03-08T15:25:08Z,AIC504,"10.153113,76.408287",0,24,87
1741447516,2025-03-08T15:25:16Z,AIC504,"10.153159,76.409248",0,25,87
1741447523,2025-03-08T15:25:23Z,AIC504,"10.153183,76.41011",0,25,87
1741447531,2025-03-08T15:25:31Z,AIC504,"10.153221,76.41098",0,22,87
1741447538,2025-03-08T15:25:38Z,AIC504,"10.153241,76.411781",0,20,87
1741447546,2025-03-08T15:25:46Z,AIC504,"10.153275,76.412445",0,18,87
