Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740936669,2025-03-02T17:31:09Z,AIC506,"10.153753,76.392097",0,2,28
1740936697,2025-03-02T17:31:37Z,AIC506,"10.153532,76.391953",0,1,81
1740936818,2025-03-02T17:33:38Z,AIC506,"10.153462,76.392227",0,7,104
1740936828,2025-03-02T17:33:48Z,AIC506,"10.153118,76.39241",0,9,165
1740936836,2025-03-02T17:33:56Z,AIC506,"10.152832,76.392456",0,9,165
1740936844,2025-03-02T17:34:04Z,AIC506,"10.152577,76.392792",0,10,115
1740936850,2025-03-02T17:34:10Z,AIC506,"10.152566,76.393044",0,9,95
1740936856,2025-03-02T17:34:16Z,AIC506,"10.152569,76.393394",0,13,87
1740936860,2025-03-02T17:34:20Z,AIC506,"10.15258,76.393669",0,14,87
1740936864,2025-03-02T17:34:24Z,AIC506,"10.152603,76.393921",0,14,87
1740936868,2025-03-02T17:34:28Z,AIC506,"10.152603,76.394203",0,15,87
1740936871,2025-03-02T17:34:31Z,AIC506,"10.152615,76.394432",0,17,87
1740936874,2025-03-02T17:34:34Z,AIC506,"10.152626,76.394691",0,18,87
1740936877,2025-03-02T17:34:37Z,AIC506,"10.152637,76.394943",0,19,87
1740936883,2025-03-02T17:34:43Z,AIC506,"10.152649,76.395554",0,21,87
1740936897,2025-03-02T17:34:57Z,AIC506,"10.152718,76.397087",0,23,87
1740936919,2025-03-02T17:35:19Z,AIC506,"10.15281,76.399529",0,0,87
1740936991,2025-03-02T17:36:31Z,AIC506,"10.153148,76.408798",0,27,87
1740936997,2025-03-02T17:36:37Z,AIC506,"10.153187,76.409653",0,28,87
1740937005,2025-03-02T17:36:45Z,AIC506,"10.153217,76.410667",0,26,87
1740937012,2025-03-02T17:36:52Z,AIC506,"10.153253,76.411537",0,25,87
1740937019,2025-03-02T17:36:59Z,AIC506,"10.153278,76.412399",0,26,87
1740937027,2025-03-02T17:37:07Z,AIC506,"10.153322,76.4133",0,25,87
1740937033,2025-03-02T17:37:13Z,AIC506,"10.153346,76.414078",0,23,87
1740937040,2025-03-02T17:37:20Z,AIC506,"10.153369,76.41478",0,20,87
1740937047,2025-03-02T17:37:27Z,AIC506,"10.15338,76.415321",0,13,87
1740937053,2025-03-02T17:37:33Z,AIC506,"10.153369,76.415558",0,9,95
1740937058,2025-03-02T17:37:38Z,AIC506,"10.153255,76.415764",0,10,120
1740937064,2025-03-02T17:37:44Z,AIC506,"10.15302,76.415894",0,10,154
1740937069,2025-03-02T17:37:49Z,AIC506,"10.152787,76.415878",0,9,177
1740937075,2025-03-02T17:37:55Z,AIC506,"10.152569,76.415886",0,9,180
1740937079,2025-03-02T17:37:59Z,AIC506,"10.152363,76.415886",0,9,180
1740937086,2025-03-02T17:38:06Z,AIC506,"10.152042,76.415894",0,8,180
1740937094,2025-03-02T17:38:14Z,AIC506,"10.151836,76.415886",0,5,185
1740937106,2025-03-02T17:38:26Z,AIC506,"10.151658,76.41568",0,4,233
1740937117,2025-03-02T17:38:37Z,AIC506,"10.151647,76.415466",0,5,261
1740937126,2025-03-02T17:38:46Z,AIC506,"10.151653,76.415199",0,12,267
1740937129,2025-03-02T17:38:49Z,AIC506,"10.151642,76.414902",0,19,267
1740937131,2025-03-02T17:38:51Z,AIC506,"10.15163,76.41468",0,28,267
1740937133,2025-03-02T17:38:53Z,AIC506,"10.151623,76.41436",0,38,267
1740937135,2025-03-02T17:38:55Z,AIC506,"10.151588,76.413818",0,48,267
1740937137,2025-03-02T17:38:57Z,AIC506,"10.151577,76.413559",0,52,267
1740937138,2025-03-02T17:38:58Z,AIC506,"10.151577,76.413239",0,62,267
1740937148,2025-03-02T17:39:08Z,AIC506,"10.151413,76.40963",0,0,267
1740937154,2025-03-02T17:39:14Z,AIC506,"10.15132,76.406929",100,118,267
1740937170,2025-03-02T17:39:30Z,AIC506,"10.150808,76.394424",250,161,267
1740937178,2025-03-02T17:39:38Z,AIC506,"10.150576,76.388649",500,160,268
1740937186,2025-03-02T17:39:46Z,AIC506,"10.150589,76.381935",825,161,270
1740937193,2025-03-02T17:39:53Z,AIC506,"10.150716,76.376999",1050,161,271
1740937195,2025-03-02T17:39:55Z,AIC506,"10.150772,76.37542",1125,161,272
1740937197,2025-03-02T17:39:57Z,AIC506,"10.150808,76.37397",1200,161,272
1740937199,2025-03-02T17:39:59Z,AIC506,"10.150864,76.372345",1275,161,272
1740937201,2025-03-02T17:40:01Z,AIC506,"10.150949,76.370705",1375,161,272
1740937203,2025-03-02T17:40:03Z,AIC506,"10.150994,76.369041",1450,161,272
1740937205,2025-03-02T17:40:05Z,AIC506,"10.151047,76.367874",1525,161,272
1740937214,2025-03-02T17:40:14Z,AIC506,"10.151321,76.361267",1825,165,272
1740937222,2025-03-02T17:40:22Z,AIC506,"10.151506,76.354599",2025,176,271
1740937231,2025-03-02T17:40:31Z,AIC506,"10.151642,76.347298",2275,185,271
1740937237,2025-03-02T17:40:37Z,AIC506,"10.152145,76.34185",2450,196,278
1740937239,2025-03-02T17:40:39Z,AIC506,"10.152603,76.33976",2500,199,283
1740937241,2025-03-02T17:40:41Z,AIC506,"10.153152,76.337852",2550,203,287
1740937243,2025-03-02T17:40:43Z,AIC506,"10.153839,76.336037",2600,206,291
1740937245,2025-03-02T17:40:45Z,AIC506,"10.154673,76.33419",2650,210,295
1740937247,2025-03-02T17:40:47Z,AIC506,"10.155716,76.332359",2700,213,300
1740937250,2025-03-02T17:40:50Z,AIC506,"10.156954,76.330544",2775,217,305
1740937252,2025-03-02T17:40:52Z,AIC506,"10.158303,76.328934",2800,222,312
1740937254,2025-03-02T17:40:54Z,AIC506,"10.15979,76.327423",2850,225,317
1740937256,2025-03-02T17:40:56Z,AIC506,"10.161484,76.325981",2900,228,321
1740937258,2025-03-02T17:40:58Z,AIC506,"10.163796,76.324295",2975,231,325
1740937260,2025-03-02T17:41:00Z,AIC506,"10.165695,76.32309",3025,234,328
1740937262,2025-03-02T17:41:02Z,AIC506,"10.167707,76.32193",3100,236,330
1740937265,2025-03-02T17:41:05Z,AIC506,"10.170135,76.320671",3175,238,332
1740937267,2025-03-02T17:41:07Z,AIC506,"10.172287,76.319695",3250,241,335
1740937269,2025-03-02T17:41:09Z,AIC506,"10.173889,76.319092",3300,243,339
1740937271,2025-03-02T17:41:11Z,AIC506,"10.176498,76.318298",3400,246,344
1740937273,2025-03-02T17:41:13Z,AIC506,"10.179108,76.317696",3475,248,348
1740937276,2025-03-02T17:41:16Z,AIC506,"10.181992,76.317322",3550,251,352
1740937278,2025-03-02T17:41:18Z,AIC506,"10.18442,76.317192",3625,255,358
1740937280,2025-03-02T17:41:20Z,AIC506,"10.186844,76.31723",3675,257,2
1740937282,2025-03-02T17:41:22Z,AIC506,"10.18927,76.317459",3750,258,4
1740937284,2025-03-02T17:41:24Z,AIC506,"10.191559,76.317833",3800,261,11
1740937286,2025-03-02T17:41:26Z,AIC506,"10.194397,76.318527",3875,262,13
1740937288,2025-03-02T17:41:28Z,AIC506,"10.196663,76.319275",3950,266,19
1740937290,2025-03-02T17:41:30Z,AIC506,"10.199158,76.320297",4025,267,22
1740937292,2025-03-02T17:41:32Z,AIC506,"10.201597,76.321404",4125,268,24
1740937294,2025-03-02T17:41:34Z,AIC506,"10.203738,76.322449",4225,268,25
1740937297,2025-03-02T17:41:37Z,AIC506,"10.206346,76.323776",4350,269,26
1740937299,2025-03-02T17:41:39Z,AIC506,"10.208588,76.324905",4450,268,27
1740937301,2025-03-02T17:41:41Z,AIC506,"10.211419,76.326378",4625,268,27
1740937303,2025-03-02T17:41:43Z,AIC506,"10.213887,76.32766",4750,267,27
1740937305,2025-03-02T17:41:45Z,AIC506,"10.215981,76.328743",4875,267,27
1740937308,2025-03-02T17:41:48Z,AIC506,"10.218796,76.330215",5025,267,27
1740937310,2025-03-02T17:41:50Z,AIC506,"10.22113,76.331375",5150,266,27
1740937312,2025-03-02T17:41:52Z,AIC506,"10.223465,76.332588",5300,266,26
1740937314,2025-03-02T17:41:54Z,AIC506,"10.225571,76.333656",5425,266,26
1740937316,2025-03-02T17:41:56Z,AIC506,"10.227713,76.334709",5550,265,26
1740937329,2025-03-02T17:42:09Z,AIC506,"10.241818,76.341766",6400,260,26
1740937344,2025-03-02T17:42:24Z,AIC506,"10.258111,76.349869",7125,267,26
1740937356,2025-03-02T17:42:36Z,AIC506,"10.272635,76.357063",7700,272,26
1740937370,2025-03-02T17:42:50Z,AIC506,"10.288101,76.364708",8325,277,26
1740937384,2025-03-02T17:43:04Z,AIC506,"10.304478,76.372787",8975,281,26
1740937397,2025-03-02T17:43:17Z,AIC506,"10.319747,76.380363",9600,267,24
1740937410,2025-03-02T17:43:30Z,AIC506,"10.335022,76.387848",10225,288,26
1740937425,2025-03-02T17:43:45Z,AIC506,"10.353516,76.397064",10600,306,26
1740937438,2025-03-02T17:43:58Z,AIC506,"10.371047,76.405746",10825,325,26
1740937451,2025-03-02T17:44:11Z,AIC506,"10.389761,76.415024",11050,342,26
1740937464,2025-03-02T17:44:24Z,AIC506,"10.408951,76.42453",11350,354,26
1740937478,2025-03-02T17:44:38Z,AIC506,"10.429688,76.434769",11825,360,26
1740937492,2025-03-02T17:44:52Z,AIC506,"10.449509,76.444595",12350,364,26
1740937522,2025-03-02T17:45:22Z,AIC506,"10.495972,76.467445",13675,364,26
1740937555,2025-03-02T17:45:55Z,AIC506,"10.547195,76.492828",14600,381,26
1740937588,2025-03-02T17:46:28Z,AIC506,"10.60041,76.519196",15550,393,26
