timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1739976559,10.154017900826446,76.39047789256198,0,5,90,0,29.3,63,22.0,,1008.0,4,32.3,21.6,10.0,25.3,7.0,104,-0.9702957262759964,-0.2419218955996677
1739977539,10.52494948845709,76.58234041490832,15750,342,31,1,38.7,14,17.6,,1006.0,0,38.0,6.5,10.0,20.3,9.0,104,0.9902680687415704,0.1391731009600654
1739977602,10.617069570211369,76.62216510414866,17500,367,31,2,38.7,14,17.6,,1006.0,0,38.0,6.5,10.0,20.3,9.0,104,0.9902680687415704,0.1391731009600654
1739977666,10.744981640783465,76.67727378319731,18925,391,31,3,38.7,14,17.6,,1006.0,0,38.0,6.5,10.0,20.3,9.0,104,0.9902680687415704,0.1391731009600654
1739977762,10.899405328999595,76.74344717611365,21425,412,31,4,38.7,14,17.6,,1006.0,0,38.0,6.5,10.0,20.3,9.0,104,0.9902680687415704,0.1391731009600654
1739977857,11.07166335498608,76.81661927614557,24200,410,31,5,34.6,20,15.1,,1008.0,0,32.8,8.3,10.0,17.4,8.0,104,0.9986295347545738,0.0523359562429439
1739977952,11.254918481248897,76.89334782375633,26150,423,31,6,34.3,23,13.3,,1008.0,2,32.9,10.3,10.0,15.3,8.0,104,0.9659258262890684,-0.2588190451025208
1739978047,11.44454794709975,76.97095810335946,27650,439,31,7,26.6,24,10.8,,1010.0,4,25.3,4.4,10.0,17.6,7.0,104,0.9876883405951378,-0.1564344650402308
1739978158,11.63785731954636,77.0474945942375,29000,456,19,8,35.2,23,12.6,,1008.0,3,34.0,10.8,10.0,14.5,9.0,104,0.8290375725550417,-0.5591929034707467
1739978256,11.833494424130452,77.12161414327043,30125,467,19,9,33.5,19,8.3,,1008.0,5,31.4,6.9,10.0,9.5,8.0,104,0.898794046299167,0.4383711467890774
1739978350,12.03087143732882,77.19247040309878,31300,474,19,10,33.5,19,8.3,,1008.0,5,31.4,6.9,10.0,9.5,8.0,104,0.898794046299167,0.4383711467890774
1739978447,12.229756394910057,77.2595690764727,32000,465,19,11,33.5,19,8.3,,1008.0,5,31.4,6.9,10.0,9.5,8.0,104,0.898794046299167,0.4383711467890774
1739978540,12.430055800735406,77.32257733830143,32000,465,19,12,34.4,19,13.0,,1008.0,6,32.5,7.3,10.0,14.9,8.0,104,0.9781476007338056,0.2079116908177594
1739978635,12.631734769849054,77.3811148470132,32000,468,19,13,34.4,19,13.0,,1008.0,6,32.5,7.3,10.0,14.9,8.0,104,0.9781476007338056,0.2079116908177594
1739978732,12.834790468126208,77.43463524515647,32000,469,19,14,34.2,18,6.8,,1007.0,5,32.2,6.3,10.0,7.9,8.0,104,0.9743700647852352,0.2249510543438649
1739978829,13.039223980977884,77.4824671605901,32000,470,19,15,32.7,19,12.6,,1008.0,5,30.6,5.8,10.0,14.5,8.0,104,0.90630778703665,0.4226182617406994
1739978923,13.244996785214935,77.52401362931182,32425,472,16,16,32.7,18,13.0,,1008.0,4,30.5,5.7,10.0,14.9,8.0,104,0.8090169943749475,0.5877852522924731
1739979019,13.451989295996071,77.55902710723274,34100,460,8,17,32.7,18,13.0,,1008.0,4,30.5,5.7,10.0,14.9,8.0,104,0.8090169943749475,0.5877852522924731
1739979114,13.659994178725311,77.58779570085025,35575,451,7,18,34.1,18,12.2,,1008.0,6,32.2,6.6,10.0,14.1,8.0,104,0.3583679495453002,0.9335804264972016
1739979210,13.868748876439234,77.61114370801404,36000,448,3,19,34.1,18,12.2,,1008.0,6,32.2,6.6,10.0,14.1,8.0,104,0.3583679495453002,0.9335804264972016
1739979306,14.077990257207029,77.63024763818038,36000,445,3,20,34.1,18,12.2,,1008.0,6,32.2,6.6,10.0,14.1,8.0,104,0.3583679495453002,0.9335804264972016
1739979403,14.287502572763692,77.64636542437388,35975,446,3,21,35.3,18,8.3,,1007.0,3,33.5,7.3,10.0,9.5,9.0,104,0.4999999999999999,0.8660254037844387
1739979531,14.497139395577216,77.66060057517282,36000,446,3,22,35.3,18,8.3,,1007.0,3,33.5,7.3,10.0,9.5,9.0,104,0.4999999999999999,0.8660254037844387
1739979628,14.706818779333634,77.67377669015137,36025,448,3,23,35.2,18,4.7,,1007.0,2,33.5,7.4,10.0,5.4,9.0,104,0.8746197071393957,0.4848096202463371
1739979724,14.91650406629048,77.68642575674392,36000,448,3,24,35.2,18,2.2,,1007.0,6,33.4,7.1,10.0,2.5,9.0,104,0.3420201433256689,-0.9396926207859084
1739979819,15.12618327321229,77.69884830309104,36000,447,3,25,35.2,18,2.2,,1007.0,6,33.4,7.1,10.0,2.5,9.0,104,0.3420201433256689,-0.9396926207859084
1739979915,15.335854622882383,77.71119366446507,36000,448,3,26,35.2,18,2.2,,1007.0,6,33.4,7.1,10.0,2.5,9.0,104,0.3420201433256689,-0.9396926207859084
1739980040,15.545519137654669,77.72352719827802,36000,446,3,27,35.2,18,2.2,,1007.0,6,33.4,7.1,10.0,2.5,9.0,104,0.3420201433256689,-0.9396926207859084
1739980133,15.75517799606715,77.73587310045372,36000,446,3,28,35.4,18,2.9,,1007.0,4,33.7,7.1,10.0,3.3,9.0,104,-0.6427876096865396,0.7660444431189778
1739980228,15.96483193622853,77.74823846051845,36000,447,3,29,35.1,18,1.8,,1007.0,5,33.3,6.9,10.0,2.1,9.0,104,-0.9945218953682734,0.1045284632676529
1739980324,16.174481506674212,77.76062136448084,36025,448,3,30,35.1,18,1.8,,1007.0,5,33.3,6.9,10.0,2.1,9.0,104,-0.9945218953682734,0.1045284632676529
1739980420,16.384128168678938,77.77301014124134,36000,442,3,31,35.1,18,1.8,,1007.0,5,33.3,6.9,10.0,2.1,9.0,104,-0.9945218953682734,0.1045284632676529
1739980545,16.593774567840622,77.78537760976337,36025,444,3,32,33.9,19,8.3,,1008.0,9,31.9,7.4,10.0,9.5,8.0,104,-0.8090169943749473,-0.5877852522924732
1739980643,16.80342580561688,77.79767189183654,36025,440,3,33,33.9,19,8.3,,1008.0,9,31.9,7.4,10.0,9.5,8.0,104,-0.8090169943749473,-0.5877852522924732
1739980736,17.01309018178446,77.80980952963448,36000,427,3,34,34.8,17,8.6,,1008.0,6,32.9,6.2,10.0,9.9,8.0,104,-0.9876883405951378,0.1564344650402306
1739980833,17.222771830181234,77.82169543604259,36000,431,3,35,33.8,17,8.6,,1008.0,4,31.7,5.0,10.0,10.0,8.0,104,-0.9563047559630354,0.2923717047227367
1739980962,17.43247073978548,77.83324229819674,36025,429,3,36,33.8,17,8.6,,1008.0,4,31.7,5.0,10.0,10.0,8.0,104,-0.9563047559630354,0.2923717047227367
1739981056,17.642155763226675,77.84446492845426,35950,426,3,37,33.8,17,8.6,,1008.0,4,31.7,5.0,10.0,10.0,8.0,104,-0.9563047559630354,0.2923717047227367
1739981151,17.851726598774675,77.85558936770911,36000,428,3,38,34.8,15,11.9,,1008.0,4,32.9,4.2,10.0,13.7,8.0,104,-0.1908089953765446,0.981627183447664
1739981277,18.06094984876272,77.8671754652133,36050,433,3,39,34.8,15,11.9,,1008.0,4,32.9,4.2,10.0,13.7,8.0,104,-0.1908089953765446,0.981627183447664
1739981371,18.269377198585083,77.88019984581798,35950,442,3,40,35.7,14,12.2,,1007.0,4,34.1,4.5,10.0,14.1,9.0,104,-0.7193398003386511,0.6946583704589973
1739981461,18.476278771059548,77.89602257846406,36000,416,330,41,35.7,14,12.2,,1007.0,4,34.1,4.5,10.0,14.1,9.0,104,-0.7193398003386511,0.6946583704589973
1739981507,18.680658965624385,77.91613679507235,35900,401,308,42,35.7,14,12.2,,1007.0,4,34.1,4.5,10.0,14.1,9.0,104,-0.7193398003386511,0.6946583704589973
1739981726,18.88143274323792,77.94162674346428,32425,453,9,43,35.7,14,12.2,,1007.0,4,34.1,4.5,10.0,14.1,9.0,104,-0.7193398003386511,0.6946583704589973
1739981821,19.077784501635573,77.97239697917226,32000,451,9,44,35.7,14,14.8,,1007.0,4,34.1,4.2,10.0,17.0,9.0,104,-0.6560590289905074,0.7547095802227719
1739981915,19.269604984724825,78.00647351445231,32025,453,9,45,35.7,14,14.8,,1007.0,4,34.1,4.2,10.0,17.0,9.0,104,-0.6560590289905074,0.7547095802227719
1739982009,19.45777945373584,78.03984854454167,32025,454,9,46,35.1,13,15.1,,1007.0,5,33.3,2.9,10.0,17.5,9.0,104,-0.6691306063588581,0.7431448254773942
1739982105,19.64410508151443,78.06721075394807,32000,441,9,47,35.1,13,15.1,,1007.0,5,33.3,2.9,10.0,17.5,9.0,104,-0.6691306063588581,0.7431448254773942
1739982199,19.83079878709301,78.08342899758975,32000,441,9,48,35.1,13,15.1,,1007.0,5,33.3,2.9,10.0,17.5,9.0,104,-0.6691306063588581,0.7431448254773942
1739982263,20.01981126828749,78.08513667860795,32000,440,9,49,35.4,13,17.6,,1007.0,6,33.7,2.5,10.0,20.3,9.0,104,-0.8191520442889918,0.573576436351046
1739982356,20.2122903616428,78.07162948473182,31650,435,9,50,35.4,13,17.6,,1007.0,6,33.7,2.5,10.0,20.3,9.0,104,-0.8191520442889918,0.573576436351046
1739982452,20.408430720877487,78.04468713939059,30075,420,9,51,36.2,13,16.2,,1007.0,8,34.6,3.1,10.0,18.6,9.0,104,-0.9063077870366498,0.4226182617406996
1739982580,20.607700167080992,78.00756290897185,30000,401,349,52,36.2,13,16.2,,1007.0,8,34.6,3.1,10.0,18.6,9.0,104,-0.9063077870366498,0.4226182617406996
1739982674,20.80924003118961,77.96376934333017,30000,404,347,53,34.8,13,19.8,,1007.0,28,32.9,1.9,10.0,22.8,8.0,104,-0.9205048534524404,0.3907311284892735
1739982771,21.012216032710207,77.9162191598947,30050,405,346,54,34.8,13,19.8,,1007.0,28,32.9,1.9,10.0,22.8,8.0,104,-0.9205048534524404,0.3907311284892735
1739982896,21.216006513992102,77.86693029635633,30000,401,346,55,33.3,14,20.2,,1008.0,14,31.2,2.1,10.0,23.2,8.0,104,-0.8191520442889918,0.573576436351046
1739983022,21.42023985528106,77.81716655953001,29975,400,347,56,33.3,14,20.2,,1008.0,14,31.2,2.1,10.0,23.2,8.0,104,-0.8191520442889918,0.573576436351046
