Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739590569,2025-02-15T03:36:09Z,IGO706,"10.154277,76.389252",0,0,357
1739590661,2025-02-15T03:37:41Z,IGO706,"10.154057,76.389267",0,2,357
1739590683,2025-02-15T03:38:03Z,IGO706,"10.1538,76.389275",0,0,2
1739590699,2025-02-15T03:38:19Z,IGO706,"10.153599,76.38929",0,2,42
1739590726,2025-02-15T03:38:46Z,IGO706,"10.153416,76.389076",0,2,87
1739591126,2025-02-15T03:45:26Z,IGO706,"10.153416,76.389297",0,4,87
1739591136,2025-02-15T03:45:36Z,IGO706,"10.153427,76.389511",0,5,87
1739591144,2025-02-15T03:45:44Z,IGO706,"10.153439,76.389763",0,7,87
1739591153,2025-02-15T03:45:53Z,IGO706,"10.15345,76.390068",0,7,87
1739591160,2025-02-15T03:46:00Z,IGO706,"10.15345,76.390282",0,6,87
1739591171,2025-02-15T03:46:11Z,IGO706,"10.153346,76.390556",0,6,126
1739591180,2025-02-15T03:46:20Z,IGO706,"10.153136,76.390579",0,5,165
1739591190,2025-02-15T03:46:30Z,IGO706,"10.152912,76.390572",0,5,177
1739591202,2025-02-15T03:46:42Z,IGO706,"10.152637,76.39064",0,5,163
1739591219,2025-02-15T03:46:59Z,IGO706,"10.152485,76.390984",0,0,101
1739591229,2025-02-15T03:47:09Z,IGO706,"10.152508,76.391205",0,6,87
1739591238,2025-02-15T03:47:18Z,IGO706,"10.152427,76.391479",0,6,115
1739591247,2025-02-15T03:47:27Z,IGO706,"10.152134,76.391525",0,7,171
1739591254,2025-02-15T03:47:34Z,IGO706,"10.151879,76.391518",0,8,180
1739591260,2025-02-15T03:47:40Z,IGO706,"10.151635,76.391525",0,9,177
1739591265,2025-02-15T03:47:45Z,IGO706,"10.15139,76.391525",0,10,177
1739591271,2025-02-15T03:47:51Z,IGO706,"10.151093,76.391556",0,11,171
1739591277,2025-02-15T03:47:57Z,IGO706,"10.150832,76.391701",0,10,140
1739591284,2025-02-15T03:48:04Z,IGO706,"10.150785,76.391953",0,7,104
1739591296,2025-02-15T03:48:16Z,IGO706,"10.150806,76.392189",0,4,87
1739591304,2025-02-15T03:48:24Z,IGO706,"10.150806,76.39241",0,7,87
1739591308,2025-02-15T03:48:28Z,IGO706,"10.150818,76.392677",0,15,87
1739591313,2025-02-15T03:48:33Z,IGO706,"10.150844,76.393417",0,34,87
1739591322,2025-02-15T03:48:42Z,IGO706,"10.150878,76.394394",0,0,87
1739591348,2025-02-15T03:49:08Z,IGO706,"10.151647,76.413651",275,168,87
1739591357,2025-02-15T03:49:17Z,IGO706,"10.151833,76.420235",600,169,88
1739591363,2025-02-15T03:49:23Z,IGO706,"10.151962,76.425644",775,177,88
1739591372,2025-02-15T03:49:32Z,IGO706,"10.152112,76.433258",975,187,89
1739591381,2025-02-15T03:49:41Z,IGO706,"10.152237,76.441429",1125,200,89
1739591387,2025-02-15T03:49:47Z,IGO706,"10.152283,76.447105",1250,210,89
1739591394,2025-02-15T03:49:54Z,IGO706,"10.152345,76.453903",1425,216,89
1739591402,2025-02-15T03:50:02Z,IGO706,"10.152328,76.4627",1650,226,90
1739591408,2025-02-15T03:50:08Z,IGO706,"10.152763,76.469582",1825,230,84
1739591410,2025-02-15T03:50:10Z,IGO706,"10.153198,76.472153",1900,232,81
1739591412,2025-02-15T03:50:12Z,IGO706,"10.153702,76.474342",1950,234,77
1739591415,2025-02-15T03:50:15Z,IGO706,"10.154346,76.476349",2025,234,74
1739591417,2025-02-15T03:50:17Z,IGO706,"10.155371,76.478767",2100,236,68
1739591419,2025-02-15T03:50:19Z,IGO706,"10.156403,76.480812",2175,238,63
