Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739935696,2025-02-19T03:28:16Z,IGO706,"10.15424,76.390266",0,2,357
1739935732,2025-02-19T03:28:52Z,IGO706,"10.153816,76.390305",0,0,8
1739935754,2025-02-19T03:29:14Z,IGO706,"10.153579,76.390274",0,2,56
1739936143,2025-02-19T03:35:43Z,IGO706,"10.153416,76.390488",0,5,106
1739936153,2025-02-19T03:35:53Z,IGO706,"10.153148,76.390564",0,6,165
1739936167,2025-02-19T03:36:07Z,IGO706,"10.152904,76.390564",0,4,177
1739936179,2025-02-19T03:36:19Z,IGO706,"10.152682,76.390602",0,4,171
1739936205,2025-02-19T03:36:45Z,IGO706,"10.152485,76.3909",0,0,109
1739936250,2025-02-19T03:37:30Z,IGO706,"10.152512,76.391129",0,0,90
1739936262,2025-02-19T03:37:42Z,IGO706,"10.152485,76.391335",0,4,101
1739936276,2025-02-19T03:37:56Z,IGO706,"10.152112,76.391518",0,8,165
1739936283,2025-02-19T03:38:03Z,IGO706,"10.151802,76.391525",0,9,177
1739936288,2025-02-19T03:38:08Z,IGO706,"10.151562,76.391533",0,11,177
1739936296,2025-02-19T03:38:16Z,IGO706,"10.151138,76.391548",0,11,177
1739936305,2025-02-19T03:38:25Z,IGO706,"10.150784,76.391685",0,8,143
1739936312,2025-02-19T03:38:32Z,IGO706,"10.150808,76.391914",0,8,87
1739936321,2025-02-19T03:38:41Z,IGO706,"10.15082,76.392319",0,10,87
1739936326,2025-02-19T03:38:46Z,IGO706,"10.150829,76.392563",0,14,87
1739936328,2025-02-19T03:38:48Z,IGO706,"10.150844,76.392792",0,19,87
1739936332,2025-02-19T03:38:52Z,IGO706,"10.150855,76.393242",0,31,87
1739936363,2025-02-19T03:39:23Z,IGO706,"10.151553,76.411522",275,160,87
1739936370,2025-02-19T03:39:30Z,IGO706,"10.151786,76.416115",550,160,87
1739936379,2025-02-19T03:39:39Z,IGO706,"10.152065,76.42289",800,168,87
1739936385,2025-02-19T03:39:45Z,IGO706,"10.152328,76.428253",950,175,87
1739936394,2025-02-19T03:39:54Z,IGO706,"10.152624,76.435532",1150,187,87
1739936400,2025-02-19T03:40:00Z,IGO706,"10.152924,76.441475",1275,195,87
1739936409,2025-02-19T03:40:09Z,IGO706,"10.153244,76.449203",1475,206,87
1739936415,2025-02-19T03:40:15Z,IGO706,"10.153555,76.455894",1700,211,87
1739936422,2025-02-19T03:40:22Z,IGO706,"10.154253,76.462715",1975,212,82
1739936424,2025-02-19T03:40:24Z,IGO706,"10.154673,76.464607",2050,213,79
1739936426,2025-02-19T03:40:26Z,IGO706,"10.155258,76.466522",2125,214,74
1739936428,2025-02-19T03:40:28Z,IGO706,"10.156162,76.468918",2225,215,70
1739936430,2025-02-19T03:40:30Z,IGO706,"10.156998,76.470757",2300,216,66
1739936432,2025-02-19T03:40:32Z,IGO706,"10.157978,76.472565",2350,216,62
1739936434,2025-02-19T03:40:34Z,IGO706,"10.159095,76.474312",2425,218,57
1739936436,2025-02-19T03:40:36Z,IGO706,"10.160352,76.475922",2525,218,53
1739936439,2025-02-19T03:40:39Z,IGO706,"10.162121,76.477867",2625,218,48
1739936441,2025-02-19T03:40:41Z,IGO706,"10.163589,76.479179",2700,218,44
1739936443,2025-02-19T03:40:43Z,IGO706,"10.165283,76.480438",2800,218,37
1739936445,2025-02-19T03:40:45Z,IGO706,"10.166822,76.481415",2875,217,32
1739936447,2025-02-19T03:40:47Z,IGO706,"10.168488,76.4823",2950,217,30
1739936449,2025-02-19T03:40:49Z,IGO706,"10.170776,76.483276",3075,217,23
1739936451,2025-02-19T03:40:51Z,IGO706,"10.173293,76.484161",3200,217,19
1739936453,2025-02-19T03:40:53Z,IGO706,"10.175295,76.484734",3275,216,16
1739936456,2025-02-19T03:40:56Z,IGO706,"10.177157,76.485207",3375,215,15
1739936458,2025-02-19T03:40:58Z,IGO706,"10.179904,76.48587",3525,214,13
1739936460,2025-02-19T03:41:00Z,IGO706,"10.181763,76.486305",3600,213,13
1739936462,2025-02-19T03:41:02Z,IGO706,"10.183581,76.486725",3700,213,12
1739936464,2025-02-19T03:41:04Z,IGO706,"10.185444,76.487144",3800,212,12
1739936467,2025-02-19T03:41:07Z,IGO706,"10.187897,76.487747",3925,211,13
1739936469,2025-02-19T03:41:09Z,IGO706,"10.189819,76.488235",4025,210,13
1739936471,2025-02-19T03:41:11Z,IGO706,"10.191682,76.488708",4150,210,14
1739936473,2025-02-19T03:41:13Z,IGO706,"10.193573,76.489189",4250,208,14
1739936475,2025-02-19T03:41:15Z,IGO706,"10.195871,76.489845",4375,207,14
1739936477,2025-02-19T03:41:17Z,IGO706,"10.19751,76.490265",4450,207,15
1739936486,2025-02-19T03:41:26Z,IGO706,"10.205429,76.492683",4700,212,16
1739936492,2025-02-19T03:41:32Z,IGO706,"10.212021,76.49482",4900,216,17
1739936494,2025-02-19T03:41:34Z,IGO706,"10.214127,76.495522",4975,217,18
1739936501,2025-02-19T03:41:41Z,IGO706,"10.220405,76.497612",5175,221,18
1739936516,2025-02-19T03:41:56Z,IGO706,"10.234909,76.502502",5725,223,18
1739936529,2025-02-19T03:42:09Z,IGO706,"10.248367,76.507019",6125,232,18
1739936542,2025-02-19T03:42:22Z,IGO706,"10.262255,76.511681",6425,245,18
1739936555,2025-02-19T03:42:35Z,IGO706,"10.277069,76.516472",6875,254,17
1739936568,2025-02-19T03:42:48Z,IGO706,"10.291031,76.520943",7450,253,17
1739936581,2025-02-19T03:43:01Z,IGO706,"10.305781,76.52565",7950,258,17
1739936594,2025-02-19T03:43:14Z,IGO706,"10.320831,76.530342",8500,258,17
1739936607,2025-02-19T03:43:27Z,IGO706,"10.336212,76.534622",9050,261,12
1739936612,2025-02-19T03:43:32Z,IGO706,"10.341347,76.5354",9225,263,6
1739936614,2025-02-19T03:43:34Z,IGO706,"10.343954,76.535637",9300,265,5
1739936616,2025-02-19T03:43:36Z,IGO706,"10.347198,76.535835",9400,265,3
1739936618,2025-02-19T03:43:38Z,IGO706,"10.349494,76.535973",9475,266,3
1739936621,2025-02-19T03:43:41Z,IGO706,"10.352892,76.53611",9575,267,2
1739936623,2025-02-19T03:43:43Z,IGO706,"10.35553,76.536209",9650,268,2
1739936625,2025-02-19T03:43:45Z,IGO706,"10.357547,76.536301",9725,269,2
1739936627,2025-02-19T03:43:47Z,IGO706,"10.360611,76.536392",9800,269,2
1739936629,2025-02-19T03:43:49Z,IGO706,"10.363273,76.536491",9900,270,1
1739936631,2025-02-19T03:43:51Z,IGO706,"10.366066,76.536583",9975,270,1
1739936634,2025-02-19T03:43:54Z,IGO706,"10.368851,76.536674",10050,272,1
1739936647,2025-02-19T03:44:07Z,IGO706,"10.386292,76.537277",10575,274,2
1739936660,2025-02-19T03:44:20Z,IGO706,"10.40233,76.53791",11000,277,2
1739936673,2025-02-19T03:44:33Z,IGO706,"10.419369,76.53862",11350,285,2
1739936684,2025-02-19T03:44:44Z,IGO706,"10.434357,76.540863",11575,289,13
1739936686,2025-02-19T03:44:46Z,IGO706,"10.437012,76.541656",11625,290,16
1739936689,2025-02-19T03:44:49Z,IGO706,"10.440033,76.54277",11675,291,19
1739936691,2025-02-19T03:44:51Z,IGO706,"10.442596,76.543793",11725,291,20
1739936693,2025-02-19T03:44:53Z,IGO706,"10.445755,76.545143",11800,292,22
1739936695,2025-02-19T03:44:55Z,IGO706,"10.448184,76.546196",11850,292,23
1739936697,2025-02-19T03:44:57Z,IGO706,"10.450838,76.547333",11900,293,23
1739936699,2025-02-19T03:44:59Z,IGO706,"10.454003,76.548759",11975,294,23
1739936702,2025-02-19T03:45:02Z,IGO706,"10.45675,76.549988",12050,295,23
1739936704,2025-02-19T03:45:04Z,IGO706,"10.459311,76.55117",12100,295,24
1739936706,2025-02-19T03:45:06Z,IGO706,"10.461823,76.552315",12150,297,24
1739936708,2025-02-19T03:45:08Z,IGO706,"10.464292,76.553444",12200,298,24
1739936710,2025-02-19T03:45:10Z,IGO706,"10.46755,76.554916",12275,300,24
1739936712,2025-02-19T03:45:12Z,IGO706,"10.469559,76.555855",12325,300,24
1739936714,2025-02-19T03:45:14Z,IGO706,"10.472946,76.557373",12375,301,24
1739936745,2025-02-19T03:45:45Z,IGO706,"10.514009,76.575813",13175,318,23
1739936776,2025-02-19T03:46:16Z,IGO706,"10.556465,76.594223",13925,336,23
1739936809,2025-02-19T03:46:49Z,IGO706,"10.604739,76.615089",14800,350,23
1739936840,2025-02-19T03:47:20Z,IGO706,"10.652481,76.63575",15600,364,23
1739936871,2025-02-19T03:47:51Z,IGO706,"10.701894,76.657349",16375,375,23
1739936902,2025-02-19T03:48:22Z,IGO706,"10.751678,76.679031",17175,385,23
1739936934,2025-02-19T03:48:54Z,IGO706,"10.80645,76.702881",17900,395,23
1739936965,2025-02-19T03:49:25Z,IGO706,"10.859659,76.726059",18550,404,23
1739936997,2025-02-19T03:49:57Z,IGO706,"10.91391,76.749733",19125,413,23
1739937029,2025-02-19T03:50:29Z,IGO706,"10.971497,76.774879",19925,417,23
1739937060,2025-02-19T03:51:00Z,IGO706,"11.027893,76.799408",20400,430,23
1739937092,2025-02-19T03:51:32Z,IGO706,"11.086974,76.825226",20875,439,23
1739937125,2025-02-19T03:52:05Z,IGO706,"11.148331,76.851967",21450,446,23
1739937155,2025-02-19T03:52:35Z,IGO706,"11.207358,76.877846",21950,453,23
1739937188,2025-02-19T03:53:08Z,IGO706,"11.270669,76.905457",22500,457,23
1739937220,2025-02-19T03:53:40Z,IGO706,"11.334183,76.933228",23075,460,23
1739937251,2025-02-19T03:54:11Z,IGO706,"11.394882,76.959846",23900,456,23
1739937283,2025-02-19T03:54:43Z,IGO706,"11.457092,76.987167",25050,445,23
1739937315,2025-02-19T03:55:15Z,IGO706,"11.516281,77.013069",26125,434,23
1739937346,2025-02-19T03:55:46Z,IGO706,"11.573135,77.037888",26650,438,23
1739937379,2025-02-19T03:56:19Z,IGO706,"11.63522,77.06514",27200,442,23
1739937409,2025-02-19T03:56:49Z,IGO706,"11.692932,77.090546",27725,445,23
1739937441,2025-02-19T03:57:21Z,IGO706,"11.754547,77.11763",28250,448,23
1739937472,2025-02-19T03:57:52Z,IGO706,"11.813095,77.143295",28725,451,23
1739937505,2025-02-19T03:58:25Z,IGO706,"11.875802,77.170815",29250,454,23
1739937538,2025-02-19T03:58:58Z,IGO706,"11.939758,77.198936",29775,456,23
1739937570,2025-02-19T03:59:30Z,IGO706,"12.003159,77.226875",30325,456,23
1739937603,2025-02-19T04:00:03Z,IGO706,"12.066294,77.2547",30875,456,23
1739937633,2025-02-19T04:00:33Z,IGO706,"12.125977,77.281006",31375,457,23
1739937666,2025-02-19T04:01:06Z,IGO706,"12.191345,77.306526",31850,457,19
1739937699,2025-02-19T04:01:39Z,IGO706,"12.256256,77.32637",32400,454,14
1739937729,2025-02-19T04:02:09Z,IGO706,"12.320422,77.342979",32875,454,14
1739937760,2025-02-19T04:02:40Z,IGO706,"12.382004,77.35952",33375,452,14
1739937791,2025-02-19T04:03:11Z,IGO706,"12.445633,77.377136",33850,450,15
1739937823,2025-02-19T04:03:43Z,IGO706,"12.509995,77.395035",33975,447,15
1739937856,2025-02-19T04:04:16Z,IGO706,"12.574644,77.41304",33975,450,15
1739937886,2025-02-19T04:04:46Z,IGO706,"12.635628,77.430099",33975,450,15
1739937918,2025-02-19T04:05:18Z,IGO706,"12.700882,77.448402",33975,450,15
1739937951,2025-02-19T04:05:51Z,IGO706,"12.765601,77.46653",33975,451,15
1739937982,2025-02-19T04:06:22Z,IGO706,"12.828446,77.484116",33975,452,15
1739938014,2025-02-19T04:06:54Z,IGO706,"12.894287,77.502579",33975,452,15
1739938046,2025-02-19T04:07:26Z,IGO706,"12.959473,77.520813",33975,453,15
1739938079,2025-02-19T04:07:59Z,IGO706,"13.026489,77.539566",33950,453,15
1739938111,2025-02-19T04:08:31Z,IGO706,"13.091537,77.557793",33975,454,15
1739938144,2025-02-19T04:09:04Z,IGO706,"13.158828,77.573303",33975,454,7
1739938176,2025-02-19T04:09:36Z,IGO706,"13.227219,77.581802",33975,454,7
1739938208,2025-02-19T04:10:08Z,IGO706,"13.293091,77.590561",33975,454,7
1739938239,2025-02-19T04:10:39Z,IGO706,"13.358537,77.599373",34000,454,7
1739938271,2025-02-19T04:11:11Z,IGO706,"13.425899,77.608383",33975,454,7
1739938304,2025-02-19T04:11:44Z,IGO706,"13.492264,77.617226",34175,452,7
1739938335,2025-02-19T04:12:15Z,IGO706,"13.558502,77.62603",34650,451,7
1739938366,2025-02-19T04:12:46Z,IGO706,"13.621929,77.634499",35100,450,7
1739938398,2025-02-19T04:13:18Z,IGO706,"13.687382,77.643227",35450,448,7
1739938428,2025-02-19T04:13:48Z,IGO706,"13.750553,77.651611",35750,449,7
