Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740108198,2025-02-21T03:23:18Z,IGO706,"10.154388,76.390945",0,0,357
1740108313,2025-02-21T03:25:13Z,IGO706,"10.154171,76.390953",0,2,357
1740108345,2025-02-21T03:25:45Z,IGO706,"10.15387,76.390961",0,0,351
1740108366,2025-02-21T03:26:06Z,IGO706,"10.153667,76.390976",0,2,309
1740108394,2025-02-21T03:26:34Z,IGO706,"10.153521,76.391182",0,2,272
1740108549,2025-02-21T03:29:09Z,IGO706,"10.153507,76.390968",0,4,267
1740108558,2025-02-21T03:29:18Z,IGO706,"10.153497,76.390732",0,6,267
1740108569,2025-02-21T03:29:29Z,IGO706,"10.153233,76.390549",0,7,199
1740108624,2025-02-21T03:30:24Z,IGO706,"10.152926,76.390564",0,4,177
1740108632,2025-02-21T03:30:32Z,IGO706,"10.152672,76.390594",0,8,171
1740108649,2025-02-21T03:30:49Z,IGO706,"10.152519,76.390923",0,3,95
1740108755,2025-02-21T03:32:35Z,IGO706,"10.152531,76.391136",0,6,90
1740108761,2025-02-21T03:32:41Z,IGO706,"10.152489,76.391388",0,9,104
1740108768,2025-02-21T03:32:48Z,IGO706,"10.152214,76.391525",0,10,160
1740108774,2025-02-21T03:32:54Z,IGO706,"10.151844,76.391525",0,12,177
1740108779,2025-02-21T03:32:59Z,IGO706,"10.151635,76.391541",0,13,177
1740108783,2025-02-21T03:33:03Z,IGO706,"10.151298,76.391548",0,13,177
1740108790,2025-02-21T03:33:10Z,IGO706,"10.151035,76.391556",0,13,174
1740108795,2025-02-21T03:33:15Z,IGO706,"10.150818,76.391731",0,8,132
1740108802,2025-02-21T03:33:22Z,IGO706,"10.150808,76.391953",0,5,98
1740108818,2025-02-21T03:33:38Z,IGO706,"10.150829,76.392189",0,7,87
1740108826,2025-02-21T03:33:46Z,IGO706,"10.150864,76.392982",0,30,87
1740108834,2025-02-21T03:33:54Z,IGO706,"10.15096,76.395561",0,0,87
1740108861,2025-02-21T03:34:21Z,IGO706,"10.15155,76.412476",325,159,87
1740108869,2025-02-21T03:34:29Z,IGO706,"10.15174,76.419243",650,162,88
1740108876,2025-02-21T03:34:36Z,IGO706,"10.151879,76.424309",825,171,88
1740108883,2025-02-21T03:34:43Z,IGO706,"10.152019,76.429703",975,178,88
1740108892,2025-02-21T03:34:52Z,IGO706,"10.152191,76.43766",1175,190,88
1740108898,2025-02-21T03:34:58Z,IGO706,"10.152345,76.44339",1300,200,88
1740108905,2025-02-21T03:35:05Z,IGO706,"10.152512,76.449944",1425,208,88
1740108913,2025-02-21T03:35:13Z,IGO706,"10.152695,76.458557",1675,218,88
1740108922,2025-02-21T03:35:22Z,IGO706,"10.153462,76.466927",1900,223,82
1740108924,2025-02-21T03:35:24Z,IGO706,"10.15402,76.469627",1950,224,77
1740108926,2025-02-21T03:35:26Z,IGO706,"10.154709,76.471733",2025,226,73
1740108928,2025-02-21T03:35:28Z,IGO706,"10.155697,76.474129",2075,228,68
1740108930,2025-02-21T03:35:30Z,IGO706,"10.156815,76.476341",2150,229,64
1740108933,2025-02-21T03:35:33Z,IGO706,"10.158096,76.478394",2225,230,59
1740108935,2025-02-21T03:35:35Z,IGO706,"10.159468,76.480232",2275,232,55
1740108937,2025-02-21T03:35:37Z,IGO706,"10.160911,76.481941",2350,234,50
1740108939,2025-02-21T03:35:39Z,IGO706,"10.162866,76.483742",2425,235,43
1740108941,2025-02-21T03:35:41Z,IGO706,"10.164867,76.485352",2525,236,38
1740108944,2025-02-21T03:35:44Z,IGO706,"10.166916,76.486725",2600,238,34
1740108946,2025-02-21T03:35:46Z,IGO706,"10.168731,76.487717",2675,239,29
1740108948,2025-02-21T03:35:48Z,IGO706,"10.171432,76.488899",2775,240,25
1740108950,2025-02-21T03:35:50Z,IGO706,"10.173981,76.489799",2875,242,19
1740108953,2025-02-21T03:35:53Z,IGO706,"10.176132,76.490402",2950,244,16
1740108955,2025-02-21T03:35:55Z,IGO706,"10.178507,76.491028",3075,244,14
1740108957,2025-02-21T03:35:57Z,IGO706,"10.180573,76.491516",3150,246,13
1740108959,2025-02-21T03:35:59Z,IGO706,"10.183044,76.492126",3275,245,13
1740108961,2025-02-21T03:36:01Z,IGO706,"10.18535,76.492638",3375,246,13
1740108963,2025-02-21T03:36:03Z,IGO706,"10.187724,76.49321",3475,246,13
1740108965,2025-02-21T03:36:05Z,IGO706,"10.190231,76.493797",3575,247,13
1740108967,2025-02-21T03:36:07Z,IGO706,"10.192841,76.494408",3675,247,13
1740108969,2025-02-21T03:36:09Z,IGO706,"10.195175,76.494965",3775,247,13
1740108972,2025-02-21T03:36:12Z,IGO706,"10.1975,76.495529",3875,247,13
1740108974,2025-02-21T03:36:14Z,IGO706,"10.199688,76.496101",3975,248,13
1740108976,2025-02-21T03:36:16Z,IGO706,"10.202042,76.496689",4100,248,13
1740108978,2025-02-21T03:36:18Z,IGO706,"10.204468,76.497292",4225,247,14
1740108980,2025-02-21T03:36:20Z,IGO706,"10.206711,76.497849",4325,246,14
1740108989,2025-02-21T03:36:29Z,IGO706,"10.216354,76.500359",4825,244,14
1740108995,2025-02-21T03:36:35Z,IGO706,"10.223617,76.50235",5150,243,15
1740109010,2025-02-21T03:36:50Z,IGO706,"10.239532,76.506836",5775,246,15
1740109025,2025-02-21T03:37:05Z,IGO706,"10.255966,76.511581",6400,248,16
1740109038,2025-02-21T03:37:18Z,IGO706,"10.271007,76.515984",7050,248,16
1740109051,2025-02-21T03:37:31Z,IGO706,"10.286089,76.52034",7625,250,15
1740109064,2025-02-21T03:37:44Z,IGO706,"10.300427,76.524513",8050,257,16
1740109077,2025-02-21T03:37:57Z,IGO706,"10.31575,76.529083",8500,264,17
1740109090,2025-02-21T03:38:10Z,IGO706,"10.331497,76.534348",8800,276,19
1740109103,2025-02-21T03:38:23Z,IGO706,"10.347061,76.539978",9150,283,20
1740109116,2025-02-21T03:38:36Z,IGO706,"10.362762,76.545799",9600,288,20
1740109131,2025-02-21T03:38:51Z,IGO706,"10.382126,76.553017",10300,287,20
1740109146,2025-02-21T03:39:06Z,IGO706,"10.400375,76.559746",10975,286,19
1740109159,2025-02-21T03:39:19Z,IGO706,"10.417134,76.565804",11500,287,19
1740109172,2025-02-21T03:39:32Z,IGO706,"10.433487,76.571678",12025,290,19
1740109204,2025-02-21T03:40:04Z,IGO706,"10.476883,76.587158",12900,312,19
1740109237,2025-02-21T03:40:37Z,IGO706,"10.522901,76.603424",13600,336,19
1740109267,2025-02-21T03:41:07Z,IGO706,"10.569546,76.619858",14225,358,19
1740109298,2025-02-21T03:41:38Z,IGO706,"10.618744,76.63826",14825,380,22
1740109330,2025-02-21T03:42:10Z,IGO706,"10.672348,76.661133",15550,393,22
1740109361,2025-02-21T03:42:41Z,IGO706,"10.72554,76.683762",16550,398,22
1740109393,2025-02-21T03:43:13Z,IGO706,"10.781113,76.707298",17575,401,22
1740109424,2025-02-21T03:43:44Z,IGO706,"10.834671,76.72998",18100,414,22
1740109457,2025-02-21T03:44:17Z,IGO706,"10.892303,76.754417",19300,406,22
1740109488,2025-02-21T03:44:48Z,IGO706,"10.945502,76.777039",20000,407,22
1740109519,2025-02-21T03:45:19Z,IGO706,"11.000294,76.800316",20550,415,22
1740109549,2025-02-21T03:45:49Z,IGO706,"11.055272,76.823685",21125,420,22
1740109580,2025-02-21T03:46:20Z,IGO706,"11.111572,76.84761",21675,427,22
1740109613,2025-02-21T03:46:53Z,IGO706,"11.170853,76.872803",22375,429,22
1740109644,2025-02-21T03:47:24Z,IGO706,"11.228806,76.897522",22900,435,22
1740109674,2025-02-21T03:47:54Z,IGO706,"11.28566,76.921722",23450,440,22
1740109706,2025-02-21T03:48:26Z,IGO706,"11.346177,76.947517",23925,446,22
1740109737,2025-02-21T03:48:57Z,IGO706,"11.405731,76.97287",24375,452,22
1740109769,2025-02-21T03:49:29Z,IGO706,"11.468903,76.999809",24875,458,22
1740109800,2025-02-21T03:50:00Z,IGO706,"11.530105,77.023842",25325,462,16
1740109831,2025-02-21T03:50:31Z,IGO706,"11.593872,77.043236",25775,468,16
1740109863,2025-02-21T03:51:03Z,IGO706,"11.662079,77.064407",26225,474,17
