Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740541556,2025-02-26T03:45:56Z,IGO706,"10.154172,76.389702",0,0,357
1740541579,2025-02-26T03:46:19Z,IGO706,"10.153885,76.389709",0,3,348
1740541595,2025-02-26T03:46:35Z,IGO706,"10.153683,76.389725",0,3,312
1740541616,2025-02-26T03:46:56Z,IGO706,"10.153521,76.389931",0,3,281
1740541634,2025-02-26T03:47:14Z,IGO706,"10.153473,76.390137",0,3,272
1740541651,2025-02-26T03:47:31Z,IGO706,"10.153462,76.390343",0,3,267
1740541668,2025-02-26T03:47:48Z,IGO706,"10.153474,76.390556",0,3,267
1740541688,2025-02-26T03:48:08Z,IGO706,"10.153485,76.390808",0,3,267
1740541707,2025-02-26T03:48:27Z,IGO706,"10.153496,76.391045",0,2,267
1740541982,2025-02-26T03:53:02Z,IGO706,"10.153474,76.390778",0,4,267
1740541997,2025-02-26T03:53:17Z,IGO706,"10.153152,76.390549",0,8,194
1740542004,2025-02-26T03:53:24Z,IGO706,"10.152901,76.390579",0,8,177
1740542026,2025-02-26T03:53:46Z,IGO706,"10.152489,76.390816",0,0,115
1740542101,2025-02-26T03:55:01Z,IGO706,"10.152512,76.391106",0,5,92
1740542137,2025-02-26T03:55:37Z,IGO706,"10.151287,76.391533",0,12,177
1740542162,2025-02-26T03:56:02Z,IGO706,"10.150806,76.392021",0,4,90
1740542170,2025-02-26T03:56:10Z,IGO706,"10.150808,76.392273",0,8,87
1740542183,2025-02-26T03:56:23Z,IGO706,"10.150932,76.395477",0,0,87
1740542210,2025-02-26T03:56:50Z,IGO706,"10.151642,76.413124",300,165,86
1740542219,2025-02-26T03:56:59Z,IGO706,"10.151879,76.419716",650,165,88
1740542227,2025-02-26T03:57:07Z,IGO706,"10.152008,76.426483",875,175,89
1740542234,2025-02-26T03:57:14Z,IGO706,"10.1521,76.432167",1000,182,88
1740542243,2025-02-26T03:57:23Z,IGO706,"10.152328,76.439888",1200,192,88
1740542251,2025-02-26T03:57:31Z,IGO706,"10.152531,76.447746",1375,205,88
1740542259,2025-02-26T03:57:39Z,IGO706,"10.15281,76.456413",1600,214,88
1740542268,2025-02-26T03:57:48Z,IGO706,"10.153336,76.464935",1850,221,83
1740542270,2025-02-26T03:57:50Z,IGO706,"10.153793,76.467216",1925,222,80
1740542272,2025-02-26T03:57:52Z,IGO706,"10.154388,76.469734",2025,222,76
1740542275,2025-02-26T03:57:55Z,IGO706,"10.154998,76.471382",2075,222,72
1740542277,2025-02-26T03:57:57Z,IGO706,"10.156036,76.473923",2200,222,68
1740542279,2025-02-26T03:57:59Z,IGO706,"10.156767,76.475266",2275,222,64
1740542281,2025-02-26T03:58:01Z,IGO706,"10.158325,76.477646",2400,222,59
1740542283,2025-02-26T03:58:03Z,IGO706,"10.159561,76.479225",2500,221,53
1740542285,2025-02-26T03:58:05Z,IGO706,"10.16119,76.481087",2625,220,48
1740542288,2025-02-26T03:58:08Z,IGO706,"10.162903,76.482674",2750,219,44
1740542290,2025-02-26T03:58:10Z,IGO706,"10.16423,76.483696",2825,218,40
1740542292,2025-02-26T03:58:12Z,IGO706,"10.16597,76.484909",2925,216,34
1740542294,2025-02-26T03:58:14Z,IGO706,"10.1678,76.485962",3050,215,30
1740542296,2025-02-26T03:58:16Z,IGO706,"10.170181,76.487053",3200,215,27
