Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740971947,2025-03-03T03:19:07Z,IGO706,"10.15432,76.389709",0,0,357
1740972044,2025-03-03T03:20:44Z,IGO706,"10.154114,76.389717",0,2,357
1740972069,2025-03-03T03:21:09Z,IGO706,"10.153908,76.389732",0,2,357
1740972091,2025-03-03T03:21:31Z,IGO706,"10.153702,76.389763",0,2,30
1740972116,2025-03-03T03:21:56Z,IGO706,"10.153497,76.389656",0,2,70
1740972459,2025-03-03T03:27:39Z,IGO706,"10.153462,76.389893",0,5,87
1740972467,2025-03-03T03:27:47Z,IGO706,"10.153461,76.390114",0,5,87
1740972485,2025-03-03T03:28:05Z,IGO706,"10.153474,76.39032",0,5,90
1740972493,2025-03-03T03:28:13Z,IGO706,"10.153393,76.390533",0,7,118
1740972501,2025-03-03T03:28:21Z,IGO706,"10.153101,76.390579",0,8,171
1740972509,2025-03-03T03:28:29Z,IGO706,"10.152834,76.390594",0,8,177
1740972515,2025-03-03T03:28:35Z,IGO706,"10.152592,76.390671",0,8,154
1740972525,2025-03-03T03:28:45Z,IGO706,"10.152508,76.390877",0,1,115
1740972648,2025-03-03T03:30:48Z,IGO706,"10.152512,76.39109",0,6,92
1740972656,2025-03-03T03:30:56Z,IGO706,"10.152523,76.391357",0,7,90
1740972666,2025-03-03T03:31:06Z,IGO706,"10.152294,76.391548",0,8,154
1740972671,2025-03-03T03:31:11Z,IGO706,"10.152065,76.391541",0,9,177
1740972677,2025-03-03T03:31:17Z,IGO706,"10.151821,76.391541",0,10,180
1740972682,2025-03-03T03:31:22Z,IGO706,"10.151577,76.391541",0,11,180
1740972687,2025-03-03T03:31:27Z,IGO706,"10.151276,76.391548",0,12,177
1740972694,2025-03-03T03:31:34Z,IGO706,"10.151001,76.391556",0,7,180
1740972702,2025-03-03T03:31:42Z,IGO706,"10.150784,76.391685",0,6,143
1740972711,2025-03-03T03:31:51Z,IGO706,"10.150806,76.391922",0,6,90
1740972719,2025-03-03T03:31:59Z,IGO706,"10.15082,76.392181",0,8,87
1740972724,2025-03-03T03:32:04Z,IGO706,"10.15082,76.392403",0,15,87
1740972727,2025-03-03T03:32:07Z,IGO706,"10.150832,76.392761",0,31,87
1740972729,2025-03-03T03:32:09Z,IGO706,"10.150844,76.393074",0,42,87
1740972731,2025-03-03T03:32:11Z,IGO706,"10.150867,76.393578",0,53,87
1740972732,2025-03-03T03:32:12Z,IGO706,"10.15089,76.393951",0,58,87
1740972747,2025-03-03T03:32:27Z,IGO706,"10.151001,76.396507",0,0,88
1740972764,2025-03-03T03:32:44Z,IGO706,"10.151505,76.413361",325,168,88
1740972772,2025-03-03T03:32:52Z,IGO706,"10.1516,76.419479",625,172,88
1740972780,2025-03-03T03:33:00Z,IGO706,"10.151693,76.426865",875,182,89
1740972789,2025-03-03T03:33:09Z,IGO706,"10.15174,76.434013",1050,192,90
1740972795,2025-03-03T03:33:15Z,IGO706,"10.151733,76.439476",1200,200,90
1740972802,2025-03-03T03:33:22Z,IGO706,"10.151596,76.446732",1375,211,91
1740972811,2025-03-03T03:33:31Z,IGO706,"10.151413,76.455254",1625,218,91
1740972817,2025-03-03T03:33:37Z,IGO706,"10.15132,76.461906",1825,225,90
