Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741058668,2025-03-04T03:24:28Z,IGO706,"10.154311,76.389717",0,0,357
1741058781,2025-03-04T03:26:21Z,IGO706,"10.154078,76.389725",0,1,357
1741058809,2025-03-04T03:26:49Z,IGO706,"10.153862,76.38974",0,2,2
1741058831,2025-03-04T03:27:11Z,IGO706,"10.15366,76.389763",0,2,36
1741058861,2025-03-04T03:27:41Z,IGO706,"10.15345,76.389595",0,2,84
1741059160,2025-03-04T03:32:40Z,IGO706,"10.15345,76.389801",0,6,87
1741059167,2025-03-04T03:32:47Z,IGO706,"10.153462,76.390038",0,8,87
1741059174,2025-03-04T03:32:54Z,IGO706,"10.153462,76.390297",0,9,90
1741059180,2025-03-04T03:33:00Z,IGO706,"10.153322,76.390533",0,11,126
1741059184,2025-03-04T03:33:04Z,IGO706,"10.153113,76.390594",0,11,163
1741059188,2025-03-04T03:33:08Z,IGO706,"10.152904,76.390579",0,11,180
1741059193,2025-03-04T03:33:13Z,IGO706,"10.152683,76.390572",0,10,182
1741059201,2025-03-04T03:33:21Z,IGO706,"10.152477,76.390709",0,7,135
1741059310,2025-03-04T03:35:10Z,IGO706,"10.152508,76.391068",0,6,90
1741059316,2025-03-04T03:35:16Z,IGO706,"10.152485,76.391281",0,9,98
1741059322,2025-03-04T03:35:22Z,IGO706,"10.152271,76.391502",0,12,143
1741059328,2025-03-04T03:35:28Z,IGO706,"10.151926,76.391541",0,14,177
1741059332,2025-03-04T03:35:32Z,IGO706,"10.151676,76.391548",0,15,177
1741059335,2025-03-04T03:35:35Z,IGO706,"10.151436,76.391556",0,15,177
1741059339,2025-03-04T03:35:39Z,IGO706,"10.151173,76.391571",0,15,177
1741059345,2025-03-04T03:35:45Z,IGO706,"10.150844,76.391785",0,15,132
1741059348,2025-03-04T03:35:48Z,IGO706,"10.150795,76.392014",0,15,101
1741059351,2025-03-04T03:35:51Z,IGO706,"10.150806,76.392235",0,15,87
1741059355,2025-03-04T03:35:55Z,IGO706,"10.150818,76.392563",0,20,87
1741059358,2025-03-04T03:35:58Z,IGO706,"10.150841,76.392929",0,32,87
1741059360,2025-03-04T03:36:00Z,IGO706,"10.150844,76.393181",0,38,87
1741059362,2025-03-04T03:36:02Z,IGO706,"10.150878,76.393837",0,54,87
1741059366,2025-03-04T03:36:06Z,IGO706,"10.150921,76.394958",0,70,87
1741059395,2025-03-04T03:36:35Z,IGO706,"10.151647,76.413887",400,166,87
1741059404,2025-03-04T03:36:44Z,IGO706,"10.151733,76.420341",675,172,89
1741059410,2025-03-04T03:36:50Z,IGO706,"10.151825,76.42588",850,180,89
1741059419,2025-03-04T03:36:59Z,IGO706,"10.151871,76.433372",1050,190,89
1741059425,2025-03-04T03:37:05Z,IGO706,"10.151973,76.439507",1250,198,88
1741059432,2025-03-04T03:37:12Z,IGO706,"10.152065,76.445427",1400,206,88
1741059441,2025-03-04T03:37:21Z,IGO706,"10.152251,76.454666",1600,217,88
1741059447,2025-03-04T03:37:27Z,IGO706,"10.152374,76.461304",1800,225,88
1741059452,2025-03-04T03:37:32Z,IGO706,"10.152763,76.466309",1925,230,83
1741059454,2025-03-04T03:37:34Z,IGO706,"10.153107,76.468475",2000,232,79
1741059456,2025-03-04T03:37:36Z,IGO706,"10.153555,76.470428",2050,233,76
1741059458,2025-03-04T03:37:38Z,IGO706,"10.1543,76.472992",2125,234,72
1741059460,2025-03-04T03:37:40Z,IGO706,"10.155138,76.475212",2200,236,68
1741059463,2025-03-04T03:37:43Z,IGO706,"10.156255,76.477585",2275,238,64
1741059465,2025-03-04T03:37:45Z,IGO706,"10.157279,76.479385",2350,237,59
1741059467,2025-03-04T03:37:47Z,IGO706,"10.158554,76.481232",2450,237,55
1741059469,2025-03-04T03:37:49Z,IGO706,"10.160166,76.48317",2550,237,48
1741059471,2025-03-04T03:37:51Z,IGO706,"10.161841,76.484924",2650,236,44
1741059473,2025-03-04T03:37:53Z,IGO706,"10.163818,76.486633",2775,237,39
1741059476,2025-03-04T03:37:56Z,IGO706,"10.165706,76.488045",2875,236,35
1741059478,2025-03-04T03:37:58Z,IGO706,"10.167893,76.489372",3000,236,29
1741059480,2025-03-04T03:38:00Z,IGO706,"10.170267,76.490608",3125,237,26
1741059482,2025-03-04T03:38:02Z,IGO706,"10.172333,76.49147",3225,237,22
1741059484,2025-03-04T03:38:04Z,IGO706,"10.174411,76.492218",3325,237,18
1741059486,2025-03-04T03:38:06Z,IGO706,"10.17659,76.492821",3450,238,15
1741059489,2025-03-04T03:38:09Z,IGO706,"10.178696,76.493332",3550,237,13
1741059491,2025-03-04T03:38:11Z,IGO706,"10.181305,76.493889",3700,235,11
1741059493,2025-03-04T03:38:13Z,IGO706,"10.183721,76.494392",3825,234,11
1741059495,2025-03-04T03:38:15Z,IGO706,"10.185909,76.49482",3975,233,11
1741059497,2025-03-04T03:38:17Z,IGO706,"10.187957,76.495247",4100,232,11
1741059499,2025-03-04T03:38:19Z,IGO706,"10.190285,76.49572",4225,232,11
1741059501,2025-03-04T03:38:21Z,IGO706,"10.192383,76.49617",4325,232,11
1741059503,2025-03-04T03:38:23Z,IGO706,"10.194986,76.496758",4450,233,12
1741059506,2025-03-04T03:38:26Z,IGO706,"10.197327,76.497292",4575,233,12
