Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741403996,2025-03-08T03:19:56Z,IGO706,"10.154297,76.389267",0,0,357
1741404047,2025-03-08T03:20:47Z,IGO706,"10.154091,76.389275",0,2,357
1741404065,2025-03-08T03:21:05Z,IGO706,"10.153885,76.38929",0,2,357
1741404083,2025-03-08T03:21:23Z,IGO706,"10.153671,76.389328",0,3,30
1741404107,2025-03-08T03:21:47Z,IGO706,"10.153461,76.389183",0,2,75
1741404333,2025-03-08T03:25:33Z,IGO706,"10.153439,76.389397",0,5,87
1741404342,2025-03-08T03:25:42Z,IGO706,"10.153439,76.389671",0,7,87
1741404349,2025-03-08T03:25:49Z,IGO706,"10.15345,76.389893",0,7,87
1741404356,2025-03-08T03:25:56Z,IGO706,"10.153461,76.390137",0,7,87
1741404363,2025-03-08T03:26:03Z,IGO706,"10.153439,76.390358",0,7,98
1741404372,2025-03-08T03:26:12Z,IGO706,"10.153217,76.390564",0,9,143
1741404377,2025-03-08T03:26:17Z,IGO706,"10.153008,76.390579",0,8,174
1741404382,2025-03-08T03:26:22Z,IGO706,"10.152799,76.390617",0,7,168
1741404390,2025-03-08T03:26:30Z,IGO706,"10.152592,76.390747",0,7,143
1741404398,2025-03-08T03:26:38Z,IGO706,"10.152508,76.390991",0,7,109
1741404405,2025-03-08T03:26:45Z,IGO706,"10.152519,76.39122",0,8,90
1741404410,2025-03-08T03:26:50Z,IGO706,"10.152534,76.391434",0,9,87
1741404415,2025-03-08T03:26:55Z,IGO706,"10.152531,76.391655",0,10,90
1741404419,2025-03-08T03:26:59Z,IGO706,"10.152546,76.391861",0,11,87
1741404423,2025-03-08T03:27:03Z,IGO706,"10.152555,76.392097",0,12,90
1741404431,2025-03-08T03:27:11Z,IGO706,"10.152566,76.392555",0,14,87
1741404439,2025-03-08T03:27:19Z,IGO706,"10.152592,76.393082",0,15,87
1741404446,2025-03-08T03:27:26Z,IGO706,"10.152603,76.393562",0,15,90
1741404453,2025-03-08T03:27:33Z,IGO706,"10.152624,76.394135",0,15,87
1741404461,2025-03-08T03:27:41Z,IGO706,"10.152647,76.394676",0,14,87
1741404469,2025-03-08T03:27:49Z,IGO706,"10.15266,76.395142",0,13,90
1741404477,2025-03-08T03:27:57Z,IGO706,"10.152682,76.395599",0,12,87
1741404485,2025-03-08T03:28:05Z,IGO706,"10.152694,76.396004",0,9,87
1741404494,2025-03-08T03:28:14Z,IGO706,"10.152706,76.396286",0,6,87
1741404503,2025-03-08T03:28:23Z,IGO706,"10.152706,76.396538",0,6,87
1741404510,2025-03-08T03:28:30Z,IGO706,"10.152718,76.396774",0,7,87
1741404518,2025-03-08T03:28:38Z,IGO706,"10.152729,76.397041",0,8,87
1741404529,2025-03-08T03:28:49Z,IGO706,"10.15274,76.397461",0,9,90
1741404536,2025-03-08T03:28:56Z,IGO706,"10.152752,76.397797",0,10,87
1741404551,2025-03-08T03:29:11Z,IGO706,"10.152787,76.398544",0,11,87
1741404562,2025-03-08T03:29:22Z,IGO706,"10.152809,76.399132",0,12,87
1741404578,2025-03-08T03:29:38Z,IGO706,"10.152845,76.400192",0,14,87
1741404679,2025-03-08T03:31:19Z,IGO706,"10.15313,76.407738",0,0,87
