Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1731684962,2024-11-15T15:36:02Z,AIC2886,"10.154285,76.389275",0,0,357
1731685014,2024-11-15T15:36:54Z,AIC2886,"10.154079,76.38929",0,3,357
1731685031,2024-11-15T15:37:11Z,AIC2886,"10.153873,76.38929",0,2,2
1731685050,2024-11-15T15:37:30Z,AIC2886,"10.153671,76.389297",0,2,25
1731685070,2024-11-15T15:37:50Z,AIC2886,"10.153462,76.389206",0,2,73
1731685355,2024-11-15T15:42:35Z,AIC2886,"10.153427,76.389442",0,5,87
1731685363,2024-11-15T15:42:43Z,AIC2886,"10.153439,76.389656",0,6,87
1731685370,2024-11-15T15:42:50Z,AIC2886,"10.15345,76.389885",0,7,87
1731685377,2024-11-15T15:42:57Z,AIC2886,"10.153461,76.390129",0,8,87
1731685384,2024-11-15T15:43:04Z,AIC2886,"10.153474,76.390411",0,9,87
1731685392,2024-11-15T15:43:12Z,AIC2886,"10.153484,76.390778",0,10,87
1731685400,2024-11-15T15:43:20Z,AIC2886,"10.153496,76.39119",0,10,87
1731685407,2024-11-15T15:43:27Z,AIC2886,"10.153508,76.391457",0,6,87
1731685415,2024-11-15T15:43:35Z,AIC2886,"10.153508,76.39167",0,5,87
1731685423,2024-11-15T15:43:43Z,AIC2886,"10.153521,76.391884",0,6,87
1731685431,2024-11-15T15:43:51Z,AIC2886,"10.153519,76.39212",0,7,90
1731685438,2024-11-15T15:43:58Z,AIC2886,"10.15338,76.392334",0,7,126
1731685446,2024-11-15T15:44:06Z,AIC2886,"10.153141,76.39241",0,8,160
1731685452,2024-11-15T15:44:12Z,AIC2886,"10.152915,76.392418",0,8,177
1731685459,2024-11-15T15:44:19Z,AIC2886,"10.152672,76.392303",0,8,210
1731685465,2024-11-15T15:44:25Z,AIC2886,"10.152566,76.392097",0,8,241
1731685473,2024-11-15T15:44:33Z,AIC2886,"10.152531,76.391838",0,9,264
1731685478,2024-11-15T15:44:38Z,AIC2886,"10.152531,76.391609",0,9,267
1731685485,2024-11-15T15:44:45Z,AIC2886,"10.152519,76.391304",0,10,267
1731685491,2024-11-15T15:44:51Z,AIC2886,"10.152508,76.391098",0,11,267
1731685502,2024-11-15T15:45:02Z,AIC2886,"10.152489,76.39035",0,13,267
1731685509,2024-11-15T15:45:09Z,AIC2886,"10.152466,76.389915",0,14,267
1731685519,2024-11-15T15:45:19Z,AIC2886,"10.152443,76.389183",0,15,267
1731685526,2024-11-15T15:45:26Z,AIC2886,"10.152414,76.388695",0,15,267
1731685533,2024-11-15T15:45:33Z,AIC2886,"10.152403,76.388161",0,16,267
1731685540,2024-11-15T15:45:40Z,AIC2886,"10.152374,76.387581",0,17,267
1731685548,2024-11-15T15:45:48Z,AIC2886,"10.152356,76.386948",0,16,267
1731685555,2024-11-15T15:45:55Z,AIC2886,"10.152345,76.386505",0,10,270
1731685562,2024-11-15T15:46:02Z,AIC2886,"10.15234,76.38623",0,9,267
