Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1731770200,2024-11-16T15:16:40Z,AIC2886,"10.154205,76.388802",0,0,357
1731770248,2024-11-16T15:17:28Z,AIC2886,"10.153986,76.388802",0,3,357
1731770265,2024-11-16T15:17:45Z,AIC2886,"10.153782,76.388832",0,3,16
1731770284,2024-11-16T15:18:04Z,AIC2886,"10.153579,76.388779",0,2,42
1731770317,2024-11-16T15:18:37Z,AIC2886,"10.153404,76.388557",0,1,87
1731770695,2024-11-16T15:24:55Z,AIC2886,"10.153358,76.388779",0,4,87
1731770706,2024-11-16T15:25:06Z,AIC2886,"10.153427,76.389008",0,6,87
1731770713,2024-11-16T15:25:13Z,AIC2886,"10.153427,76.389244",0,7,87
1731770720,2024-11-16T15:25:20Z,AIC2886,"10.153439,76.389488",0,8,87
1731770727,2024-11-16T15:25:27Z,AIC2886,"10.15345,76.389793",0,9,87
1731770734,2024-11-16T15:25:34Z,AIC2886,"10.153462,76.390091",0,8,87
1731770741,2024-11-16T15:25:41Z,AIC2886,"10.153462,76.390343",0,7,92
1731770749,2024-11-16T15:25:49Z,AIC2886,"10.153313,76.390549",0,9,132
1731770757,2024-11-16T15:25:57Z,AIC2886,"10.153038,76.390572",0,9,174
1731770761,2024-11-16T15:26:01Z,AIC2886,"10.152834,76.390564",0,8,182
1731770767,2024-11-16T15:26:07Z,AIC2886,"10.152613,76.39045",0,8,210
1731770775,2024-11-16T15:26:15Z,AIC2886,"10.152489,76.390205",0,7,244
1731770782,2024-11-16T15:26:22Z,AIC2886,"10.152472,76.389977",0,8,264
1731770789,2024-11-16T15:26:29Z,AIC2886,"10.152466,76.389763",0,8,267
1731770793,2024-11-16T15:26:33Z,AIC2886,"10.152461,76.389526",0,9,267
1731770800,2024-11-16T15:26:40Z,AIC2886,"10.152443,76.389244",0,9,267
1731770807,2024-11-16T15:26:47Z,AIC2886,"10.152438,76.389008",0,10,267
1731770814,2024-11-16T15:26:54Z,AIC2886,"10.152427,76.388565",0,11,267
1731770822,2024-11-16T15:27:02Z,AIC2886,"10.152414,76.388161",0,12,267
1731770828,2024-11-16T15:27:08Z,AIC2886,"10.152397,76.387787",0,12,267
1731770835,2024-11-16T15:27:15Z,AIC2886,"10.152374,76.387367",0,13,267
1731770842,2024-11-16T15:27:22Z,AIC2886,"10.152368,76.386932",0,14,267
1731770850,2024-11-16T15:27:30Z,AIC2886,"10.152345,76.386414",0,13,267
1731770856,2024-11-16T15:27:36Z,AIC2886,"10.152333,76.386078",0,12,267
1731770864,2024-11-16T15:27:44Z,AIC2886,"10.152322,76.385658",0,10,267
1731770871,2024-11-16T15:27:51Z,AIC2886,"10.152306,76.385391",0,6,267
1731770878,2024-11-16T15:27:58Z,AIC2886,"10.15224,76.38517",0,6,253
1731770887,2024-11-16T15:28:07Z,AIC2886,"10.152031,76.385025",0,7,208
1731770894,2024-11-16T15:28:14Z,AIC2886,"10.151825,76.385056",0,7,180
1731770908,2024-11-16T15:28:28Z,AIC2886,"10.151619,76.385063",0,1,177
1731770970,2024-11-16T15:29:30Z,AIC2886,"10.151414,76.385071",0,6,177
1731770977,2024-11-16T15:29:37Z,AIC2886,"10.15117,76.385071",0,8,177
1731770984,2024-11-16T15:29:44Z,AIC2886,"10.150864,76.385124",0,9,171
1731770990,2024-11-16T15:29:50Z,AIC2886,"10.150645,76.385239",0,10,146
1731770995,2024-11-16T15:29:55Z,AIC2886,"10.150564,76.385445",0,10,112
1731770999,2024-11-16T15:29:59Z,AIC2886,"10.150576,76.385658",0,10,90
1731771006,2024-11-16T15:30:06Z,AIC2886,"10.150587,76.385971",0,11,87
1731771010,2024-11-16T15:30:10Z,AIC2886,"10.1506,76.38623",0,12,87
1731771013,2024-11-16T15:30:13Z,AIC2886,"10.150611,76.386475",0,16,87
1731771020,2024-11-16T15:30:20Z,AIC2886,"10.150646,76.387383",0,39,87
