Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732460302,2024-11-24T14:58:22Z,AIC2886,"10.154285,76.389275",0,0,357
1732460318,2024-11-24T14:58:38Z,AIC2886,"10.154079,76.389275",0,3,357
1732460332,2024-11-24T14:58:52Z,AIC2886,"10.15387,76.389275",0,3,357
1732460351,2024-11-24T14:59:11Z,AIC2886,"10.153622,76.389297",0,2,30
1732460371,2024-11-24T14:59:31Z,AIC2886,"10.153416,76.389191",0,2,87
1732460857,2024-11-24T15:07:37Z,AIC2886,"10.153427,76.389397",0,5,87
1732460865,2024-11-24T15:07:45Z,AIC2886,"10.153439,76.389717",0,7,87
1732460872,2024-11-24T15:07:52Z,AIC2886,"10.15345,76.389961",0,7,87
1732460881,2024-11-24T15:08:01Z,AIC2886,"10.153461,76.390198",0,5,87
1732460889,2024-11-24T15:08:09Z,AIC2886,"10.153393,76.390442",0,7,109
1732460900,2024-11-24T15:08:20Z,AIC2886,"10.153049,76.390579",0,8,165
1732460906,2024-11-24T15:08:26Z,AIC2886,"10.152843,76.390602",0,7,171
1732460914,2024-11-24T15:08:34Z,AIC2886,"10.152592,76.390747",0,7,143
1732460922,2024-11-24T15:08:42Z,AIC2886,"10.152508,76.390968",0,7,109
1732460931,2024-11-24T15:08:51Z,AIC2886,"10.1525,76.391212",0,7,92
1732460935,2024-11-24T15:08:55Z,AIC2886,"10.152523,76.391434",0,8,87
1732460941,2024-11-24T15:09:01Z,AIC2886,"10.152523,76.391663",0,9,87
1732460947,2024-11-24T15:09:07Z,AIC2886,"10.152543,76.391968",0,10,87
1732460953,2024-11-24T15:09:13Z,AIC2886,"10.152546,76.392197",0,11,87
1732460956,2024-11-24T15:09:16Z,AIC2886,"10.152566,76.392426",0,11,87
1732460964,2024-11-24T15:09:24Z,AIC2886,"10.15258,76.39286",0,12,87
1732460975,2024-11-24T15:09:35Z,AIC2886,"10.152601,76.393524",0,14,87
1732460983,2024-11-24T15:09:43Z,AIC2886,"10.152615,76.393936",0,14,87
1732460994,2024-11-24T15:09:54Z,AIC2886,"10.152659,76.394897",0,15,87
1732461000,2024-11-24T15:10:00Z,AIC2886,"10.152672,76.395355",0,16,87
1732461021,2024-11-24T15:10:21Z,AIC2886,"10.152729,76.397087",0,0,87
1732461029,2024-11-24T15:10:29Z,AIC2886,"10.152752,76.397415",0,18,87
1732461048,2024-11-24T15:10:48Z,AIC2886,"10.152821,76.399612",0,0,87
1732461129,2024-11-24T15:12:09Z,AIC2886,"10.153164,76.408798",0,0,87
1732461136,2024-11-24T15:12:16Z,AIC2886,"10.153198,76.40976",0,27,90
1732461145,2024-11-24T15:12:25Z,AIC2886,"10.153244,76.410927",0,28,87
1732461153,2024-11-24T15:12:33Z,AIC2886,"10.153278,76.411903",0,28,87
1732461159,2024-11-24T15:12:39Z,AIC2886,"10.153311,76.41272",0,27,90
1732461165,2024-11-24T15:12:45Z,AIC2886,"10.153336,76.41346",0,22,87
1732461174,2024-11-24T15:12:54Z,AIC2886,"10.153358,76.414253",0,18,90
1732461182,2024-11-24T15:13:02Z,AIC2886,"10.153392,76.414894",0,16,87
1732461189,2024-11-24T15:13:09Z,AIC2886,"10.153404,76.415321",0,11,87
1732461195,2024-11-24T15:13:15Z,AIC2886,"10.153393,76.415611",0,8,95
1732461202,2024-11-24T15:13:22Z,AIC2886,"10.153264,76.415817",0,8,126
1732461208,2024-11-24T15:13:28Z,AIC2886,"10.153049,76.415894",0,8,163
