Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732544447,2024-11-25T14:20:47Z,AIC2886,"10.154343,76.390945",0,0,357
1732544642,2024-11-25T14:24:02Z,AIC2886,"10.154277,76.391174",0,0,357
1732544664,2024-11-25T14:24:24Z,AIC2886,"10.154369,76.390862",0,0,357
1732544838,2024-11-25T14:27:18Z,AIC2886,"10.154288,76.391121",0,0,357
1732544931,2024-11-25T14:28:51Z,AIC2886,"10.154358,76.390884",0,0,357
1732544985,2024-11-25T14:29:45Z,AIC2886,"10.154288,76.391121",0,0,357
1732544997,2024-11-25T14:29:57Z,AIC2886,"10.154358,76.3909",0,0,357
1732545036,2024-11-25T14:30:36Z,AIC2886,"10.154263,76.391212",0,0,357
1732545056,2024-11-25T14:30:56Z,AIC2886,"10.154358,76.390907",0,0,357
1732545815,2024-11-25T14:43:35Z,AIC2886,"10.154331,76.391113",0,0,357
1732545981,2024-11-25T14:46:21Z,AIC2886,"10.154091,76.390968",0,3,357
1732546028,2024-11-25T14:47:08Z,AIC2886,"10.15353,76.390923",0,0,64
1732546060,2024-11-25T14:47:40Z,AIC2886,"10.153439,76.390709",0,1,90
1732546081,2024-11-25T14:48:01Z,AIC2886,"10.153439,76.390503",0,3,84
1732546097,2024-11-25T14:48:17Z,AIC2886,"10.153427,76.390282",0,3,87
1732546353,2024-11-25T14:52:33Z,AIC2886,"10.153427,76.390503",0,6,87
1732546361,2024-11-25T14:52:41Z,AIC2886,"10.153439,76.390755",0,7,87
1732546368,2024-11-25T14:52:48Z,AIC2886,"10.15345,76.391029",0,9,90
1732546375,2024-11-25T14:52:55Z,AIC2886,"10.15345,76.391281",0,10,87
1732546385,2024-11-25T14:53:05Z,AIC2886,"10.153473,76.391823",0,12,87
1732546396,2024-11-25T14:53:16Z,AIC2886,"10.153497,76.392532",0,14,87
1732546404,2024-11-25T14:53:24Z,AIC2886,"10.153507,76.392853",0,15,87
1732546415,2024-11-25T14:53:35Z,AIC2886,"10.153542,76.393631",0,11,87
1732546430,2024-11-25T14:53:50Z,AIC2886,"10.153553,76.393898",0,10,90
1732546438,2024-11-25T14:53:58Z,AIC2886,"10.15359,76.394852",0,14,87
1732546447,2024-11-25T14:54:07Z,AIC2886,"10.15361,76.395378",0,13,87
1732546456,2024-11-25T14:54:16Z,AIC2886,"10.153622,76.395874",0,11,87
1732546481,2024-11-25T14:54:41Z,AIC2886,"10.15369,76.397438",0,0,87
1732546687,2024-11-25T14:58:07Z,AIC2886,"10.15309,76.407959",0,21,87
1732546694,2024-11-25T14:58:14Z,AIC2886,"10.153101,76.408447",0,22,87
1732546702,2024-11-25T14:58:22Z,AIC2886,"10.153136,76.409424",0,23,87
1732546709,2024-11-25T14:58:29Z,AIC2886,"10.153172,76.410271",0,24,87
1732546717,2024-11-25T14:58:37Z,AIC2886,"10.153198,76.411003",0,24,87
1732546724,2024-11-25T14:58:44Z,AIC2886,"10.15323,76.411865",0,25,87
1732546732,2024-11-25T14:58:52Z,AIC2886,"10.153267,76.412842",0,26,87
1732546739,2024-11-25T14:58:59Z,AIC2886,"10.153299,76.41375",0,26,87
1732546746,2024-11-25T14:59:06Z,AIC2886,"10.153322,76.41433",0,23,87
1732546753,2024-11-25T14:59:13Z,AIC2886,"10.153347,76.414963",0,16,87
1732546760,2024-11-25T14:59:20Z,AIC2886,"10.153358,76.415359",0,11,87
1732546764,2024-11-25T14:59:24Z,AIC2886,"10.153358,76.415565",0,11,92
1732546770,2024-11-25T14:59:30Z,AIC2886,"10.15323,76.415794",0,12,120
1732546773,2024-11-25T14:59:33Z,AIC2886,"10.153027,76.415894",0,12,154
1732546777,2024-11-25T14:59:37Z,AIC2886,"10.152799,76.415894",0,14,182
1732546781,2024-11-25T14:59:41Z,AIC2886,"10.152508,76.415894",0,15,180
1732546784,2024-11-25T14:59:44Z,AIC2886,"10.152264,76.415901",0,15,177
1732546788,2024-11-25T14:59:48Z,AIC2886,"10.152007,76.415901",0,15,180
1732546792,2024-11-25T14:59:52Z,AIC2886,"10.151791,76.415833",0,12,202
1732546799,2024-11-25T14:59:59Z,AIC2886,"10.151635,76.415558",0,13,253
1732546802,2024-11-25T15:00:02Z,AIC2886,"10.151619,76.415344",0,12,267
1732546806,2024-11-25T15:00:06Z,AIC2886,"10.151608,76.415123",0,12,267
1732546809,2024-11-25T15:00:09Z,AIC2886,"10.151596,76.414894",0,14,267
1732546814,2024-11-25T15:00:14Z,AIC2886,"10.151588,76.41465",0,17,270
1732546816,2024-11-25T15:00:16Z,AIC2886,"10.151588,76.414314",0,22,272
1732546817,2024-11-25T15:00:17Z,AIC2886,"10.151573,76.414101",0,31,272
1732546819,2024-11-25T15:00:19Z,AIC2886,"10.151562,76.413765",0,40,270
1732546859,2024-11-25T15:00:59Z,AIC2886,"10.150669,76.390167",450,161,267
1732546866,2024-11-25T15:01:06Z,AIC2886,"10.150529,76.386002",675,161,267
1732546873,2024-11-25T15:01:13Z,AIC2886,"10.150343,76.380455",950,158,268
1732546880,2024-11-25T15:01:20Z,AIC2886,"10.150157,76.374725",1175,160,268
1732546888,2024-11-25T15:01:28Z,AIC2886,"10.149971,76.368568",1325,170,268
1732546897,2024-11-25T15:01:37Z,AIC2886,"10.149719,76.361076",1525,183,268
1732546904,2024-11-25T15:01:44Z,AIC2886,"10.149551,76.354744",1650,193,268
1732546914,2024-11-25T15:01:54Z,AIC2886,"10.149272,76.346504",1825,208,268
1732546921,2024-11-25T15:02:01Z,AIC2886,"10.148947,76.338074",2000,220,268
1732546930,2024-11-25T15:02:10Z,AIC2886,"10.148621,76.328163",2200,234,268
1732546938,2024-11-25T15:02:18Z,AIC2886,"10.148341,76.31913",2475,243,268
1732546945,2024-11-25T15:02:25Z,AIC2886,"10.148108,76.311272",2750,248,268
