Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733324663,2024-12-04T15:04:23Z,AIC2886,"10.154265,76.388794",0,0,357
1733324706,2024-12-04T15:05:06Z,AIC2886,"10.154057,76.388802",0,2,357
1733324728,2024-12-04T15:05:28Z,AIC2886,"10.153839,76.388832",0,2,5
1733324747,2024-12-04T15:05:47Z,AIC2886,"10.153637,76.388824",0,2,36
1733324769,2024-12-04T15:06:09Z,AIC2886,"10.153427,76.388687",0,2,75
1733325120,2024-12-04T15:12:00Z,AIC2886,"10.153416,76.388908",0,6,87
1733325168,2024-12-04T15:12:48Z,AIC2886,"10.153416,76.389114",0,0,87
1733325181,2024-12-04T15:13:01Z,AIC2886,"10.153427,76.389328",0,4,87
1733325190,2024-12-04T15:13:10Z,AIC2886,"10.153439,76.389534",0,6,87
1733325198,2024-12-04T15:13:18Z,AIC2886,"10.15345,76.389801",0,8,87
1733325204,2024-12-04T15:13:24Z,AIC2886,"10.153462,76.390045",0,9,87
1733325211,2024-12-04T15:13:31Z,AIC2886,"10.15345,76.390327",0,7,95
1733325218,2024-12-04T15:13:38Z,AIC2886,"10.15329,76.390533",0,9,129
1733325224,2024-12-04T15:13:44Z,AIC2886,"10.153084,76.390594",0,7,163
1733325231,2024-12-04T15:13:51Z,AIC2886,"10.152866,76.390594",0,6,174
1733325239,2024-12-04T15:13:59Z,AIC2886,"10.152637,76.390701",0,7,154
1733325246,2024-12-04T15:14:06Z,AIC2886,"10.152523,76.390907",0,7,118
1733325254,2024-12-04T15:14:14Z,AIC2886,"10.152508,76.391121",0,7,95
1733325259,2024-12-04T15:14:19Z,AIC2886,"10.152523,76.391335",0,8,87
1733325264,2024-12-04T15:14:24Z,AIC2886,"10.152531,76.391548",0,9,87
1733325269,2024-12-04T15:14:29Z,AIC2886,"10.152543,76.391777",0,10,87
1733325274,2024-12-04T15:14:34Z,AIC2886,"10.152555,76.392014",0,11,87
1733325281,2024-12-04T15:14:41Z,AIC2886,"10.152569,76.392433",0,12,87
1733325288,2024-12-04T15:14:48Z,AIC2886,"10.15258,76.392769",0,13,87
1733325295,2024-12-04T15:14:55Z,AIC2886,"10.152601,76.393265",0,14,87
1733325302,2024-12-04T15:15:02Z,AIC2886,"10.152615,76.393784",0,15,87
1733325309,2024-12-04T15:15:09Z,AIC2886,"10.152636,76.394287",0,16,87
1733325317,2024-12-04T15:15:17Z,AIC2886,"10.152659,76.394958",0,17,87
1733325324,2024-12-04T15:15:24Z,AIC2886,"10.152672,76.395493",0,17,87
1733325331,2024-12-04T15:15:31Z,AIC2886,"10.152695,76.396118",0,18,87
1733325339,2024-12-04T15:15:39Z,AIC2886,"10.152718,76.396805",0,19,87
1733325345,2024-12-04T15:15:45Z,AIC2886,"10.15274,76.397423",0,20,87
1733325353,2024-12-04T15:15:53Z,AIC2886,"10.152763,76.398132",0,21,87
1733325360,2024-12-04T15:16:00Z,AIC2886,"10.152799,76.398857",0,21,87
