Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733409059,2024-12-05T14:30:59Z,AIC2886,"10.154285,76.389267",0,0,357
1733409113,2024-12-05T14:31:53Z,AIC2886,"10.154068,76.389275",0,2,357
1733409144,2024-12-05T14:32:24Z,AIC2886,"10.153765,76.389313",0,2,14
1733409164,2024-12-05T14:32:44Z,AIC2886,"10.153555,76.389275",0,2,53
1733409194,2024-12-05T14:33:14Z,AIC2886,"10.153416,76.389061",0,1,90
1733409464,2024-12-05T14:37:44Z,AIC2886,"10.153439,76.38929",0,5,87
1733409476,2024-12-05T14:37:56Z,AIC2886,"10.15345,76.389641",0,7,87
1733409483,2024-12-05T14:38:03Z,AIC2886,"10.153462,76.389908",0,9,87
1733409490,2024-12-05T14:38:10Z,AIC2886,"10.153462,76.390175",0,10,87
1733409498,2024-12-05T14:38:18Z,AIC2886,"10.153485,76.390602",0,11,87
1733409505,2024-12-05T14:38:25Z,AIC2886,"10.153496,76.390976",0,12,87
1733409524,2024-12-05T14:38:44Z,AIC2886,"10.153521,76.391647",0,14,87
1733409533,2024-12-05T14:38:53Z,AIC2886,"10.153564,76.392883",0,16,87
1733409539,2024-12-05T14:38:59Z,AIC2886,"10.153587,76.393448",0,17,87
1733409549,2024-12-05T14:39:09Z,AIC2886,"10.153613,76.39431",0,18,87
1733409569,2024-12-05T14:39:29Z,AIC2886,"10.153679,76.396027",0,0,87
1733409763,2024-12-05T14:42:43Z,AIC2886,"10.153164,76.408691",0,0,87
1733409774,2024-12-05T14:42:54Z,AIC2886,"10.15321,76.409782",0,24,87
1733409781,2024-12-05T14:43:01Z,AIC2886,"10.153241,76.410599",0,24,87
1733409790,2024-12-05T14:43:10Z,AIC2886,"10.153278,76.411713",0,22,87
1733409797,2024-12-05T14:43:17Z,AIC2886,"10.153311,76.41246",0,20,90
1733409804,2024-12-05T14:43:24Z,AIC2886,"10.153324,76.413101",0,18,87
1733409812,2024-12-05T14:43:32Z,AIC2886,"10.153347,76.413742",0,16,87
1733409819,2024-12-05T14:43:39Z,AIC2886,"10.153369,76.41423",0,15,87
1733409826,2024-12-05T14:43:46Z,AIC2886,"10.153393,76.414757",0,14,87
1733409833,2024-12-05T14:43:53Z,AIC2886,"10.153404,76.415154",0,12,87
1733409841,2024-12-05T14:44:01Z,AIC2886,"10.153404,76.415558",0,10,92
1733409846,2024-12-05T14:44:06Z,AIC2886,"10.153299,76.415771",0,9,120
1733409852,2024-12-05T14:44:12Z,AIC2886,"10.153061,76.415871",0,10,160
1733409857,2024-12-05T14:44:17Z,AIC2886,"10.152786,76.415871",0,12,177
1733409862,2024-12-05T14:44:22Z,AIC2886,"10.152489,76.415894",0,13,177
1733409866,2024-12-05T14:44:26Z,AIC2886,"10.152271,76.415894",0,12,177
1733409870,2024-12-05T14:44:30Z,AIC2886,"10.152054,76.415894",0,11,180
1733409876,2024-12-05T14:44:36Z,AIC2886,"10.15181,76.41581",0,8,202
1733409884,2024-12-05T14:44:44Z,AIC2886,"10.151688,76.415604",0,6,239
1733409891,2024-12-05T14:44:51Z,AIC2886,"10.151665,76.41539",0,6,261
1733409903,2024-12-05T14:45:03Z,AIC2886,"10.151665,76.4151",0,5,270
1733409909,2024-12-05T14:45:09Z,AIC2886,"10.151647,76.414825",0,13,267
1733409913,2024-12-05T14:45:13Z,AIC2886,"10.151635,76.414543",0,20,267
1733409916,2024-12-05T14:45:16Z,AIC2886,"10.151611,76.414055",0,34,267
1733409919,2024-12-05T14:45:19Z,AIC2886,"10.151596,76.413651",0,43,270
1733409920,2024-12-05T14:45:20Z,AIC2886,"10.151588,76.413406",0,48,270
1733409931,2024-12-05T14:45:31Z,AIC2886,"10.151413,76.408981",0,0,267
1733409957,2024-12-05T14:45:57Z,AIC2886,"10.150762,76.391113",325,164,266
1733409965,2024-12-05T14:46:05Z,AIC2886,"10.150497,76.386124",575,164,267
1733409972,2024-12-05T14:46:12Z,AIC2886,"10.150249,76.380409",875,159,267
1733409980,2024-12-05T14:46:20Z,AIC2886,"10.149971,76.373825",1175,164,267
1733409987,2024-12-05T14:46:27Z,AIC2886,"10.149784,76.368332",1275,173,267
1733409996,2024-12-05T14:46:36Z,AIC2886,"10.149536,76.361031",1475,184,268
1733410002,2024-12-05T14:46:42Z,AIC2886,"10.149353,76.355354",1650,192,267
1733410011,2024-12-05T14:46:51Z,AIC2886,"10.149033,76.347069",1900,204,267
1733410019,2024-12-05T14:46:59Z,AIC2886,"10.14876,76.339828",2075,213,267
1733410026,2024-12-05T14:47:06Z,AIC2886,"10.148527,76.332199",2300,224,267
1733410035,2024-12-05T14:47:15Z,AIC2886,"10.148209,76.322815",2600,233,268
1733410041,2024-12-05T14:47:21Z,AIC2886,"10.148015,76.31601",2850,238,268
1733410050,2024-12-05T14:47:30Z,AIC2886,"10.147659,76.305779",3225,245,268
1733410059,2024-12-05T14:47:39Z,AIC2886,"10.147339,76.295158",3625,250,268
1733410066,2024-12-05T14:47:46Z,AIC2886,"10.147018,76.285942",4000,253,268
1733410073,2024-12-05T14:47:53Z,AIC2886,"10.14679,76.278587",4350,253,268
1733410083,2024-12-05T14:48:03Z,AIC2886,"10.147038,76.266808",4925,252,275
1733410085,2024-12-05T14:48:05Z,AIC2886,"10.147247,76.265228",5000,252,280
1733410087,2024-12-05T14:48:07Z,AIC2886,"10.148117,76.261551",5150,252,284
