Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733841204,2024-12-10T14:33:24Z,AIC2886,"10.153997,76.388802",0,3,357
1733841223,2024-12-10T14:33:43Z,AIC2886,"10.153776,76.388824",0,3,14
1733841242,2024-12-10T14:34:02Z,AIC2886,"10.153576,76.388786",0,3,33
1733841268,2024-12-10T14:34:28Z,AIC2886,"10.15337,76.388664",0,2,84
1733841641,2024-12-10T14:40:41Z,AIC2886,"10.153369,76.388901",0,5,87
1733841648,2024-12-10T14:40:48Z,AIC2886,"10.153381,76.389107",0,7,87
1733841656,2024-12-10T14:40:56Z,AIC2886,"10.153393,76.389351",0,8,87
1733841664,2024-12-10T14:41:04Z,AIC2886,"10.153404,76.389679",0,10,87
1733841671,2024-12-10T14:41:11Z,AIC2886,"10.153416,76.389999",0,11,87
1733841678,2024-12-10T14:41:18Z,AIC2886,"10.153427,76.390404",0,12,87
1733841686,2024-12-10T14:41:26Z,AIC2886,"10.153439,76.39077",0,13,90
1733841693,2024-12-10T14:41:33Z,AIC2886,"10.153462,76.39122",0,14,87
1733841701,2024-12-10T14:41:41Z,AIC2886,"10.153474,76.391808",0,15,87
1733841711,2024-12-10T14:41:51Z,AIC2886,"10.153508,76.392555",0,14,87
1733841718,2024-12-10T14:41:58Z,AIC2886,"10.153521,76.393066",0,14,87
1733841725,2024-12-10T14:42:05Z,AIC2886,"10.153543,76.393517",0,16,87
1733841732,2024-12-10T14:42:12Z,AIC2886,"10.153566,76.394058",0,16,87
1733841742,2024-12-10T14:42:22Z,AIC2886,"10.15359,76.394653",0,12,90
1733841755,2024-12-10T14:42:35Z,AIC2886,"10.153288,76.395081",0,10,154
1733841760,2024-12-10T14:42:40Z,AIC2886,"10.153078,76.395103",0,10,177
1733841766,2024-12-10T14:42:46Z,AIC2886,"10.152822,76.395172",0,9,154
1733841786,2024-12-10T14:43:06Z,AIC2886,"10.152659,76.395958",0,0,87
1733841798,2024-12-10T14:43:18Z,AIC2886,"10.152682,76.396568",0,0,87
1733841805,2024-12-10T14:43:25Z,AIC2886,"10.152695,76.396927",0,12,87
1733841813,2024-12-10T14:43:33Z,AIC2886,"10.152706,76.3974",0,13,87
1733841820,2024-12-10T14:43:40Z,AIC2886,"10.152729,76.397881",0,14,87
1733841835,2024-12-10T14:43:55Z,AIC2886,"10.152763,76.398857",0,0,87
1733841850,2024-12-10T14:44:10Z,AIC2886,"10.152798,76.399994",0,0,87
1733841930,2024-12-10T14:45:30Z,AIC2886,"10.153084,76.407608",0,0,87
1733841936,2024-12-10T14:45:36Z,AIC2886,"10.153101,76.408051",0,15,87
1733841943,2024-12-10T14:45:43Z,AIC2886,"10.153118,76.408585",0,16,87
1733841951,2024-12-10T14:45:51Z,AIC2886,"10.153136,76.409119",0,16,87
1733841958,2024-12-10T14:45:58Z,AIC2886,"10.153159,76.409607",0,17,87
1733841965,2024-12-10T14:46:05Z,AIC2886,"10.153183,76.410278",0,18,87
1733841973,2024-12-10T14:46:13Z,AIC2886,"10.153198,76.410805",0,19,90
1733841981,2024-12-10T14:46:21Z,AIC2886,"10.153217,76.411415",0,15,87
1733841987,2024-12-10T14:46:27Z,AIC2886,"10.153233,76.411797",0,11,87
1733841994,2024-12-10T14:46:34Z,AIC2886,"10.153244,76.41201",0,8,87
1733842001,2024-12-10T14:46:41Z,AIC2886,"10.153255,76.412308",0,9,87
1733842008,2024-12-10T14:46:48Z,AIC2886,"10.153264,76.412636",0,10,87
1733842015,2024-12-10T14:46:55Z,AIC2886,"10.153267,76.412926",0,11,87
