Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734272773,2024-12-15T14:26:13Z,AIC2886,"10.152534,76.391502",0,0,267
1734272901,2024-12-15T14:28:21Z,AIC2886,"10.152523,76.39119",0,0,267
1734272917,2024-12-15T14:28:37Z,AIC2886,"10.152718,76.390663",0,0,317
1734272927,2024-12-15T14:28:47Z,AIC2886,"10.153206,76.390564",0,7,354
1734272940,2024-12-15T14:29:00Z,AIC2886,"10.153461,76.390312",0,9,300
1734272944,2024-12-15T14:29:04Z,AIC2886,"10.153462,76.390022",0,9,270
1734272949,2024-12-15T14:29:09Z,AIC2886,"10.153439,76.389801",0,11,267
1734272964,2024-12-15T14:29:24Z,AIC2886,"10.153416,76.389091",0,7,267
1734272973,2024-12-15T14:29:33Z,AIC2886,"10.15345,76.388824",0,5,286
1734272983,2024-12-15T14:29:43Z,AIC2886,"10.153713,76.388802",0,6,351
1734272997,2024-12-15T14:29:57Z,AIC2886,"10.153988,76.388802",0,2,357
1734273017,2024-12-15T14:30:17Z,AIC2886,"10.154194,76.388802",0,1,357
1734275290,2024-12-15T15:08:10Z,AIC2886,"10.153988,76.388786",0,2,357
1734275307,2024-12-15T15:08:27Z,AIC2886,"10.153788,76.388817",0,3,8
1734275326,2024-12-15T15:08:46Z,AIC2886,"10.153587,76.388802",0,2,45
1734275352,2024-12-15T15:09:12Z,AIC2886,"10.153404,76.388588",0,2,87
1734275654,2024-12-15T15:14:14Z,AIC2886,"10.153404,76.388802",0,4,87
1734275661,2024-12-15T15:14:21Z,AIC2886,"10.153416,76.389015",0,6,90
1734275668,2024-12-15T15:14:28Z,AIC2886,"10.153416,76.389229",0,7,87
1734275675,2024-12-15T15:14:35Z,AIC2886,"10.153427,76.38945",0,8,87
1734275682,2024-12-15T15:14:42Z,AIC2886,"10.15345,76.389778",0,10,87
1734275690,2024-12-15T15:14:50Z,AIC2886,"10.153461,76.390137",0,10,87
1734275696,2024-12-15T15:14:56Z,AIC2886,"10.15345,76.390358",0,6,92
1734275705,2024-12-15T15:15:05Z,AIC2886,"10.153194,76.390564",0,8,151
1734275714,2024-12-15T15:15:14Z,AIC2886,"10.152843,76.390579",0,8,177
1734275721,2024-12-15T15:15:21Z,AIC2886,"10.152613,76.390511",0,7,202
1734275733,2024-12-15T15:15:33Z,AIC2886,"10.152489,76.390305",0,6,239
1734275737,2024-12-15T15:15:37Z,AIC2886,"10.152472,76.39006",0,7,264
1734275743,2024-12-15T15:15:43Z,AIC2886,"10.152466,76.389839",0,8,267
1734275749,2024-12-15T15:15:49Z,AIC2886,"10.152461,76.389633",0,8,270
1734275757,2024-12-15T15:15:57Z,AIC2886,"10.15245,76.389313",0,9,267
1734275765,2024-12-15T15:16:05Z,AIC2886,"10.152431,76.388939",0,10,267
1734275773,2024-12-15T15:16:13Z,AIC2886,"10.152414,76.388458",0,12,267
1734275780,2024-12-15T15:16:20Z,AIC2886,"10.152403,76.388092",0,13,267
1734275787,2024-12-15T15:16:27Z,AIC2886,"10.152391,76.387611",0,14,267
1734275794,2024-12-15T15:16:34Z,AIC2886,"10.152374,76.387184",0,14,267
1734275801,2024-12-15T15:16:41Z,AIC2886,"10.152345,76.386688",0,15,267
1734275808,2024-12-15T15:16:48Z,AIC2886,"10.15234,76.386238",0,13,267
1734275815,2024-12-15T15:16:55Z,AIC2886,"10.152322,76.385811",0,12,267
1734275822,2024-12-15T15:17:02Z,AIC2886,"10.152309,76.385475",0,9,267
1734275828,2024-12-15T15:17:08Z,AIC2886,"10.152248,76.385239",0,9,253
1734275835,2024-12-15T15:17:15Z,AIC2886,"10.152007,76.385071",0,9,210
1734275840,2024-12-15T15:17:20Z,AIC2886,"10.151802,76.385063",0,10,185
1734275844,2024-12-15T15:17:24Z,AIC2886,"10.151573,76.385063",0,11,180
1734275849,2024-12-15T15:17:29Z,AIC2886,"10.151251,76.385086",0,13,177
1734275853,2024-12-15T15:17:33Z,AIC2886,"10.15103,76.385101",0,12,177
1734275858,2024-12-15T15:17:38Z,AIC2886,"10.150806,76.385132",0,9,168
1734275866,2024-12-15T15:17:46Z,AIC2886,"10.150599,76.385345",0,10,129
1734275870,2024-12-15T15:17:50Z,AIC2886,"10.150576,76.385582",0,12,98
1734275874,2024-12-15T15:17:54Z,AIC2886,"10.150578,76.38588",0,14,90
1734275880,2024-12-15T15:18:00Z,AIC2886,"10.150589,76.386192",0,19,87
1734275881,2024-12-15T15:18:01Z,AIC2886,"10.150599,76.38652",0,26,87
1734275885,2024-12-15T15:18:05Z,AIC2886,"10.150623,76.387047",0,41,87
1734275886,2024-12-15T15:18:06Z,AIC2886,"10.150635,76.387268",0,46,87
1734275890,2024-12-15T15:18:10Z,AIC2886,"10.150669,76.388374",0,66,87
1734275891,2024-12-15T15:18:11Z,AIC2886,"10.150692,76.38887",0,70,87
1734275893,2024-12-15T15:18:13Z,AIC2886,"10.150703,76.389198",0,74,87
1734275896,2024-12-15T15:18:16Z,AIC2886,"10.150762,76.390778",0,94,88
1734275897,2024-12-15T15:18:17Z,AIC2886,"10.150762,76.391251",0,98,87
1734275899,2024-12-15T15:18:19Z,AIC2886,"10.150808,76.39225",100,110,87
1734275922,2024-12-15T15:18:42Z,AIC2886,"10.151413,76.407494",375,154,87
1734275929,2024-12-15T15:18:49Z,AIC2886,"10.151596,76.412613",725,147,87
1734275936,2024-12-15T15:18:56Z,AIC2886,"10.151779,76.416893",1000,147,87
1734275944,2024-12-15T15:19:04Z,AIC2886,"10.152054,76.423042",1250,155,87
1734275952,2024-12-15T15:19:12Z,AIC2886,"10.152345,76.428902",1425,164,86
1734275958,2024-12-15T15:19:18Z,AIC2886,"10.152649,76.43412",1600,172,86
1734275965,2024-12-15T15:19:25Z,AIC2886,"10.152996,76.439461",1775,181,85
1734275972,2024-12-15T15:19:32Z,AIC2886,"10.153508,76.446236",1975,191,85
1734275979,2024-12-15T15:19:39Z,AIC2886,"10.153975,76.452156",2125,201,85
1734275987,2024-12-15T15:19:47Z,AIC2886,"10.154709,76.460793",2325,215,84
1734275995,2024-12-15T15:19:55Z,AIC2886,"10.155396,76.468384",2525,226,84
1734276004,2024-12-15T15:20:04Z,AIC2886,"10.156162,76.477631",2900,231,85
1734276010,2024-12-15T15:20:10Z,AIC2886,"10.156769,76.484718",3275,231,85
1734276018,2024-12-15T15:20:18Z,AIC2886,"10.157558,76.493965",3775,230,85
1734276025,2024-12-15T15:20:25Z,AIC2886,"10.158164,76.500694",4150,231,84
1734276034,2024-12-15T15:20:34Z,AIC2886,"10.159103,76.510788",4675,233,84
1734276043,2024-12-15T15:20:43Z,AIC2886,"10.160248,76.520332",5000,242,80
1734276045,2024-12-15T15:20:45Z,AIC2886,"10.160911,76.523087",5050,246,75
1734276048,2024-12-15T15:20:48Z,AIC2886,"10.162033,76.526382",5125,252,67
1734276050,2024-12-15T15:20:50Z,AIC2886,"10.163284,76.529106",5225,254,63
1734276053,2024-12-15T15:20:53Z,AIC2886,"10.164402,76.53109",5300,255,59
1734276055,2024-12-15T15:20:55Z,AIC2886,"10.165924,76.533463",5425,257,55
1734276057,2024-12-15T15:20:57Z,AIC2886,"10.167428,76.535446",5525,257,51
1734276059,2024-12-15T15:20:59Z,AIC2886,"10.169104,76.537346",5650,257,47
1734276061,2024-12-15T15:21:01Z,AIC2886,"10.170822,76.539093",5750,258,42
1734276063,2024-12-15T15:21:03Z,AIC2886,"10.173107,76.540993",5900,258,39
1734276065,2024-12-15T15:21:05Z,AIC2886,"10.175062,76.542412",6025,258,36
1734276068,2024-12-15T15:21:08Z,AIC2886,"10.17691,76.54361",6150,257,30
1734276070,2024-12-15T15:21:10Z,AIC2886,"10.179245,76.544823",6300,257,26
1734276072,2024-12-15T15:21:12Z,AIC2886,"10.181671,76.545937",6425,257,23
1734276074,2024-12-15T15:21:14Z,AIC2886,"10.18442,76.546959",6575,256,19
1734276076,2024-12-15T15:21:16Z,AIC2886,"10.186615,76.547615",6700,256,16
1734276079,2024-12-15T15:21:19Z,AIC2886,"10.189407,76.548264",6875,254,12
1734276081,2024-12-15T15:21:21Z,AIC2886,"10.192291,76.54882",7025,253,10
1734276083,2024-12-15T15:21:23Z,AIC2886,"10.195084,76.549339",7200,252,10
1734276085,2024-12-15T15:21:25Z,AIC2886,"10.196988,76.54966",7300,252,9
1734276088,2024-12-15T15:21:28Z,AIC2886,"10.200014,76.550133",7450,252,8
1734276090,2024-12-15T15:21:30Z,AIC2886,"10.202728,76.550499",7575,253,8
1734276092,2024-12-15T15:21:32Z,AIC2886,"10.204971,76.550827",7650,255,7
1734276094,2024-12-15T15:21:34Z,AIC2886,"10.208084,76.551247",7750,257,7
1734276096,2024-12-15T15:21:36Z,AIC2886,"10.210464,76.551521",7825,261,6
1734276098,2024-12-15T15:21:38Z,AIC2886,"10.212891,76.551758",7875,262,5
1734276101,2024-12-15T15:21:41Z,AIC2886,"10.215637,76.551941",7950,266,3
1734276103,2024-12-15T15:21:43Z,AIC2886,"10.21803,76.552071",8000,269,2
1734276105,2024-12-15T15:21:45Z,AIC2886,"10.221268,76.552132",8075,272,1
1734276108,2024-12-15T15:21:48Z,AIC2886,"10.225152,76.552071",8175,275,358
1734276111,2024-12-15T15:21:51Z,AIC2886,"10.227713,76.551926",8250,278,357
1734276113,2024-12-15T15:21:53Z,AIC2886,"10.230971,76.551788",8350,280,356
1734276115,2024-12-15T15:21:55Z,AIC2886,"10.233579,76.551598",8425,280,356
1734276117,2024-12-15T15:21:57Z,AIC2886,"10.236837,76.551361",8525,282,355
1734276120,2024-12-15T15:22:00Z,AIC2886,"10.240003,76.551079",8625,283,355
1734276122,2024-12-15T15:22:02Z,AIC2886,"10.242737,76.550873",8700,285,355
1734276124,2024-12-15T15:22:04Z,AIC2886,"10.245255,76.550636",8775,287,355
1734276126,2024-12-15T15:22:06Z,AIC2886,"10.248103,76.550369",8875,288,354
1734276128,2024-12-15T15:22:08Z,AIC2886,"10.251454,76.550079",8975,289,354
1734276141,2024-12-15T15:22:21Z,AIC2886,"10.267795,76.548523",9500,293,354
1734276154,2024-12-15T15:22:34Z,AIC2886,"10.285812,76.547195",10125,295,359
1734276160,2024-12-15T15:22:40Z,AIC2886,"10.294795,76.547523",10400,295,4
1734276162,2024-12-15T15:22:42Z,AIC2886,"10.297262,76.54776",10450,297,5
1734276164,2024-12-15T15:22:44Z,AIC2886,"10.300781,76.548172",10525,299,6
1734276166,2024-12-15T15:22:46Z,AIC2886,"10.303024,76.548454",10550,302,7
1734276168,2024-12-15T15:22:48Z,AIC2886,"10.306503,76.54892",10600,303,7
1734276172,2024-12-15T15:22:52Z,AIC2886,"10.311172,76.54966",10675,308,8
1734276174,2024-12-15T15:22:54Z,AIC2886,"10.314056,76.550125",10700,312,9
1734276177,2024-12-15T15:22:57Z,AIC2886,"10.317698,76.550743",10750,314,9
1734276179,2024-12-15T15:22:59Z,AIC2886,"10.322074,76.551506",10800,318,9
