Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1735224549,2024-12-26T14:49:09Z,AIC2886,"10.154228,76.390968",0,1,357
1735224574,2024-12-26T14:49:34Z,AIC2886,"10.153997,76.390968",0,2,357
1735224612,2024-12-26T14:50:12Z,AIC2886,"10.153671,76.390991",0,2,42
1735224649,2024-12-26T14:50:49Z,AIC2886,"10.153474,76.39077",0,1,92
1735224675,2024-12-26T14:51:15Z,AIC2886,"10.153497,76.390556",0,1,81
1735224705,2024-12-26T14:51:45Z,AIC2886,"10.153462,76.390327",0,1,84
1735224731,2024-12-26T14:52:11Z,AIC2886,"10.15345,76.390121",0,1,87
1735225110,2024-12-26T14:58:30Z,AIC2886,"10.153462,76.390327",0,4,87
1735225120,2024-12-26T14:58:40Z,AIC2886,"10.153473,76.390556",0,6,87
1735225127,2024-12-26T14:58:47Z,AIC2886,"10.153484,76.390839",0,8,87
1735225134,2024-12-26T14:58:54Z,AIC2886,"10.153484,76.391068",0,8,87
1735225143,2024-12-26T14:59:03Z,AIC2886,"10.153496,76.391418",0,9,87
1735225148,2024-12-26T14:59:08Z,AIC2886,"10.153508,76.39167",0,9,87
1735225168,2024-12-26T14:59:28Z,AIC2886,"10.153543,76.392654",0,0,87
1735225176,2024-12-26T14:59:36Z,AIC2886,"10.153555,76.393044",0,10,87
1735225185,2024-12-26T14:59:45Z,AIC2886,"10.153579,76.393471",0,10,87
1735225196,2024-12-26T14:59:56Z,AIC2886,"10.153587,76.394012",0,10,87
1735225204,2024-12-26T15:00:04Z,AIC2886,"10.15361,76.394409",0,0,87
1735225219,2024-12-26T15:00:19Z,AIC2886,"10.153625,76.394897",0,6,87
1735225239,2024-12-26T15:00:39Z,AIC2886,"10.15321,76.395111",0,0,174
1735225247,2024-12-26T15:00:47Z,AIC2886,"10.152904,76.395126",0,7,177
1735225258,2024-12-26T15:00:58Z,AIC2886,"10.152683,76.395317",0,6,126
1735225268,2024-12-26T15:01:08Z,AIC2886,"10.152671,76.395638",0,7,92
1735225283,2024-12-26T15:01:23Z,AIC2886,"10.152694,76.39624",0,0,87
1735225289,2024-12-26T15:01:29Z,AIC2886,"10.152705,76.396507",0,10,87
1735225296,2024-12-26T15:01:36Z,AIC2886,"10.152718,76.396904",0,12,87
1735225304,2024-12-26T15:01:44Z,AIC2886,"10.15274,76.397354",0,13,87
1735225314,2024-12-26T15:01:54Z,AIC2886,"10.152752,76.398018",0,14,87
1735225434,2024-12-26T15:03:54Z,AIC2886,"10.153136,76.408287",0,18,87
1735225443,2024-12-26T15:04:03Z,AIC2886,"10.153175,76.409431",0,20,87
1735225451,2024-12-26T15:04:11Z,AIC2886,"10.153198,76.410133",0,18,87
1735225461,2024-12-26T15:04:21Z,AIC2886,"10.153241,76.410957",0,16,87
1735225469,2024-12-26T15:04:29Z,AIC2886,"10.153255,76.411484",0,16,87
1735225476,2024-12-26T15:04:36Z,AIC2886,"10.153275,76.412102",0,17,87
1735225483,2024-12-26T15:04:43Z,AIC2886,"10.153301,76.41275",0,18,87
1735225490,2024-12-26T15:04:50Z,AIC2886,"10.153324,76.413231",0,17,87
1735225498,2024-12-26T15:04:58Z,AIC2886,"10.153336,76.413795",0,15,87
1735225505,2024-12-26T15:05:05Z,AIC2886,"10.153358,76.414352",0,14,87
1735225512,2024-12-26T15:05:12Z,AIC2886,"10.15338,76.414871",0,14,87
1735225520,2024-12-26T15:05:20Z,AIC2886,"10.153392,76.415283",0,11,87
1735225527,2024-12-26T15:05:27Z,AIC2886,"10.15338,76.415604",0,9,92
1735225534,2024-12-26T15:05:34Z,AIC2886,"10.153206,76.41584",0,8,135
1735225542,2024-12-26T15:05:42Z,AIC2886,"10.152889,76.415886",0,10,177
1735225546,2024-12-26T15:05:46Z,AIC2886,"10.152659,76.415878",0,11,177
1735225551,2024-12-26T15:05:51Z,AIC2886,"10.15245,76.415894",0,11,177
1735225556,2024-12-26T15:05:56Z,AIC2886,"10.152157,76.415894",0,10,177
1735225561,2024-12-26T15:06:01Z,AIC2886,"10.151939,76.415871",0,8,185
1735225569,2024-12-26T15:06:09Z,AIC2886,"10.151716,76.415703",0,8,225
1735225575,2024-12-26T15:06:15Z,AIC2886,"10.151665,76.415497",0,7,253
1735225585,2024-12-26T15:06:25Z,AIC2886,"10.151647,76.41523",0,6,264
1735225591,2024-12-26T15:06:31Z,AIC2886,"10.151635,76.415001",0,10,267
1735225594,2024-12-26T15:06:34Z,AIC2886,"10.15163,76.414742",0,19,267
1735225597,2024-12-26T15:06:37Z,AIC2886,"10.151623,76.41452",0,29,267
1735225598,2024-12-26T15:06:38Z,AIC2886,"10.151619,76.414253",0,34,270
1735225600,2024-12-26T15:06:40Z,AIC2886,"10.151608,76.413857",0,44,267
1735225601,2024-12-26T15:06:41Z,AIC2886,"10.151596,76.413628",0,49,267
1735225613,2024-12-26T15:06:53Z,AIC2886,"10.151413,76.408798",0,0,267
1735225635,2024-12-26T15:07:15Z,AIC2886,"10.150855,76.394524",300,157,266
1735225642,2024-12-26T15:07:22Z,AIC2886,"10.150576,76.389267",575,153,267
1735225649,2024-12-26T15:07:29Z,AIC2886,"10.150343,76.384483",850,151,267
1735225657,2024-12-26T15:07:37Z,AIC2886,"10.150157,76.378326",1225,149,269
1735225664,2024-12-26T15:07:44Z,AIC2886,"10.15011,76.37397",1450,150,269
1735225671,2024-12-26T15:07:51Z,AIC2886,"10.150131,76.36895",1675,153,270
1735225680,2024-12-26T15:08:00Z,AIC2886,"10.150131,76.362518",1875,166,270
1735225688,2024-12-26T15:08:08Z,AIC2886,"10.150085,76.355583",2075,176,270
1735225697,2024-12-26T15:08:17Z,AIC2886,"10.150064,76.348305",2275,190,269
1735225703,2024-12-26T15:08:23Z,AIC2886,"10.149948,76.342316",2425,199,268
1735225710,2024-12-26T15:08:30Z,AIC2886,"10.149902,76.335938",2600,210,270
1735225714,2024-12-26T15:08:34Z,AIC2886,"10.150343,76.33107",2700,216,277
1735225717,2024-12-26T15:08:37Z,AIC2886,"10.150762,76.329079",2750,220,283
1735225719,2024-12-26T15:08:39Z,AIC2886,"10.151505,76.326492",2800,223,287
1735225721,2024-12-26T15:08:41Z,AIC2886,"10.152298,76.324387",2875,225,291
1735225723,2024-12-26T15:08:43Z,AIC2886,"10.15329,76.322395",2925,228,295
1735225725,2024-12-26T15:08:45Z,AIC2886,"10.154393,76.320503",2975,230,300
1735225727,2024-12-26T15:08:47Z,AIC2886,"10.15565,76.318611",3050,232,304
1735225729,2024-12-26T15:08:49Z,AIC2886,"10.156721,76.317238",3100,234,310
1735225731,2024-12-26T15:08:51Z,AIC2886,"10.15835,76.315437",3175,234,312
1735225733,2024-12-26T15:08:53Z,AIC2886,"10.160352,76.313545",3275,236,318
1735225736,2024-12-26T15:08:56Z,AIC2886,"10.162262,76.312103",3375,237,323
1735225738,2024-12-26T15:08:58Z,AIC2886,"10.164123,76.310799",3450,237,327
1735225740,2024-12-26T15:09:00Z,AIC2886,"10.166078,76.309708",3550,238,333
1735225742,2024-12-26T15:09:02Z,AIC2886,"10.168079,76.308762",3650,237,337
1735225744,2024-12-26T15:09:04Z,AIC2886,"10.170547,76.307816",3775,237,341
1735225747,2024-12-26T15:09:07Z,AIC2886,"10.172967,76.307106",3875,237,345
1735225749,2024-12-26T15:09:09Z,AIC2886,"10.175156,76.306679",3975,236,349
1735225751,2024-12-26T15:09:11Z,AIC2886,"10.177297,76.306351",4075,237,353
1735225753,2024-12-26T15:09:13Z,AIC2886,"10.179657,76.30619",4200,237,356
1735225755,2024-12-26T15:09:15Z,AIC2886,"10.181763,76.306145",4275,237,359
1735225757,2024-12-26T15:09:17Z,AIC2886,"10.184465,76.306206",4400,238,1
1735225759,2024-12-26T15:09:19Z,AIC2886,"10.186607,76.306351",4500,238,2
1735225762,2024-12-26T15:09:22Z,AIC2886,"10.189316,76.306519",4625,239,4
1735225764,2024-12-26T15:09:24Z,AIC2886,"10.191788,76.306709",4725,240,5
1735225766,2024-12-26T15:09:26Z,AIC2886,"10.194534,76.306984",4850,241,6
1735225768,2024-12-26T15:09:28Z,AIC2886,"10.196709,76.307297",4950,241,8
1735225770,2024-12-26T15:09:30Z,AIC2886,"10.199341,76.307777",5075,242,9
1735225772,2024-12-26T15:09:32Z,AIC2886,"10.201597,76.308289",5175,243,13
1735225774,2024-12-26T15:09:34Z,AIC2886,"10.203873,76.308846",5275,243,14
1735225776,2024-12-26T15:09:36Z,AIC2886,"10.205704,76.309402",5350,243,17
1735225779,2024-12-26T15:09:39Z,AIC2886,"10.208313,76.310242",5475,244,18
1735225781,2024-12-26T15:09:41Z,AIC2886,"10.210464,76.311035",5575,245,19
1735225783,2024-12-26T15:09:43Z,AIC2886,"10.21277,76.31189",5700,245,20
1735225785,2024-12-26T15:09:45Z,AIC2886,"10.214951,76.312714",5800,246,20
1735225787,2024-12-26T15:09:47Z,AIC2886,"10.217146,76.313591",5925,246,21
1735225789,2024-12-26T15:09:49Z,AIC2886,"10.21962,76.314575",6050,246,21
1735225791,2024-12-26T15:09:51Z,AIC2886,"10.221542,76.315361",6150,246,21
1735225793,2024-12-26T15:09:53Z,AIC2886,"10.223849,76.316292",6275,246,21
1735225795,2024-12-26T15:09:55Z,AIC2886,"10.225851,76.317146",6375,246,22
1735225798,2024-12-26T15:09:58Z,AIC2886,"10.228683,76.318253",6525,246,22
1735225800,2024-12-26T15:10:00Z,AIC2886,"10.230832,76.319183",6675,245,21
1735225814,2024-12-26T15:10:14Z,AIC2886,"10.246008,76.32576",7575,241,25
1735225828,2024-12-26T15:10:28Z,AIC2886,"10.259949,76.332916",8375,241,27
1735225841,2024-12-26T15:10:41Z,AIC2886,"10.273315,76.33976",8875,253,26
1735225854,2024-12-26T15:10:54Z,AIC2886,"10.287003,76.346695",9400,260,26
1735225868,2024-12-26T15:11:08Z,AIC2886,"10.302429,76.354378",10075,264,26
1735225882,2024-12-26T15:11:22Z,AIC2886,"10.317398,76.36187",10525,277,26
1735225896,2024-12-26T15:11:36Z,AIC2886,"10.334061,76.370201",10825,296,26
1735225908,2024-12-26T15:11:48Z,AIC2886,"10.350145,76.378281",11075,312,26
1735225921,2024-12-26T15:12:01Z,AIC2886,"10.367416,76.386993",11325,329,26
1735225934,2024-12-26T15:12:14Z,AIC2886,"10.385559,76.396042",11725,339,26
1735225949,2024-12-26T15:12:29Z,AIC2886,"10.406433,76.406563",12375,343,26
1735225980,2024-12-26T15:13:00Z,AIC2886,"10.451706,76.42923",14125,336,26
1735226012,2024-12-26T15:13:32Z,AIC2886,"10.495994,76.451546",15500,343,26
1735226044,2024-12-26T15:14:04Z,AIC2886,"10.544403,76.476021",16225,368,26
1735226076,2024-12-26T15:14:36Z,AIC2886,"10.593979,76.500977",17150,381,26
1735226108,2024-12-26T15:15:08Z,AIC2886,"10.644634,76.52652",18650,376,26
1735226139,2024-12-26T15:15:39Z,AIC2886,"10.692764,76.550888",19525,388,26
1735226171,2024-12-26T15:16:11Z,AIC2886,"10.745141,76.577354",20575,392,26
1735226204,2024-12-26T15:16:44Z,AIC2886,"10.799286,76.604637",21625,398,26
1735226236,2024-12-26T15:17:16Z,AIC2886,"10.853256,76.631958",22525,406,26
1735226268,2024-12-26T15:17:48Z,AIC2886,"10.906815,76.659096",23275,415,26
1735226300,2024-12-26T15:18:20Z,AIC2886,"10.963797,76.687943",24100,421,26
1735226332,2024-12-26T15:18:52Z,AIC2886,"11.018143,76.715446",24775,427,26
1735226364,2024-12-26T15:19:24Z,AIC2886,"11.075867,76.744667",25550,433,26
1735226396,2024-12-26T15:19:56Z,AIC2886,"11.135062,76.774681",26200,442,26
1735226428,2024-12-26T15:20:28Z,AIC2886,"11.195755,76.805374",26850,450,26
1735226459,2024-12-26T15:20:59Z,AIC2886,"11.254028,76.834923",27550,453,26
1735226491,2024-12-26T15:21:31Z,AIC2886,"11.313629,76.865135",28250,454,26
1735226522,2024-12-26T15:22:02Z,AIC2886,"11.372525,76.895042",28775,458,26
1735226553,2024-12-26T15:22:33Z,AIC2886,"11.431915,76.925278",29250,459,26
1735226584,2024-12-26T15:23:04Z,AIC2886,"11.490442,76.954987",29800,460,26
1735226616,2024-12-26T15:23:36Z,AIC2886,"11.552628,76.986603",30000,464,26
1735226650,2024-12-26T15:24:10Z,AIC2886,"11.615891,77.018753",30000,461,26
1735226682,2024-12-26T15:24:42Z,AIC2886,"11.679444,77.051071",30000,478,26
1735226713,2024-12-26T15:25:13Z,AIC2886,"11.740893,77.08239",30000,484,26
1735226745,2024-12-26T15:25:45Z,AIC2886,"11.804903,77.115013",30000,482,26
1735226777,2024-12-26T15:26:17Z,AIC2886,"11.869034,77.147751",30050,482,26
1735226809,2024-12-26T15:26:49Z,AIC2886,"11.933441,77.180565",30625,481,26
1735226840,2024-12-26T15:27:20Z,AIC2886,"11.996155,77.212532",31100,484,26
1735226872,2024-12-26T15:27:52Z,AIC2886,"12.060009,77.245163",31725,483,26
1735226905,2024-12-26T15:28:25Z,AIC2886,"12.125135,77.278503",32425,481,26
1735226935,2024-12-26T15:28:55Z,AIC2886,"12.188507,77.305725",32925,482,20
1735226967,2024-12-26T15:29:27Z,AIC2886,"12.255761,77.331223",33450,477,20
1735226998,2024-12-26T15:29:58Z,AIC2886,"12.318741,77.355209",33950,477,20
1735227030,2024-12-26T15:30:30Z,AIC2886,"12.386201,77.380806",34000,476,20
1735227061,2024-12-26T15:31:01Z,AIC2886,"12.449418,77.404846",34000,475,20
1735227092,2024-12-26T15:31:32Z,AIC2886,"12.51297,77.428986",34000,477,20
1735227125,2024-12-26T15:32:05Z,AIC2886,"12.58158,77.455154",34000,478,20
1735227156,2024-12-26T15:32:36Z,AIC2886,"12.64666,77.479919",34000,478,20
1735227187,2024-12-26T15:33:07Z,AIC2886,"12.710949,77.504013",34000,479,18
1735227218,2024-12-26T15:33:38Z,AIC2886,"12.778728,77.523438",34000,478,13
1735227250,2024-12-26T15:34:10Z,AIC2886,"12.847092,77.540512",34000,479,13
1735227281,2024-12-26T15:34:41Z,AIC2886,"12.913823,77.557114",34000,479,13
1735227313,2024-12-26T15:35:13Z,AIC2886,"12.983231,77.574417",34000,480,13
1735227344,2024-12-26T15:35:44Z,AIC2886,"13.050221,77.591133",34000,480,13
1735227376,2024-12-26T15:36:16Z,AIC2886,"13.119186,77.608322",34025,479,13
1735227408,2024-12-26T15:36:48Z,AIC2886,"13.188217,77.625511",34000,480,13
1735227438,2024-12-26T15:37:18Z,AIC2886,"13.254493,77.642021",34000,480,13
1735227470,2024-12-26T15:37:50Z,AIC2886,"13.322159,77.658943",34000,478,13
1735227501,2024-12-26T15:38:21Z,AIC2886,"13.390006,77.675842",34300,478,13
1735227534,2024-12-26T15:38:54Z,AIC2886,"13.45909,77.693146",34775,479,13
1735227564,2024-12-26T15:39:24Z,AIC2886,"13.525314,77.709663",35325,477,13
1735227597,2024-12-26T15:39:57Z,AIC2886,"13.595581,77.72728",35875,476,13
1735227627,2024-12-26T15:40:27Z,AIC2886,"13.661173,77.743736",36000,473,13
1735227659,2024-12-26T15:40:59Z,AIC2886,"13.729978,77.760941",36000,474,13
1735227690,2024-12-26T15:41:30Z,AIC2886,"13.795243,77.777229",36000,476,13
1735227721,2024-12-26T15:42:01Z,AIC2886,"13.862977,77.794189",36000,476,13
1735227753,2024-12-26T15:42:33Z,AIC2886,"13.932037,77.811569",36000,476,13
1735227785,2024-12-26T15:43:05Z,AIC2886,"13.997839,77.82811",36000,476,13
1735227815,2024-12-26T15:43:35Z,AIC2886,"14.06399,77.844734",35975,476,13
1735227846,2024-12-26T15:44:06Z,AIC2886,"14.13042,77.858376",36000,474,7
1735227879,2024-12-26T15:44:39Z,AIC2886,"14.202017,77.863335",36000,472,1
1735227909,2024-12-26T15:45:09Z,AIC2886,"14.268587,77.865021",36000,472,1
1735227942,2024-12-26T15:45:42Z,AIC2886,"14.340042,77.866829",36000,471,1
1735227974,2024-12-26T15:46:14Z,AIC2886,"14.411407,77.868629",36000,472,1
1735228005,2024-12-26T15:46:45Z,AIC2886,"14.479562,77.870323",36000,472,1
1735228038,2024-12-26T15:47:18Z,AIC2886,"14.550694,77.872108",36000,472,1
1735228070,2024-12-26T15:47:50Z,AIC2886,"14.619781,77.87384",36000,472,1
1735228100,2024-12-26T15:48:20Z,AIC2886,"14.687073,77.875542",36000,472,1
1735228132,2024-12-26T15:48:52Z,AIC2886,"14.756547,77.877312",36000,474,1
1735228164,2024-12-26T15:49:24Z,AIC2886,"14.826748,77.879044",36000,474,1
