Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1735312822,2024-12-27T15:20:22Z,AIC2886,"10.154251,76.390289",0,2,357
1735312844,2024-12-27T15:20:44Z,AIC2886,"10.154044,76.390305",0,2,357
1735312864,2024-12-27T15:21:04Z,AIC2886,"10.153834,76.390343",0,2,11
1735312878,2024-12-27T15:21:18Z,AIC2886,"10.153625,76.390358",0,2,39
1735312908,2024-12-27T15:21:48Z,AIC2886,"10.153392,76.390152",0,2,95
1735313218,2024-12-27T15:26:58Z,AIC2886,"10.153474,76.390411",0,5,87
1735313227,2024-12-27T15:27:07Z,AIC2886,"10.153485,76.390663",0,6,87
1735313238,2024-12-27T15:27:18Z,AIC2886,"10.153496,76.391045",0,8,87
1735313246,2024-12-27T15:27:26Z,AIC2886,"10.153508,76.391373",0,9,87
1735313254,2024-12-27T15:27:34Z,AIC2886,"10.153519,76.391769",0,11,87
1735313271,2024-12-27T15:27:51Z,AIC2886,"10.153553,76.392723",0,0,87
1735313279,2024-12-27T15:27:59Z,AIC2886,"10.153579,76.393219",0,14,87
1735313300,2024-12-27T15:28:20Z,AIC2886,"10.153637,76.394806",0,0,87
1735313358,2024-12-27T15:29:18Z,AIC2886,"10.153713,76.397026",0,0,87
1735313479,2024-12-27T15:31:19Z,AIC2886,"10.15313,76.407967",0,24,87
1735313487,2024-12-27T15:31:27Z,AIC2886,"10.153159,76.408897",0,24,87
1735313495,2024-12-27T15:31:35Z,AIC2886,"10.153187,76.409737",0,25,87
1735313501,2024-12-27T15:31:41Z,AIC2886,"10.15321,76.410423",0,25,87
1735313509,2024-12-27T15:31:49Z,AIC2886,"10.153255,76.411446",0,26,87
1735313515,2024-12-27T15:31:55Z,AIC2886,"10.153278,76.41217",0,26,87
1735313522,2024-12-27T15:32:02Z,AIC2886,"10.153322,76.413109",0,26,87
1735313529,2024-12-27T15:32:09Z,AIC2886,"10.153347,76.413948",0,26,87
1735313536,2024-12-27T15:32:16Z,AIC2886,"10.15337,76.414734",0,19,87
1735313544,2024-12-27T15:32:24Z,AIC2886,"10.153392,76.41526",0,13,87
1735313549,2024-12-27T15:32:29Z,AIC2886,"10.15338,76.415527",0,10,92
1735313553,2024-12-27T15:32:33Z,AIC2886,"10.15329,76.415733",0,10,112
1735313558,2024-12-27T15:32:38Z,AIC2886,"10.15309,76.415855",0,11,140
1735313562,2024-12-27T15:32:42Z,AIC2886,"10.152878,76.415894",0,12,165
1735313567,2024-12-27T15:32:47Z,AIC2886,"10.152589,76.415894",0,13,177
1735313572,2024-12-27T15:32:52Z,AIC2886,"10.152251,76.415901",0,14,177
