Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1735398074,2024-12-28T15:01:14Z,AIC2886,"10.154251,76.389313",0,0,357
1735398114,2024-12-28T15:01:54Z,AIC2886,"10.154034,76.389313",0,2,357
1735398141,2024-12-28T15:02:21Z,AIC2886,"10.153816,76.389328",0,2,2
1735398159,2024-12-28T15:02:39Z,AIC2886,"10.15359,76.389328",0,2,39
1735398189,2024-12-28T15:03:09Z,AIC2886,"10.153392,76.389122",0,2,81
1735398554,2024-12-28T15:09:14Z,AIC2886,"10.153392,76.389351",0,6,87
1735398562,2024-12-28T15:09:22Z,AIC2886,"10.153404,76.389603",0,8,87
1735398569,2024-12-28T15:09:29Z,AIC2886,"10.153404,76.389885",0,9,87
1735398577,2024-12-28T15:09:37Z,AIC2886,"10.153416,76.390213",0,9,87
1735398584,2024-12-28T15:09:44Z,AIC2886,"10.153439,76.390579",0,10,87
1735398592,2024-12-28T15:09:52Z,AIC2886,"10.15345,76.390907",0,11,87
1735398601,2024-12-28T15:10:01Z,AIC2886,"10.153462,76.391396",0,11,87
1735398610,2024-12-28T15:10:10Z,AIC2886,"10.153484,76.391853",0,11,87
1735398621,2024-12-28T15:10:21Z,AIC2886,"10.153507,76.392487",0,11,87
1735398629,2024-12-28T15:10:29Z,AIC2886,"10.153521,76.392876",0,11,87
1735398635,2024-12-28T15:10:35Z,AIC2886,"10.15353,76.393196",0,11,87
1735398644,2024-12-28T15:10:44Z,AIC2886,"10.153543,76.393707",0,11,87
1735398662,2024-12-28T15:11:02Z,AIC2886,"10.153576,76.3946",0,0,87
1735398677,2024-12-28T15:11:17Z,AIC2886,"10.15361,76.395409",0,0,87
1735398684,2024-12-28T15:11:24Z,AIC2886,"10.153625,76.395798",0,11,87
1735398699,2024-12-28T15:11:39Z,AIC2886,"10.153633,76.396088",0,11,87
1735398745,2024-12-28T15:12:25Z,AIC2886,"10.152718,76.397812",0,0,115
1735398864,2024-12-28T15:14:24Z,AIC2886,"10.15309,76.407745",0,0,87
1735398872,2024-12-28T15:14:32Z,AIC2886,"10.153136,76.409164",0,27,87
1735398879,2024-12-28T15:14:39Z,AIC2886,"10.153172,76.410057",0,25,87
1735398887,2024-12-28T15:14:47Z,AIC2886,"10.153198,76.41098",0,22,87
1735398894,2024-12-28T15:14:54Z,AIC2886,"10.153221,76.411568",0,20,87
1735398901,2024-12-28T15:15:01Z,AIC2886,"10.153241,76.412186",0,18,90
1735398908,2024-12-28T15:15:08Z,AIC2886,"10.153264,76.41275",0,18,87
1735398916,2024-12-28T15:15:16Z,AIC2886,"10.15329,76.413551",0,19,87
1735398923,2024-12-28T15:15:23Z,AIC2886,"10.153324,76.414207",0,19,87
1735398930,2024-12-28T15:15:30Z,AIC2886,"10.153336,76.41478",0,16,87
1735398937,2024-12-28T15:15:37Z,AIC2886,"10.153358,76.415276",0,14,87
1735398942,2024-12-28T15:15:42Z,AIC2886,"10.153358,76.415527",0,11,92
1735398947,2024-12-28T15:15:47Z,AIC2886,"10.153255,76.415756",0,10,118
1735398953,2024-12-28T15:15:53Z,AIC2886,"10.153008,76.415894",0,11,154
1735398957,2024-12-28T15:15:57Z,AIC2886,"10.152798,76.415909",0,12,174
1735398961,2024-12-28T15:16:01Z,AIC2886,"10.152496,76.415916",0,13,177
1735398966,2024-12-28T15:16:06Z,AIC2886,"10.152205,76.415924",0,14,177
1735398971,2024-12-28T15:16:11Z,AIC2886,"10.15196,76.415916",0,13,182
1735398976,2024-12-28T15:16:16Z,AIC2886,"10.151711,76.415779",0,11,213
1735398980,2024-12-28T15:16:20Z,AIC2886,"10.151642,76.415565",0,10,244
1735398986,2024-12-28T15:16:26Z,AIC2886,"10.15163,76.415321",0,10,267
1735398990,2024-12-28T15:16:30Z,AIC2886,"10.151619,76.415092",0,11,267
1735398994,2024-12-28T15:16:34Z,AIC2886,"10.151608,76.414803",0,15,267
1735398996,2024-12-28T15:16:36Z,AIC2886,"10.151596,76.414558",0,20,267
1735398998,2024-12-28T15:16:38Z,AIC2886,"10.151585,76.414299",0,30,267
1735399000,2024-12-28T15:16:40Z,AIC2886,"10.151577,76.414093",0,35,267
1735399001,2024-12-28T15:16:41Z,AIC2886,"10.151562,76.413605",0,44,267
1735399002,2024-12-28T15:16:42Z,AIC2886,"10.151553,76.413284",0,49,267
1735399012,2024-12-28T15:16:52Z,AIC2886,"10.151413,76.409309",0,64,267
1735399031,2024-12-28T15:17:11Z,AIC2886,"10.151367,76.408302",0,0,267
1735399057,2024-12-28T15:17:37Z,AIC2886,"10.150131,76.378021",1050,156,268
1735399064,2024-12-28T15:17:44Z,AIC2886,"10.149994,76.372719",1225,163,268
1735399073,2024-12-28T15:17:53Z,AIC2886,"10.149765,76.36541",1450,172,268
1735399081,2024-12-28T15:18:01Z,AIC2886,"10.149536,76.358566",1650,184,267
1735399090,2024-12-28T15:18:10Z,AIC2886,"10.149133,76.350533",1850,196,267
1735399096,2024-12-28T15:18:16Z,AIC2886,"10.148853,76.344513",2000,207,266
1735399105,2024-12-28T15:18:25Z,AIC2886,"10.148481,76.335236",2225,220,267
1735399110,2024-12-28T15:18:30Z,AIC2886,"10.14876,76.330452",2325,228,274
1735399112,2024-12-28T15:18:32Z,AIC2886,"10.149124,76.328163",2400,232,277
1735399114,2024-12-28T15:18:34Z,AIC2886,"10.149692,76.32605",2450,235,282
1735399116,2024-12-28T15:18:36Z,AIC2886,"10.150497,76.3237",2500,239,287
1735399118,2024-12-28T15:18:38Z,AIC2886,"10.151596,76.320999",2575,241,291
1735399121,2024-12-28T15:18:41Z,AIC2886,"10.152557,76.319038",2625,245,294
1735399123,2024-12-28T15:18:43Z,AIC2886,"10.153602,76.317093",2650,247,297
1735399125,2024-12-28T15:18:45Z,AIC2886,"10.155185,76.31459",2725,249,301
1735399127,2024-12-28T15:18:47Z,AIC2886,"10.156815,76.312523",2750,253,304
1735399129,2024-12-28T15:18:49Z,AIC2886,"10.158142,76.310852",2800,257,310
1735399131,2024-12-28T15:18:51Z,AIC2886,"10.160202,76.308891",2850,259,312
