Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1735655718,2024-12-31T14:35:18Z,AIC2886,"10.154251,76.389709",0,0,357
1735655738,2024-12-31T14:35:38Z,AIC2886,"10.154034,76.389717",0,2,357
1735655759,2024-12-31T14:35:59Z,AIC2886,"10.153805,76.389732",0,2,11
1735655778,2024-12-31T14:36:18Z,AIC2886,"10.153602,76.389702",0,2,36
1735655814,2024-12-31T14:36:54Z,AIC2886,"10.153404,76.389488",0,2,90
1735655836,2024-12-31T14:37:16Z,AIC2886,"10.153404,76.389275",0,2,87
1735656181,2024-12-31T14:43:01Z,AIC2886,"10.153392,76.389481",0,4,87
1735656190,2024-12-31T14:43:10Z,AIC2886,"10.153404,76.389702",0,5,87
1735656201,2024-12-31T14:43:21Z,AIC2886,"10.153404,76.389908",0,4,90
1735656212,2024-12-31T14:43:32Z,AIC2886,"10.153416,76.390137",0,4,87
1735656221,2024-12-31T14:43:41Z,AIC2886,"10.153416,76.39035",0,5,90
1735656232,2024-12-31T14:43:52Z,AIC2886,"10.153253,76.390556",0,6,135
1735656238,2024-12-31T14:43:58Z,AIC2886,"10.153008,76.390579",0,6,171
1735656247,2024-12-31T14:44:07Z,AIC2886,"10.152752,76.390579",0,6,180
1735656254,2024-12-31T14:44:14Z,AIC2886,"10.152543,76.390465",0,7,210
1735656265,2024-12-31T14:44:25Z,AIC2886,"10.152443,76.390152",0,6,255
1735656274,2024-12-31T14:44:34Z,AIC2886,"10.152431,76.389839",0,8,267
1735656281,2024-12-31T14:44:41Z,AIC2886,"10.15242,76.389557",0,9,267
1735656287,2024-12-31T14:44:47Z,AIC2886,"10.152414,76.38929",0,10,267
1735656293,2024-12-31T14:44:53Z,AIC2886,"10.152397,76.389",0,11,267
1735656302,2024-12-31T14:45:02Z,AIC2886,"10.152386,76.388496",0,12,267
1735656312,2024-12-31T14:45:12Z,AIC2886,"10.152363,76.387917",0,13,267
1735656318,2024-12-31T14:45:18Z,AIC2886,"10.15234,76.387489",0,14,267
1735656326,2024-12-31T14:45:26Z,AIC2886,"10.152328,76.386971",0,15,267
1735656332,2024-12-31T14:45:32Z,AIC2886,"10.152309,76.386528",0,15,267
1735656340,2024-12-31T14:45:40Z,AIC2886,"10.152294,76.385994",0,15,267
1735656346,2024-12-31T14:45:46Z,AIC2886,"10.152283,76.385643",0,10,267
1735656353,2024-12-31T14:45:53Z,AIC2886,"10.152271,76.385414",0,6,267
1735656361,2024-12-31T14:46:01Z,AIC2886,"10.152214,76.385178",0,7,253
1735656373,2024-12-31T14:46:13Z,AIC2886,"10.151997,76.38504",0,5,208
1735656386,2024-12-31T14:46:26Z,AIC2886,"10.151763,76.385063",0,4,177
1735656397,2024-12-31T14:46:37Z,AIC2886,"10.15153,76.385071",0,5,177
1735656405,2024-12-31T14:46:45Z,AIC2886,"10.151298,76.385086",0,7,177
1735656411,2024-12-31T14:46:51Z,AIC2886,"10.151081,76.385101",0,8,177
1735656418,2024-12-31T14:46:58Z,AIC2886,"10.150795,76.385132",0,9,168
1735656424,2024-12-31T14:47:04Z,AIC2886,"10.150578,76.3853",0,9,137
1735656428,2024-12-31T14:47:08Z,AIC2886,"10.15052,76.385529",0,13,104
1735656432,2024-12-31T14:47:12Z,AIC2886,"10.150529,76.385788",0,17,87
1735656433,2024-12-31T14:47:13Z,AIC2886,"10.150541,76.386047",0,22,87
1735656436,2024-12-31T14:47:16Z,AIC2886,"10.150564,76.386543",0,37,87
1735656437,2024-12-31T14:47:17Z,AIC2886,"10.150576,76.386848",0,42,87
1735656439,2024-12-31T14:47:19Z,AIC2886,"10.150587,76.387131",0,47,87
1735656441,2024-12-31T14:47:21Z,AIC2886,"10.150623,76.388077",0,62,87
1735656442,2024-12-31T14:47:22Z,AIC2886,"10.150634,76.388458",0,67,87
1735656444,2024-12-31T14:47:24Z,AIC2886,"10.150645,76.388672",0,72,87
1735656446,2024-12-31T14:47:26Z,AIC2886,"10.150681,76.389664",0,82,87
1735656448,2024-12-31T14:47:28Z,AIC2886,"10.150726,76.391014",0,95,87
1735656450,2024-12-31T14:47:30Z,AIC2886,"10.150772,76.391899",125,104,87
1735656453,2024-12-31T14:47:33Z,AIC2886,"10.150808,76.393578",125,112,87
1735656469,2024-12-31T14:47:49Z,AIC2886,"10.151276,76.404839",275,132,87
1735656477,2024-12-31T14:47:57Z,AIC2886,"10.151505,76.410515",625,154,87
1735656484,2024-12-31T14:48:04Z,AIC2886,"10.15174,76.415833",975,151,86
1735656491,2024-12-31T14:48:11Z,AIC2886,"10.151973,76.420334",1250,149,87
1735656498,2024-12-31T14:48:18Z,AIC2886,"10.152237,76.425369",1575,147,87
1735656505,2024-12-31T14:48:25Z,AIC2886,"10.152438,76.429848",1850,145,87
1735656513,2024-12-31T14:48:33Z,AIC2886,"10.152671,76.435486",2050,155,87
1735656522,2024-12-31T14:48:42Z,AIC2886,"10.15295,76.442917",2300,167,87
1735656529,2024-12-31T14:48:49Z,AIC2886,"10.153183,76.448318",2450,175,87
1735656536,2024-12-31T14:48:56Z,AIC2886,"10.153416,76.454239",2675,182,87
1735656545,2024-12-31T14:49:05Z,AIC2886,"10.153695,76.461815",3050,184,87
1735656552,2024-12-31T14:49:12Z,AIC2886,"10.153928,76.467735",3300,187,87
1735656561,2024-12-31T14:49:21Z,AIC2886,"10.154253,76.475784",3625,192,87
1735656567,2024-12-31T14:49:27Z,AIC2886,"10.154487,76.481468",3850,193,87
1735656576,2024-12-31T14:49:36Z,AIC2886,"10.154812,76.489471",4250,194,87
1735656583,2024-12-31T14:49:43Z,AIC2886,"10.155091,76.495575",4550,194,86
