Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1735743487,2025-01-01T14:58:07Z,AIC2886,"10.152438,76.389359",0,10,267
1735743497,2025-01-01T14:58:17Z,AIC2886,"10.152427,76.388931",0,11,267
1735743505,2025-01-01T14:58:25Z,AIC2886,"10.152409,76.388474",0,12,267
1735743515,2025-01-01T14:58:35Z,AIC2886,"10.15238,76.387787",0,0,267
1735743525,2025-01-01T14:58:45Z,AIC2886,"10.152356,76.3871",0,14,267
1735743532,2025-01-01T14:58:52Z,AIC2886,"10.152345,76.386673",0,15,267
1735743539,2025-01-01T14:58:59Z,AIC2886,"10.152322,76.386078",0,15,267
1735743547,2025-01-01T14:59:07Z,AIC2886,"10.152298,76.385582",0,12,267
1735743555,2025-01-01T14:59:15Z,AIC2886,"10.152237,76.385231",0,8,253
1735743564,2025-01-01T14:59:24Z,AIC2886,"10.152008,76.385078",0,7,208
1735743569,2025-01-01T14:59:29Z,AIC2886,"10.151798,76.385086",0,8,182
1735743576,2025-01-01T14:59:36Z,AIC2886,"10.151596,76.385101",0,7,177
1735743583,2025-01-01T14:59:43Z,AIC2886,"10.151344,76.385101",0,8,177
1735743589,2025-01-01T14:59:49Z,AIC2886,"10.151053,76.385109",0,9,177
1735743595,2025-01-01T14:59:55Z,AIC2886,"10.150797,76.385132",0,10,171
1735743601,2025-01-01T15:00:01Z,AIC2886,"10.150578,76.385277",0,9,143
1735743607,2025-01-01T15:00:07Z,AIC2886,"10.150529,76.385521",0,9,98
1735743612,2025-01-01T15:00:12Z,AIC2886,"10.150543,76.385742",0,9,87
1735743619,2025-01-01T15:00:19Z,AIC2886,"10.150555,76.386017",0,12,87
1735743620,2025-01-01T15:00:20Z,AIC2886,"10.150566,76.386238",0,16,87
1735743623,2025-01-01T15:00:23Z,AIC2886,"10.150578,76.386581",0,25,87
1735743626,2025-01-01T15:00:26Z,AIC2886,"10.1506,76.386948",0,35,87
1735743632,2025-01-01T15:00:32Z,AIC2886,"10.150669,76.388931",0,0,87
1735743633,2025-01-01T15:00:33Z,AIC2886,"10.150692,76.389465",0,0,87
1735743635,2025-01-01T15:00:35Z,AIC2886,"10.150692,76.389694",0,78,87
1735743636,2025-01-01T15:00:36Z,AIC2886,"10.150739,76.390701",0,86,87
1735743637,2025-01-01T15:00:37Z,AIC2886,"10.150772,76.391197",0,86,87
1735743662,2025-01-01T15:01:02Z,AIC2886,"10.151414,76.40731",400,154,87
1735743671,2025-01-01T15:01:11Z,AIC2886,"10.151688,76.413635",800,150,87
1735743680,2025-01-01T15:01:20Z,AIC2886,"10.151962,76.41964",1125,149,87
1735743688,2025-01-01T15:01:28Z,AIC2886,"10.152237,76.425598",1325,158,87
1735743695,2025-01-01T15:01:35Z,AIC2886,"10.15242,76.431137",1475,166,87
1735743703,2025-01-01T15:01:43Z,AIC2886,"10.15274,76.43808",1675,177,87
1735743710,2025-01-01T15:01:50Z,AIC2886,"10.152996,76.443962",1800,186,87
1735743719,2025-01-01T15:01:59Z,AIC2886,"10.153244,76.451202",1975,198,87
1735743725,2025-01-01T15:02:05Z,AIC2886,"10.153427,76.457207",2100,206,88
1735743734,2025-01-01T15:02:14Z,AIC2886,"10.15361,76.46582",2325,216,88
1735743740,2025-01-01T15:02:20Z,AIC2886,"10.153788,76.472374",2500,223,88
