Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1735828841,2025-01-02T14:40:41Z,AIC2886,"10.154068,76.388779",0,0,357
1735828857,2025-01-02T14:40:57Z,AIC2886,"10.153858,76.388794",0,3,354
1735828878,2025-01-02T14:41:18Z,AIC2886,"10.15361,76.388832",0,3,19
1735828900,2025-01-02T14:41:40Z,AIC2886,"10.153404,76.388794",0,2,84
1735829180,2025-01-02T14:46:20Z,AIC2886,"10.153393,76.389046",0,6,87
1735829187,2025-01-02T14:46:27Z,AIC2886,"10.153404,76.389252",0,7,87
1735829194,2025-01-02T14:46:34Z,AIC2886,"10.153404,76.389488",0,8,87
1735829202,2025-01-02T14:46:42Z,AIC2886,"10.153427,76.389732",0,9,87
1735829210,2025-01-02T14:46:50Z,AIC2886,"10.153439,76.390175",0,11,87
1735829219,2025-01-02T14:46:59Z,AIC2886,"10.153404,76.390427",0,8,112
1735829233,2025-01-02T14:47:13Z,AIC2886,"10.152915,76.390564",0,9,180
1735829239,2025-01-02T14:47:19Z,AIC2886,"10.152601,76.390648",0,8,143
1735829248,2025-01-02T14:47:28Z,AIC2886,"10.152477,76.390923",0,8,101
1735829253,2025-01-02T14:47:33Z,AIC2886,"10.1525,76.391129",0,8,84
1735829262,2025-01-02T14:47:42Z,AIC2886,"10.152508,76.391502",0,9,90
1735829271,2025-01-02T14:47:51Z,AIC2886,"10.152519,76.391785",0,8,87
1735829280,2025-01-02T14:48:00Z,AIC2886,"10.152543,76.392212",0,10,87
1735829287,2025-01-02T14:48:07Z,AIC2886,"10.152557,76.392525",0,11,87
1735829299,2025-01-02T14:48:19Z,AIC2886,"10.152566,76.393158",0,13,90
1735829309,2025-01-02T14:48:29Z,AIC2886,"10.152601,76.393814",0,14,87
1735829327,2025-01-02T14:48:47Z,AIC2886,"10.152647,76.395058",0,0,87
1735829335,2025-01-02T14:48:55Z,AIC2886,"10.152671,76.395645",0,17,87
1735829352,2025-01-02T14:49:12Z,AIC2886,"10.152718,76.397018",0,0,87
1735829360,2025-01-02T14:49:20Z,AIC2886,"10.15274,76.397713",0,0,87
