Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736262011,2025-01-07T15:00:11Z,AIC2886,"10.153299,76.412407",0,24,87
1736262018,2025-01-07T15:00:18Z,AIC2886,"10.153324,76.413147",0,19,87
1736262025,2025-01-07T15:00:25Z,AIC2886,"10.153346,76.413712",0,15,87
1736262032,2025-01-07T15:00:32Z,AIC2886,"10.153358,76.414185",0,14,87
1736262039,2025-01-07T15:00:39Z,AIC2886,"10.153381,76.41465",0,15,87
1736262046,2025-01-07T15:00:46Z,AIC2886,"10.153392,76.4151",0,12,87
1736262053,2025-01-07T15:00:53Z,AIC2886,"10.153404,76.415382",0,8,87
1736262058,2025-01-07T15:00:58Z,AIC2886,"10.153404,76.415596",0,7,92
1736262067,2025-01-07T15:01:07Z,AIC2886,"10.153241,76.41581",0,7,129
1736262074,2025-01-07T15:01:14Z,AIC2886,"10.153027,76.415871",0,8,163
1736262079,2025-01-07T15:01:19Z,AIC2886,"10.15281,76.415878",0,9,177
1736262083,2025-01-07T15:01:23Z,AIC2886,"10.15258,76.415894",0,11,177
1736262087,2025-01-07T15:01:27Z,AIC2886,"10.15238,76.415901",0,10,177
1736262094,2025-01-07T15:01:34Z,AIC2886,"10.152159,76.415901",0,7,177
1736262101,2025-01-07T15:01:41Z,AIC2886,"10.151951,76.415909",0,5,180
1736262113,2025-01-07T15:01:53Z,AIC2886,"10.15174,76.415855",0,3,194
1736262134,2025-01-07T15:02:14Z,AIC2886,"10.151653,76.415649",0,4,244
1736262143,2025-01-07T15:02:23Z,AIC2886,"10.15167,76.415443",0,7,270
1736262148,2025-01-07T15:02:28Z,AIC2886,"10.151653,76.415115",0,16,267
1736262150,2025-01-07T15:02:30Z,AIC2886,"10.151647,76.414909",0,26,267
1736262153,2025-01-07T15:02:33Z,AIC2886,"10.15163,76.414566",0,36,267
1736262154,2025-01-07T15:02:34Z,AIC2886,"10.151608,76.413948",0,51,267
1736262155,2025-01-07T15:02:35Z,AIC2886,"10.1516,76.413643",0,55,267
1736262156,2025-01-07T15:02:36Z,AIC2886,"10.151585,76.413345",0,60,267
1736262158,2025-01-07T15:02:38Z,AIC2886,"10.151565,76.412834",0,70,267
1736262168,2025-01-07T15:02:48Z,AIC2886,"10.151459,76.409538",150,101,267
1736262192,2025-01-07T15:03:12Z,AIC2886,"10.150864,76.392548",350,164,267
1736262199,2025-01-07T15:03:19Z,AIC2886,"10.150622,76.386284",650,161,267
1736262208,2025-01-07T15:03:28Z,AIC2886,"10.150436,76.379745",1050,157,268
1736262214,2025-01-07T15:03:34Z,AIC2886,"10.150249,76.374916",1225,165,267
1736262223,2025-01-07T15:03:43Z,AIC2886,"10.150017,76.36805",1375,177,267
1736262229,2025-01-07T15:03:49Z,AIC2886,"10.149784,76.362556",1500,186,267
