Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736607002,2025-01-11T14:50:02Z,AIC2886,"10.154263,76.390289",0,2,357
1736607019,2025-01-11T14:50:19Z,AIC2886,"10.154057,76.390305",0,2,357
1736607036,2025-01-11T14:50:36Z,AIC2886,"10.153851,76.390327",0,2,14
1736607054,2025-01-11T14:50:54Z,AIC2886,"10.153645,76.390305",0,2,47
1736607082,2025-01-11T14:51:22Z,AIC2886,"10.153461,76.390091",0,2,87
1736607101,2025-01-11T14:51:41Z,AIC2886,"10.15345,76.389877",0,2,90
1736607345,2025-01-11T14:55:45Z,AIC2886,"10.15345,76.390106",0,7,87
1736607353,2025-01-11T14:55:53Z,AIC2886,"10.153462,76.390404",0,9,87
1736607360,2025-01-11T14:56:00Z,AIC2886,"10.153473,76.390755",0,11,87
1736607367,2025-01-11T14:56:07Z,AIC2886,"10.153485,76.391098",0,13,87
1736607376,2025-01-11T14:56:16Z,AIC2886,"10.153507,76.391724",0,15,87
1736607383,2025-01-11T14:56:23Z,AIC2886,"10.15353,76.392265",0,15,87
1736607392,2025-01-11T14:56:32Z,AIC2886,"10.153555,76.392982",0,18,87
1736607404,2025-01-11T14:56:44Z,AIC2886,"10.153587,76.393829",0,18,87
1736607412,2025-01-11T14:56:52Z,AIC2886,"10.153622,76.394569",0,0,87
1736607420,2025-01-11T14:57:00Z,AIC2886,"10.15361,76.394867",0,9,95
1736607426,2025-01-11T14:57:06Z,AIC2886,"10.153392,76.395088",0,9,143
1736607431,2025-01-11T14:57:11Z,AIC2886,"10.153187,76.395119",0,8,171
1736607439,2025-01-11T14:57:19Z,AIC2886,"10.152901,76.395164",0,9,165
1736607446,2025-01-11T14:57:26Z,AIC2886,"10.152706,76.395386",0,8,126
1736607454,2025-01-11T14:57:34Z,AIC2886,"10.152672,76.395676",0,9,92
1736607459,2025-01-11T14:57:39Z,AIC2886,"10.152682,76.395897",0,10,87
1736607465,2025-01-11T14:57:45Z,AIC2886,"10.152694,76.396217",0,11,87
1736607472,2025-01-11T14:57:52Z,AIC2886,"10.152718,76.396584",0,13,87
1736607475,2025-01-11T14:57:55Z,AIC2886,"10.152718,76.396805",0,14,87
1736607483,2025-01-11T14:58:03Z,AIC2886,"10.15274,76.397392",0,15,87
1736607498,2025-01-11T14:58:18Z,AIC2886,"10.152763,76.398064",0,0,87
1736607506,2025-01-11T14:58:26Z,AIC2886,"10.15281,76.399353",0,0,87
1736607515,2025-01-11T14:58:35Z,AIC2886,"10.152832,76.400185",0,20,87
1736607584,2025-01-11T14:59:44Z,AIC2886,"10.153113,76.407616",0,0,87
1736607590,2025-01-11T14:59:50Z,AIC2886,"10.153141,76.408379",0,25,87
1736607597,2025-01-11T14:59:57Z,AIC2886,"10.153175,76.409264",0,26,87
1736607605,2025-01-11T15:00:05Z,AIC2886,"10.15321,76.410309",0,26,87
1736607613,2025-01-11T15:00:13Z,AIC2886,"10.153241,76.41124",0,27,87
1736607620,2025-01-11T15:00:20Z,AIC2886,"10.153275,76.412094",0,27,87
1736607627,2025-01-11T15:00:27Z,AIC2886,"10.153313,76.412994",0,24,87
1736607635,2025-01-11T15:00:35Z,AIC2886,"10.153346,76.413864",0,24,87
