Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736866308,2025-01-14T14:51:48Z,AIC2886,"10.154091,76.388824",0,2,357
1736866325,2025-01-14T14:52:05Z,AIC2886,"10.153881,76.38884",0,2,354
1736866346,2025-01-14T14:52:26Z,AIC2886,"10.153671,76.388878",0,2,22
1736866373,2025-01-14T14:52:53Z,AIC2886,"10.153461,76.388802",0,1,59
1736866412,2025-01-14T14:53:32Z,AIC2886,"10.153346,76.388588",0,1,90
1736866738,2025-01-14T14:58:58Z,AIC2886,"10.153358,76.388794",0,4,87
1736866747,2025-01-14T14:59:07Z,AIC2886,"10.15337,76.389008",0,5,87
1736866756,2025-01-14T14:59:16Z,AIC2886,"10.15338,76.389252",0,7,87
1736866763,2025-01-14T14:59:23Z,AIC2886,"10.153392,76.389526",0,8,87
1736866770,2025-01-14T14:59:30Z,AIC2886,"10.153404,76.389809",0,9,87
1736866777,2025-01-14T14:59:37Z,AIC2886,"10.153416,76.390152",0,10,87
1736866784,2025-01-14T14:59:44Z,AIC2886,"10.153427,76.390511",0,11,87
1736866791,2025-01-14T14:59:51Z,AIC2886,"10.153439,76.390877",0,12,87
1736866798,2025-01-14T14:59:58Z,AIC2886,"10.15345,76.39135",0,13,90
1736866805,2025-01-14T15:00:05Z,AIC2886,"10.153473,76.391792",0,14,87
1736866812,2025-01-14T15:00:12Z,AIC2886,"10.153485,76.392181",0,15,87
1736866819,2025-01-14T15:00:19Z,AIC2886,"10.153507,76.39283",0,16,87
1736866827,2025-01-14T15:00:27Z,AIC2886,"10.153532,76.393387",0,14,87
1736866834,2025-01-14T15:00:34Z,AIC2886,"10.153543,76.393761",0,10,87
1736866842,2025-01-14T15:00:42Z,AIC2886,"10.153553,76.394012",0,9,87
1736866848,2025-01-14T15:00:48Z,AIC2886,"10.153555,76.394318",0,10,87
1736866856,2025-01-14T15:00:56Z,AIC2886,"10.153576,76.394722",0,10,87
1736866864,2025-01-14T15:01:04Z,AIC2886,"10.153602,76.395065",0,9,87
1736866871,2025-01-14T15:01:11Z,AIC2886,"10.153602,76.395363",0,9,90
1736866878,2025-01-14T15:01:18Z,AIC2886,"10.153613,76.395599",0,6,87
1736866889,2025-01-14T15:01:29Z,AIC2886,"10.153613,76.395813",0,5,87
1736866898,2025-01-14T15:01:38Z,AIC2886,"10.153625,76.396049",0,6,87
1736866905,2025-01-14T15:01:45Z,AIC2886,"10.153633,76.396271",0,7,87
1736866911,2025-01-14T15:01:51Z,AIC2886,"10.153648,76.396538",0,9,87
1736866923,2025-01-14T15:02:03Z,AIC2886,"10.153671,76.397018",0,7,87
1736866943,2025-01-14T15:02:23Z,AIC2886,"10.15337,76.397469",0,0,154
1736866954,2025-01-14T15:02:34Z,AIC2886,"10.152985,76.397491",0,6,174
1736866968,2025-01-14T15:02:48Z,AIC2886,"10.152752,76.397636",0,4,143
1736866986,2025-01-14T15:03:06Z,AIC2886,"10.152705,76.397911",0,4,98
1736866995,2025-01-14T15:03:15Z,AIC2886,"10.152729,76.398155",0,5,87
1736867003,2025-01-14T15:03:23Z,AIC2886,"10.152729,76.398361",0,6,87
1736867013,2025-01-14T15:03:33Z,AIC2886,"10.15274,76.398666",0,7,87
1736867020,2025-01-14T15:03:40Z,AIC2886,"10.152752,76.398926",0,8,87
1736867035,2025-01-14T15:03:55Z,AIC2886,"10.152776,76.399544",0,0,87
1736867042,2025-01-14T15:04:02Z,AIC2886,"10.152786,76.399872",0,10,87
1736867050,2025-01-14T15:04:10Z,AIC2886,"10.152798,76.400261",0,11,87
1736867057,2025-01-14T15:04:17Z,AIC2886,"10.152822,76.400658",0,11,87
1736867152,2025-01-14T15:05:52Z,AIC2886,"10.153084,76.407852",0,20,87
1736867160,2025-01-14T15:06:00Z,AIC2886,"10.153113,76.408607",0,19,87
1736867167,2025-01-14T15:06:07Z,AIC2886,"10.15313,76.409134",0,17,87
1736867174,2025-01-14T15:06:14Z,AIC2886,"10.153152,76.409653",0,15,87
1736867181,2025-01-14T15:06:21Z,AIC2886,"10.153172,76.410133",0,15,87
1736867188,2025-01-14T15:06:28Z,AIC2886,"10.153183,76.410683",0,15,87
1736867195,2025-01-14T15:06:35Z,AIC2886,"10.153198,76.411217",0,16,87
1736867202,2025-01-14T15:06:42Z,AIC2886,"10.15323,76.411781",0,17,87
1736867210,2025-01-14T15:06:50Z,AIC2886,"10.153241,76.412354",0,17,87
1736867217,2025-01-14T15:06:57Z,AIC2886,"10.153264,76.412933",0,18,87
1736867224,2025-01-14T15:07:04Z,AIC2886,"10.15329,76.413612",0,18,87
1736867231,2025-01-14T15:07:11Z,AIC2886,"10.153311,76.414154",0,15,87
1736867238,2025-01-14T15:07:18Z,AIC2886,"10.153322,76.414574",0,12,87
1736867245,2025-01-14T15:07:25Z,AIC2886,"10.153334,76.414871",0,8,87
1736867252,2025-01-14T15:07:32Z,AIC2886,"10.153347,76.415077",0,7,87
1736867259,2025-01-14T15:07:39Z,AIC2886,"10.153358,76.415344",0,8,87
1736867265,2025-01-14T15:07:45Z,AIC2886,"10.153358,76.415604",0,9,95
1736867272,2025-01-14T15:07:52Z,AIC2886,"10.153187,76.415833",0,9,132
1736867278,2025-01-14T15:07:58Z,AIC2886,"10.152973,76.415901",0,9,163
1736867282,2025-01-14T15:08:02Z,AIC2886,"10.15274,76.415916",0,10,174
1736867287,2025-01-14T15:08:07Z,AIC2886,"10.152531,76.415924",0,11,177
1736867291,2025-01-14T15:08:11Z,AIC2886,"10.152283,76.415932",0,12,177
1736867296,2025-01-14T15:08:16Z,AIC2886,"10.152042,76.415932",0,11,180
1736867300,2025-01-14T15:08:20Z,AIC2886,"10.151836,76.415932",0,9,182
1736867311,2025-01-14T15:08:31Z,AIC2886,"10.151635,76.415787",0,5,222
1736867323,2025-01-14T15:08:43Z,AIC2886,"10.151623,76.415573",0,4,264
1736867341,2025-01-14T15:09:01Z,AIC2886,"10.151623,76.415367",0,11,267
1736867344,2025-01-14T15:09:04Z,AIC2886,"10.151611,76.4151",0,20,267
1736867346,2025-01-14T15:09:06Z,AIC2886,"10.1516,76.41465",0,34,267
1736867353,2025-01-14T15:09:13Z,AIC2886,"10.151519,76.412598",0,68,267
1736867361,2025-01-14T15:09:21Z,AIC2886,"10.151367,76.409119",0,99,268
1736867384,2025-01-14T15:09:44Z,AIC2886,"10.150864,76.394272",325,158,267
1736867391,2025-01-14T15:09:51Z,AIC2886,"10.150635,76.388496",575,158,267
1736867398,2025-01-14T15:09:58Z,AIC2886,"10.150483,76.383438",825,158,268
1736867406,2025-01-14T15:10:06Z,AIC2886,"10.150314,76.377655",1100,158,268
1736867414,2025-01-14T15:10:14Z,AIC2886,"10.150157,76.371033",1250,169,268
1736867422,2025-01-14T15:10:22Z,AIC2886,"10.149948,76.364197",1425,180,268
1736867430,2025-01-14T15:10:30Z,AIC2886,"10.149719,76.357079",1600,190,268
1736867438,2025-01-14T15:10:38Z,AIC2886,"10.149445,76.350044",1775,199,267
1736867446,2025-01-14T15:10:46Z,AIC2886,"10.149133,76.342102",1975,210,267
1736867453,2025-01-14T15:10:53Z,AIC2886,"10.149365,76.335754",2075,220,273
1736867455,2025-01-14T15:10:55Z,AIC2886,"10.149857,76.33329",2125,223,277
1736867457,2025-01-14T15:10:57Z,AIC2886,"10.15036,76.331238",2175,226,280
1736867459,2025-01-14T15:10:59Z,AIC2886,"10.151088,76.328979",2225,228,284
1736867461,2025-01-14T15:11:01Z,AIC2886,"10.151833,76.327133",2250,232,290
1736867463,2025-01-14T15:11:03Z,AIC2886,"10.153061,76.324585",2300,234,294
1736867465,2025-01-14T15:11:05Z,AIC2886,"10.15416,76.322769",2350,237,298
1736867469,2025-01-14T15:11:09Z,AIC2886,"10.156581,76.319466",2450,239,304
1736867471,2025-01-14T15:11:11Z,AIC2886,"10.158024,76.317856",2475,243,310
1736867473,2025-01-14T15:11:13Z,AIC2886,"10.15947,76.316246",2525,245,314
1736867475,2025-01-14T15:11:15Z,AIC2886,"10.161713,76.314384",2575,247,317
1736867477,2025-01-14T15:11:17Z,AIC2886,"10.16361,76.312973",2625,250,321
1736867479,2025-01-14T15:11:19Z,AIC2886,"10.165512,76.311737",2675,252,325
1736867481,2025-01-14T15:11:21Z,AIC2886,"10.167709,76.310524",2725,254,329
1736867483,2025-01-14T15:11:23Z,AIC2886,"10.170135,76.309402",2775,255,333
1736867486,2025-01-14T15:11:26Z,AIC2886,"10.172595,76.308479",2875,256,337
1736867488,2025-01-14T15:11:28Z,AIC2886,"10.175062,76.30777",2950,256,341
1736867490,2025-01-14T15:11:30Z,AIC2886,"10.177576,76.307297",3075,256,345
1736867492,2025-01-14T15:11:32Z,AIC2886,"10.179671,76.306915",3175,256,350
1736867494,2025-01-14T15:11:34Z,AIC2886,"10.182045,76.306587",3300,256,352
