Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737040604,2025-01-16T15:16:44Z,AIC2886,"10.154056,76.38929",0,2,354
1737040628,2025-01-16T15:17:08Z,AIC2886,"10.153828,76.389328",0,2,5
1737040640,2025-01-16T15:17:20Z,AIC2886,"10.153622,76.389328",0,2,36
1737040667,2025-01-16T15:17:47Z,AIC2886,"10.153427,76.389114",0,2,87
1737040974,2025-01-16T15:22:54Z,AIC2886,"10.15345,76.389763",0,0,87
1737040980,2025-01-16T15:23:00Z,AIC2886,"10.153462,76.390015",0,8,87
1737040988,2025-01-16T15:23:08Z,AIC2886,"10.153462,76.390327",0,9,87
1737040995,2025-01-16T15:23:15Z,AIC2886,"10.153484,76.390686",0,11,87
1737041008,2025-01-16T15:23:28Z,AIC2886,"10.153507,76.391357",0,13,87
1737041019,2025-01-16T15:23:39Z,AIC2886,"10.15353,76.392105",0,14,87
1737041029,2025-01-16T15:23:49Z,AIC2886,"10.153566,76.392784",0,15,87
1737041247,2025-01-16T15:27:27Z,AIC2886,"10.153187,76.409142",0,0,87
1737041258,2025-01-16T15:27:38Z,AIC2886,"10.153221,76.410149",0,24,87
1737041268,2025-01-16T15:27:48Z,AIC2886,"10.153264,76.411461",0,25,87
1737041276,2025-01-16T15:27:56Z,AIC2886,"10.15329,76.412239",0,20,87
1737041282,2025-01-16T15:28:02Z,AIC2886,"10.153311,76.412781",0,10,87
1737041289,2025-01-16T15:28:09Z,AIC2886,"10.153311,76.413002",0,7,90
1737041295,2025-01-16T15:28:15Z,AIC2886,"10.153187,76.413216",0,8,126
1737041303,2025-01-16T15:28:23Z,AIC2886,"10.15288,76.413261",0,9,171
1737041310,2025-01-16T15:28:30Z,AIC2886,"10.152659,76.413261",0,4,177
1737041467,2025-01-16T15:31:07Z,AIC2886,"10.152403,76.413277",0,5,177
1737041479,2025-01-16T15:31:19Z,AIC2886,"10.152123,76.413284",0,7,177
