Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737212909,2025-01-18T15:08:29Z,AIC2886,"10.154369,76.391571",0,0,357
1737213448,2025-01-18T15:17:28Z,AIC2886,"10.154148,76.391579",0,2,357
1737213488,2025-01-18T15:18:08Z,AIC2886,"10.153765,76.391586",0,0,334
1737213520,2025-01-18T15:18:40Z,AIC2886,"10.153555,76.391693",0,1,292
1737213789,2025-01-18T15:23:09Z,AIC2886,"10.153473,76.391281",0,7,267
1737213800,2025-01-18T15:23:20Z,AIC2886,"10.153462,76.390877",0,0,267
1737213809,2025-01-18T15:23:29Z,AIC2886,"10.153392,76.390602",0,6,247
1737213818,2025-01-18T15:23:38Z,AIC2886,"10.153125,76.390556",0,7,191
1737213825,2025-01-18T15:23:45Z,AIC2886,"10.152889,76.390556",0,7,177
1737213832,2025-01-18T15:23:52Z,AIC2886,"10.152649,76.390579",0,7,177
1737213898,2025-01-18T15:24:58Z,AIC2886,"10.152472,76.390968",0,0,90
1737213910,2025-01-18T15:25:10Z,AIC2886,"10.15245,76.391304",0,8,98
1737213923,2025-01-18T15:25:23Z,AIC2886,"10.152054,76.391525",0,9,174
1737213930,2025-01-18T15:25:30Z,AIC2886,"10.15174,76.391541",0,10,177
1737213936,2025-01-18T15:25:36Z,AIC2886,"10.151447,76.391548",0,11,180
1737213942,2025-01-18T15:25:42Z,AIC2886,"10.151196,76.391548",0,12,180
1737213949,2025-01-18T15:25:49Z,AIC2886,"10.150797,76.391548",0,7,177
1737213958,2025-01-18T15:25:58Z,AIC2886,"10.150727,76.391754",0,6,112
1737214001,2025-01-18T15:26:41Z,AIC2886,"10.150772,76.392044",0,12,87
1737214041,2025-01-18T15:27:21Z,AIC2886,"10.151414,76.411804",450,149,88
1737214049,2025-01-18T15:27:29Z,AIC2886,"10.151647,76.41787",875,145,88
1737214056,2025-01-18T15:27:36Z,AIC2886,"10.15174,76.421944",1175,141,87
1737214065,2025-01-18T15:27:45Z,AIC2886,"10.151962,76.427925",1550,142,87
1737214071,2025-01-18T15:27:51Z,AIC2886,"10.1521,76.43235",1725,147,87
1737214080,2025-01-18T15:28:00Z,AIC2886,"10.152345,76.438515",1950,156,87
1737214086,2025-01-18T15:28:06Z,AIC2886,"10.152512,76.443245",2100,164,88
1737214094,2025-01-18T15:28:14Z,AIC2886,"10.152718,76.450066",2325,176,88
1737214103,2025-01-18T15:28:23Z,AIC2886,"10.15295,76.457314",2575,185,88
1737214112,2025-01-18T15:28:32Z,AIC2886,"10.153244,76.465355",2850,195,87
1737214118,2025-01-18T15:28:38Z,AIC2886,"10.153462,76.471092",3000,204,87
1737214127,2025-01-18T15:28:47Z,AIC2886,"10.153793,76.47979",3250,214,88
1737214133,2025-01-18T15:28:53Z,AIC2886,"10.153976,76.486259",3450,221,88
1737214141,2025-01-18T15:29:01Z,AIC2886,"10.154253,76.495483",3825,227,88
