Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737297716,2025-01-19T14:41:56Z,AIC2886,"10.154369,76.390968",0,0,357
1737297816,2025-01-19T14:43:36Z,AIC2886,"10.15416,76.390976",0,2,357
1737297859,2025-01-19T14:44:19Z,AIC2886,"10.15366,76.390991",0,0,312
1737297892,2025-01-19T14:44:52Z,AIC2886,"10.153496,76.391212",0,1,267
1737298192,2025-01-19T14:49:52Z,AIC2886,"10.153485,76.390793",0,7,270
1737298202,2025-01-19T14:50:02Z,AIC2886,"10.153288,76.390564",0,8,216
1737298209,2025-01-19T14:50:09Z,AIC2886,"10.153031,76.390579",0,8,177
1737298215,2025-01-19T14:50:15Z,AIC2886,"10.152787,76.390594",0,9,177
1737298225,2025-01-19T14:50:25Z,AIC2886,"10.152508,76.390854",0,9,118
1737298230,2025-01-19T14:50:30Z,AIC2886,"10.1525,76.39109",0,9,90
1737298235,2025-01-19T14:50:35Z,AIC2886,"10.152512,76.391312",0,10,87
1737298242,2025-01-19T14:50:42Z,AIC2886,"10.152531,76.391624",0,11,87
1737298251,2025-01-19T14:50:51Z,AIC2886,"10.152543,76.392143",0,12,87
1737298258,2025-01-19T14:50:58Z,AIC2886,"10.152555,76.392471",0,13,87
1737298281,2025-01-19T14:51:21Z,AIC2886,"10.152624,76.394318",0,0,87
1737298288,2025-01-19T14:51:28Z,AIC2886,"10.152647,76.39502",0,20,87
1737298415,2025-01-19T14:53:35Z,AIC2886,"10.153159,76.408943",0,24,87
1737298422,2025-01-19T14:53:42Z,AIC2886,"10.153187,76.409805",0,23,87
1737298431,2025-01-19T14:53:51Z,AIC2886,"10.153221,76.410805",0,24,87
1737298438,2025-01-19T14:53:58Z,AIC2886,"10.153253,76.411583",0,24,87
1737298446,2025-01-19T14:54:06Z,AIC2886,"10.15329,76.412544",0,22,87
1737298454,2025-01-19T14:54:14Z,AIC2886,"10.153313,76.413231",0,20,87
1737298461,2025-01-19T14:54:21Z,AIC2886,"10.153346,76.414009",0,18,87
1737298468,2025-01-19T14:54:28Z,AIC2886,"10.15337,76.414497",0,14,87
1737298475,2025-01-19T14:54:35Z,AIC2886,"10.153381,76.414925",0,14,87
1737298482,2025-01-19T14:54:42Z,AIC2886,"10.153392,76.415337",0,9,90
1737298488,2025-01-19T14:54:48Z,AIC2886,"10.153392,76.415573",0,7,92
1737298496,2025-01-19T14:54:56Z,AIC2886,"10.153253,76.41581",0,7,123
1737298504,2025-01-19T14:55:04Z,AIC2886,"10.153043,76.415878",0,6,157
1737298515,2025-01-19T14:55:15Z,AIC2886,"10.152832,76.415886",0,3,177
1737298642,2025-01-19T14:57:22Z,AIC2886,"10.152592,76.415886",0,6,177
1737298648,2025-01-19T14:57:28Z,AIC2886,"10.152287,76.415894",0,10,177
1737298655,2025-01-19T14:57:35Z,AIC2886,"10.151974,76.415894",0,10,180
1737298661,2025-01-19T14:57:41Z,AIC2886,"10.151768,76.41581",0,7,205
1737298670,2025-01-19T14:57:50Z,AIC2886,"10.151681,76.415604",0,5,241
1737298681,2025-01-19T14:58:01Z,AIC2886,"10.151658,76.415382",0,1,264
1737298724,2025-01-19T14:58:44Z,AIC2886,"10.151642,76.414978",0,23,267
1737298732,2025-01-19T14:58:52Z,AIC2886,"10.151588,76.413361",0,61,267
1737298769,2025-01-19T14:59:29Z,AIC2886,"10.150716,76.391159",375,166,267
1737298777,2025-01-19T14:59:37Z,AIC2886,"10.150497,76.384819",575,170,268
1737298783,2025-01-19T14:59:43Z,AIC2886,"10.150343,76.37899",825,171,268
1737298790,2025-01-19T14:59:50Z,AIC2886,"10.150204,76.373924",1075,170,268
1737298798,2025-01-19T14:59:58Z,AIC2886,"10.150017,76.367058",1275,179,268
1737298807,2025-01-19T15:00:07Z,AIC2886,"10.149902,76.359917",1475,186,269
1737298815,2025-01-19T15:00:15Z,AIC2886,"10.149765,76.352097",1700,197,269
1737298822,2025-01-19T15:00:22Z,AIC2886,"10.149719,76.346321",1825,204,269
1737298830,2025-01-19T15:00:30Z,AIC2886,"10.149902,76.337387",2025,218,274
1737298832,2025-01-19T15:00:32Z,AIC2886,"10.150157,76.335373",2050,220,278
1737298834,2025-01-19T15:00:34Z,AIC2886,"10.150589,76.333382",2075,223,282
1737298837,2025-01-19T15:00:37Z,AIC2886,"10.151274,76.330971",2125,227,286
1737298839,2025-01-19T15:00:39Z,AIC2886,"10.152054,76.328911",2150,231,292
1737298841,2025-01-19T15:00:41Z,AIC2886,"10.15329,76.326302",2200,235,296
1737298843,2025-01-19T15:00:43Z,AIC2886,"10.15444,76.324341",2250,237,300
1737298845,2025-01-19T15:00:45Z,AIC2886,"10.155743,76.322403",2300,240,305
1737298847,2025-01-19T15:00:47Z,AIC2886,"10.157135,76.320671",2350,242,309
1737298849,2025-01-19T15:00:49Z,AIC2886,"10.158737,76.318901",2400,245,312
1737298852,2025-01-19T15:00:52Z,AIC2886,"10.160522,76.317276",2450,249,318
1737298854,2025-01-19T15:00:54Z,AIC2886,"10.162633,76.315483",2500,250,320
1737298856,2025-01-19T15:00:56Z,AIC2886,"10.164505,76.314201",2550,254,326
1737298858,2025-01-19T15:00:58Z,AIC2886,"10.166404,76.313026",2600,256,329
1737298860,2025-01-19T15:01:00Z,AIC2886,"10.168638,76.311844",2625,258,333
1737298863,2025-01-19T15:01:03Z,AIC2886,"10.171463,76.31057",2675,262,339
1737298865,2025-01-19T15:01:05Z,AIC2886,"10.174347,76.309639",2775,263,341
1737298867,2025-01-19T15:01:07Z,AIC2886,"10.176319,76.309143",2825,264,347
1737298869,2025-01-19T15:01:09Z,AIC2886,"10.17952,76.308571",2975,263,350
1737298871,2025-01-19T15:01:11Z,AIC2886,"10.181671,76.308289",3075,261,353
1737298873,2025-01-19T15:01:13Z,AIC2886,"10.184097,76.308052",3200,261,354
1737298875,2025-01-19T15:01:15Z,AIC2886,"10.187166,76.30777",3350,259,355
1737298878,2025-01-19T15:01:18Z,AIC2886,"10.18968,76.307625",3500,258,355
1737298880,2025-01-19T15:01:20Z,AIC2886,"10.192154,76.307449",3625,257,356
1737298882,2025-01-19T15:01:22Z,AIC2886,"10.194474,76.307343",3750,256,357
1737298884,2025-01-19T15:01:24Z,AIC2886,"10.196777,76.307266",3875,256,357
1737298886,2025-01-19T15:01:26Z,AIC2886,"10.199615,76.307266",4000,255,1
1737298888,2025-01-19T15:01:28Z,AIC2886,"10.202133,76.307449",4125,253,4
1737298890,2025-01-19T15:01:30Z,AIC2886,"10.20433,76.307732",4225,253,8
1737298892,2025-01-19T15:01:32Z,AIC2886,"10.206665,76.308197",4325,253,11
1737298894,2025-01-19T15:01:34Z,AIC2886,"10.208999,76.308762",4425,251,14
1737298897,2025-01-19T15:01:37Z,AIC2886,"10.211838,76.309731",4575,250,18
1737298899,2025-01-19T15:01:39Z,AIC2886,"10.213933,76.310562",4675,250,23
1737298901,2025-01-19T15:01:41Z,AIC2886,"10.216003,76.311501",4775,250,24
1737298903,2025-01-19T15:01:43Z,AIC2886,"10.218636,76.31279",4900,249,26
1737298905,2025-01-19T15:01:45Z,AIC2886,"10.220823,76.313927",5000,249,27
1737298907,2025-01-19T15:01:47Z,AIC2886,"10.222733,76.314896",5100,250,27
1737298909,2025-01-19T15:01:49Z,AIC2886,"10.224827,76.31601",5225,249,27
1737298911,2025-01-19T15:01:51Z,AIC2886,"10.227356,76.317322",5350,249,27
1737298914,2025-01-19T15:01:54Z,AIC2886,"10.229507,76.318481",5450,249,27
1737298916,2025-01-19T15:01:56Z,AIC2886,"10.231763,76.319603",5550,250,27
1737298918,2025-01-19T15:01:58Z,AIC2886,"10.233902,76.320717",5650,250,26
1737298920,2025-01-19T15:02:00Z,AIC2886,"10.235999,76.321785",5750,251,26
1737298922,2025-01-19T15:02:02Z,AIC2886,"10.237675,76.322639",5825,250,26
1737298924,2025-01-19T15:02:04Z,AIC2886,"10.240494,76.323975",5950,251,26
1737298939,2025-01-19T15:02:19Z,AIC2886,"10.25611,76.33168",6625,255,26
1737298953,2025-01-19T15:02:33Z,AIC2886,"10.27217,76.339638",7100,268,26
1737298966,2025-01-19T15:02:46Z,AIC2886,"10.286601,76.346786",7450,280,26
1737298979,2025-01-19T15:02:59Z,AIC2886,"10.301559,76.354233",8125,279,26
1737298992,2025-01-19T15:03:12Z,AIC2886,"10.316666,76.361778",8800,280,26
1737299005,2025-01-19T15:03:25Z,AIC2886,"10.332129,76.369568",9325,285,26
1737299018,2025-01-19T15:03:38Z,AIC2886,"10.347382,76.377281",9950,284,26
1737299031,2025-01-19T15:03:51Z,AIC2886,"10.363083,76.385147",10475,292,26
1737299046,2025-01-19T15:04:06Z,AIC2886,"10.381754,76.394569",10700,312,26
1737299061,2025-01-19T15:04:21Z,AIC2886,"10.401855,76.404747",10950,329,26
1737299074,2025-01-19T15:04:34Z,AIC2886,"10.419662,76.413681",11175,343,26
1737299087,2025-01-19T15:04:47Z,AIC2886,"10.438641,76.423264",11500,352,26
1737299100,2025-01-19T15:05:00Z,AIC2886,"10.458618,76.433281",12025,355,26
1737299132,2025-01-19T15:05:32Z,AIC2886,"10.506226,76.457222",13200,364,26
1737299162,2025-01-19T15:06:02Z,AIC2886,"10.55191,76.480186",14400,366,26
1737299194,2025-01-19T15:06:34Z,AIC2886,"10.60176,76.505272",15500,373,26
1737299226,2025-01-19T15:07:06Z,AIC2886,"10.651339,76.530235",16550,378,26
1737299257,2025-01-19T15:07:37Z,AIC2886,"10.699768,76.554726",17575,383,26
1737299289,2025-01-19T15:08:09Z,AIC2886,"10.75177,76.581055",18375,393,26
1737299320,2025-01-19T15:08:40Z,AIC2886,"10.803703,76.60733",19100,403,26
1737299353,2025-01-19T15:09:13Z,AIC2886,"10.85817,76.634796",20275,400,26
1737299383,2025-01-19T15:09:43Z,AIC2886,"10.90812,76.65995",21375,397,26
1737299415,2025-01-19T15:10:15Z,AIC2886,"10.961982,76.687317",22050,407,26
1737299447,2025-01-19T15:10:47Z,AIC2886,"11.016959,76.715172",22900,409,26
1737299478,2025-01-19T15:11:18Z,AIC2886,"11.069183,76.741585",23675,409,26
1737299509,2025-01-19T15:11:49Z,AIC2886,"11.121702,76.768127",24250,411,26
1737299541,2025-01-19T15:12:21Z,AIC2886,"11.175842,76.79557",24775,414,26
1737299571,2025-01-19T15:12:51Z,AIC2886,"11.228725,76.82238",25025,429,26
1737299604,2025-01-19T15:13:24Z,AIC2886,"11.287949,76.852394",25475,438,26
1737299636,2025-01-19T15:13:56Z,AIC2886,"11.346542,76.882088",26000,441,26
1737299666,2025-01-19T15:14:26Z,AIC2886,"11.402878,76.910706",26525,444,26
1737299698,2025-01-19T15:14:58Z,AIC2886,"11.462418,76.940964",26975,448,26
1737299730,2025-01-19T15:15:30Z,AIC2886,"11.52301,76.971733",27000,461,26
1737299763,2025-01-19T15:16:03Z,AIC2886,"11.585175,77.003319",27000,472,26
1737299795,2025-01-19T15:16:35Z,AIC2886,"11.647659,77.035088",27000,464,26
1737299828,2025-01-19T15:17:08Z,AIC2886,"11.711563,77.067574",27000,461,26
1737299860,2025-01-19T15:17:40Z,AIC2886,"11.773773,77.099213",27000,466,26
1737299891,2025-01-19T15:18:11Z,AIC2886,"11.832741,77.129326",27375,463,26
1737299923,2025-01-19T15:18:43Z,AIC2886,"11.893433,77.160202",27875,461,26
1737299953,2025-01-19T15:19:13Z,AIC2886,"11.951981,77.190086",28400,461,26
1737299984,2025-01-19T15:19:44Z,AIC2886,"12.010105,77.219673",28900,460,26
1737300016,2025-01-19T15:20:16Z,AIC2886,"12.073277,77.251953",29450,458,26
1737300049,2025-01-19T15:20:49Z,AIC2886,"12.134399,77.282944",30175,453,25
1737300081,2025-01-19T15:21:21Z,AIC2886,"12.196701,77.308899",30900,448,20
1737300114,2025-01-19T15:21:54Z,AIC2886,"12.259765,77.332863",31550,446,20
1737300146,2025-01-19T15:22:26Z,AIC2886,"12.322998,77.356964",32000,449,20
1737300178,2025-01-19T15:22:58Z,AIC2886,"12.386666,77.381142",32000,460,20
1737300211,2025-01-19T15:23:31Z,AIC2886,"12.451234,77.405479",32000,461,20
1737300243,2025-01-19T15:24:03Z,AIC2886,"12.51529,77.43",32000,460,20
1737300272,2025-01-19T15:24:32Z,AIC2886,"12.575363,77.452858",32000,460,20
1737300306,2025-01-19T15:25:06Z,AIC2886,"12.641693,77.478142",32000,461,20
1737300338,2025-01-19T15:25:38Z,AIC2886,"12.707336,77.503143",32025,462,20
1737300371,2025-01-19T15:26:11Z,AIC2886,"12.772797,77.527962",32025,463,20
1737300403,2025-01-19T15:26:43Z,AIC2886,"12.838502,77.553017",32025,464,20
1737300436,2025-01-19T15:27:16Z,AIC2886,"12.903582,77.577835",32025,464,20
1737300467,2025-01-19T15:27:47Z,AIC2886,"12.968491,77.602638",32025,464,20
1737300498,2025-01-19T15:28:18Z,AIC2886,"13.028761,77.625633",32025,463,20
1737300530,2025-01-19T15:28:50Z,AIC2886,"13.094353,77.650642",32000,463,20
1737300562,2025-01-19T15:29:22Z,AIC2886,"13.158371,77.675095",32000,464,20
1737300595,2025-01-19T15:29:55Z,AIC2886,"13.225296,77.69725",32000,464,14
1737300627,2025-01-19T15:30:27Z,AIC2886,"13.292679,77.710892",32000,462,7
1737300657,2025-01-19T15:30:57Z,AIC2886,"13.357956,77.716003",32150,462,2
1737300689,2025-01-19T15:31:29Z,AIC2886,"13.425888,77.718895",32550,465,2
1737300721,2025-01-19T15:32:01Z,AIC2886,"13.495214,77.721817",32900,467,2
1737300753,2025-01-19T15:32:33Z,AIC2886,"13.565552,77.724716",33350,467,2
1737300785,2025-01-19T15:33:05Z,AIC2886,"13.635616,77.727791",33750,468,2
1737300818,2025-01-19T15:33:38Z,AIC2886,"13.705444,77.73069",34125,470,2
1737300848,2025-01-19T15:34:08Z,AIC2886,"13.770897,77.733376",34325,474,2
1737300881,2025-01-19T15:34:41Z,AIC2886,"13.843826,77.736511",34675,476,2
1737300913,2025-01-19T15:35:13Z,AIC2886,"13.915741,77.73954",35050,475,2
1737300944,2025-01-19T15:35:44Z,AIC2886,"13.983082,77.74234",35500,472,2
1737300977,2025-01-19T15:36:17Z,AIC2886,"14.053887,77.745232",35975,469,2
1737301007,2025-01-19T15:36:47Z,AIC2886,"14.120224,77.747971",36000,468,2
1737301039,2025-01-19T15:37:19Z,AIC2886,"14.190033,77.750908",36000,469,2
1737301071,2025-01-19T15:37:51Z,AIC2886,"14.26016,77.753906",36000,470,2
1737301102,2025-01-19T15:38:22Z,AIC2886,"14.326172,77.756638",36000,468,2
1737301134,2025-01-19T15:38:54Z,AIC2886,"14.397125,77.759575",36000,467,2
1737301166,2025-01-19T15:39:26Z,AIC2886,"14.466015,77.762436",36000,468,2
1737301197,2025-01-19T15:39:57Z,AIC2886,"14.532166,77.765228",36000,467,2
1737301229,2025-01-19T15:40:29Z,AIC2886,"14.602226,77.768166",36000,468,2
1737301261,2025-01-19T15:41:01Z,AIC2886,"14.672567,77.771156",36000,468,2
1737301294,2025-01-19T15:41:34Z,AIC2886,"14.742233,77.774063",36000,469,2
1737301324,2025-01-19T15:42:04Z,AIC2886,"14.808034,77.77684",36000,469,2
1737301356,2025-01-19T15:42:36Z,AIC2886,"14.879379,77.779831",36000,470,2
1737301389,2025-01-19T15:43:09Z,AIC2886,"14.949879,77.782761",36000,470,2
1737301419,2025-01-19T15:43:39Z,AIC2886,"15.01575,77.785606",36000,470,2
1737301452,2025-01-19T15:44:12Z,AIC2886,"15.086696,77.788597",36000,471,2
1737301483,2025-01-19T15:44:43Z,AIC2886,"15.155919,77.791489",36000,471,2
1737301516,2025-01-19T15:45:16Z,AIC2886,"15.226868,77.794479",36000,471,2
1737301546,2025-01-19T15:45:46Z,AIC2886,"15.293839,77.797325",36000,472,2
1737301579,2025-01-19T15:46:19Z,AIC2886,"15.365433,77.800262",36000,472,2
1737301609,2025-01-19T15:46:49Z,AIC2886,"15.431787,77.803162",36000,467,2
1737301642,2025-01-19T15:47:22Z,AIC2886,"15.502174,77.806061",36000,466,2
1737301672,2025-01-19T15:47:52Z,AIC2886,"15.566649,77.808807",36000,463,2
1737301705,2025-01-19T15:48:25Z,AIC2886,"15.63739,77.811874",36000,468,2
1737301735,2025-01-19T15:48:55Z,AIC2886,"15.70435,77.814644",36025,468,2
1737301767,2025-01-19T15:49:27Z,AIC2886,"15.773209,77.817657",36050,469,2
1737301799,2025-01-19T15:49:59Z,AIC2886,"15.843063,77.820595",36050,469,2
1737301831,2025-01-19T15:50:31Z,AIC2886,"15.91214,77.823532",36050,468,2
1737301863,2025-01-19T15:51:03Z,AIC2886,"15.979894,77.826462",36025,467,2
1737301894,2025-01-19T15:51:34Z,AIC2886,"16.048557,77.829407",36000,466,2
1737301924,2025-01-19T15:52:04Z,AIC2886,"16.114662,77.832199",36000,465,2
1737301957,2025-01-19T15:52:37Z,AIC2886,"16.184025,77.835144",35975,464,2
1737301988,2025-01-19T15:53:08Z,AIC2886,"16.250408,77.83799",35975,463,2
1737302020,2025-01-19T15:53:40Z,AIC2886,"16.319824,77.840881",35975,462,2
1737302051,2025-01-19T15:54:11Z,AIC2886,"16.386063,77.843674",35950,462,2
1737302083,2025-01-19T15:54:43Z,AIC2886,"16.456217,77.846764",35950,464,2
1737302114,2025-01-19T15:55:14Z,AIC2886,"16.522135,77.849609",36000,465,2
1737302146,2025-01-19T15:55:46Z,AIC2886,"16.592056,77.852554",36025,467,2
1737302177,2025-01-19T15:56:17Z,AIC2886,"16.657461,77.8554",36025,469,2
1737302210,2025-01-19T15:56:50Z,AIC2886,"16.729803,77.858437",36025,471,2
