Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737557826,2025-01-22T14:57:06Z,AIC2886,"10.154274,76.389694",0,0,357
1737557887,2025-01-22T14:58:07Z,AIC2886,"10.153988,76.389709",0,0,354
1737557915,2025-01-22T14:58:35Z,AIC2886,"10.153671,76.389748",0,0,22
1737557936,2025-01-22T14:58:56Z,AIC2886,"10.15345,76.389664",0,2,75
1737558283,2025-01-22T15:04:43Z,AIC2886,"10.153416,76.389931",0,6,87
1737558291,2025-01-22T15:04:51Z,AIC2886,"10.153427,76.390198",0,7,87
1737558298,2025-01-22T15:04:58Z,AIC2886,"10.153427,76.390488",0,9,90
1737558305,2025-01-22T15:05:05Z,AIC2886,"10.153439,76.390839",0,10,87
1737558312,2025-01-22T15:05:12Z,AIC2886,"10.15345,76.391174",0,11,87
1737558320,2025-01-22T15:05:20Z,AIC2886,"10.153474,76.391609",0,12,87
1737558342,2025-01-22T15:05:42Z,AIC2886,"10.153521,76.392967",0,0,87
1737558613,2025-01-22T15:10:13Z,AIC2886,"10.153101,76.408287",0,26,87
1737558621,2025-01-22T15:10:21Z,AIC2886,"10.153148,76.409477",0,26,87
1737558630,2025-01-22T15:10:30Z,AIC2886,"10.153187,76.410507",0,21,87
1737558636,2025-01-22T15:10:36Z,AIC2886,"10.15321,76.411003",0,18,87
1737558643,2025-01-22T15:10:43Z,AIC2886,"10.153233,76.411644",0,17,87
1737558650,2025-01-22T15:10:50Z,AIC2886,"10.153253,76.41227",0,17,87
1737558657,2025-01-22T15:10:57Z,AIC2886,"10.153267,76.412766",0,15,87
1737558665,2025-01-22T15:11:05Z,AIC2886,"10.153288,76.413345",0,16,90
1737558672,2025-01-22T15:11:12Z,AIC2886,"10.153313,76.413902",0,17,87
1737558680,2025-01-22T15:11:20Z,AIC2886,"10.153334,76.414597",0,18,87
1737558687,2025-01-22T15:11:27Z,AIC2886,"10.153347,76.415207",0,16,90
1737558692,2025-01-22T15:11:32Z,AIC2886,"10.153334,76.415512",0,15,95
1737558697,2025-01-22T15:11:37Z,AIC2886,"10.153233,76.415741",0,11,112
1737558703,2025-01-22T15:11:43Z,AIC2886,"10.152992,76.415886",0,11,154
1737558707,2025-01-22T15:11:47Z,AIC2886,"10.152787,76.415878",0,10,177
1737558712,2025-01-22T15:11:52Z,AIC2886,"10.152566,76.415871",0,11,180
1737558717,2025-01-22T15:11:57Z,AIC2886,"10.152283,76.415871",0,12,180
1737558720,2025-01-22T15:12:00Z,AIC2886,"10.152065,76.415855",0,12,182
1737558726,2025-01-22T15:12:06Z,AIC2886,"10.151856,76.415771",0,12,205
1737558731,2025-01-22T15:12:11Z,AIC2886,"10.151705,76.41555",0,9,236
1737558736,2025-01-22T15:12:16Z,AIC2886,"10.151635,76.415276",0,12,261
1737558739,2025-01-22T15:12:19Z,AIC2886,"10.151635,76.414993",0,18,267
1737558741,2025-01-22T15:12:21Z,AIC2886,"10.151623,76.414703",0,26,267
1737558742,2025-01-22T15:12:22Z,AIC2886,"10.151619,76.414482",0,30,267
1737558743,2025-01-22T15:12:23Z,AIC2886,"10.151608,76.414276",0,35,267
1737558745,2025-01-22T15:12:25Z,AIC2886,"10.1516,76.414032",0,40,267
1737558746,2025-01-22T15:12:26Z,AIC2886,"10.151588,76.413628",0,49,267
1737558748,2025-01-22T15:12:28Z,AIC2886,"10.151573,76.413216",0,54,267
1737558750,2025-01-22T15:12:30Z,AIC2886,"10.151542,76.412468",0,68,267
1737558752,2025-01-22T15:12:32Z,AIC2886,"10.151527,76.411934",0,72,267
1737558755,2025-01-22T15:12:35Z,AIC2886,"10.15147,76.410416",0,90,267
1737558781,2025-01-22T15:13:01Z,AIC2886,"10.150909,76.39399",325,161,268
1737558790,2025-01-22T15:13:10Z,AIC2886,"10.150622,76.387085",575,162,267
1737558798,2025-01-22T15:13:18Z,AIC2886,"10.150314,76.380119",925,161,267
1737558805,2025-01-22T15:13:25Z,AIC2886,"10.15011,76.374916",1150,162,267
1737558814,2025-01-22T15:13:34Z,AIC2886,"10.149902,76.36853",1300,172,267
1737558820,2025-01-22T15:13:40Z,AIC2886,"10.149673,76.362984",1450,181,267
1737558827,2025-01-22T15:13:47Z,AIC2886,"10.149459,76.356972",1625,189,267
1737558835,2025-01-22T15:13:55Z,AIC2886,"10.149179,76.349014",1825,200,267
1737558842,2025-01-22T15:14:02Z,AIC2886,"10.148993,76.343048",1950,208,268
1737558848,2025-01-22T15:14:08Z,AIC2886,"10.14917,76.336456",2075,217,273
1737558851,2025-01-22T15:14:11Z,AIC2886,"10.149536,76.334175",2125,220,277
1737558853,2025-01-22T15:14:13Z,AIC2886,"10.149994,76.331985",2200,222,280
1737558855,2025-01-22T15:14:15Z,AIC2886,"10.150716,76.329742",2250,225,285
1737558857,2025-01-22T15:14:17Z,AIC2886,"10.151733,76.327332",2300,228,291
1737558859,2025-01-22T15:14:19Z,AIC2886,"10.15274,76.325417",2375,231,295
1737558861,2025-01-22T15:14:21Z,AIC2886,"10.153928,76.32354",2425,234,300
1737558864,2025-01-22T15:14:24Z,AIC2886,"10.155371,76.321548",2475,237,305
1737558866,2025-01-22T15:14:26Z,AIC2886,"10.156954,76.319748",2525,240,310
1737558868,2025-01-22T15:14:28Z,AIC2886,"10.158737,76.318108",2575,243,315
1737558870,2025-01-22T15:14:30Z,AIC2886,"10.160352,76.316811",2600,246,319
1737558872,2025-01-22T15:14:32Z,AIC2886,"10.163132,76.314995",2675,250,324
1737558874,2025-01-22T15:14:34Z,AIC2886,"10.165237,76.313873",2700,254,331
1737558877,2025-01-22T15:14:37Z,AIC2886,"10.167893,76.312737",2775,256,336
1737558879,2025-01-22T15:14:39Z,AIC2886,"10.170454,76.311981",2825,259,340
1737558881,2025-01-22T15:14:41Z,AIC2886,"10.172967,76.311417",2875,262,345
1737558883,2025-01-22T15:14:43Z,AIC2886,"10.1754,76.311127",2925,265,352
1737558886,2025-01-22T15:14:46Z,AIC2886,"10.178647,76.311081",3025,266,357
1737558888,2025-01-22T15:14:48Z,AIC2886,"10.181114,76.311272",3125,267,2
1737558890,2025-01-22T15:14:50Z,AIC2886,"10.184187,76.31179",3250,267,6
1737558892,2025-01-22T15:14:52Z,AIC2886,"10.186095,76.312218",3325,267,12
1737558894,2025-01-22T15:14:54Z,AIC2886,"10.189178,76.313225",3450,267,16
1737558896,2025-01-22T15:14:56Z,AIC2886,"10.19133,76.31411",3550,266,20
1737558898,2025-01-22T15:14:58Z,AIC2886,"10.193619,76.315224",3675,264,24
1737558900,2025-01-22T15:15:00Z,AIC2886,"10.195871,76.316483",3825,262,28
1737558902,2025-01-22T15:15:02Z,AIC2886,"10.19778,76.317711",3975,259,31
1737558904,2025-01-22T15:15:04Z,AIC2886,"10.199922,76.319229",4125,258,33
1737558906,2025-01-22T15:15:06Z,AIC2886,"10.201783,76.320557",4275,256,34
1737558909,2025-01-22T15:15:09Z,AIC2886,"10.204056,76.322258",4425,254,35
1737558911,2025-01-22T15:15:11Z,AIC2886,"10.205933,76.323654",4550,253,36
1737558913,2025-01-22T15:15:13Z,AIC2886,"10.207835,76.32505",4675,253,36
1737558915,2025-01-22T15:15:15Z,AIC2886,"10.210327,76.326866",4800,253,36
1737558917,2025-01-22T15:15:17Z,AIC2886,"10.211884,76.32798",4875,254,35
1737558919,2025-01-22T15:15:19Z,AIC2886,"10.213943,76.329422",4975,255,35
1737558921,2025-01-22T15:15:21Z,AIC2886,"10.215912,76.330772",5075,255,34
1737558923,2025-01-22T15:15:23Z,AIC2886,"10.218263,76.33239",5200,257,33
1737558925,2025-01-22T15:15:25Z,AIC2886,"10.220125,76.333572",5275,257,32
1737558939,2025-01-22T15:15:39Z,AIC2886,"10.234138,76.341866",5975,259,29
1737558951,2025-01-22T15:15:51Z,AIC2886,"10.247543,76.348976",6575,262,27
1737558964,2025-01-22T15:16:04Z,AIC2886,"10.262009,76.356239",7350,258,26
