Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737730386,2025-01-24T14:53:06Z,AIC2886,"10.1543,76.390968",0,0,357
1737730414,2025-01-24T14:53:34Z,AIC2886,"10.154044,76.390991",0,2,357
1737730435,2025-01-24T14:53:55Z,AIC2886,"10.153839,76.390999",0,2,8
1737730454,2025-01-24T14:54:14Z,AIC2886,"10.153633,76.390999",0,2,50
1737730495,2025-01-24T14:54:55Z,AIC2886,"10.153484,76.390778",0,1,87
1737730526,2025-01-24T14:55:26Z,AIC2886,"10.153474,76.390541",0,1,87
1737730556,2025-01-24T14:55:56Z,AIC2886,"10.153462,76.390327",0,1,87
1737730910,2025-01-24T15:01:50Z,AIC2886,"10.153381,76.390556",0,3,115
1737730930,2025-01-24T15:02:10Z,AIC2886,"10.153152,76.390572",0,1,171
1737731102,2025-01-24T15:05:02Z,AIC2886,"10.152912,76.390594",0,4,174
1737731119,2025-01-24T15:05:19Z,AIC2886,"10.152543,76.39077",0,5,137
1737731138,2025-01-24T15:05:38Z,AIC2886,"10.152512,76.391174",0,0,90
1737731150,2025-01-24T15:05:50Z,AIC2886,"10.152438,76.391434",0,4,109
1737731161,2025-01-24T15:06:01Z,AIC2886,"10.152145,76.391548",0,7,163
1737731173,2025-01-24T15:06:13Z,AIC2886,"10.151681,76.391548",0,0,180
1737731188,2025-01-24T15:06:28Z,AIC2886,"10.151104,76.391571",0,0,177
1737731210,2025-01-24T15:06:50Z,AIC2886,"10.150772,76.391838",0,0,112
1737731292,2025-01-24T15:08:12Z,AIC2886,"10.150829,76.392906",0,0,87
1737731327,2025-01-24T15:08:47Z,AIC2886,"10.151505,76.412056",450,154,88
1737731335,2025-01-24T15:08:55Z,AIC2886,"10.151693,76.417297",750,153,87
1737731341,2025-01-24T15:09:01Z,AIC2886,"10.151871,76.422203",1050,150,87
1737731350,2025-01-24T15:09:10Z,AIC2886,"10.152145,76.427925",1300,157,87
1737731356,2025-01-24T15:09:16Z,AIC2886,"10.152345,76.43293",1425,165,87
1737731365,2025-01-24T15:09:25Z,AIC2886,"10.152695,76.440079",1625,177,86
1737731371,2025-01-24T15:09:31Z,AIC2886,"10.153015,76.445244",1775,184,86
1737731380,2025-01-24T15:09:40Z,AIC2886,"10.153473,76.453064",1975,195,86
1737731389,2025-01-24T15:09:49Z,AIC2886,"10.153976,76.461349",2175,208,86
1737731395,2025-01-24T15:09:55Z,AIC2886,"10.15444,76.468063",2300,219,86
1737731404,2025-01-24T15:10:04Z,AIC2886,"10.155029,76.476997",2525,229,85
1737731410,2025-01-24T15:10:10Z,AIC2886,"10.15551,76.484306",2700,239,86
1737731419,2025-01-24T15:10:19Z,AIC2886,"10.156128,76.49366",2925,249,86
1737731425,2025-01-24T15:10:25Z,AIC2886,"10.156534,76.501305",3175,254,86
1737731434,2025-01-24T15:10:34Z,AIC2886,"10.15714,76.511681",3525,259,87
1737731440,2025-01-24T15:10:40Z,AIC2886,"10.157501,76.519402",3825,260,87
1737731449,2025-01-24T15:10:49Z,AIC2886,"10.158005,76.530579",4275,262,87
1737731455,2025-01-24T15:10:55Z,AIC2886,"10.158371,76.5383",4600,262,86
1737731464,2025-01-24T15:11:04Z,AIC2886,"10.158966,76.548683",5025,263,86
1737731475,2025-01-24T15:11:15Z,AIC2886,"10.160864,76.562065",5675,260,74
1737731477,2025-01-24T15:11:17Z,AIC2886,"10.161748,76.564766",5800,261,71
1737731479,2025-01-24T15:11:19Z,AIC2886,"10.162586,76.567085",5925,262,68
1737731481,2025-01-24T15:11:21Z,AIC2886,"10.163589,76.569397",6025,262,66
1737731483,2025-01-24T15:11:23Z,AIC2886,"10.164734,76.571587",6100,263,61
1737731485,2025-01-24T15:11:25Z,AIC2886,"10.165938,76.573662",6200,265,58
1737731487,2025-01-24T15:11:27Z,AIC2886,"10.167567,76.576035",6300,267,54
1737731489,2025-01-24T15:11:29Z,AIC2886,"10.169174,76.578056",6400,268,50
1737731492,2025-01-24T15:11:32Z,AIC2886,"10.170919,76.579918",6500,269,43
1737731494,2025-01-24T15:11:34Z,AIC2886,"10.172836,76.581688",6600,271,39
1737731496,2025-01-24T15:11:36Z,AIC2886,"10.174783,76.583183",6725,272,35
1737731498,2025-01-24T15:11:38Z,AIC2886,"10.177529,76.585075",6850,273,33
1737731500,2025-01-24T15:11:40Z,AIC2886,"10.179703,76.586296",6950,276,30
1737731502,2025-01-24T15:11:42Z,AIC2886,"10.181992,76.587463",7050,277,25
1737731504,2025-01-24T15:11:44Z,AIC2886,"10.184601,76.588623",7150,277,22
1737731506,2025-01-24T15:11:46Z,AIC2886,"10.187678,76.589859",7275,278,21
1737731509,2025-01-24T15:11:49Z,AIC2886,"10.190186,76.590813",7375,280,20
1737731511,2025-01-24T15:11:51Z,AIC2886,"10.192886,76.591789",7475,279,20
1737731513,2025-01-24T15:11:53Z,AIC2886,"10.195406,76.592705",7550,282,19
1737731515,2025-01-24T15:11:55Z,AIC2886,"10.198385,76.593742",7650,282,19
1737731517,2025-01-24T15:11:57Z,AIC2886,"10.200302,76.594444",7725,283,19
1737731519,2025-01-24T15:11:59Z,AIC2886,"10.203506,76.595543",7825,284,18
1737731521,2025-01-24T15:12:01Z,AIC2886,"10.205566,76.59626",7875,285,18
1737731524,2025-01-24T15:12:04Z,AIC2886,"10.209091,76.597473",7975,286,18
1737731526,2025-01-24T15:12:06Z,AIC2886,"10.211699,76.598381",8075,287,18
1737731528,2025-01-24T15:12:08Z,AIC2886,"10.214212,76.599236",8150,288,18
1737731541,2025-01-24T15:12:21Z,AIC2886,"10.230925,76.605064",8800,286,19
1737731554,2025-01-24T15:12:34Z,AIC2886,"10.247125,76.610741",9450,284,19
1737731567,2025-01-24T15:12:47Z,AIC2886,"10.264163,76.61676",10100,286,19
1737731580,2025-01-24T15:13:00Z,AIC2886,"10.280045,76.622421",10550,293,19
1737731593,2025-01-24T15:13:13Z,AIC2886,"10.297668,76.628754",10775,309,19
1737731606,2025-01-24T15:13:26Z,AIC2886,"10.315557,76.635178",10975,324,19
1737731619,2025-01-24T15:13:39Z,AIC2886,"10.33497,76.642143",11200,338,19
1737731633,2025-01-24T15:13:53Z,AIC2886,"10.35498,76.649193",11650,344,19
1737731646,2025-01-24T15:14:06Z,AIC2886,"10.37439,76.655991",12200,345,19
1737731678,2025-01-24T15:14:38Z,AIC2886,"10.424629,76.67382",13375,354,19
1737731709,2025-01-24T15:15:09Z,AIC2886,"10.473136,76.69117",14425,363,19
1737731742,2025-01-24T15:15:42Z,AIC2886,"10.526578,76.710251",15475,373,19
1737731773,2025-01-24T15:16:13Z,AIC2886,"10.576296,76.727936",16475,380,19
1737731804,2025-01-24T15:16:44Z,AIC2886,"10.628248,76.746391",17775,380,19
