Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1738334910,2025-01-31T14:48:30Z,AIC2886,"10.153975,76.388817",0,2,357
1738334932,2025-01-31T14:48:52Z,AIC2886,"10.153753,76.38884",0,2,11
1738334951,2025-01-31T14:49:11Z,AIC2886,"10.153542,76.388809",0,2,47
1738334990,2025-01-31T14:49:50Z,AIC2886,"10.153393,76.388603",0,1,90
1738335282,2025-01-31T14:54:42Z,AIC2886,"10.153404,76.388809",0,4,87
1738335291,2025-01-31T14:54:51Z,AIC2886,"10.153404,76.38903",0,6,87
1738335300,2025-01-31T14:55:00Z,AIC2886,"10.153427,76.389275",0,7,87
1738335307,2025-01-31T14:55:07Z,AIC2886,"10.153427,76.389503",0,8,87
1738335315,2025-01-31T14:55:15Z,AIC2886,"10.153439,76.389908",0,10,90
1738335322,2025-01-31T14:55:22Z,AIC2886,"10.15345,76.390236",0,11,87
1738335329,2025-01-31T14:55:29Z,AIC2886,"10.153462,76.390617",0,10,87
1738335335,2025-01-31T14:55:35Z,AIC2886,"10.153474,76.390907",0,10,87
1738335342,2025-01-31T14:55:42Z,AIC2886,"10.153485,76.391205",0,11,87
1738335350,2025-01-31T14:55:50Z,AIC2886,"10.153508,76.391693",0,10,87
1738335360,2025-01-31T14:56:00Z,AIC2886,"10.153521,76.392097",0,9,87
1738335369,2025-01-31T14:56:09Z,AIC2886,"10.15353,76.392525",0,11,87
1738335378,2025-01-31T14:56:18Z,AIC2886,"10.153553,76.392982",0,10,87
1738335384,2025-01-31T14:56:24Z,AIC2886,"10.153553,76.39325",0,10,87
1738335393,2025-01-31T14:56:33Z,AIC2886,"10.153576,76.393715",0,12,87
1738335401,2025-01-31T14:56:41Z,AIC2886,"10.153587,76.394142",0,10,87
1738335408,2025-01-31T14:56:48Z,AIC2886,"10.153602,76.394402",0,9,87
1738335420,2025-01-31T14:57:00Z,AIC2886,"10.153602,76.394829",0,4,90
1738335437,2025-01-31T14:57:17Z,AIC2886,"10.153136,76.395081",0,0,174
1738335452,2025-01-31T14:57:32Z,AIC2886,"10.152729,76.395332",0,0,129
1738335460,2025-01-31T14:57:40Z,AIC2886,"10.152671,76.395584",0,7,101
