Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1738939941,2025-02-07T14:52:21Z,AIC504,"10.154242,76.389725",0,0,357
1738939967,2025-02-07T14:52:47Z,AIC504,"10.154034,76.389732",0,1,357
1738939992,2025-02-07T14:53:12Z,AIC504,"10.153828,76.389755",0,1,2
1738940014,2025-02-07T14:53:34Z,AIC504,"10.153625,76.389763",0,2,30
1738940043,2025-02-07T14:54:03Z,AIC504,"10.153416,76.389633",0,2,84
1738940292,2025-02-07T14:58:12Z,AIC504,"10.153427,76.389839",0,6,87
1738940300,2025-02-07T14:58:20Z,AIC504,"10.153439,76.39019",0,10,87
1738940307,2025-02-07T14:58:27Z,AIC504,"10.153462,76.39064",0,14,87
1738940314,2025-02-07T14:58:34Z,AIC504,"10.153473,76.391136",0,16,87
1738940321,2025-02-07T14:58:41Z,AIC504,"10.153497,76.3918",0,18,87
1738940328,2025-02-07T14:58:48Z,AIC504,"10.153508,76.392387",0,18,87
1738940335,2025-02-07T14:58:55Z,AIC504,"10.153542,76.393036",0,18,87
1738940342,2025-02-07T14:59:02Z,AIC504,"10.153553,76.393517",0,18,87
1738940351,2025-02-07T14:59:11Z,AIC504,"10.153576,76.394257",0,14,87
1738940359,2025-02-07T14:59:19Z,AIC504,"10.153602,76.394684",0,12,87
1738940365,2025-02-07T14:59:25Z,AIC504,"10.15361,76.395012",0,12,87
1738940372,2025-02-07T14:59:32Z,AIC504,"10.153613,76.395454",0,13,87
1738940380,2025-02-07T14:59:40Z,AIC504,"10.153648,76.396004",0,14,87
1738940387,2025-02-07T14:59:47Z,AIC504,"10.15366,76.396439",0,15,87
1738940415,2025-02-07T15:00:15Z,AIC504,"10.153152,76.397469",0,0,174
1738940420,2025-02-07T15:00:20Z,AIC504,"10.152926,76.397507",0,0,163
1738940430,2025-02-07T15:00:30Z,AIC504,"10.152729,76.397789",0,7,115
1738940438,2025-02-07T15:00:38Z,AIC504,"10.15274,76.398018",0,7,92
1738940448,2025-02-07T15:00:48Z,AIC504,"10.152752,76.398239",0,7,87
1738940453,2025-02-07T15:00:53Z,AIC504,"10.152763,76.398582",0,9,87
1738940461,2025-02-07T15:01:01Z,AIC504,"10.152775,76.398911",0,11,87
1738940469,2025-02-07T15:01:09Z,AIC504,"10.152798,76.399475",0,13,87
1738940476,2025-02-07T15:01:16Z,AIC504,"10.15281,76.399933",0,0,87
1738940484,2025-02-07T15:01:24Z,AIC504,"10.152834,76.400581",0,17,87
1738940562,2025-02-07T15:02:42Z,AIC504,"10.153107,76.407784",0,15,87
1738940570,2025-02-07T15:02:50Z,AIC504,"10.153125,76.408417",0,15,87
1738940577,2025-02-07T15:02:57Z,AIC504,"10.153136,76.408905",0,16,87
1738940584,2025-02-07T15:03:04Z,AIC504,"10.153159,76.409439",0,16,87
1738940592,2025-02-07T15:03:12Z,AIC504,"10.153187,76.41011",0,17,87
1738940600,2025-02-07T15:03:20Z,AIC504,"10.153206,76.410774",0,18,87
1738940606,2025-02-07T15:03:26Z,AIC504,"10.15323,76.411377",0,18,87
1738940613,2025-02-07T15:03:33Z,AIC504,"10.153255,76.411949",0,17,87
1738940620,2025-02-07T15:03:40Z,AIC504,"10.153278,76.412521",0,17,87
1738940627,2025-02-07T15:03:47Z,AIC504,"10.153299,76.413071",0,17,87
1738940634,2025-02-07T15:03:54Z,AIC504,"10.153313,76.413681",0,17,87
1738940641,2025-02-07T15:04:01Z,AIC504,"10.153334,76.41423",0,16,87
1738940648,2025-02-07T15:04:08Z,AIC504,"10.153358,76.414803",0,16,87
1738940655,2025-02-07T15:04:15Z,AIC504,"10.153369,76.41523",0,13,87
1738940663,2025-02-07T15:04:23Z,AIC504,"10.153369,76.415596",0,9,95
1738940669,2025-02-07T15:04:29Z,AIC504,"10.153217,76.415817",0,10,126
1738940674,2025-02-07T15:04:34Z,AIC504,"10.152992,76.415894",0,10,163
1738940683,2025-02-07T15:04:43Z,AIC504,"10.152787,76.415894",0,2,177
1738940694,2025-02-07T15:04:54Z,AIC504,"10.15258,76.415894",0,5,177
1738940701,2025-02-07T15:05:01Z,AIC504,"10.152363,76.415894",0,7,177
1738940708,2025-02-07T15:05:08Z,AIC504,"10.152101,76.415901",0,8,177
1738940715,2025-02-07T15:05:15Z,AIC504,"10.151844,76.415901",0,8,180
1738940727,2025-02-07T15:05:27Z,AIC504,"10.151642,76.415688",0,5,239
1738940738,2025-02-07T15:05:38Z,AIC504,"10.151635,76.415474",0,2,267
1738940808,2025-02-07T15:06:48Z,AIC504,"10.151635,76.41526",0,9,267
1738940816,2025-02-07T15:06:56Z,AIC504,"10.151588,76.413948",0,45,267
1738940822,2025-02-07T15:07:02Z,AIC504,"10.151519,76.411774",0,78,267
1738940830,2025-02-07T15:07:10Z,AIC504,"10.151414,76.408302",125,109,267
1738940846,2025-02-07T15:07:26Z,AIC504,"10.151001,76.396461",175,109,268
1738940854,2025-02-07T15:07:34Z,AIC504,"10.150726,76.390594",450,163,266
1738940863,2025-02-07T15:07:43Z,AIC504,"10.15039,76.384148",825,160,267
1738940871,2025-02-07T15:07:51Z,AIC504,"10.150017,76.377762",1175,158,266
1738940878,2025-02-07T15:07:58Z,AIC504,"10.149738,76.372978",1300,167,266
1738940886,2025-02-07T15:08:06Z,AIC504,"10.149319,76.365967",1475,179,266
1738940893,2025-02-07T15:08:13Z,AIC504,"10.1489,76.359528",1625,189,266
1738940902,2025-02-07T15:08:22Z,AIC504,"10.148388,76.351425",1775,202,266
1738940910,2025-02-07T15:08:30Z,AIC504,"10.147829,76.34314",1925,217,266
1738940919,2025-02-07T15:08:39Z,AIC504,"10.147339,76.334587",2100,230,266
1738940925,2025-02-07T15:08:45Z,AIC504,"10.146898,76.327232",2275,240,267
1738940931,2025-02-07T15:08:51Z,AIC504,"10.147064,76.320114",2400,247,272
1738940933,2025-02-07T15:08:53Z,AIC504,"10.147385,76.317551",2425,251,276
1738940935,2025-02-07T15:08:55Z,AIC504,"10.147842,76.315132",2475,255,280
1738940938,2025-02-07T15:08:58Z,AIC504,"10.148481,76.31279",2500,258,283
1738940940,2025-02-07T15:09:00Z,AIC504,"10.149445,76.309868",2550,260,287
1738940942,2025-02-07T15:09:02Z,AIC504,"10.150483,76.307625",2625,262,294
1738940944,2025-02-07T15:09:04Z,AIC504,"10.151879,76.305397",2700,264,299
