Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739557215,2025-02-14T18:20:15Z,AIC506,"10.153919,76.39212",0,0,14
1739557242,2025-02-14T18:20:42Z,AIC506,"10.153679,76.392075",0,2,47
1739557277,2025-02-14T18:21:17Z,AIC506,"10.153507,76.391823",0,0,90
1739557861,2025-02-14T18:31:01Z,AIC506,"10.153194,76.410034",0,25,87
1739557871,2025-02-14T18:31:11Z,AIC506,"10.153244,76.411369",0,24,87
1739557881,2025-02-14T18:31:21Z,AIC506,"10.153275,76.4123",0,22,87
1739557888,2025-02-14T18:31:28Z,AIC506,"10.153311,76.413063",0,21,87
1739557895,2025-02-14T18:31:35Z,AIC506,"10.153336,76.413727",0,19,87
1739557902,2025-02-14T18:31:42Z,AIC506,"10.153358,76.414436",0,17,87
1739557910,2025-02-14T18:31:50Z,AIC506,"10.153381,76.41494",0,14,87
1739557916,2025-02-14T18:31:56Z,AIC506,"10.153392,76.415321",0,10,87
1739557923,2025-02-14T18:32:03Z,AIC506,"10.15338,76.415596",0,7,92
1739557934,2025-02-14T18:32:14Z,AIC506,"10.15323,76.415817",0,5,129
1739557943,2025-02-14T18:32:23Z,AIC506,"10.15302,76.415855",0,6,165
1739557954,2025-02-14T18:32:34Z,AIC506,"10.15281,76.415871",0,2,174
1739558115,2025-02-14T18:35:15Z,AIC506,"10.152603,76.415886",0,4,177
1739558126,2025-02-14T18:35:26Z,AIC506,"10.15234,76.415894",0,6,177
1739558133,2025-02-14T18:35:33Z,AIC506,"10.152122,76.415894",0,7,177
1739558144,2025-02-14T18:35:44Z,AIC506,"10.151894,76.415909",0,6,180
1739558151,2025-02-14T18:35:51Z,AIC506,"10.151676,76.415718",0,6,227
1739558159,2025-02-14T18:35:59Z,AIC506,"10.15167,76.415489",0,6,264
1739558166,2025-02-14T18:36:06Z,AIC506,"10.151658,76.415253",0,10,267
1739558171,2025-02-14T18:36:11Z,AIC506,"10.151647,76.414886",0,21,267
1739558174,2025-02-14T18:36:14Z,AIC506,"10.151642,76.414635",0,31,267
1739558175,2025-02-14T18:36:15Z,AIC506,"10.151623,76.41436",0,35,267
1739558178,2025-02-14T18:36:18Z,AIC506,"10.151608,76.413773",0,50,267
1739558179,2025-02-14T18:36:19Z,AIC506,"10.151588,76.413414",0,55,267
1739558189,2025-02-14T18:36:29Z,AIC506,"10.151459,76.409538",0,55,267
1739558217,2025-02-14T18:36:57Z,AIC506,"10.150818,76.390312",0,167,267
1739558223,2025-02-14T18:37:03Z,AIC506,"10.150622,76.385574",0,167,267
1739558232,2025-02-14T18:37:12Z,AIC506,"10.150296,76.37899",0,163,266
1739558238,2025-02-14T18:37:18Z,AIC506,"10.149994,76.37397",0,167,266
1739558247,2025-02-14T18:37:27Z,AIC506,"10.149536,76.366852",0,177,266
1739558255,2025-02-14T18:37:35Z,AIC506,"10.149086,76.359245",0,187,266
1739558262,2025-02-14T18:37:42Z,AIC506,"10.148758,76.353584",0,196,266
1739558270,2025-02-14T18:37:50Z,AIC506,"10.148294,76.345749",0,207,266
1739558279,2025-02-14T18:37:59Z,AIC506,"10.147751,76.337151",0,220,266
1739558285,2025-02-14T18:38:05Z,AIC506,"10.14743,76.330635",0,228,267
1739558287,2025-02-14T18:38:07Z,AIC506,"10.147385,76.328354",0,232,271
1739558290,2025-02-14T18:38:10Z,AIC506,"10.147568,76.325417",0,232,273
1739558292,2025-02-14T18:38:12Z,AIC506,"10.147797,76.323326",0,236,278
1739558294,2025-02-14T18:38:14Z,AIC506,"10.148346,76.32058",2525,239,282
1739558296,2025-02-14T18:38:16Z,AIC506,"10.1489,76.318565",2550,241,286
1739558298,2025-02-14T18:38:18Z,AIC506,"10.149645,76.316437",2600,246,292
1739558300,2025-02-14T18:38:20Z,AIC506,"10.150635,76.314156",2650,248,296
1739558302,2025-02-14T18:38:22Z,AIC506,"10.151786,76.312027",2700,250,298
1739558305,2025-02-14T18:38:25Z,AIC506,"10.153462,76.309471",2750,253,306
