Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741111553,2025-03-04T18:05:53Z,AIC506,"10.154009,76.389717",0,3,357
1741111571,2025-03-04T18:06:11Z,AIC506,"10.153776,76.38974",0,3,14
1741111589,2025-03-04T18:06:29Z,AIC506,"10.153555,76.389717",0,3,53
1741111609,2025-03-04T18:06:49Z,AIC506,"10.153439,76.389511",0,2,84
1741111944,2025-03-04T18:12:24Z,AIC506,"10.153439,76.389717",0,5,87
1741111952,2025-03-04T18:12:32Z,AIC506,"10.15345,76.389938",0,7,87
1741111959,2025-03-04T18:12:39Z,AIC506,"10.153461,76.390175",0,8,87
1741111966,2025-03-04T18:12:46Z,AIC506,"10.153473,76.390488",0,9,87
1741111973,2025-03-04T18:12:53Z,AIC506,"10.153485,76.390831",0,11,87
1741111981,2025-03-04T18:13:01Z,AIC506,"10.153496,76.39119",0,12,87
1741111988,2025-03-04T18:13:08Z,AIC506,"10.153507,76.391685",0,11,87
1741111995,2025-03-04T18:13:15Z,AIC506,"10.153532,76.392044",0,11,87
1741112002,2025-03-04T18:13:22Z,AIC506,"10.153542,76.392395",0,12,87
1741112009,2025-03-04T18:13:29Z,AIC506,"10.153553,76.39286",0,13,87
1741112016,2025-03-04T18:13:36Z,AIC506,"10.153566,76.393265",0,13,87
1741112024,2025-03-04T18:13:44Z,AIC506,"10.15359,76.39373",0,12,87
1741112033,2025-03-04T18:13:53Z,AIC506,"10.153602,76.394142",0,12,87
1741112040,2025-03-04T18:14:00Z,AIC506,"10.153622,76.394669",0,12,87
1741112048,2025-03-04T18:14:08Z,AIC506,"10.153637,76.395088",0,12,87
1741112057,2025-03-04T18:14:17Z,AIC506,"10.153656,76.395584",0,13,87
1741112071,2025-03-04T18:14:31Z,AIC506,"10.15369,76.396423",0,10,87
1741112083,2025-03-04T18:14:43Z,AIC506,"10.153707,76.396889",0,8,87
1741112110,2025-03-04T18:15:10Z,AIC506,"10.15313,76.397438",0,0,171
1741112126,2025-03-04T18:15:26Z,AIC506,"10.15281,76.397675",0,0,132
