timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1739935732,10.154017900826446,76.39047789256198,0,0,8,0,22.9,88,7.2,,1011.0,3,25.1,20.7,10.0,12.9,0.0,4,0.9455185755993167,0.32556815445715676
1739936745,10.52494948845709,76.58234041490832,13175,318,23,1,19.3,72,3.6,,1012.0,0,19.4,14.2,10.0,7.6,0.0,4,0.9396926207859083,0.3420201433256688
1739936809,10.617069570211369,76.62216510414866,14800,350,23,2,19.3,72,3.6,,1012.0,0,19.4,14.2,10.0,7.6,0.0,4,0.9396926207859083,0.3420201433256688
1739936902,10.744981640783465,76.67727378319731,17175,385,23,3,19.3,72,3.6,,1012.0,0,19.4,14.2,10.0,7.6,0.0,4,0.9396926207859083,0.3420201433256688
1739936997,10.899405328999595,76.74344717611365,19125,413,23,4,19.3,72,3.6,,1012.0,0,19.4,14.2,10.0,7.6,0.0,4,0.9396926207859083,0.3420201433256688
1739937092,11.07166335498608,76.81661927614557,20875,439,23,5,20.7,56,6.5,,1012.0,0,20.8,11.7,10.0,13.2,0.0,4,0.0,1.0
1739937188,11.254918481248897,76.89334782375633,22500,457,23,6,15.5,54,5.0,,1013.0,0,15.5,6.2,10.0,10.6,0.0,4,-0.7431448254773946,0.6691306063588578
1739937283,11.44454794709975,76.97095810335946,25050,445,23,7,13.1,57,3.6,,1014.0,0,13.6,4.6,10.0,7.6,0.0,4,-0.9902680687415704,0.13917310096006547
1739937379,11.63785731954636,77.0474945942375,27200,442,23,8,20.4,68,4.0,,1012.0,0,20.4,14.2,10.0,8.0,0.0,4,-0.9816271834476639,0.1908089953765451
1739937472,11.833494424130452,77.12161414327043,28725,451,23,9,19.4,57,5.4,,1013.0,0,19.4,10.7,10.0,11.1,0.0,4,-0.5000000000000001,-0.8660254037844386
1739937570,12.03087143732882,77.19247040309878,30325,456,23,10,19.4,57,5.4,,1013.0,0,19.4,10.7,10.0,11.1,0.0,4,-0.5000000000000001,-0.8660254037844386
1739937666,12.229756394910057,77.2595690764727,31850,457,19,11,19.0,60,5.0,,1013.0,0,19.0,11.2,10.0,10.3,0.0,4,-0.43837114678907746,-0.8987940462991669
1739937791,12.430055800735406,77.32257733830143,33850,450,15,12,18.9,59,2.5,,1012.0,0,18.9,10.7,10.0,5.3,0.0,4,0.39073112848927377,-0.9205048534524404
1739937886,12.631734769849054,77.3811148470132,33975,450,15,13,18.9,59,2.5,,1012.0,0,18.9,10.7,10.0,5.3,0.0,4,0.39073112848927377,-0.9205048534524404
1739937982,12.834790468126208,77.43463524515647,33975,452,15,14,18.5,57,3.6,,1012.0,0,18.5,9.8,10.0,7.6,0.0,4,-0.3090169943749473,-0.9510565162951536
1739938079,13.039223980977884,77.4824671605901,33950,453,15,15,18.5,64,10.1,,1013.0,0,18.5,11.6,10.0,21.2,0.0,4,0.6018150231520482,-0.7986355100472929
1739938176,13.244996785214935,77.52401362931182,33975,454,7,16,18.4,64,11.5,,1012.0,0,18.4,11.4,10.0,24.2,0.0,4,0.5446390350150273,-0.8386705679454239
1739938271,13.451989295996071,77.55902710723274,33975,454,7,17,18.4,64,11.5,,1012.0,0,18.4,11.4,10.0,24.2,0.0,4,0.5446390350150273,-0.8386705679454239
1739938366,13.659994178725311,77.58779570085025,35100,450,7,18,20.1,55,9.0,,1011.0,0,20.1,10.9,10.0,18.9,0.0,4,0.12186934340514755,-0.992546151641322
1739938492,13.868748876439234,77.61114370801404,35975,447,7,19,20.1,55,9.0,,1011.0,0,20.1,10.9,10.0,18.9,0.0,4,0.12186934340514755,-0.992546151641322
1739938588,14.077990257207029,77.63024763818038,35975,445,7,20,20.1,55,9.0,,1011.0,0,20.1,10.9,10.0,18.9,0.0,4,0.12186934340514755,-0.992546151641322
1739938681,14.287502572763692,77.64636542437388,35975,446,7,21,22.2,48,7.2,,1010.0,2,24.4,10.7,10.0,15.1,0.0,4,0.13917310096006533,-0.9902680687415704
1739938777,14.497139395577216,77.66060057517282,35975,447,7,22,22.2,48,7.2,,1010.0,2,24.4,10.7,10.0,15.1,0.0,4,0.13917310096006533,-0.9902680687415704
1739938874,14.706818779333634,77.67377669015137,35975,448,7,23,23.0,44,6.8,,1010.0,2,24.5,10.2,10.0,14.4,0.0,4,-0.06975647374412527,-0.9975640502598242
1739938999,14.91650406629048,77.68642575674392,35975,450,7,24,22.5,48,6.8,,1010.0,3,24.5,11.0,10.0,14.4,0.0,4,0.5299192642332049,-0.848048096156426
1739939093,15.12618327321229,77.69884830309104,35975,450,7,25,22.5,48,6.8,,1010.0,3,24.5,11.0,10.0,14.4,0.0,4,0.5299192642332049,-0.848048096156426
1739939190,15.335854622882383,77.71119366446507,35975,448,7,26,22.5,48,6.8,,1010.0,3,24.5,11.0,10.0,14.4,0.0,4,0.5299192642332049,-0.848048096156426
1739939286,15.545519137654669,77.72352719827802,35950,449,7,27,22.5,48,6.8,,1010.0,3,24.5,11.0,10.0,14.4,0.0,4,0.5299192642332049,-0.848048096156426
1739939382,15.75517799606715,77.73587310045372,35975,450,7,28,23.3,52,11.9,,1010.0,4,24.9,13.1,10.0,24.9,0.0,4,0.4383711467890773,-0.898794046299167
1739939478,15.96483193622853,77.74823846051845,35975,449,7,29,23.2,52,8.3,,1010.0,2,24.9,12.8,10.0,17.4,0.0,4,0.40673664307580043,-0.9135454576426008
