timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1740108313,10.154017900826446,76.39047789256198,0,2,357,0,23.3,92,7.9,,1011.0,19,25.6,22.0,10.0,13.8,0.0,5,0.9510565162951535,0.30901699437494745
1740109237,10.52494948845709,76.58234041490832,13600,336,19,1,20.3,74,6.1,,1012.0,4,20.3,15.6,10.0,12.9,0.0,5,0.9876883405951378,0.15643446504023092
1740109298,10.617069570211369,76.62216510414866,14825,380,22,2,20.3,74,6.1,,1012.0,4,20.3,15.6,10.0,12.9,0.0,5,0.9876883405951378,0.15643446504023092
1740109361,10.744981640783465,76.67727378319731,16550,398,22,3,20.3,74,6.1,,1012.0,4,20.3,15.6,10.0,12.9,0.0,5,0.9876883405951378,0.15643446504023092
1740109457,10.899405328999595,76.74344717611365,19300,406,22,4,20.3,74,6.1,,1012.0,4,20.3,15.6,10.0,12.9,0.0,5,0.9876883405951378,0.15643446504023092
1740109549,11.07166335498608,76.81661927614557,21125,420,22,5,21.1,63,8.3,,1013.0,4,21.1,13.8,10.0,15.7,0.0,5,0.42261826174069944,0.9063077870366499
1740109644,11.254918481248897,76.89334782375633,22900,435,22,6,15.9,62,2.5,,1014.0,4,15.9,8.6,10.0,5.3,0.0,5,-0.4383711467890778,0.8987940462991668
1740109769,11.44454794709975,76.97095810335946,24875,458,22,7,16.8,69,1.8,,1015.0,4,16.8,11.0,10.0,3.7,0.0,5,-0.9986295347545738,0.052335956242943946
1740109863,11.63785731954636,77.0474945942375,26225,474,17,8,19.9,71,2.9,,1013.0,4,19.9,14.4,10.0,5.8,0.0,5,-0.9563047559630353,-0.2923717047227371
1740109958,11.833494424130452,77.12161414327043,27475,490,17,9,20.8,58,6.1,,1013.0,3,20.8,12.3,10.0,11.8,0.0,5,0.37460659341591224,-0.9271838545667873
1740110023,12.03087143732882,77.19247040309878,29000,484,16,10,20.8,58,6.1,,1013.0,3,20.8,12.3,10.0,11.8,0.0,5,0.37460659341591224,-0.9271838545667873
1740110117,12.229756394910057,77.2595690764727,30550,488,17,11,20.8,58,6.1,,1013.0,3,20.8,12.3,10.0,11.8,0.0,5,0.37460659341591224,-0.9271838545667873
1740110209,12.430055800735406,77.32257733830143,31975,486,17,12,20.6,62,4.7,,1013.0,5,20.6,13.0,10.0,9.2,0.0,5,0.766044443118978,-0.6427876096865394
1740110305,12.631734769849054,77.3811148470132,31975,490,16,13,20.6,62,4.7,,1013.0,5,20.6,13.0,10.0,9.2,0.0,5,0.766044443118978,-0.6427876096865394
1740110401,12.834790468126208,77.43463524515647,31975,492,17,14,19.9,61,4.7,,1013.0,4,19.9,12.1,10.0,9.8,0.0,5,0.9455185755993168,-0.32556815445715664
1740110495,13.039223980977884,77.4824671605901,31975,491,17,15,19.0,68,10.4,,1014.0,4,19.0,12.8,10.0,21.0,0.0,5,0.8090169943749475,-0.587785252292473
1740110589,13.244996785214935,77.52401362931182,31975,492,17,16,18.8,68,11.5,,1013.0,4,18.8,12.8,10.0,24.2,0.0,5,0.7193398003386511,-0.6946583704589974
1740110676,13.451989295996071,77.55902710723274,32750,490,2,17,18.8,68,11.5,,1013.0,4,18.8,12.8,10.0,24.2,0.0,5,0.7193398003386511,-0.6946583704589974
1740110770,13.659994178725311,77.58779570085025,34675,468,3,18,20.5,58,6.5,,1012.0,3,20.5,12.1,10.0,13.6,0.0,5,0.20791169081775931,-0.9781476007338057
1740110864,13.868748876439234,77.61114370801404,35975,460,3,19,20.5,58,6.5,,1012.0,3,20.5,12.1,10.0,13.6,0.0,5,0.20791169081775931,-0.9781476007338057
1740110992,14.077990257207029,77.63024763818038,35975,459,3,20,20.5,58,6.5,,1012.0,3,20.5,12.1,10.0,13.6,0.0,5,0.20791169081775931,-0.9781476007338057
1740111086,14.287502572763692,77.64636542437388,35975,460,3,21,22.5,52,5.8,,1011.0,0,24.6,12.3,10.0,12.1,0.0,5,0.5150380749100544,-0.8571673007021122
1740111180,14.497139395577216,77.66060057517282,35975,460,3,22,22.5,52,5.8,,1011.0,0,24.6,12.3,10.0,12.1,0.0,5,0.5150380749100544,-0.8571673007021122
1740111279,14.706818779333634,77.67377669015137,35975,459,3,23,23.4,53,7.2,,1011.0,2,25.0,13.3,10.0,14.1,0.0,5,0.8191520442889917,-0.5735764363510462
1740111375,14.91650406629048,77.68642575674392,35975,460,3,24,22.7,60,9.4,,1011.0,4,24.8,14.6,10.0,19.0,0.0,5,0.7431448254773942,-0.6691306063588582
1740111470,15.12618327321229,77.69884830309104,35975,462,3,25,22.7,60,9.4,,1011.0,4,24.8,14.6,10.0,19.0,0.0,5,0.7431448254773942,-0.6691306063588582
1740111564,15.335854622882383,77.71119366446507,35975,464,3,26,22.7,60,9.4,,1011.0,4,24.8,14.6,10.0,19.0,0.0,5,0.7431448254773942,-0.6691306063588582
1740111659,15.545519137654669,77.72352719827802,35975,463,3,27,22.7,60,9.4,,1011.0,4,24.8,14.6,10.0,19.0,0.0,5,0.7431448254773942,-0.6691306063588582
1740111754,15.75517799606715,77.73587310045372,35975,462,3,28,23.8,57,9.4,,1011.0,8,25.3,14.9,10.0,18.5,0.0,5,0.6560590289905073,-0.754709580222772
1740111848,15.96483193622853,77.74823846051845,35950,462,3,29,24.2,56,9.0,,1011.0,5,25.5,15.0,10.0,17.3,0.0,5,0.5299192642332049,-0.848048096156426
1740111946,16.174481506674212,77.76062136448084,35975,462,3,30,24.2,56,9.0,,1011.0,5,25.5,15.0,10.0,17.3,0.0,5,0.5299192642332049,-0.848048096156426
1740112070,16.384128168678938,77.77301014124134,35975,461,3,31,24.2,56,9.0,,1011.0,5,25.5,15.0,10.0,17.3,0.0,5,0.5299192642332049,-0.848048096156426
1740112164,16.593774567840622,77.78537760976337,35975,460,3,32,23.8,55,1.8,,1012.0,5,25.2,14.2,10.0,3.7,0.0,5,-0.5591929034707467,-0.8290375725550417
1740112258,16.80342580561688,77.79767189183654,35975,457,3,33,23.8,55,1.8,,1012.0,5,25.2,14.2,10.0,3.7,0.0,5,-0.5591929034707467,-0.8290375725550417
1740112354,17.01309018178446,77.80980952963448,35975,457,3,34,23.3,38,3.6,,1012.0,3,24.4,8.3,10.0,7.6,0.0,5,0.9902680687415704,0.13917310096006547
1740112450,17.222771830181234,77.82169543604259,35975,457,3,35,23.5,42,2.2,,1013.0,3,24.7,9.8,10.0,4.2,0.0,5,0.5591929034707469,0.8290375725550417
1740112545,17.43247073978548,77.83324229819674,35975,458,3,36,23.5,42,2.2,,1013.0,3,24.7,9.8,10.0,4.2,0.0,5,0.5591929034707469,0.8290375725550417
1740112639,17.642155763226675,77.84446492845426,35975,458,3,37,23.5,42,2.2,,1013.0,3,24.7,9.8,10.0,4.2,0.0,5,0.5591929034707469,0.8290375725550417
1740112734,17.851726598774675,77.85558936770911,35975,458,3,38,22.7,27,8.6,,1013.0,3,23.3,2.8,10.0,18.1,0.0,5,0.8191520442889918,0.573576436351046
1740112830,18.06094984876272,77.8671754652133,35975,458,3,39,22.7,27,8.6,,1013.0,3,23.3,2.8,10.0,18.1,0.0,5,0.8191520442889918,0.573576436351046
1740112939,18.269377198585083,77.88019984581798,35975,422,331,40,22.0,28,4.3,,1013.0,4,22.0,2.5,10.0,9.1,0.0,5,0.5735764363510459,-0.8191520442889919
1740113053,18.476278771059548,77.89602257846406,35975,455,6,41,22.0,28,4.3,,1013.0,4,22.0,2.5,10.0,9.1,0.0,5,0.5735764363510459,-0.8191520442889919
1740113149,18.680658965624385,77.91613679507235,35950,452,5,42,22.0,28,4.3,,1013.0,4,22.0,2.5,10.0,9.1,0.0,5,0.5735764363510459,-0.8191520442889919
1740113244,18.88143274323792,77.94162674346428,35975,453,5,43,22.0,28,4.3,,1013.0,4,22.0,2.5,10.0,9.1,0.0,5,0.5735764363510459,-0.8191520442889919
1740113339,19.077784501635573,77.97239697917226,36000,454,5,44,23.2,26,9.0,,1012.0,3,23.4,2.7,10.0,18.9,0.0,5,0.15643446504023087,0.9876883405951378
1740113433,19.269604984724825,78.00647351445231,35975,454,4,45,23.2,26,9.0,,1012.0,3,23.4,2.7,10.0,18.9,0.0,5,0.15643446504023087,0.9876883405951378
1740113526,19.45777945373584,78.03984854454167,35975,457,4,46,23.1,28,1.4,,1012.0,2,23.5,3.6,10.0,3.0,0.0,5,0.5150380749100542,0.8571673007021123
1740113623,19.64410508151443,78.06721075394807,36000,460,4,47,23.1,28,1.4,,1012.0,2,23.5,3.6,10.0,3.0,0.0,5,0.5150380749100542,0.8571673007021123
1740113684,19.83079878709301,78.08342899758975,36025,460,5,48,23.1,28,1.4,,1012.0,2,23.5,3.6,10.0,3.0,0.0,5,0.5150380749100542,0.8571673007021123
1740113780,20.01981126828749,78.08513667860795,35975,459,4,49,23.3,27,7.6,,1012.0,2,23.6,3.6,10.0,15.9,0.0,5,-0.4383711467890778,0.8987940462991668
1740113875,20.2122903616428,78.07162948473182,35950,453,4,50,23.3,27,7.6,,1012.0,2,23.6,3.6,10.0,15.9,0.0,5,-0.4383711467890778,0.8987940462991668
1740113969,20.408430720877487,78.04468713939059,35950,453,4,51,22.9,28,8.6,,1012.0,2,23.4,3.2,10.0,18.1,0.0,5,-0.5735764363510465,0.8191520442889916
1740114064,20.607700167080992,78.00756290897185,36000,439,352,52,23.2,29,9.0,,1012.0,0,23.7,4.3,10.0,18.9,0.0,5,-0.6691306063588581,0.7431448254773942
1740114160,20.80924003118961,77.96376934333017,36000,430,347,53,23.2,27,10.4,,1012.0,0,23.5,3.3,10.0,21.9,0.0,5,-0.3090169943749477,0.9510565162951535
1740114255,21.012216032710207,77.9162191598947,35975,429,346,54,23.2,27,10.4,,1012.0,0,23.5,3.3,10.0,21.9,0.0,5,-0.3090169943749477,0.9510565162951535
1740114379,21.216006513992102,77.86693029635633,35950,425,346,55,23.3,26,15.8,,1013.0,0,23.4,2.6,10.0,33.3,0.0,5,-0.35836794954530077,0.9335804264972015
1740114475,21.42023985528106,77.81716655953001,35950,426,346,56,23.3,26,15.8,,1013.0,0,23.4,2.6,10.0,33.3,0.0,5,-0.35836794954530077,0.9335804264972015
1740114600,21.624750411210314,77.76776131388607,36000,428,346,57,19.6,32,3.6,,1014.0,0,19.6,2.6,10.0,7.6,0.0,5,-0.9993908270190958,0.03489949670250128
1740114694,21.829514059118587,77.71940852666404,35975,426,346,58,19.6,32,3.6,,1014.0,0,19.6,2.6,10.0,7.6,0.0,5,-0.9993908270190958,0.03489949670250128
1740114789,22.03459038702875,77.67281044107787,35950,424,346,59,19.6,32,3.6,,1014.0,0,19.6,2.6,10.0,7.6,0.0,5,-0.9993908270190958,0.03489949670250128
1740114915,22.24007573635263,77.62866111964058,35975,431,352,60,18.7,34,4.0,,1014.0,3,18.8,2.7,10.0,8.3,0.0,5,-0.9702957262759965,-0.24192189559966779
1740115008,22.44605424310416,77.58753615954578,35950,431,353,61,18.7,34,4.0,,1014.0,3,18.8,2.7,10.0,8.3,0.0,5,-0.9702957262759965,-0.24192189559966779
1740115103,22.652572971168222,77.5497231573787,35950,431,352,62,18.8,32,5.0,,1013.0,4,18.9,2.0,10.0,10.6,0.0,5,-0.9876883405951378,0.15643446504023067
1740115233,22.85961998678833,77.51515092224943,36000,435,352,63,18.8,32,5.0,,1013.0,4,18.9,2.0,10.0,10.6,0.0,5,-0.9876883405951378,0.15643446504023067
1740115328,23.067128897667324,77.48342284114534,35975,433,352,64,18.6,35,11.5,,1014.0,5,18.6,3.0,10.0,24.2,0.0,5,-0.45399049973954697,0.8910065241883678
1740115423,23.275000652690387,77.4539585047731,36025,427,352,65,18.6,35,11.5,,1014.0,5,18.6,3.0,10.0,24.2,0.0,5,-0.45399049973954697,0.8910065241883678
1740115550,23.48313229990568,77.42618294563923,35925,418,352,66,18.6,35,11.5,,1014.0,5,18.6,3.0,10.0,24.2,0.0,5,-0.45399049973954697,0.8910065241883678
1740115646,23.69144121343571,77.39969284170664,35950,417,352,67,18.6,35,11.5,,1014.0,5,18.6,3.0,10.0,24.2,0.0,5,-0.45399049973954697,0.8910065241883678
1740115739,23.899877792197763,77.37435089470321,35975,417,352,68,18.6,34,14.4,,1014.0,3,18.6,2.4,10.0,30.2,0.0,5,-0.37460659341591235,0.9271838545667873
1740115868,24.1084259133108,77.3502934575013,35975,422,352,69,18.6,34,14.4,,1014.0,3,18.6,2.4,10.0,30.2,0.0,5,-0.37460659341591235,0.9271838545667873
1740115963,24.31709428007176,77.3278591813744,36000,424,352,70,18.6,34,14.4,,1014.0,3,18.6,2.4,10.0,30.2,0.0,5,-0.37460659341591235,0.9271838545667873
1740116060,24.525903126022595,77.30746318834036,35975,422,352,71,17.9,35,11.5,,1014.0,3,17.9,2.2,10.0,24.2,0.0,5,-0.19080899537654467,0.981627183447664
1740116184,24.73487066633467,77.28945557692897,35950,421,352,72,17.9,35,11.5,,1014.0,3,17.9,2.2,10.0,24.2,0.0,5,-0.19080899537654467,0.981627183447664
1740116280,24.944003134856445,77.27401181255291,35975,423,352,73,17.9,35,11.5,,1014.0,3,17.9,2.2,10.0,24.2,0.0,5,-0.19080899537654467,0.981627183447664
1740116406,25.153290926577828,77.26109300077484,35975,431,358,74,17.9,39,7.9,,1014.0,7,17.9,3.7,10.0,16.6,0.0,5,0.15643446504023087,0.9876883405951378
1740116502,25.362711062540416,77.25048259372261,35300,428,357,75,17.9,39,7.9,,1014.0,7,17.9,3.7,10.0,16.6,0.0,5,0.15643446504023087,0.9876883405951378
1740116598,25.57224333310147,77.24185631906077,33750,434,358,76,17.9,39,7.9,,1014.0,7,17.9,3.7,10.0,16.6,0.0,5,0.15643446504023087,0.9876883405951378
1740116693,25.78186817852469,77.23486757582522,32175,444,358,77,17.3,42,9.4,,1014.0,4,17.3,4.4,10.0,19.7,0.0,5,0.01745240643728351,0.9998476951563913
1740116791,25.991602905201987,77.2291461703479,30600,452,357,78,16.0,43,10.4,,1015.0,2,16.0,3.5,10.0,21.9,0.0,5,0.8090169943749475,0.5877852522924731
1740116916,26.201519525524564,77.22425138027026,28700,392,357,79,16.0,43,10.4,,1015.0,2,16.0,3.5,10.0,21.9,0.0,5,0.8090169943749475,0.5877852522924731
1740117044,26.41179394694349,77.21952942441608,26325,373,357,80,16.0,43,10.4,,1015.0,2,16.0,3.5,10.0,21.9,0.0,5,0.8090169943749475,0.5877852522924731
1740117140,26.622726382980584,77.21396423321292,24900,346,357,81,14.8,46,10.4,,1015.0,0,14.3,3.3,10.0,21.9,0.0,5,0.6293203910498374,0.7771459614569709
1740117297,26.834681810922188,77.20607352057726,23300,302,357,82,14.8,46,10.4,,1015.0,0,14.3,3.3,10.0,21.9,0.0,5,0.6293203910498374,0.7771459614569709
1740117455,27.047839317917983,77.19400978454834,21250,310,357,83,14.8,46,10.4,,1015.0,0,14.3,3.3,10.0,21.9,0.0,5,0.6293203910498374,0.7771459614569709
1740117615,27.261670701136268,77.17602415006688,18025,286,356,84,13.0,52,10.8,,1016.0,0,12.1,3.4,10.0,22.7,0.0,5,0.1908089953765448,0.981627183447664
1740117773,27.47421342681348,77.15130805352518,17000,283,357,85,13.0,52,10.8,,1016.0,0,12.1,3.4,10.0,22.7,0.0,5,0.1908089953765448,0.981627183447664
1740118363,27.68144084535392,77.120918179492,14000,274,7,86,13.0,57,10.8,,1016.0,3,12.1,4.7,10.0,22.7,0.0,5,0.374606593415912,0.9271838545667874
1740118518,27.87720207867008,77.08820183110485,13975,269,7,87,12.1,71,10.8,,1017.0,4,11.1,7.1,10.0,22.7,0.0,5,0.573576436351046,0.8191520442889918
1740118644,28.05409337580691,77.05818829636456,13250,245,7,88,12.1,71,10.8,,1017.0,4,11.1,7.1,10.0,22.7,0.0,5,0.573576436351046,0.8191520442889918
1740118772,28.205176159123287,77.03594739860029,13000,240,7,89,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120494,28.325912421055563,77.02464328205579,0,9,123,90,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120494,28.415447948993123,77.02435022427053,0,9,123,91,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120494,28.476662766544308,77.03229043504439,0,9,123,92,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120488,28.51505005287797,77.04426967744763,0,9,160,93,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120488,28.537038838942223,77.05640835126533,0,9,160,94,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120488,28.5485054093232,77.06627082451494,0,9,160,95,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120488,28.55393327009217,77.07305338591792,0,9,160,96,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120488,28.55626070970744,77.07708396906672,0,9,160,97,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120488,28.557156038543432,77.07915266796645,0,9,160,98,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
1740120488,28.55744626226077,77.07998198322059,0,9,160,99,14.9,65,7.6,,1017.0,5,14.9,8.4,10.0,14.1,0.0,5,0.6819983600624985,0.7313537016191705
