timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1740455435,10.154017900826446,76.39047789256198,0,5,104,0,23.6,89,10.1,,1012.0,86,25.8,21.6,10.0,17.5,0.0,6,0.9743700647852352,0.22495105434386492
1740456061,10.52494948845709,76.58234041490832,11550,360,22,1,21.4,76,14.4,,1013.0,5,21.4,17.0,10.0,25.3,0.0,6,0.9563047559630354,0.29237170472273677
1740456121,10.617069570211369,76.62216510414866,13375,376,22,2,21.4,76,14.4,,1013.0,5,21.4,17.0,10.0,25.3,0.0,6,0.9563047559630354,0.29237170472273677
1740456216,10.744981640783465,76.67727378319731,16225,393,22,3,21.4,76,14.4,,1013.0,5,21.4,17.0,10.0,25.3,0.0,6,0.9563047559630354,0.29237170472273677
1740456278,10.899405328999595,76.74344717611365,18000,400,22,4,21.4,76,14.4,,1013.0,5,21.4,17.0,10.0,25.3,0.0,6,0.9563047559630354,0.29237170472273677
1740456403,11.07166335498608,76.81661927614557,21125,408,22,5,19.5,88,4.3,,1014.0,20,19.5,17.5,10.0,7.6,0.0,6,0.9961946980917455,0.08715574274765814
1740456500,11.254918481248897,76.89334782375633,23075,420,22,6,14.2,76,2.5,,1015.0,5,14.2,9.9,10.0,5.3,0.0,6,-0.9945218953682734,-0.10452846326765336
1740456593,11.44454794709975,76.97095810335946,24850,429,22,7,16.9,77,1.8,,1016.0,5,17.0,12.9,10.0,2.8,0.0,6,-0.9510565162951535,-0.30901699437494756
1740456688,11.63785731954636,77.0474945942375,26175,444,22,8,20.4,72,1.8,,1014.0,3,20.4,15.3,10.0,3.2,0.0,6,-0.8571673007021123,0.5150380749100542
1740456814,11.833494424130452,77.12161414327043,28225,454,16,9,17.8,66,3.6,,1015.0,3,17.8,11.3,10.0,7.5,0.0,6,0.9876883405951378,-0.1564344650402308
1740456908,12.03087143732882,77.19247040309878,29925,451,16,10,17.8,66,3.6,,1015.0,3,17.8,11.3,10.0,7.5,0.0,6,0.9876883405951378,-0.1564344650402308
1740457003,12.229756394910057,77.2595690764727,30000,442,16,11,17.8,66,3.6,,1015.0,3,17.8,11.3,10.0,7.5,0.0,6,0.9876883405951378,-0.1564344650402308
1740457098,12.430055800735406,77.32257733830143,30450,443,16,12,16.4,69,6.5,,1015.0,0,16.4,10.7,10.0,13.6,0.0,6,0.9998476951563913,-0.017452406437283477
1740457193,12.631734769849054,77.3811148470132,31975,439,16,13,16.4,69,6.5,,1015.0,0,16.4,10.7,10.0,13.6,0.0,6,0.9998476951563913,-0.017452406437283477
1740457321,12.834790468126208,77.43463524515647,32000,434,16,14,17.3,64,6.5,,1015.0,0,17.3,10.5,10.0,13.6,0.0,6,1.0,6.123233995736766e-17
1740457416,13.039223980977884,77.4824671605901,32000,434,16,15,16.4,67,13.0,,1015.0,0,16.4,10.2,10.0,27.2,0.0,6,0.981627183447664,-0.1908089953765448
1740457513,13.244996785214935,77.52401362931182,31975,437,16,16,16.3,61,13.3,,1015.0,0,16.3,8.8,10.0,28.0,0.0,6,0.90630778703665,-0.42261826174069933
