timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1740713944,10.154017900826446,76.39047789256198,0,2,267,0,24.5,85,7.6,,1009.0,4,26.7,21.7,10.0,12.8,0.0,9,0.5446390350150271,0.838670567945424
1740714864,10.52494948845709,76.58234041490832,12100,358,19,1,22.3,72,14.0,,1011.0,4,24.7,16.9,10.0,26.7,0.0,9,0.9455185755993167,0.32556815445715676
1740714927,10.617069570211369,76.62216510414866,14175,372,20,2,22.3,72,14.0,,1011.0,4,24.7,16.9,10.0,26.7,0.0,9,0.9455185755993167,0.32556815445715676
1740715021,10.744981640783465,76.67727378319731,17350,379,22,3,22.3,72,14.0,,1011.0,4,24.7,16.9,10.0,26.7,0.0,9,0.9455185755993167,0.32556815445715676
1740715117,10.899405328999595,76.74344717611365,19800,398,22,4,22.3,72,14.0,,1011.0,4,24.7,16.9,10.0,26.7,0.0,9,0.9455185755993167,0.32556815445715676
1740715213,11.07166335498608,76.81661927614557,22500,402,22,5,20.5,84,5.8,,1012.0,6,20.5,17.7,10.0,10.1,0.0,9,0.984807753012208,0.17364817766693041
1740715307,11.254918481248897,76.89334782375633,24625,406,22,6,15.0,79,1.8,,1013.0,2,15.0,11.4,10.0,3.8,0.0,9,-0.6293203910498378,0.7771459614569706
1740715403,11.44454794709975,76.97095810335946,26225,419,22,7,19.2,76,1.4,,1014.0,1,19.2,15.0,10.0,2.0,0.0,9,-0.8829475928589271,0.4694715627858904
1740715531,11.63785731954636,77.0474945942375,28275,434,16,8,21.2,70,4.3,,1012.0,0,21.2,15.5,10.0,7.7,0.0,9,0.052335956242943835,0.9986295347545738
1740715627,11.833494424130452,77.12161414327043,29875,439,17,9,18.7,67,5.4,,1013.0,0,18.7,12.3,10.0,11.2,0.0,9,0.9455185755993168,-0.32556815445715664
1740715722,12.03087143732882,77.19247040309878,31200,449,16,10,18.7,67,5.4,,1013.0,0,18.7,12.3,10.0,11.2,0.0,9,0.9455185755993168,-0.32556815445715664
1740715820,12.229756394910057,77.2595690764727,31925,471,16,11,18.7,67,5.4,,1013.0,0,18.7,12.3,10.0,11.2,0.0,9,0.9455185755993168,-0.32556815445715664
1740715918,12.430055800735406,77.32257733830143,33100,477,16,12,17.9,73,6.8,,1013.0,0,17.9,13.0,10.0,14.4,0.0,9,0.9945218953682733,-0.10452846326765355
1740716011,12.631734769849054,77.3811148470132,34225,478,16,13,17.9,73,6.8,,1013.0,0,17.9,13.0,10.0,14.4,0.0,9,0.9945218953682733,-0.10452846326765355
1740716108,12.834790468126208,77.43463524515647,35400,478,16,14,17.8,70,7.6,,1013.0,0,17.8,12.3,10.0,15.9,0.0,9,0.9993908270190958,-0.034899496702500955
1740716204,13.039223980977884,77.4824671605901,36000,474,16,15,17.3,66,12.2,,1013.0,0,17.3,11.0,10.0,25.7,0.0,9,0.9563047559630355,-0.29237170472273666
1740716299,13.244996785214935,77.52401362931182,36000,468,17,16,17.2,66,11.9,,1013.0,0,17.2,10.9,10.0,24.9,0.0,9,0.8660254037844387,-0.4999999999999998
1740716394,13.451989295996071,77.55902710723274,35950,460,17,17,17.2,66,11.9,,1013.0,0,17.2,10.9,10.0,24.9,0.0,9,0.8660254037844387,-0.4999999999999998
1740716491,13.659994178725311,77.58779570085025,36000,465,17,18,19.3,56,9.4,,1012.0,0,19.3,10.4,10.0,19.7,0.0,9,0.3583679495453002,-0.9335804264972017
1740716586,13.868748876439234,77.61114370801404,36000,466,16,19,19.3,56,9.4,,1012.0,0,19.3,10.4,10.0,19.7,0.0,9,0.3583679495453002,-0.9335804264972017
1740716681,14.077990257207029,77.63024763818038,36000,465,17,20,19.3,56,9.4,,1012.0,0,19.3,10.4,10.0,19.7,0.0,9,0.3583679495453002,-0.9335804264972017
1740716787,14.287502572763692,77.64636542437388,36000,461,6,21,21.4,50,5.4,,1011.0,2,21.4,10.7,10.0,11.3,0.0,9,0.9271838545667874,-0.37460659341591207
